Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2005-04-26,3.95,3.9,3.8,3.95,7000.0
2005-04-27,4.0,3.9,3.85,3.85,9800.0
2005-04-28,3.83,3.7,3.51,3.8,10600.0
2005-04-29,3.7,3.7,3.36,3.51,13500.0
2005-05-02,3.78,3.75,3.6,3.6,15400.0
2005-05-03,3.85,3.85,3.74,3.74,5700.0
2005-05-04,3.75,3.7,3.5,3.75,17700.0
2005-05-05,3.6,3.6,3.5,3.6,2500.0
2005-05-06,3.59,3.5,3.3,3.55,16000.0
2005-05-09,3.5,3.0,3.0,3.5,41100.0
2005-05-10,3.0,2.94,2.85,3.0,26000.0
2005-05-11,3.0,3.0,2.85,3.0,22000.0
2005-05-12,3.25,3.0,2.85,2.9,13000.0
2005-05-13,3.0,2.9,2.85,3.0,23400.0
2005-05-16,2.95,2.19,2.15,2.95,197400.0
2005-05-17,2.4,2.3,2.05,2.25,195500.0
2005-05-18,2.5,2.45,2.1,2.35,70700.0
2005-05-19,2.8,2.8,2.4,2.45,38800.0
2005-05-20,3.3,3.29,2.8,2.8,276300.0
2005-05-23,3.82,3.3,3.01,3.67,92700.0
2005-05-24,3.57,3.55,3.35,3.57,23100.0
2005-05-25,3.6,3.4,3.4,3.6,11500.0
2005-05-26,3.45,3.35,3.27,3.3,4300.0
2005-05-27,3.34,3.2,2.9,3.3,84900.0
2005-05-31,3.7,3.7,3.1,3.3,69300.0
2005-06-01,3.6,3.39,3.35,3.6,21100.0
2005-06-02,3.47,3.2,3.2,3.47,18600.0
2005-06-03,3.17,3.0,3.0,3.1,22200.0
2005-06-06,3.1,3.1,3.0,3.0,3100.0
2005-06-07,3.2,3.1,3.0,3.11,27800.0
2005-06-08,3.15,3.0,2.95,3.15,3400.0
2005-06-09,3.14,3.04,2.95,3.05,15300.0
2005-06-10,3.14,3.09,3.05,3.14,3400.0
2005-06-13,3.09,3.08,3.0,3.06,8300.0
2005-06-14,3.0,2.88,2.8,3.0,10800.0
2005-06-15,2.94,2.75,2.65,2.9,21800.0
2005-06-16,2.65,2.4,2.4,2.65,45600.0
2005-06-17,2.39,2.39,2.26,2.39,32200.0
2005-06-20,2.37,2.2,2.2,2.37,36900.0
2005-06-21,2.33,2.2,2.2,2.25,37900.0
2005-06-22,2.25,2.25,2.16,2.16,13600.0
2005-06-23,2.64,2.5,2.25,2.25,41900.0
2005-06-24,2.66,2.43,2.43,2.5,10000.0
2005-06-27,2.49,2.49,2.28,2.4,9400.0
2005-06-28,2.67,2.65,2.38,2.5,17100.0
2005-06-29,2.6,2.55,2.55,2.6,5200.0
2005-06-30,2.55,2.48,2.15,2.55,26700.0
2005-07-01,2.43,2.33,2.33,2.43,500.0
2005-07-05,2.39,2.06,2.0,2.39,55500.0
2005-07-06,2.22,2.2,2.0,2.06,21800.0
2005-07-07,2.21,2.09,1.99,2.21,36300.0
2005-07-08,2.12,2.0,1.97,2.03,21800.0
2005-07-11,2.03,2.0,2.0,2.0,20000.0
2005-07-12,2.08,1.98,1.98,2.08,8500.0
2005-07-13,2.1,2.1,1.8,2.0,18100.0
2005-07-14,2.12,1.98,1.98,2.1,14200.0
2005-07-15,2.02,2.02,1.98,1.98,13500.0
2005-07-18,2.09,2.05,1.97,2.02,9900.0
2005-07-19,2.05,2.02,1.97,2.05,12000.0
2005-07-20,2.03,2.0,1.85,2.03,28900.0
2005-07-21,2.0,1.99,1.87,1.95,24200.0
2005-07-22,1.96,1.93,1.82,1.95,102200.0
2005-07-25,1.98,1.96,1.85,1.98,55500.0
2005-07-26,1.95,1.93,1.82,1.85,10500.0
2005-07-27,1.93,1.93,1.83,1.85,10000.0
2005-07-28,1.98,1.96,1.84,1.95,29400.0
2005-07-29,1.97,1.97,1.9,1.96,15400.0
2005-08-01,1.98,1.96,1.86,1.98,15900.0
2005-08-02,1.96,1.86,1.82,1.94,10400.0
2005-08-03,1.85,1.84,1.76,1.85,47000.0
2005-08-04,1.85,1.85,1.76,1.76,37200.0
2005-08-05,1.88,1.78,1.75,1.88,9200.0
2005-08-08,1.87,1.63,1.62,1.8,31100.0
2005-08-09,1.76,1.76,1.6,1.74,60000.0
2005-08-10,1.98,1.95,1.76,1.76,139400.0
