Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2007-05-31,0.1,0.1,0.1,0.1,30000.0
2008-04-30,1.01,0.55,0.55,1.01,1500.0
2008-05-12,0.85,0.85,0.85,0.85,500.0
2008-07-29,2.0,2.0,2.0,2.0,200.0
2008-08-27,5.0,5.0,5.0,5.0,200.0
2009-10-07,0.05,0.05,0.05,0.05,200.0
2013-07-18,1.25,1.25,1.25,1.25,100.0
2013-07-19,1.25,1.25,1.25,1.25,100.0
2013-07-23,1.3,1.3,1.3,1.3,100.0
2013-07-24,1.5,1.4,1.4,1.5,4500.0
2013-07-25,1.5,1.4,1.4,1.5,1100.0
2013-07-30,1.45,1.45,1.45,1.45,200.0
2013-08-01,1.4,1.4,1.4,1.4,5200.0
2013-08-07,1.4,1.4,1.4,1.4,1300.0
2013-08-19,1.5,1.5,1.5,1.5,100.0
2013-08-27,1.4,1.4,1.4,1.4,1000.0
2013-08-28,1.4,1.4,1.4,1.4,3000.0
2013-08-30,1.4,1.4,1.4,1.4,500.0
2013-09-03,1.42,1.42,1.42,1.42,100.0
2013-09-06,1.21,1.2,1.2,1.21,1100.0
2013-09-09,1.22,1.22,1.22,1.22,1600.0
2013-09-19,1.4,1.4,1.4,1.4,5000.0
2013-09-20,1.37,1.37,1.37,1.37,2500.0
2013-09-25,1.42,1.42,1.42,1.42,1200.0
2013-09-30,1.42,1.42,1.42,1.42,2112.0
2013-10-02,1.3,1.3,1.3,1.3,912.0
2013-10-09,1.5,1.5,1.5,1.5,1000.0
2013-10-10,1.5,1.5,1.5,1.5,2000.0
2013-10-14,1.65,1.65,1.6,1.6,5000.0
2013-10-15,1.7,1.7,1.7,1.7,2000.0
2013-10-16,1.7,1.7,1.7,1.7,100.0
2013-10-17,1.95,1.95,1.85,1.85,4200.0
2013-10-18,1.95,1.95,1.95,1.95,1000.0
2013-10-22,4.0,3.0,2.0,2.5,2600.0
2013-10-24,2.0,2.0,2.0,2.0,2000.0
2013-10-25,2.25,2.25,2.25,2.25,1000.0
2013-10-28,2.25,2.25,2.25,2.25,1400.0
2013-10-29,2.2,2.2,2.2,2.2,1400.0
2013-10-30,3.5,3.4,3.4,3.5,1500.0
2013-10-31,3.3,3.3,3.3,3.3,500.0
2013-11-05,3.4,2.7,2.7,3.4,400.0
2013-11-14,2.75,2.75,2.75,2.75,200.0
2013-11-15,2.75,2.7,2.7,2.75,2000.0
2013-11-22,2.8,2.8,2.7,2.7,2200.0
2013-11-25,2.7,2.7,2.7,2.7,300.0
2013-12-10,2.7,2.0,2.0,2.7,2700.0
2013-12-11,2.0,2.0,2.0,2.0,600.0
2013-12-12,3.0,3.0,2.25,2.25,1100.0
2013-12-23,2.25,2.25,2.25,2.25,120.0
2014-01-02,2.49,2.49,2.49,2.49,100.0
2014-01-15,2.31,2.0,2.0,2.31,2300.0
2014-03-12,2.05,2.05,2.05,2.05,1000.0
2014-03-17,,,,,50.0
2014-04-01,2.21,2.21,2.21,2.21,250.0
2014-04-23,3.0,3.0,2.5,2.5,600.0
2014-05-22,2.5,2.5,2.5,2.5,100.0
2014-06-09,2.75,2.75,2.75,2.75,100.0
2014-06-11,2.8,2.75,2.75,2.8,200.0
2014-06-12,3.0,3.0,3.0,3.0,100.0
2014-06-17,2.75,2.75,2.75,2.75,100.0
2014-07-22,3.0,2.76,2.76,3.0,2112.0
2014-08-12,2.8,2.8,2.8,2.8,300.0
2014-09-15,4.0,4.0,4.0,4.0,800.0
2014-09-18,5.0,5.0,5.0,5.0,1362.0
2014-09-19,8.0,6.0,4.99,5.0,3626.0
2014-10-06,,,,,50.0
2014-10-09,,,,,5.0
2014-10-17,8.0,8.0,8.0,8.0,220.0
2014-10-21,8.5,8.5,8.5,8.5,400.0
2014-10-23,,,,,47.0
2014-10-30,6.8,6.8,6.8,6.8,100.0
2014-11-19,9.5,9.5,9.5,9.5,100.0
2014-11-20,9.5,9.5,9.5,9.5,1000.0
2014-11-25,9.5,9.5,9.5,9.5,1050.0
2014-12-03,8.9,8.9,8.9,8.9,110.0
2014-12-10,6.85,6.85,6.85,6.85,100.0
2014-12-11,,,,,5.0
2014-12-17,6.8,6.8,6.8,6.8,500.0
2014-12-23,6.8,6.8,6.8,6.8,100.0
2015-01-27,,,,,80.0
2015-01-28,,,,,80.0
2015-02-05,6.8,6.8,6.8,6.8,200.0
2015-02-12,6.8,6.8,6.8,6.8,100.0
2015-03-11,6.85,6.85,6.85,6.85,100.0
2015-03-13,,,,,41.0
2015-03-16,,,,,11.0
2015-07-21,7.0,7.0,7.0,7.0,100.0
2015-09-04,7.0,7.0,7.0,7.0,110.0
2015-09-28,7.0,7.0,7.0,7.0,142.0
2015-10-27,,,,,86.0
2015-11-09,7.0,7.0,7.0,7.0,108.0
2015-12-11,7.0,7.0,7.0,7.0,100.0
2016-03-02,,,,,1.0
2016-03-31,6.0,6.0,6.0,6.0,100.0
2016-04-20,,,,,47.0
2016-05-18,6.5,6.5,6.5,6.5,200.0
2016-07-13,,,,,50.0
2016-08-24,,,,,5.0
2016-08-26,,,,,50.0
2016-08-29,6.6,6.6,6.6,6.6,100.0
2016-10-05,,,,,70.0
2016-11-02,6.7,6.7,6.7,6.7,500.0
2016-11-21,6.0,6.0,6.0,6.0,100.0
2017-01-11,7.0,7.0,7.0,7.0,100.0
2017-01-17,7.25,7.25,7.25,7.25,100.0
2017-01-25,8.0,8.0,8.0,8.0,200.0
2017-02-09,,,,,50.0
2017-03-13,,,,,5.0
2017-03-23,9.0,9.0,9.0,9.0,100.0
2017-03-27,10.0,10.0,10.0,10.0,100.0
2017-04-25,13.25,13.25,13.0,13.0,375.0
2017-04-26,25.0,25.0,25.0,25.0,100.0
2017-04-27,13.5,13.5,13.5,13.5,226.0
2017-04-28,13.6,13.6,13.6,13.6,226.0
2017-05-05,13.5,13.5,13.5,13.5,300.0
2017-06-07,13.55,13.55,13.55,13.55,100.0
2017-06-08,13.55,13.55,13.55,13.55,100.0
2017-06-29,,,,,70.0
2017-07-05,,,,,40.0
2017-07-11,13.75,13.6,13.6,13.75,960.0
2017-07-20,,,,,70.0
2017-07-27,12.0,12.0,12.0,12.0,100.0
2017-08-04,9.0,9.0,9.0,9.0,100.0
2017-10-23,10.0,10.0,10.0,10.0,100.0
2017-11-06,10.0,10.0,10.0,10.0,100.0
2017-12-15,7.5,7.0,7.0,7.5,325.0
2017-12-18,6.5,6.5,6.5,6.5,150.0
2017-12-19,6.0,5.0,5.0,6.0,950.0
2017-12-20,5.0,5.0,4.95,5.0,400.0
2017-12-21,5.1,5.1,5.1,5.1,800.0
2017-12-26,5.0,5.0,4.0,4.1,2925.0
2017-12-27,4.15,4.15,4.0,4.05,1125.0
2017-12-28,4.05,4.05,4.05,4.05,700.0
2018-01-04,3.8,3.5,3.5,3.5,2500.0
2018-01-08,3.1,3.1,3.1,3.1,800.0
2018-01-11,3.1,3.1,3.1,3.1,250.0
2018-01-17,3.2,3.2,3.1,3.1,950.0
2018-01-18,3.145,3.145,3.1,3.1,350.0
2018-01-23,3.1,3.1,3.1,3.1,100.0
2018-01-26,3.125,3.125,3.125,3.125,150.0
2018-01-30,3.05,3.0,3.0,3.05,876.0
2018-01-31,3.0,2.9,2.9,3.0,1036.0
2018-02-02,2.9,2.9,2.9,2.9,300.0
2018-02-06,3.1,3.1,3.1,3.1,1000.0
2018-02-07,2.8,2.11,2.11,2.8,200.0
2018-02-12,2.5,2.5,2.5,2.5,225.0
2018-02-13,2.5,1.8,1.8,2.5,2325.0
2018-02-21,,,,,50.0
2018-02-23,2.0,2.0,2.0,2.0,800.0
2018-02-26,2.0,2.0,1.9999,2.0,1885.0
2018-03-05,2.0,2.0,2.0,2.0,450.0
2018-03-07,2.8,2.8,2.8,2.8,100.0
2018-03-08,2.05,2.05,2.05,2.05,739.0
2018-03-09,2.35,2.0,2.0,2.35,2725.0
2018-03-13,,,,,100.0
2018-03-29,,,,,25.0
2018-04-09,,,,,22.0
2018-04-20,4.0,2.0,2.0,2.25,600.0
2018-04-27,,,,,75.0
2018-05-03,2.0,2.0,2.0,2.0,300.0
2018-05-15,2.2,1.85,1.85,2.1999,1227.0
2018-05-16,2.0,2.0,2.0,2.0,125.0
2018-05-24,2.5,2.5,2.4999,2.4999,200.0
2018-06-04,1.85,1.85,1.85,1.85,714.0
2018-06-18,2.0,1.985,1.985,2.0,225.0
2018-06-19,2.0,2.0,2.0,2.0,100.0
2018-06-20,2.0,2.0,2.0,2.0,100.0
2018-08-16,2.0,2.0,2.0,2.0,395.0
2018-08-24,2.0,2.0,2.0,2.0,1950.0
2018-08-30,3.67,3.65,3.6,3.65,600.0
2018-09-05,,,,,12.0
2018-09-17,,,,,12.0
2018-09-25,2.1,2.0,2.0,2.1,350.0
2018-10-05,1.953,1.786,1.786,1.953,500.0
2018-11-08,2.11,2.11,2.11,2.11,200.0
2018-11-30,1.95,1.75,1.75,1.95,1000.0
2018-12-12,1.8,1.75,1.75,1.8,1232.0
2018-12-19,1.9,1.9,1.9,1.9,1100.0
2018-12-20,1.7,1.7,1.7,1.7,1100.0
2018-12-21,1.75,1.75,1.75,1.75,110.0
2018-12-26,1.75,1.75,1.75,1.75,1610.0
2019-01-04,1.75,1.75,1.75,1.75,100.0
2019-01-07,1.8,1.8,1.5,1.6,700.0
2019-01-24,2.5,2.5,2.0,2.0,2144.0
2019-03-04,2.6,2.6,2.6,2.6,500.0
2019-03-06,1.81,1.81,1.81,1.81,460.0
2019-03-20,1.8,1.8,1.8,1.8,200.0
2019-03-22,1.8,1.8,1.8,1.8,100.0
2019-04-22,1.75,1.75,1.75,1.75,200.0
2019-04-24,1.75,1.75,1.75,1.75,100.0
2019-05-13,1.75,1.75,1.75,1.75,200.0
2019-05-16,1.55,1.55,1.55,1.55,100.0
2019-05-17,1.51,1.3,1.3,1.51,200.0
2019-05-31,1.3,1.3,1.3,1.3,150.0
2019-06-03,1.33,1.33,1.33,1.33,100.0
2019-06-04,1.3,1.3,1.3,1.3,100.0
2019-06-07,1.26,0.9,0.9,1.26,1000.0
2019-06-20,0.9,0.9,0.9,0.9,150.0
2019-06-21,0.9,0.9,0.9,0.9,200.0
2019-08-05,1.45,1.45,1.45,1.45,150.0
2019-08-08,1.45,1.45,0.75,0.75,400.0
