Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1383729,,,Professional and Commercial Equipment and Supplies Merchant Wholesalers,,1.0,,,,,Fusion-Io LLC,1383729.0,,,,,,,,,,,0.0,,,,
1121680,,,Couriers and Express Delivery Services,,,,,,,Newgistics Inc,1121680.0,,,,,,,,,,,,,,,
1366684,,,Other Information Services,,1.0,,,,,HomeAway Inc,1366684.0,,,,,,,,,,,0.0,,,,
1311230,,,Grain and Oilseed Milling,,1.0,,,,,TerraVia Holdings Inc,1311230.0,,,,,,,,,,,0.0,,,,
1280363,,,Semiconductor and Other Electronic Component Manufacturing,,,,,,,Apache Design Inc,1280363.0,,,,,,,,,,,,,,,
1508913,,,Other Information Services,,1.0,,,,,Qihoo 360 Technology Co Ltd,1508913.0,,,,,,,,,,,0.0,,,,
1509986,,,Other Information Services,,1.0,,,,,Link Motion Inc,1509986.0,,,,,,,,,,,0.0,,,,
1164975,,,Semiconductor and Other Electronic Component Manufacturing,,,,,,,Cortina Systems Inc,1164975.0,,,,,,,,,,,,,,,
773717,,,Metal Ore Mining,,0.0,,,,,Cambrian Minerals Group Inc,773717.0,,,,,,,,,,,1.0,,,,
1502774,,,Oil and Gas Extraction,,0.0,,,,,Rio Bravo Oil Inc,1502774.0,,,,,,,,,,,0.0,,,,
1515980,,,Nondepository Credit Intermediation,,1.0,,,,,Apollo Residential Mortgage Inc,1515980.0,,,,,,,,,,,0.0,,,,
1128725,,,Computer Systems Design and Related Services,,0.0,,,,,InterCloud Systems Inc,1128725.0,,,,,,,0.0,,,,1.0,,,,
1514705,,,Petroleum and Coal Products Manufacturing,,0.0,,,,,SunCoke Energy Inc,1514705.0,,,,,,,,,,,1.0,,,,
1510030,,,Other Investment Pools and Funds,,,,,,,China Resources Development Inc,1510030.0,,,,,,,,,,,,,,,
1482541,,,Building Equipment Contractors,,0.0,,,,,Surna Inc,1482541.0,,,,,,,,,,,1.0,,,,
1507385,,,Lessors of Real Estate,,0.0,,,,,VEREIT Inc,1507385.0,,,,,,,,,,,1.0,,,,
1508478,,,Limited-Service Eating Places,,0.0,,,,,Arcos Dorados Holdings Inc,1508478.0,,,,,,,,,,,1.0,,,,
1654714,,,Commercial and Service Industry Machinery Manufacturing,,0.0,,,,,Nexoptic Technology Corp,1500944.0,,,,,,,,,,,1.0,,,,
1654714,,,,,,,,,,,1654714.0,,,,,,,,,,,,,,,
1506289,,,Other Investment Pools and Funds,,0.0,,,,,BlackRock Resources and Commodities Strategy Trust,1506289.0,,,,,,,,,,,1.0,,,,
1452857,,,"Coating, Engraving, Heat Treating, and Allied Activities",,0.0,,,,,Steel Partners Holdings LP,1452857.0,,,,,,,,,,,1.0,,,,
1444192,,,Scientific Research and Development Services,,0.0,,,,,Acasti Pharma Inc,1444192.0,,,,,,,,,,,1.0,,,,
1415916,,,"Deep Sea, Coastal, and Great Lakes Water Transportation",,0.0,,,,,Golar LNG Partners LP,1415916.0,,,,,,,,,,,1.0,,,,
1487439,,,Other Financial Investment Activities,,1.0,,,,,Crown Alliance Capital Ltd,1487439.0,,,,,,,,,,,0.0,,,,
1163389,,,Depository Credit Intermediation,,0.0,,,,,New Peoples Bankshares Inc,1163389.0,,,,,,,,,,,1.0,,,,
1516007,,,Pipeline Transportation of Crude Oil,,1.0,,,,,Enterprise Terminaling Services LP,1516007.0,,,,,,,,,,,0.0,,,,
1383960,,,General Medical and Surgical Hospitals,,1.0,,,,,University General Health System Inc,1383960.0,,,,,,,,,,,0.0,,,,
1584509,,,Special Food Services,,0.0,,,,,Aramark,1584509.0,,,,,,,,,,,1.0,,,,
1489744,,,Computer Systems Design and Related Services,,1.0,,,,,Raystream Inc,1489744.0,,,,,,,,,,,0.0,,,,
1355451,,,Other Investment Pools and Funds,,0.0,,,,,VGTel Inc,1355451.0,,,,,,,,,,,1.0,,,,
1516973,,,Other Investment Pools and Funds,,1.0,,,,,Mountain Merger Sub Corp,1516973.0,,,,,,,,,,,0.0,,,,
1504795,,,"Deep Sea, Coastal, and Great Lakes Water Transportation",,0.0,,,,,Box Ships Inc,1504795.0,,,,,,,,,,,1.0,,,,
1508475,,,Computer Systems Design and Related Services,,0.0,,,,,21Vianet Group Inc,1508475.0,,,,,,,,,,,1.0,,,,
1500837,,,Depository Credit Intermediation,,1.0,,,,,Sunshine Financial Inc,1429469.0,,,,,,,,,,,0.0,,,,
1500837,,,,,,,,,,,1500837.0,,,,,,,,,,,,,,,
1495191,,,Nondepository Credit Intermediation,,0.0,,,,,InterTech Solutions Inc,1495191.0,,,,,,,,,,,1.0,,,,
1499618,,,"Advertising, Public Relations, and Related Services",,0.0,,,,,Energy Today Inc,1499618.0,,,,,,,,,,,1.0,,,,
1504619,,,Other Investment Pools and Funds,,0.0,,,,,PennantPark Floating Rate Capital Ltd,1504619.0,,,,,,,,,,,1.0,,,,
1755191,,,Metal Ore Mining,,0.0,,,,,Liberty Gold Corp,1755191.0,,,,,,,,,,,1.0,,,,
1519469,,,Metal Ore Mining,,0.0,,,,,Anfield Energy Inc,1519469.0,,,,,,,,,,,1.0,,,,
1509786,,,Lessors of Real Estate,,0.0,,,,,Inspired Builders Inc,1509786.0,,,,,,,,,,,1.0,,,,
1506439,,,"Data Processing, Hosting, and Related Services",,0.0,,,,,SharpSpring Inc,1506439.0,,,,,,,,,,,1.0,,,,
1481691,,,Oil and Gas Extraction,,0.0,,,,,Condor Petroleum Inc,1481691.0,,,,,,,,,,,1.0,,,,
1433607,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",,0.0,,,,,InspireMD Inc,1433607.0,,,,,,,,,,,1.0,,,,
1122388,,,Software Publishers,,0.0,,,,,Ellie Mae Inc,1122388.0,,,,,,,,,,,0.0,,,,
1517175,,,Grocery and Related Product Merchant Wholesalers,,0.0,,,,,Chefs' Warehouse Inc,1517175.0,,,,,,,,,,,1.0,,,,
1383395,,,Semiconductor and Other Electronic Component Manufacturing,,0.0,,,,,Sequans Communications SA,1383395.0,,,,,,,,,,,1.0,,,,
1519457,,,,,,,,,,Nambia Rare Earths Inc,1519457.0,,,,,,,,,,,,,,,
1343257,,,Oil and Gas Extraction,,1.0,,,,,BCM Energy Partners Inc,1343257.0,,,,,,,,,,,0.0,,,,
