,Instrument,Tangible Book Value - Utility,Market Capitalisation,Stock Price,Retained Earnings (Accumulated Deficit),"Working Capital, Period over Period Average (Pvt)",Tangible Book Value - Banks,Has Filed For Bankruptcy,Earnings Before Interest & Taxes (EBIT) (Pvt),"Working Capital, Period over Period % Change (Pvt)",Tangible Book Value - Insurance
0,1538990,,,,,,,,,,
1,1538990,,,,,,,,,,
2,1538990,,,,,,,,,,
3,1538990,,,,,,,,,,
4,1538990,,,,,,,,,,
5,1538990,,,,,,,,,,
6,1538990,,,,,,,,,,
7,1538990,,,,,,,,,,
8,1538990,,,,,,,,,,
9,1538990,,,,,,,,,,
10,1538990,,,,,,,,,,
11,1538990,,,,,,,,,,
12,1538990,,,,,,,,,,
13,1538990,,,,,,,,,,
14,1538990,,,,,,,,,,
15,1538990,,,,,,,,,,
16,1538990,,,,,,,,,,
17,1538990,,,,,,,,,,
18,1538990,,,,,,,,,,
19,1538990,,,,,,,,,,
20,1538990,,,,,,,,,,
21,1538990,,,,,,,,,,
22,1538990,,,,,,,,,,
23,1538990,,,,,,,,,,
24,1538990,,,,,,,,,,
25,1538990,,,,,,,,,,
26,1538990,,,,,,,,,,
27,1538990,,,,,,,,,,
28,1538990,,,,,,,,,,
29,1538990,,,,,,,,,,
30,1538990,,,,,,,,,,
31,1538990,,,,,,,,,,
32,1538990,,,,,,,,,,
33,1538990,,,,,,,,,,
34,1538990,,,,,,,,,,
35,1538990,,,,,,,,,,
36,1538990,,,,,,,,,,
37,1538990,,,,,,,,,,
38,1538990,,,,,,,,,,
39,1538990,,,,,,,,,,
40,1538990,,,,,,,,,,
41,1538990,,,,,,,,,,
42,1538990,,,,,,,,,,
43,1538990,,,,,,,,,,
44,1538990,,,,,,,,,,
45,1538990,,,,,,,,,,
46,1538990,,,,,,,,,,
47,1538990,,,,,,,,,,
48,1538990,,,,,,,,,,
49,1538990,,,,,,,,,,
50,1538990,,,,,,,,,,
51,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
52,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
53,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
54,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
55,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
56,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
57,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
58,1538990,496914000.0,,,-6110000.0,,496914000.0,,,,496914000.0
59,1538990,773914000.0,,,-24816000.0,,773914000.0,,,,773914000.0
60,1538990,1582684000.0,,,-54405000.0,,1582684000.0,,,,1582684000.0
61,1538990,1582684000.0,,,-54405000.0,,1582684000.0,,,,1582684000.0
62,1538990,1582684000.0,,,-54405000.0,,1582684000.0,,,,1582684000.0
63,1538990,1582684000.0,,,-54405000.0,,1582684000.0,,,,1582684000.0
64,1538990,2059793000.0,,,-103453000.0,,2059793000.0,,,,2059793000.0
65,1538990,2059793000.0,,,-103453000.0,,2059793000.0,,,,2059793000.0
66,1538990,2059793000.0,,,-103453000.0,,2059793000.0,,,,2059793000.0
67,1538990,2059793000.0,,,-103453000.0,,2059793000.0,,,,2059793000.0
68,1538990,2483255000.0,,,-151592000.0,,2483255000.0,,,,2483255000.0
69,1538990,2483255000.0,,,-151592000.0,,2483255000.0,,,,2483255000.0
70,1538990,2483255000.0,,,-151592000.0,,2483255000.0,,,,2483255000.0
71,1538990,2483255000.0,,,-151592000.0,,2483255000.0,,,,2483255000.0
72,1538990,3170942000.0,,,-214845000.0,,3170942000.0,,,,3170942000.0
73,1538990,3170942000.0,,,-214845000.0,,3170942000.0,,,,3170942000.0
74,1538990,3170942000.0,,,-214845000.0,,3170942000.0,,,,3170942000.0
75,1538990,3170942000.0,,,-214845000.0,,3170942000.0,,,,3170942000.0
76,1538990,3863501000.0,,,-267651000.0,,3863501000.0,,,,3863501000.0
77,1538990,3863501000.0,,,-267651000.0,,3863501000.0,,,,3863501000.0
78,1501570,,,,,,,,,,
79,1501570,,,,,,,,,,
80,1501570,,,,,,,,,,
81,1501570,,,,,,,,,,
82,1501570,,,,,,,,,,
83,1501570,,,,,,,,,,
84,1501570,,,,,,,,,,
85,1501570,,,,,,,,,,
86,1501570,,,,,,,,,,
87,1501570,,,,,,,,,,
88,1501570,,,,,,,,,,
89,1501570,,,,,,,,,,
90,1501570,,,,,,,,,,
91,1501570,,,,,,,,,,
92,1501570,,,,,,,,,,
93,1501570,,,,,,,,,,
94,1501570,,,,,,,,,,
95,1501570,,,,,,,,,,
96,1501570,,,,,,,,,,
97,1501570,,,,,,,,,,
98,1501570,,,,,,,,,,
99,1501570,,,,,,,,,,
100,1501570,,,,,,,,,,
101,1501570,,,,,,,,,,
102,1501570,,,,,,,,,,
103,1501570,,,,,,,,,,
104,1501570,,,,,,,,,,
105,1501570,,,,,,,,,,
106,1501570,,,,,,,,,,
107,1501570,,,,,,,,,,
108,1501570,,,,,,,,,,
109,1501570,,,,,,,,,,
110,1501570,,,,,,,,,,
111,1501570,,,,,,,,,,
112,1501570,,,,,,,,,,
113,1501570,,,,,,,,,,
114,1501570,,,,,,,,,,
115,1501570,,,,,,,,,,
116,1501570,,,,,,,,,,
117,1501570,,,,,,,,,,
118,1501570,,,,,,,,,,
119,1501570,,,,,,,,,,
120,1501570,,,,,,,,,,
121,1501570,,,,,,,,,,
122,1501570,,,,,,,,,,
123,1501570,,,,,,,,,,
124,1501570,,,,,,,,,,
125,1501570,,,,,,,,,,
126,1501570,,,,,,,,,,
127,1501570,,,,,,,,,,
128,1501570,,,,,,,,,,
129,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
130,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
131,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
132,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
133,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
134,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
135,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
136,1501570,32837000.0,,,-426000.0,,32837000.0,,,,32837000.0
137,1501570,37524000.0,,,2922000.0,,37524000.0,,,,37524000.0
138,1501570,84903000.0,,,8047000.0,,84903000.0,,,,84903000.0
139,1501570,84903000.0,,,8047000.0,,84903000.0,,,,84903000.0
140,1501570,84903000.0,,,8047000.0,,84903000.0,,,,84903000.0
141,1501570,84903000.0,,,8047000.0,,84903000.0,,,,84903000.0
142,1501570,102771000.0,,,16739000.0,,102771000.0,,,,102771000.0
143,1501570,102771000.0,,,16739000.0,,102771000.0,,,,102771000.0
144,1501570,102771000.0,,,16739000.0,,102771000.0,,,,102771000.0
145,1501570,102771000.0,,,16739000.0,,102771000.0,,,,102771000.0
146,1501570,210042000.0,,,29290000.0,,210042000.0,,,,210042000.0
147,1501570,210042000.0,,,29290000.0,,210042000.0,,,,210042000.0
