,Instrument,"Total Assets, Reported",Tangible Book Value - Reported,Instrument Is Active Flag,Accounts Payable (CF),"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Company Common Name,Bankruptcy Filing Date,Market Value for Company,Net Sales,Tangible Book Value Per Share
0,1107955,,,,,,US Energy Initiatives Corp,,,,
1,109758,79298000.0,-9677000.0,0.0,-317000.0,,Nielsen Audio Inc,,,190117000.0,-0.33181
2,109758,79298000.0,-9677000.0,,-317000.0,,,,,190117000.0,-0.33181
3,109758,79298000.0,-9677000.0,,-317000.0,,,,,190117000.0,-0.33181
4,109758,79298000.0,-9677000.0,,-317000.0,,,,,190117000.0,-0.33181
5,109758,107876000.0,19373000.0,,2532000.0,,,,,206791000.0,0.66428
6,109758,107876000.0,19373000.0,,2532000.0,,,,,206791000.0,0.66428
7,109758,107876000.0,19373000.0,,2532000.0,,,,,206791000.0,0.66428
8,109758,107876000.0,19373000.0,,2532000.0,,,,,206791000.0,0.66428
9,109758,126841000.0,-201007000.0,,-3523000.0,,,,,227534000.0,-6.88333
10,109758,126841000.0,-201007000.0,,-3523000.0,,,,,227534000.0,-6.88333
11,109758,126841000.0,-201007000.0,,-3523000.0,,,,,227534000.0,-6.88333
12,109758,126841000.0,-201007000.0,,-3523000.0,,,,,227534000.0,-6.88333
13,109758,156038000.0,-135887000.0,,-834000.0,,,,,249757000.0,-4.58907
14,109758,156038000.0,-135887000.0,,-834000.0,,,,,249757000.0,-4.58907
15,109758,156038000.0,-135887000.0,,-834000.0,,,,,249757000.0,-4.58907
16,109758,156038000.0,-135887000.0,,-834000.0,,,,,249757000.0,-4.58907
17,109758,184194000.0,-52497000.0,,757000.0,,,,,273550000.0,-1.70944
18,109758,184194000.0,-52497000.0,,757000.0,,,,,273550000.0,-1.70944
19,109758,184194000.0,-52497000.0,,757000.0,,,,,273550000.0,-1.70944
20,109758,184194000.0,-52497000.0,,757000.0,,,,,273550000.0,-1.70944
21,109758,196121000.0,4226000.0,,42000.0,,,,,296553000.0,0.1365
22,109758,196121000.0,4226000.0,,42000.0,,,,,296553000.0,0.1365
23,109758,196121000.0,4226000.0,,42000.0,,,,,296553000.0,0.1365
