,Instrument,Instrument Is Active Flag,Delisted Quote Flag,Pricing Volatility,"Total Assets, Reported","Working Capital, Period over Period Average (Pvt)","Working Capital, Period over Period % Change (Pvt)",Bankruptcy Filing Date,GICS Industry Name,NAICS Industry Group Name,Has Filed For Bankruptcy
0,1738177,1.0,0.0,,,,,,Communications Equipment,Communications Equipment Manufacturing,
1,1738177,,,,,,,,,,
2,1738177,,,,,,,,,,
3,1738177,,,,,,,,,,
4,1738177,,,,,,,,,,
5,1738177,,,,,,,,,,
6,1738177,,,,,,,,,,
7,1738177,,,,,,,,,,
8,1738177,,,,,,,,,,
9,1738177,,,,,,,,,,
10,1738177,,,,,,,,,,
11,1738177,,,,,,,,,,
12,1738177,,,,,,,,,,
13,1738177,,,,,,,,,,
14,1738177,,,,,,,,,,
15,1738177,,,,,,,,,,
16,1738177,,,,,,,,,,
17,1738177,,,,,,,,,,
18,1738177,,,,,,,,,,
19,1738177,,,,,,,,,,
20,1738177,,,,,,,,,,
21,1738177,,,,,,,,,,
22,1738177,,,,,,,,,,
23,1738177,,,,,,,,,,
24,1738177,,,,,,,,,,
25,1738177,,,,,,,,,,
26,1738177,,,,,,,,,,
27,1738177,,,,,,,,,,
28,1738177,,,,,,,,,,
29,1738177,,,,,,,,,,
30,1738177,,,,,,,,,,
31,1738177,,,,,,,,,,
32,1738177,,,,,,,,,,
33,1738177,,,,,,,,,,
34,1738177,,,,,,,,,,
35,1738177,,,,,,,,,,
36,1738177,,,,,,,,,,
37,1738177,,,,,,,,,,
38,1738177,,,,,,,,,,
39,1738177,,,,,,,,,,
40,1738177,,,,,,,,,,
41,1738177,,,,,,,,,,
42,1738177,,,,,,,,,,
43,1738177,,,,,,,,,,
44,1738177,,,,,,,,,,
45,1738177,,,,,,,,,,
46,1738177,,,,,,,,,,
47,1738177,,,,,,,,,,
48,1738177,,,,,,,,,,
49,1738177,,,,,,,,,,
50,1738177,,,,,,,,,,
51,1738177,,,,,,,,,,
52,1738177,,,,,,,,,,
53,1738177,,,,,,,,,,
54,1738177,,,,,,,,,,
55,1738177,,,,,,,,,,
56,1738177,,,,,,,,,,
57,1738177,,,,,,,,,,
58,1738177,,,,,,,,,,
59,1738177,,,,,,,,,,
60,1738177,,,,,,,,,,
61,1738177,,,,,,,,,,
62,1738177,,,,,,,,,,
63,1738177,,,,,,,,,,
64,1738177,,,,,,,,,,
65,1738177,,,,,,,,,,
66,1738177,,,,,,,,,,
67,1738177,,,,,,,,,,
68,1738177,,,,,,,,,,
69,1738177,,,,,,,,,,
70,1738177,,,,,,,,,,
71,1738177,,,,121613000.0,,,,,,
72,1738177,,,,121613000.0,,,,,,
73,1738177,,,,121613000.0,,,,,,
74,1738177,,,,121613000.0,,,,,,
75,1738177,,,,121613000.0,,,,,,
76,1738177,,,,121613000.0,,,,,,
77,1738177,,,,142057000.0,,,,,,
78,1540184,1.0,0.0,,,,,,Software,Software Publishers,
79,1540184,,,,,,,,,,
80,1540184,,,,,,,,,,
81,1540184,,,,,,,,,,
82,1540184,,,,,,,,,,
83,1540184,,,,,,,,,,
84,1540184,,,,,,,,,,
85,1540184,,,,,,,,,,
86,1540184,,,,,,,,,,
87,1540184,,,,,,,,,,
88,1540184,,,,,,,,,,
89,1540184,,,,,,,,,,
90,1540184,,,,,,,,,,
91,1540184,,,,,,,,,,
92,1540184,,,,,,,,,,
93,1540184,,,,,,,,,,
94,1540184,,,,,,,,,,
95,1540184,,,,,,,,,,
96,1540184,,,,,,,,,,
97,1540184,,,,,,,,,,
98,1540184,,,,,,,,,,
99,1540184,,,,,,,,,,
100,1540184,,,,,,,,,,
101,1540184,,,,,,,,,,
102,1540184,,,,,,,,,,
103,1540184,,,,,,,,,,
104,1540184,,,,,,,,,,
105,1540184,,,,,,,,,,
106,1540184,,,,,,,,,,
107,1540184,,,,,,,,,,
108,1540184,,,,,,,,,,
109,1540184,,,,,,,,,,
110,1540184,,,,,,,,,,
111,1540184,,,,,,,,,,
112,1540184,,,,,,,,,,
113,1540184,,,,,,,,,,
114,1540184,,,,,,,,,,
115,1540184,,,,,,,,,,
116,1540184,,,,,,,,,,
117,1540184,,,,,,,,,,
118,1540184,,,,,,,,,,
119,1540184,,,,,,,,,,
120,1540184,,,,,,,,,,
121,1540184,,,,,,,,,,
122,1540184,,,,,,,,,,
123,1540184,,,,,,,,,,
124,1540184,,,,,,,,,,
125,1540184,,,,,,,,,,
126,1540184,,,,,,,,,,
127,1540184,,,,,,,,,,
128,1540184,,,,,,,,,,
129,1540184,,,,,,,,,,
130,1540184,,,,,,,,,,
131,1540184,,,,,,,,,,
132,1540184,,,,,,,,,,
133,1540184,,,,,,,,,,
134,1540184,,,,,,,,,,
135,1540184,,,,,,,,,,
136,1540184,,,,,,,,,,
137,1540184,,,,,,,,,,
138,1540184,,,,,,,,,,
139,1540184,,,,,,,,,,
140,1540184,,,,,,,,,,
141,1540184,,,,,,,,,,
142,1540184,,,,,,,,,,
143,1540184,,,,,,,,,,
144,1540184,,,,,,,,,,
145,1540184,,,,,,,,,,
146,1540184,,,,,,,,,,
147,1540184,,,,,,,,,,
148,1540184,,,,,,,,,,
149,1540184,,,,,,,,,,
150,1540184,,,,,,,,,,
151,1540184,,,,265182000.0,,,,,,
152,1540184,,,,265182000.0,,,,,,
153,1540184,,,,265182000.0,,,,,,
154,1540184,,,,265182000.0,,,,,,
155,1540184,,,,280184000.0,,,,,,
156,1680581,1.0,0.0,,,,,,Pharmaceuticals,Scientific Research and Development Services,
157,1680581,,,,,,,,,,
158,1680581,,,,,,,,,,
159,1680581,,,,,,,,,,
160,1680581,,,,,,,,,,
161,1680581,,,,,,,,,,
162,1680581,,,,,,,,,,
163,1680581,,,,,,,,,,
164,1680581,,,,,,,,,,
165,1680581,,,,,,,,,,
166,1680581,,,,,,,,,,
167,1680581,,,,,,,,,,
168,1680581,,,,,,,,,,
169,1680581,,,,,,,,,,
170,1680581,,,,,,,,,,
171,1680581,,,,,,,,,,
172,1680581,,,,,,,,,,
173,1680581,,,,,,,,,,
174,1680581,,,,,,,,,,
175,1680581,,,,,,,,,,
176,1680581,,,,,,,,,,
177,1680581,,,,,,,,,,
178,1680581,,,,,,,,,,
179,1680581,,,,,,,,,,
180,1680581,,,,,,,,,,
181,1680581,,,,,,,,,,
182,1680581,,,,,,,,,,
183,1680581,,,,,,,,,,
184,1680581,,,,,,,,,,
185,1680581,,,,,,,,,,
186,1680581,,,,,,,,,,
187,1680581,,,,,,,,,,
188,1680581,,,,,,,,,,
189,1680581,,,,,,,,,,
190,1680581,,,,,,,,,,
191,1680581,,,,,,,,,,
192,1680581,,,,,,,,,,
193,1680581,,,,,,,,,,
194,1680581,,,,,,,,,,
195,1680581,,,,,,,,,,
196,1680581,,,,,,,,,,
197,1680581,,,,,,,,,,
198,1680581,,,,,,,,,,
199,1680581,,,,,,,,,,
200,1680581,,,,,,,,,,
201,1680581,,,,,,,,,,
202,1680581,,,,,,,,,,
203,1680581,,,,,,,,,,
204,1680581,,,,,,,,,,
205,1680581,,,,,,,,,,
206,1680581,,,,,,,,,,
207,1680581,,,,,,,,,,
208,1680581,,,,,,,,,,
209,1680581,,,,,,,,,,
210,1680581,,,,,,,,,,
211,1680581,,,,,,,,,,
212,1680581,,,,,,,,,,
213,1680581,,,,,,,,,,
214,1680581,,,,,,,,,,
215,1680581,,,,,,,,,,
216,1680581,,,,,,,,,,
217,1680581,,,,,,,,,,
218,1680581,,,,,,,,,,
219,1680581,,,,,,,,,,
220,1680581,,,,,,,,,,
221,1680581,,,,,,,,,,
222,1680581,,,,,,,,,,
223,1680581,,,,,,,,,,
224,1680581,,,,,,,,,,
225,1680581,,,,,,,,,,
226,1680581,,,,,,,,,,
227,1680581,,,,,,,,,,
228,1680581,,,,,,,,,,
229,1680581,,,,4340000.0,,,,,,
230,1680581,,,,4340000.0,,,,,,
231,1680581,,,,4340000.0,,,,,,
232,1680581,,,,4340000.0,,,,,,
233,1680581,,,,85771000.0,,,,,,
234,1412408,1.0,0.0,,,,,,Health Care Technology,Software Publishers,
235,1412408,,,,,,,,,,
236,1412408,,,,,,,,,,
237,1412408,,,,,,,,,,
238,1412408,,,,,,,,,,
239,1412408,,,,,,,,,,
240,1412408,,,,,,,,,,
241,1412408,,,,,,,,,,
242,1412408,,,,,,,,,,
243,1412408,,,,,,,,,,
244,1412408,,,,,,,,,,
245,1412408,,,,,,,,,,
246,1412408,,,,,,,,,,
247,1412408,,,,,,,,,,
248,1412408,,,,,,,,,,
249,1412408,,,,,,,,,,
250,1412408,,,,,,,,,,
251,1412408,,,,,,,,,,
252,1412408,,,,,,,,,,
253,1412408,,,,,,,,,,
254,1412408,,,,,,,,,,
255,1412408,,,,,,,,,,
256,1412408,,,,,,,,,,
257,1412408,,,,,,,,,,
258,1412408,,,,,,,,,,
259,1412408,,,,,,,,,,
260,1412408,,,,,,,,,,
261,1412408,,,,,,,,,,
262,1412408,,,,,,,,,,
263,1412408,,,,,,,,,,
264,1412408,,,,,,,,,,
265,1412408,,,,,,,,,,
266,1412408,,,,,,,,,,
267,1412408,,,,,,,,,,
268,1412408,,,,,,,,,,
269,1412408,,,,,,,,,,
270,1412408,,,,,,,,,,
271,1412408,,,,,,,,,,
272,1412408,,,,,,,,,,
273,1412408,,,,,,,,,,
274,1412408,,,,,,,,,,
275,1412408,,,,,,,,,,
276,1412408,,,,,,,,,,
277,1412408,,,,,,,,,,
278,1412408,,,,,,,,,,
279,1412408,,,,,,,,,,
280,1412408,,,,,,,,,,
281,1412408,,,,,,,,,,
282,1412408,,,,,,,,,,
283,1412408,,,,,,,,,,
284,1412408,,,,,,,,,,
285,1412408,,,,,,,,,,
286,1412408,,,,,,,,,,
287,1412408,,,,,,,,,,
288,1412408,,,,,,,,,,
289,1412408,,,,,,,,,,
290,1412408,,,,,,,,,,
291,1412408,,,,,,,,,,
292,1412408,,,,,,,,,,
293,1412408,,,,,,,,,,
294,1412408,,,,,,,,,,
295,1412408,,,,,,,,,,
296,1412408,,,,,,,,,,
297,1412408,,,,,,,,,,
298,1412408,,,,,,,,,,
299,1412408,,,,,,,,,,
300,1412408,,,,,,,,,,
301,1412408,,,,,,,,,,
302,1412408,,,,,,,,,,
303,1412408,,,,,,,,,,
304,1412408,,,,,,,,,,
305,1412408,,,,,,,,,,
306,1412408,,,,,,,,,,
307,1412408,,,,57136320.0,,,,,,
308,1412408,,,,57136320.0,,,,,,
309,1412408,,,,57136320.0,,,,,,
310,1412408,,,,57136320.0,,,,,,
311,1412408,,,,59261500.0,,,,,,
312,1771007,1.0,0.0,,,,,,Diversified Consumer Services,Educational Support Services,
313,1771007,,,,,,,,,,
314,1771007,,,,,,,,,,
315,1771007,,,,,,,,,,
316,1771007,,,,,,,,,,
317,1771007,,,,,,,,,,
318,1771007,,,,,,,,,,
319,1771007,,,,,,,,,,
320,1771007,,,,,,,,,,
321,1771007,,,,,,,,,,
322,1771007,,,,,,,,,,
323,1771007,,,,,,,,,,
324,1771007,,,,,,,,,,
325,1771007,,,,,,,,,,
326,1771007,,,,,,,,,,
327,1771007,,,,,,,,,,
328,1771007,,,,,,,,,,
329,1771007,,,,,,,,,,
330,1771007,,,,,,,,,,
331,1771007,,,,,,,,,,
332,1771007,,,,,,,,,,
333,1771007,,,,,,,,,,
334,1771007,,,,,,,,,,
335,1771007,,,,,,,,,,
336,1771007,,,,,,,,,,
337,1771007,,,,,,,,,,
338,1771007,,,,,,,,,,
339,1771007,,,,,,,,,,
340,1771007,,,,,,,,,,
341,1771007,,,,,,,,,,
342,1771007,,,,,,,,,,
343,1771007,,,,,,,,,,
344,1771007,,,,,,,,,,
345,1771007,,,,,,,,,,
346,1771007,,,,,,,,,,
347,1771007,,,,,,,,,,
348,1771007,,,,,,,,,,
349,1771007,,,,,,,,,,
350,1771007,,,,,,,,,,
351,1771007,,,,,,,,,,
352,1771007,,,,,,,,,,
353,1771007,,,,,,,,,,
354,1771007,,,,,,,,,,
355,1771007,,,,,,,,,,
356,1771007,,,,,,,,,,
357,1771007,,,,,,,,,,
358,1771007,,,,,,,,,,
359,1771007,,,,,,,,,,
360,1771007,,,,,,,,,,
361,1771007,,,,,,,,,,
362,1771007,,,,,,,,,,
363,1771007,,,,,,,,,,
364,1771007,,,,,,,,,,
365,1771007,,,,,,,,,,
366,1771007,,,,,,,,,,
367,1771007,,,,,,,,,,
368,1771007,,,,,,,,,,
369,1771007,,,,,,,,,,
370,1771007,,,,,,,,,,
371,1771007,,,,,,,,,,
372,1771007,,,,,,,,,,
373,1771007,,,,,,,,,,
374,1771007,,,,,,,,,,
375,1771007,,,,,,,,,,
376,1771007,,,,,,,,,,
377,1771007,,,,,,,,,,
378,1771007,,,,,,,,,,
379,1771007,,,,,,,,,,
380,1771007,,,,,,,,,,
381,1771007,,,,,,,,,,
382,1771007,,,,,,,,,,
383,1771007,,,,,,,,,,
384,1771007,,,,,,,,,,
385,1771007,,,,,,,,,,
386,1771007,,,,103625000.0,,,,,,
387,1771007,,,,103625000.0,,,,,,
388,1771007,,,,103625000.0,,,,,,
389,1771007,,,,103625000.0,,,,,,
390,943736,0.0,1.0,,7257000.0,,,,,Medical Equipment and Supplies Manufacturing,
391,943736,,,,7257000.0,,,,,,
392,943736,,,,7257000.0,,,,,,
393,943736,,,,7257000.0,,,,,,
394,943736,,,,8565000.0,,,,,,
395,943736,,,,8565000.0,,,,,,
396,943736,,,,8565000.0,,,,,,
397,943736,,,,8565000.0,,,,,,
398,943736,,,,8259000.0,,,,,,
399,943736,,,,8259000.0,,,,,,
400,943736,,,,8259000.0,,,,,,
401,943736,,,,8259000.0,,,,,,
402,943736,,,,16990000.0,,,,,,
403,943736,,,,16990000.0,,,,,,
404,943736,,,,16990000.0,,,,,,
405,943736,,,,16990000.0,,,,,,
406,943736,,,,28547000.0,,,,,,
407,943736,,,,28547000.0,,,,,,
