,Instrument,"Total Assets, Reported",Tangible Book Value - Reported,Instrument Is Active Flag,Accounts Payable (CF),"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Company Common Name,Bankruptcy Filing Date,Market Value for Company,Net Sales,Tangible Book Value Per Share
0,1354327,,,1.0,,,PGT Innovations Inc,,,,
1,1354327,,,,,,,,,,
2,1354327,,,,,,,,,,
3,1354327,,,,,,,,,,
4,1354327,,,,,,,,,,
5,1354327,,,,,,,,,,
6,1354327,,,,,,,,,,
7,1354327,,,,,,,,,,
8,1354327,,,,,,,,,,
9,1354327,,,,,,,,,,
10,1354327,,,,,,,,,,
11,1354327,,,,,,,,,,
12,1354327,,,,,,,,,,
13,1354327,,,,,,,,,,
14,1354327,,,,,,,,,,
15,1354327,,,,,,,,,222594000.0,
16,1354327,,,,,,,,,222594000.0,
17,1354327,,,,,,,,,222594000.0,
18,1354327,,,,,,,,,222594000.0,
19,1354327,409936000.0,-126521000.0,,,,,,,256394000.0,-5.32855
20,1354327,409936000.0,-126521000.0,,,,,,,256394000.0,-5.32855
21,1354327,409936000.0,-126521000.0,,,,,,,256394000.0,-5.32855
22,1354327,409936000.0,-126521000.0,,,,,,,256394000.0,-5.32855
23,1354327,409936000.0,-126521000.0,,,,,,,256394000.0,-5.32855
24,1354327,425553000.0,-120837000.0,,,,,,,332813000.0,-5.07975
25,1354327,425553000.0,-120837000.0,,,,,,,332813000.0,-5.07975
26,1354327,425553000.0,-120837000.0,,,,,,,332813000.0,-5.07975
27,1354327,425553000.0,-120837000.0,,,,,,,332813000.0,-5.07975
28,1354327,442794000.0,-66360000.0,,,,,,,371598000.0,-2.45786
29,1354327,442794000.0,-66360000.0,,,,,,,371598000.0,-2.45786
30,1354327,442794000.0,-66360000.0,,,,,,,371598000.0,-2.45786
31,1354327,442794000.0,-66360000.0,,,,,,,371598000.0,-2.45786
32,1354327,407865000.0,-55524000.0,,,,,,,278394000.0,-2.01028
33,1354327,407865000.0,-55524000.0,,,,,,,278394000.0,-2.01028
34,1354327,407865000.0,-55524000.0,,,,,,,278394000.0,-2.01028
35,1354327,407865000.0,-55524000.0,,,,,,,278394000.0,-2.01028
36,1354327,200617000.0,1507000.0,,,,,,,218556000.0,0.04282
37,1354327,200617000.0,1507000.0,,,,,,,218556000.0,0.04282
38,1354327,200617000.0,1507000.0,,,,,,,218556000.0,0.04282
39,1354327,200617000.0,1507000.0,,,,,,,218556000.0,0.04282
40,1354327,173630000.0,687000.0,,,,,,,166000000.0,0.01946
41,1354327,173630000.0,687000.0,,,,,,,166000000.0,0.01946
42,1354327,173630000.0,687000.0,,,,,,,166000000.0,0.01946
43,1354327,173630000.0,687000.0,,,,,,,166000000.0,0.01946
44,1354327,169119000.0,18751000.0,,,,,,,175741000.0,0.34948
45,1354327,169119000.0,18751000.0,,,,,,,175741000.0,0.34948
46,1354327,169119000.0,18751000.0,,,,,,,175741000.0,0.34948
47,1354327,169119000.0,18751000.0,,,,,,,175741000.0,0.34948
48,1354327,142835000.0,15532000.0,,,,,,,167276000.0,0.28946
49,1354327,142835000.0,15532000.0,,,,,,,167276000.0,0.28946
50,1354327,142835000.0,15532000.0,,,,,,,167276000.0,0.28946
51,1354327,142835000.0,15532000.0,,,,,,,167276000.0,0.28946
52,1354327,141317000.0,28883000.0,,,,,,,174540000.0,0.54688
53,1354327,141317000.0,28883000.0,,,,,,,174540000.0,0.54688
54,1354327,141317000.0,28883000.0,,,,,,,174540000.0,0.54688
55,1354327,141317000.0,28883000.0,,,,,,,174540000.0,0.54688
56,1354327,156632000.0,10206000.0,,,,,,,239303000.0,0.21775
57,1354327,156632000.0,10206000.0,,,,,,,239303000.0,0.21775
58,1354327,156632000.0,10206000.0,,,,,,,239303000.0,0.21775
59,1354327,156632000.0,10206000.0,,,,,,,239303000.0,0.21775
60,1354327,306589000.0,-75328000.0,,,,,,,306388000.0,-1.57897
61,1354327,306589000.0,-75328000.0,,,,,,,306388000.0,-1.57897
62,1354327,306589000.0,-75328000.0,,,,,,,306388000.0,-1.57897
63,1354327,306589000.0,-75328000.0,,,,,,,306388000.0,-1.57897
64,1354327,344028000.0,-37985000.0,,,,,,,389810000.0,-0.77829
65,1354327,344028000.0,-37985000.0,,,,,,,389810000.0,-0.77829
66,1354327,344028000.0,-37985000.0,,,,,,,389810000.0,-0.77829
67,1354327,344028000.0,-37985000.0,,,,,,,389810000.0,-0.77829
68,1354327,436648000.0,-96138000.0,,,,,,,458550000.0,-1.95498
69,1354327,436648000.0,-96138000.0,,,,,,,458550000.0,-1.95498
70,1354327,436648000.0,-96138000.0,,,,,,,458550000.0,-1.95498
71,1354327,436648000.0,-96138000.0,,,,,,,458550000.0,-1.95498
72,1354327,453119000.0,-47778000.0,,,,,,,511081000.0,-0.9593
73,1354327,453119000.0,-47778000.0,,,,,,,511081000.0,-0.9593
74,1354327,453119000.0,-47778000.0,,,,,,,511081000.0,-0.9593
75,1354327,453119000.0,-47778000.0,,,,,,,511081000.0,-0.9593
76,1354327,862153000.0,-164101000.0,,,,,,,698493000.0,-2.82533
77,1354327,862153000.0,-164101000.0,,,,,,,698493000.0,-2.82533
78,1350620,,,,,,,,,,
79,1163348,,,0.0,,,Allied World Assurance Company Holdings Ltd,,,,
80,1163348,,,,,,,,,,
81,1163348,,,,,,,,,,
82,1163348,,,,,,,,,,
83,1163348,,,,,,,,,,
84,1163348,,,,,,,,,,
85,1163348,,,,,,,,,,
86,1163348,,,,,,,,,,
87,1163348,,,,,,,,,,
88,1163348,,,,,,,,,,
89,1163348,,,,,,,,,,
90,1163348,,,,,,,,,,
91,1163348,,,,,,,,,,
92,1163348,,,,,,,,,,
93,1163348,,,,,,,,,,
94,1163348,,,,14430000.0,,,,,,
95,1163348,,,,14430000.0,,,,,,
96,1163348,,,,14430000.0,,,,,,
97,1163348,,,,14430000.0,,,,,,
98,1163348,5072152000.0,2134601000.0,,7082000.0,,,,,,14.18447
99,1163348,5072152000.0,2134601000.0,,7082000.0,,,,,,14.18447
