Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
29644,1.0,45586000.0,,Donaldson Company Inc,123850000.0,278940000.0,,,29644.0,382621000.0,278940000.0,13608000.0,,1126005000.0,,274395000.0,,,1580330000.0,0.0,,456484000.0,467510000.0,850131000.0,278940000.0,86883000.0,273253000.0,,,Motor Vehicle Parts Manufacturing,278940000.0,1.58797,119827000.0,,,165413000.0,
29644,,67070000.0,,,131765000.0,338062000.0,,,,447393000.0,338062000.0,5795000.0,,1218252000.0,,351769000.0,,,2565770000.0,,,454705000.0,434604000.0,881997000.0,338062000.0,95314000.0,214076000.0,,,,338062000.0,1.81608,52884000.0,,,119954000.0,
29669,1.0,48615000.0,,RR Donnelley & Sons Co,128735000.0,447858000.0,,,29669.0,888407000.0,447858000.0,59138000.0,,5297760000.0,,1569596000.0,-86330000.0,,2467150000.0,0.0,,940194000.0,2497210000.0,3385617000.0,447858000.0,24988000.0,984290000.0,,,Printing and Related Support Activities,447858000.0,11.87737,1001200000.0,,,1049815000.0,
29669,,60543000.0,,,245200000.0,509758000.0,286500000.0,,,914594000.0,509758000.0,6400000.0,,4247200000.0,,1593107000.0,-37200000.0,,3425700000.0,,,866439000.0,2267369000.0,3181963000.0,509758000.0,142200000.0,954730000.0,,,,509758000.0,13.51869,938109000.0,,,998652000.0,
1172358,1.0,23129000.0,,Dorchester Minerals LP,10612000.0,38558000.0,2130000.0,,1172358.0,38870000.0,38558000.0,,,18738000.0,,,45000.0,,155470000.0,0.0,,25918000.0,1233000.0,40103000.0,38558000.0,12963000.0,1233000.0,,,Oil and Gas Extraction,38558000.0,3.58879,-22817000.0,,,0.0,
1172358,,23129000.0,,,10612000.0,38558000.0,2130000.0,,,38870000.0,38558000.0,,,18738000.0,,,45000.0,,524850000.0,,,25918000.0,1233000.0,40103000.0,38558000.0,12963000.0,1233000.0,,,,38558000.0,3.58879,-22817000.0,,,0.0,
351809,0.0,150000.0,,Wind Energy America Inc,-1542000.0,1011000.0,,,351809.0,1011000.0,1011000.0,685000.0,,3514000.0,,-10120000.0,,,330000.0,1.0,,1574000.0,1322000.0,2331000.0,1011000.0,-1591000.0,1044000.0,,,"Electric Power Generation, Transmission and Distribution",1011000.0,0.24228,618000.0,150000.0,,768000.0,
351809,,14000.0,,,-1604000.0,-171000.0,,,,-171000.0,-171000.0,644000.0,,1684000.0,,-11321000.0,,,2420000.0,,,1081000.0,1891000.0,1721000.0,-171000.0,-1201000.0,1661000.0,,,,-171000.0,-0.04091,1351000.0,14000.0,,1365000.0,
29834,0.0,82000.0,,Escalera Resources Co,334000.0,5536000.0,506000.0,,29834.0,5536000.0,5536000.0,,,2578000.0,,879000.0,,,35630000.0,1.0,,397000.0,2136000.0,7673000.0,5536000.0,251000.0,1110000.0,,,Oil and Gas Extraction,5536000.0,1.0841,918000.0,,,1000000.0,
29834,,133000.0,,,-56000.0,6292000.0,501000.0,,,6292000.0,6292000.0,,,1255000.0,,-2146000.0,,,126940000.0,,,1032000.0,5662000.0,11954000.0,6292000.0,-108000.0,1412000.0,,,,6292000.0,0.96481,4117000.0,,,4250000.0,
29905,1.0,176328000.0,,Dover Corp,313882000.0,440015000.0,,,29905.0,2519281000.0,440015000.0,126702000.0,,4223245000.0,,3395293000.0,-61327000.0,,5899680000.0,0.0,,1573345000.0,2104651000.0,4623932000.0,440015000.0,248537000.0,783902000.0,,,Other Fabricated Metal Product Manufacturing,440015000.0,2.17207,898929000.0,,,1075257000.0,
29905,,293824000.0,,,334710000.0,564523000.0,,,,2394834000.0,564523000.0,73129000.0,,4053593000.0,,3164596000.0,-21003000.0,,8050090000.0,,,1604695000.0,2042282000.0,4437116000.0,564523000.0,-121261000.0,668184000.0,,,,564523000.0,2.78911,760236000.0,,,1054060000.0,
1666700,1.0,,,Dupont De Nemours Inc,,,,,1666700.0,,,,,,,,,,,0.0,,,,,,,,,,"Paint, Coating, and Adhesive Manufacturing",,,,,,,
29924,0.0,21026000.0,,Dow Jones & Company Inc,110199000.0,-39806000.0,105713000.0,,29924.0,41777000.0,-39806000.0,,,1773083000.0,,614863000.0,,,,1.0,,245959000.0,1256563000.0,1298340000.0,-39806000.0,98220000.0,601893000.0,,,"Newspaper, Periodical, Book, and Directory Publishers",-39806000.0,-0.47034,156801000.0,,,173958000.0,
29924,,39346000.0,,,75083000.0,-32459000.0,109738000.0,,,30571000.0,-32459000.0,,,1559173000.0,,732720000.0,,,,,,250604000.0,1177088000.0,1207659000.0,-32459000.0,201506000.0,622479000.0,,,,-32459000.0,-0.39625,54152000.0,,,92937000.0,
935063,0.0,,,Downey Financial Corp,,677001000.0,,,935063.0,733896000.0,677001000.0,,,,,640453000.0,,,,1.0,,,10371134000.0,11105030000.0,677001000.0,120181000.0,,,,Depository Credit Intermediation,677001000.0,23.99602,,,,120007000.0,
935063,,,,,,765375000.0,,,,823104000.0,765375000.0,,,,,742622000.0,,,,,,,11158774000.0,11981878000.0,765375000.0,112293000.0,,,,,765375000.0,27.40459,,,,123711000.0,
29989,1.0,516999000.0,,Omnicom Group Inc,968184000.0,-1774425000.0,,,29989.0,2178419000.0,-1774425000.0,,,6889406000.0,,1619874000.0,-88866000.0,,12143760000.0,0.0,,5233824000.0,8438995000.0,10617414000.0,-1774425000.0,503142000.0,6643787000.0,,,"Advertising, Public Relations, and Related Services",-1774425000.0,-4.65414,1190729000.0,,,1549605000.0,
29989,,695881000.0,,,985100000.0,-2379632000.0,,,,2568927000.0,-2379632000.0,,,7536300000.0,,2114506000.0,253000000.0,,16592780000.0,,,5637066000.0,9375151000.0,11944078000.0,-2379632000.0,570500000.0,6839524000.0,,,,-2379632000.0,-6.31532,1507482000.0,,,2030548000.0,
1498301,1.0,242739000.0,,Ascena Retail Group Inc,52233000.0,334253000.0,24631000.0,,1498301.0,334253000.0,334253000.0,-8884000.0,,717136000.0,,279672000.0,4484000.0,,485420000.0,0.0,,359703000.0,128744000.0,462997000.0,334253000.0,36922000.0,128744000.0,,,Clothing Stores,334253000.0,2.28891,-242739000.0,,,0.0,
1498301,,151448000.0,,,7275000.0,217421000.0,22262000.0,,,217421000.0,217421000.0,3023000.0,,707121000.0,,157825000.0,1056000.0,,439390000.0,,,286515000.0,232366000.0,449787000.0,217421000.0,7183000.0,160377000.0,,,,217421000.0,1.86342,-117448000.0,,,34000000.0,
30140,0.0,17076000.0,,LaserCard Corp,2027000.0,31725000.0,,,30140.0,32337000.0,31725000.0,-368000.0,,20889000.0,,-8099000.0,,,130370000.0,1.0,,28118000.0,8376000.0,40713000.0,31725000.0,5199000.0,7501000.0,,,Computer and Peripheral Equipment Manufacturing,31725000.0,3.09794,-17076000.0,,,0.0,
30140,,10117000.0,,,3405000.0,36276000.0,,,,36843000.0,36276000.0,-1163000.0,,26331000.0,,-5817000.0,,,142020000.0,,,21192000.0,3620000.0,40463000.0,36276000.0,2282000.0,3620000.0,,,,36276000.0,3.47365,-10117000.0,,,0.0,
30554,1.0,5848000000.0,,E I du Pont de Nemours and Co,6844000000.0,7308000000.0,1754000000.0,,30554.0,14452000000.0,7308000000.0,-362000000.0,,25370000000.0,,13517000000.0,-408000000.0,,,0.0,,14801000000.0,25867000000.0,40319000000.0,7308000000.0,4339000000.0,8067000000.0,,,Other Chemical Product and Preparation Manufacturing,7308000000.0,7.29378,3627000000.0,,,6814000000.0,
30554,,4143000000.0,,,2124000000.0,4145000000.0,218000000.0,,944975.0,9063000000.0,4145000000.0,-476000000.0,,24522000000.0,,10619000000.0,-158000000.0,,45897250000.0,,,13459000000.0,25558000000.0,34621000000.0,4145000000.0,-1103000000.0,7096000000.0,,,,4145000000.0,4.17027,5349000000.0,,,6832000000.0,
30554,,,,,,,,,885922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
