Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1379009,39801000000.0,,Lessors of Real Estate,0.0,0.0,6195000000.0,63583000000.0,23590000000.0,78729000000.0,Gazit Globe Ltd,1379009.0,8158000000.0,7343000000.0,7343000000.0,3180000000.0,7343000000.0,1828000000.0,7229550000.0,37.55697,2841000000.0,1674000000.0,1.0,7343000000.0,86887000000.0,22000000.0,13179000000.0
1270484,11514000.0,6589000.0,Computer and Peripheral Equipment Manufacturing,-21489000.0,1.0,,-112899000.0,238907000.0,64993000.0,Verifone Israel Ltd,1270484.0,260049000.0,194195000.0,194195000.0,20084000.0,194195000.0,124413000.0,,7.12564,235400000.0,26515000.0,0.0,194195000.0,325042000.0,2223000.0,49085000.0
1698287,302436000000.0,,Depository Credit Intermediation,,0.0,73941000000.0,,,1266279000000.0,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santander,1698287.0,107235000000.0,107235000000.0,107235000000.0,15750000000.0,107235000000.0,,194972800000.0,15.80147,,,1.0,107235000000.0,1373514000000.0,,
1337117,3000.0,5884000.0,Investigation and Security Services,-1424000.0,0.0,71717000.0,-25540000.0,115223000.0,75790000.0,Ituran Location and Control Ltd,1337117.0,102229000.0,98800000.0,98800000.0,34728000.0,98800000.0,31485000.0,717110000.0,4.20866,199574000.0,48938000.0,1.0,98800000.0,178019000.0,,56127000.0
1119775,5264860.0,,Aerospace Product and Parts Manufacturing,,1.0,-101870020.0,4784190.0,717670.0,21072100.0,Metal Storm Ltd,1119775.0,-19991690.0,-19991690.0,-19991690.0,,-19991690.0,480670.0,5720000.0,-0.00718,511150.0,-6033220.0,0.0,-19991690.0,1080420.0,,20157000.0
1119775,,,,,,,,,,,1163576.0,,,,,,,,,,,,,,,
1579695,20753000.0,2313000.0,Scientific Research and Development Services,,1.0,-161698000.0,-58291000.0,80061000.0,37982000.0,Biotie Therapies Ltd,1579695.0,105720000.0,46686000.0,46686000.0,-28323000.0,46686000.0,79044000.0,285220000.0,0.04772,3736000.0,-29296000.0,0.0,46686000.0,143702000.0,283000.0,4990000.0
1619762,7925304000.0,-22855000.0,Gambling Industries,-76321000.0,0.0,38067000.0,8211317000.0,2289566000.0,11991463000.0,International Game Technology PLC,1619762.0,3068699000.0,-6615344000.0,-6615344000.0,264207000.0,-6615344000.0,294094000.0,5362570000.0,-32.70306,5153896000.0,660436000.0,1.0,-6615344000.0,15060162000.0,,2341791000.0
1166272,0.0,,Medical and Diagnostic Laboratories,,0.0,-113092480.0,-10991630.0,11631650.0,1529250.0,Genetic Technologies Ltd,1166272.0,10579040.0,10579040.0,10579040.0,,10579040.0,10991630.0,31660000.0,0.00405,518510.0,-8403820.0,1.0,10579040.0,12108300.0,,1465290.0
1661920,207522000.0,-220000.0,Oil and Gas Extraction,,0.0,-70351000.0,201454000.0,16823000.0,288656000.0,Lonestar Resources US Inc,1661920.0,159561000.0,159561000.0,159561000.0,-98700000.0,159561000.0,6068000.0,97290000.0,7.31193,57972000.0,-64507000.0,1.0,159561000.0,448217000.0,51995000.0,32755000.0
1660046,365860.0,,Pharmaceutical and Medicine Manufacturing,,0.0,-47058070.0,-3629060.0,8267650.0,1711570.0,Immuron Ltd,1660046.0,6574930.0,6574930.0,6574930.0,,6574930.0,3994920.0,24950000.0,0.05056,2979900.0,-6804150.0,1.0,6574930.0,8286490.0,4920.0,1711570.0
1660046,,,,,,,,,,,1416282.0,,,,,,,,,,,,,,,
