,Instrument,Tangible Book Value - Utility,Market Capitalisation,Stock Price,Retained Earnings (Accumulated Deficit),"Working Capital, Period over Period Average (Pvt)",Tangible Book Value - Banks,Has Filed For Bankruptcy,Earnings Before Interest & Taxes (EBIT) (Pvt),"Working Capital, Period over Period % Change (Pvt)",Tangible Book Value - Insurance
0,803014,702609000.0,,,282764000.0,,702609000.0,,,,702609000.0
1,803014,702609000.0,,,282764000.0,,702609000.0,,,,702609000.0
2,803014,702609000.0,,,282764000.0,,702609000.0,,,,702609000.0
3,803014,702609000.0,,,282764000.0,,702609000.0,,,,702609000.0
4,803014,1207840000.0,,,520144000.0,,1207840000.0,,,,1207840000.0
5,803014,1207840000.0,,,520144000.0,,1207840000.0,,,,1207840000.0
6,803014,1207840000.0,,,520144000.0,,1207840000.0,,,,1207840000.0
7,803014,1207840000.0,,,520144000.0,,1207840000.0,,,,1207840000.0
8,803014,1577095000.0,,,574763000.0,,1577095000.0,,,,1577095000.0
9,803014,1577095000.0,,,574763000.0,,1577095000.0,,,,1577095000.0
10,803014,1577095000.0,,,574763000.0,,1577095000.0,,,,1577095000.0
11,803014,1577095000.0,,,574763000.0,,1577095000.0,,,,1577095000.0
12,803014,1509582000.0,,,445285000.0,,1509582000.0,,,,1509582000.0
13,803014,1509582000.0,,,445285000.0,,1509582000.0,,,,1509582000.0
14,803014,1509582000.0,,,445285000.0,,1509582000.0,,,,1509582000.0
15,803014,1509582000.0,,,445285000.0,,1509582000.0,,,,1509582000.0
16,803014,1639722000.0,,,439899000.0,,1639722000.0,,,,1639722000.0
17,803014,1639722000.0,,,439899000.0,,1639722000.0,,,,1639722000.0
18,803014,1639722000.0,,,439899000.0,,1639722000.0,,,,1639722000.0
19,803014,1639722000.0,,,439899000.0,,1639722000.0,,,,1639722000.0
20,803014,1776367000.0,,,497229000.0,,1776367000.0,,,,1776367000.0
21,803014,1776367000.0,,,497229000.0,,1776367000.0,,,,1776367000.0
22,803014,1776367000.0,,,497229000.0,,1776367000.0,,,,1776367000.0
23,803014,1776367000.0,,,497229000.0,,1776367000.0,,,,1776367000.0
24,803014,1290087000.0,,,-176011000.0,,1290087000.0,,,,1290087000.0
25,803014,1290087000.0,,,-176011000.0,,1290087000.0,,,,1290087000.0
26,803014,1290087000.0,,,-176011000.0,,1290087000.0,,,,1290087000.0
27,803014,1290087000.0,,,-176011000.0,,1290087000.0,,,,1290087000.0
28,803014,853278000.0,,,-489869000.0,,853278000.0,,,,853278000.0
29,803014,853278000.0,,,-489869000.0,,853278000.0,,,,853278000.0
30,803014,853278000.0,,,-489869000.0,,853278000.0,,,,853278000.0
31,803014,853278000.0,,,-489869000.0,,853278000.0,,,,853278000.0
32,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
33,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
34,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
35,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
36,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
37,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
38,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
39,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
40,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
41,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
42,803014,-426678000.0,,,-937454000.0,,-426678000.0,,,,-426678000.0
43,803014,-576921000.0,,,-1303281000.0,,-576921000.0,,,,-576921000.0
44,803014,-771192000.0,,,-1575316000.0,,-771192000.0,,,,-771192000.0
45,803014,-757463000.0,,,-1707638000.0,,-757463000.0,,,,-757463000.0
46,803014,-757463000.0,,,-1707638000.0,,-757463000.0,,,,-757463000.0
47,803014,-757463000.0,,,-1707638000.0,,-757463000.0,,,,-757463000.0
48,803014,-757463000.0,,,-1707638000.0,,-757463000.0,,,,-757463000.0
49,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
50,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
51,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
52,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
53,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
54,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
55,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
56,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
57,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
58,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
59,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
60,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
61,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
62,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
63,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
64,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
65,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
66,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
67,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
68,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
69,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
70,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
71,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
72,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
73,803014,-831405000.0,,,-1766364000.0,,-831405000.0,,,,-831405000.0
