Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-02-09,11.2,11.0,11.0,11.2,,146981.0
2006-02-10,11.15,11.15,11.1,11.1,,43204.0
2006-02-13,11.2,11.05,11.05,11.15,,80085.0
2006-02-14,11.3,11.15,11.15,11.25,,37175.0
2006-02-15,11.3,11.29,11.22,11.22,,29350.0
2006-02-16,11.3,11.29,11.21,11.29,,26052.0
2006-02-17,11.34,11.26,11.21,11.29,,30237.0
2006-02-20,11.3,11.27,11.27,11.27,,21240.0
2006-02-21,11.28,11.28,11.05,11.05,,24134.0
2006-02-22,11.33,11.3,11.25,11.28,,34024.0
2006-02-23,11.34,11.3,11.25,11.3,,43550.0
2006-02-24,11.55,11.44,11.3,11.33,,95545.0
2006-02-27,11.55,11.4,11.35,11.44,,39579.0
2006-02-28,11.45,11.4,11.35,11.45,,29350.0
2006-03-01,11.45,11.4,11.35,11.4,,34991.0
2006-03-02,11.5,11.44,11.4,11.45,,33553.0
2006-03-03,11.5,11.41,11.4,11.45,,24115.0
2006-03-06,11.58,11.45,11.41,11.42,,27798.0
2006-03-07,11.53,11.4,11.4,11.45,,23150.0
2006-03-08,11.5,11.5,11.4,11.4,,24005.0
2006-03-09,11.58,11.52,11.45,11.51,,44600.0
2006-03-10,11.6,11.57,11.4,11.6,,31082.0
2006-03-13,11.6,11.6,11.51,11.55,,17144.0
2006-03-14,11.6,11.55,11.5,11.55,,50870.0
2006-03-15,11.7,11.54,11.5,11.7,,36326.0
2006-03-16,11.54,11.5,11.46,11.53,,17480.0
2006-03-17,11.6,11.49,11.43,11.59,,32269.0
2006-03-20,11.49,11.45,11.4,11.49,,26060.0
2006-03-21,11.5,11.49,11.4,11.49,,32391.0
2006-03-22,11.49,11.49,11.41,11.41,,8520.0
2006-03-23,11.49,11.44,11.4,11.49,,13237.0
2006-03-24,11.49,11.49,11.4,11.4,,6914.0
2006-03-27,11.49,11.49,11.37,11.45,,10205.0
2006-03-28,11.49,11.45,11.4,11.49,,13910.0
2006-03-29,11.45,11.4,11.4,11.4,,4375.0
2006-03-30,11.4,11.3,11.3,11.4,,13523.0
2006-03-31,11.38,11.38,11.35,11.35,,15585.0
2006-04-03,11.45,11.4,11.35,11.38,,8444.0
2006-04-04,11.45,11.4,11.3,11.45,,13712.0
2006-04-05,11.44,11.4,11.3,11.35,,14041.0
2006-04-06,11.4,11.17,11.15,11.3,,30096.0
2006-04-07,11.35,11.25,11.17,11.25,,23859.0
2006-04-10,11.45,11.45,11.25,11.25,,10565.0
2006-04-11,11.4,11.2,11.15,11.4,,19484.0
2006-04-12,11.4,11.28,11.25,11.4,,8685.0
2006-04-13,11.3,11.25,11.15,11.25,,10875.0
2006-04-17,11.28,11.28,11.2,11.2,,2740.0
2006-04-18,11.2,11.12,11.0,11.05,,20857.0
2006-04-19,10.9,10.9,10.5,10.5,,36078.0
2006-04-20,11.06,11.05,10.9,10.9,,24766.0
2006-04-21,11.05,11.05,11.05,11.05,,3979.0
2006-04-24,11.15,10.85,10.85,11.05,,16899.0
2006-04-25,10.9,10.9,10.75,10.75,,10650.0
2006-04-26,10.9,10.8,10.8,10.8,,10996.0
2006-04-27,10.9,10.85,10.75,10.88,,14290.0
2006-04-28,11.0,11.0,10.88,10.88,,5225.0
2006-05-01,11.0,10.9,10.77,10.8,,11141.0
2006-05-02,11.1,10.9,10.9,10.9,,7706.0
2006-05-03,10.9,10.65,10.65,10.9,,17145.0
2006-05-04,10.75,10.75,10.4,10.55,,16465.0
2006-05-05,10.95,10.95,10.6,10.7,,5024.0
2006-05-08,10.9,10.68,10.5,10.9,,6600.0
2006-05-09,10.68,10.37,10.37,10.65,,14650.0
2006-05-10,10.4,10.1,10.1,10.37,,25198.0
2006-05-11,10.1,9.9,9.9,9.9,,35988.0
2006-05-12,10.25,9.95,9.9,9.9,,30686.0
2006-05-15,10.03,10.03,9.9,9.91,,19733.0
2006-05-16,10.4,10.3,9.7,9.8,,31111.0
2006-05-17,10.23,10.23,10.1,10.2,,10659.0
2006-05-18,10.35,10.22,10.1,10.1,,22400.0
2006-05-19,10.4,10.0,10.0,10.23,,44235.0
2006-05-23,10.35,10.0,9.9,10.35,,10087.0
2006-05-24,9.98,9.9,9.75,9.91,,15900.0
2006-05-25,10.0,9.92,9.88,9.97,,25108.0
2006-05-26,10.13,10.0,10.0,10.0,,8115.0
2006-05-29,10.13,9.82,9.82,10.13,,18496.0
2006-05-30,9.98,9.7,9.7,9.9,,31052.0
2006-05-31,9.98,9.8,9.75,9.8,,12900.0
