Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,5.5,5.125,4.96875,5.0,29900.0
2000-01-04,5.625,4.875,4.75,5.375,30200.0
2000-01-05,5.375,5.3125,4.9375,4.9375,28700.0
2000-01-06,5.625,5.125,5.125,5.4375,47200.0
2000-01-07,5.375,5.0,4.9375,5.0,11900.0
2000-01-10,5.1875,5.125,4.625,4.9375,16900.0
2000-01-11,5.25,5.25,5.0,5.25,25600.0
2000-01-12,5.5,5.0,4.875,4.875,13700.0
2000-01-13,5.25,5.25,4.875,5.0,26500.0
2000-01-14,5.625,5.40625,4.875,5.25,60400.0
2000-01-18,6.4375,6.375,5.40625,5.625,164900.0
2000-01-19,6.625,6.0,6.0,6.4375,97000.0
2000-01-20,6.1875,5.375,5.3125,6.0,59700.0
2000-01-21,6.0625,5.6875,5.25,5.5,139900.0
2000-01-24,6.0625,5.6875,5.5,5.6875,77500.0
2000-01-25,6.0,5.25,5.0,5.71875,56600.0
2000-01-26,5.25,4.875,4.875,5.25,54600.0
2000-01-27,5.0,4.5,4.5,4.75,83700.0
2000-01-28,4.6875,4.375,4.0,4.5625,53900.0
2000-01-31,4.4375,4.21875,4.0,4.0,46500.0
2000-02-01,4.5,4.375,4.1875,4.21875,38900.0
2000-02-02,5.25,5.0,4.375,4.5,39800.0
2000-02-03,6.0625,5.5,4.9375,4.9375,245100.0
2000-02-04,5.625,5.3125,5.0,5.5,65100.0
2000-02-07,5.125,4.78125,4.78125,4.9375,40200.0
2000-02-08,5.0625,5.0,4.78125,5.0,46400.0
2000-02-09,4.9375,4.875,4.25,4.75,64400.0
2000-02-10,4.875,4.8125,4.3125,4.875,30800.0
2000-02-11,4.8125,4.5625,4.5,4.8125,58500.0
2000-02-14,4.625,4.375,4.1875,4.5,106200.0
2000-02-15,4.5,4.28125,4.125,4.125,21500.0
2000-02-16,4.5,4.0,3.875,4.25,77300.0
2000-02-17,4.0625,3.625,3.5,4.0,150600.0
2000-02-18,3.875,3.625,3.4375,3.625,74200.0
2000-02-22,3.6875,3.6875,3.3125,3.375,32800.0
2000-02-23,3.875,3.75,3.5,3.625,35400.0
2000-02-24,4.375,4.1875,3.75,3.8125,74100.0
2000-02-25,4.125,4.125,3.75,4.0625,79900.0
2000-02-28,9.0,7.125,4.09375,4.375,2807700.0
2000-02-29,14.375,11.0,8.0,9.1875,3698800.0
