Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2010-07-22,10.9,10.17,10.15,10.25,,3445546.0
2010-07-23,10.35,10.06,10.0,10.3,,845584.0
2010-07-26,10.07,9.93,9.34,10.04,,398986.0
2010-07-27,10.1,10.0,9.56,9.88,,375107.0
2010-07-28,10.08,10.0,9.8,10.06,,269850.0
2010-07-29,10.16,10.15,9.99,10.0,,166623.0
2010-07-30,10.16,10.0,9.95,10.16,,76703.0
2010-08-02,10.15,10.13,10.0,10.0,,73266.0
2010-08-03,10.07,10.0,10.0,10.01,,80617.0
2010-08-04,10.07,10.07,9.9,9.95,,138062.0
2010-08-05,10.05,10.0,10.0,10.0,,103855.0
2010-08-06,10.03,10.0,9.95,10.0,,119232.0
2010-08-09,10.05,10.0,9.9,10.0,,55839.0
2010-08-10,10.1,10.0,10.0,10.0,,137078.0
2010-08-11,10.1,10.09,10.0,10.03,,47132.0
2010-08-12,10.25,10.11,10.046,10.1,,74050.0
2010-08-13,10.05,10.0,10.0,10.04,,18900.0
2010-08-16,10.1,10.03,10.0,10.02,,22413.0
2010-08-17,10.1,10.05,10.0,10.0,,42365.0
2010-08-18,10.1,10.05,9.95,9.95,,37474.0
2010-08-19,10.15,10.1,9.99,10.0,,153412.0
2010-08-20,11.7398,11.23,10.08,10.15,,415529.0
2010-08-23,12.33,11.5,11.34,11.58,,370256.0
2010-08-24,12.0,11.59,11.0,11.5,,112048.0
2010-08-25,11.67,11.55,11.17,11.48,,64193.0
2010-08-26,11.55,10.95,10.635,11.38,,143188.0
2010-08-27,11.31,11.25,10.8,10.8,,51813.0
2010-08-30,11.96,11.44,11.2425,11.25,,129509.0
2010-08-31,12.39,12.18,11.4,11.57,,497728.0
2010-09-01,12.45,11.87,11.79,12.44,,157238.0
2010-09-02,12.45,12.25,11.55,11.95,,103371.0
2010-09-03,13.18,12.94,12.1,12.25,,242379.0
2010-09-07,12.88,12.71,12.6,12.85,,64019.0
2010-09-08,13.19,12.8,12.53,12.8,,97686.0
2010-09-09,13.269,13.05,12.6,12.87,,122119.0
2010-09-10,13.39,13.13,12.91,13.2,,137292.0
2010-09-13,14.1,14.0,13.17,13.4,,112482.0
2010-09-14,14.17,13.74,13.64,14.17,,157213.0
2010-09-15,13.88,13.65,13.35,13.77,,83128.0
2010-09-16,13.83,13.15,12.55,13.5,,229309.0
2010-09-17,13.21,13.0,12.69,13.15,,60468.0
2010-09-20,13.065,12.96,12.9,13.0,,15687.0
2010-09-21,13.0,12.23,12.23,13.0,,56041.0
2010-09-22,12.14,11.76,11.64,12.1,,66977.0
2010-09-23,11.78,11.51,11.41,11.78,,50201.0
2010-09-24,11.99,11.744,11.42,11.52,,69434.0
2010-09-27,11.82,11.46,11.1,11.82,,100015.0
2010-09-28,11.88,11.85,11.42,11.42,,77448.0
2010-09-29,13.12,12.5,11.825,11.85,,198209.0
2010-09-30,12.78,11.9,11.88,12.58,,770200.0
2010-10-01,12.3,12.3,11.85,11.9,,139758.0
2010-10-04,12.32,11.93,11.71,12.32,,49235.0
2010-10-05,12.2198,12.1,11.72,12.06,,76758.0
2010-10-06,12.25,12.19,11.96,12.07,,85042.0
2010-10-07,12.24,12.11,12.06,12.22,,23288.0
2010-10-08,12.23,12.18,12.09,12.11,,21184.0
2010-10-11,12.43,12.26,12.13,12.21,,22457.0
2010-10-12,12.75,12.72,12.2,12.22,,48309.0
2010-10-13,12.95,12.95,12.54,12.75,,94631.0
2010-10-14,12.97,12.56,12.52,12.97,,26624.0
2010-10-15,12.6799,12.53,12.47,12.66,,34504.0
2010-10-18,13.0,12.97,12.26,12.51,,38882.0
2010-10-19,13.0,12.82,12.736,12.85,,55395.0
2010-10-20,13.0,12.9,12.83,12.93,,22939.0
2010-10-21,12.99,12.51,12.4,12.97,,30217.0
2010-10-22,12.635,12.59,12.46,12.56,,12497.0
2010-10-25,12.89,12.8,12.54,12.65,,16349.0
2010-10-26,12.74,12.39,12.29,12.74,,21699.0
2010-10-27,12.51,12.5,12.0,12.29,,33768.0
2010-10-28,12.53,12.3,12.12,12.52,,28562.0
2010-10-29,13.75,13.12,12.39,12.39,,296948.0
2010-11-01,13.5,12.37,12.2,13.1,,188391.0
2010-11-02,12.7,12.65,12.22,12.48,,72670.0
2010-11-03,12.71,12.3,12.24,12.69,,611442.0
2010-11-04,12.44,12.19,11.6,12.44,,133523.0
2010-11-05,12.25,11.87,11.85,12.23,,504461.0
2010-11-08,12.0519,11.68,11.62,11.9,,118553.0
2010-11-09,11.9,11.77,11.51,11.59,,84044.0
2010-11-10,12.22,12.02,11.87,12.1,,120136.0
2010-11-11,12.15,12.07,11.99,12.1,,63413.0
2010-11-12,12.06,11.93,11.81,11.98,,37856.0
2010-11-15,11.945,11.88,11.78,11.9,,34694.0
2010-11-16,11.77,11.59,11.51,11.77,,35039.0
2010-11-17,12.15,12.0,11.65,11.65,,95397.0
2010-11-18,12.41,12.26,12.05,12.15,,70604.0
2010-11-19,12.34,12.29,12.16,12.28,,59080.0
2010-11-22,13.25,12.97,12.62,13.05,,295786.0
2010-11-23,12.95,12.86,12.7,12.9,,73864.0
2010-11-24,13.0,13.0,12.85,12.9,,86936.0
2010-11-26,13.0,12.96,12.8,12.95,,20912.0
2010-11-29,13.0,12.87,12.711,12.97,,57384.0
2010-11-30,13.0,12.95,12.7001,12.86,,63631.0
2010-12-01,13.12,12.89,12.75,13.12,,59791.0
2010-12-02,13.0,12.9,12.79,12.83,,63767.0
2010-12-03,13.17,13.05,12.85,12.85,,100752.0
2010-12-06,13.45,13.29,12.9501,13.09,,191453.0
2010-12-07,13.4,13.05,13.0,13.4,,60936.0
2010-12-08,13.09,12.91,12.8,13.09,,45175.0
2010-12-09,13.09,13.0,12.76,12.98,,30829.0
2010-12-10,13.34,13.15,12.96,13.05,,42604.0
2010-12-13,13.26,12.93,12.92,13.16,,54538.0
2010-12-14,13.08,12.96,12.95,13.02,,65520.0
2010-12-15,13.17,12.84,12.81,12.97,,36288.0
2010-12-16,13.0,12.9,12.77,12.84,,47416.0
2010-12-17,13.08,12.95,12.9,12.93,,120894.0
2010-12-20,13.35,13.34,12.82,12.97,,165166.0
2010-12-21,13.3979,13.16,13.0401,13.35,,51125.0
2010-12-22,13.37,13.3,13.1,13.21,,36105.0
2010-12-23,13.28,13.2,13.1,13.28,,24645.0
2010-12-27,13.3,13.14,13.08,13.2,,27986.0
2010-12-28,13.045,12.99,12.9301,13.03,,25606.0
2010-12-29,14.33,14.09,13.3,13.41,,775296.0
2010-12-30,14.88,14.39,14.0343,14.08,,1900755.0
2010-12-31,14.73,14.36,14.3,14.41,,183059.0
2011-01-03,15.51,15.5,14.43,14.43,,398461.0
