Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-02-12,11.5,10.8,10.51,11.5,2482.0,649965.0
2019-02-13,10.9,9.15,8.72,10.9,660.0,128064.0
2019-02-14,9.2,9.2,8.772,9.18,335.0,56642.0
2019-02-15,9.44,9.3,8.91,9.2,201.0,30740.0
2019-02-19,9.3,9.0,8.73,9.3,109.0,22362.0
2019-02-20,9.05,8.9,8.74,9.05,52.0,7848.0
2019-02-21,9.25,9.05,8.9455,9.16,62.0,9781.0
2019-02-22,9.25,9.06,8.75,9.25,61.0,10696.0
2019-02-25,9.01,8.39,8.39,9.01,183.0,39489.0
2019-02-26,8.4,8.2,8.11,8.4,111.0,16652.0
2019-02-27,8.3898,7.99,7.3276,8.3,103.0,15827.0
2019-02-28,8.12,8.0,7.97,8.0501,94.0,13117.0
2019-03-01,8.0,7.985,7.91,7.92,53.0,8501.0
2019-03-04,8.11,8.01,7.9279,8.1,101.0,16725.0
2019-03-05,8.05,7.9808,7.67,8.05,45.0,7244.0
2019-03-06,8.03,7.79,7.79,8.0,112.0,17968.0
2019-03-07,8.05,7.835,7.68,8.02,125.0,20489.0
2019-03-08,7.715,7.715,7.54,7.66,46.0,10347.0
2019-03-11,7.9243,7.6888,7.6809,7.9,11.0,3533.0
2019-03-12,7.772,7.7,7.7,7.73,16.0,3099.0
2019-03-13,7.72,7.56,7.37,7.69,63.0,10574.0
2019-03-14,7.51,7.2,6.7348,7.51,102.0,18641.0
2019-03-15,7.112,6.99,6.53,7.0,177.0,51053.0
2019-03-18,7.2,7.05,6.75,6.98,197.0,46863.0
2019-03-19,7.0999,7.0,6.7103,7.03,45.0,7198.0
2019-03-20,6.84,6.75,6.6802,6.84,30.0,5101.0
2019-03-21,6.869,6.869,6.6824,6.75,10.0,1737.0
2019-03-22,6.96,6.96,6.8,6.96,74.0,10202.0
2019-03-25,7.05,7.0,6.76,7.05,70.0,9846.0
2019-03-26,6.75,6.75,6.68,6.6892,12.0,1913.0
2019-03-27,7.46,7.09,6.68,6.86,290.0,60040.0
2019-03-28,7.04,7.0,6.4561,6.68,289.0,47769.0
2019-03-29,6.98,6.795,6.6701,6.98,68.0,11907.0
2019-04-01,6.98,6.96,6.75,6.92,36.0,3182.0
2019-04-02,6.9251,6.69,5.85,6.9251,32.0,6745.0
2019-04-03,7.2,6.9,6.8,6.98,53.0,8196.0
2019-04-04,6.95,6.6,6.26,6.6137,83.0,22743.0
2019-04-05,7.0275,6.5001,6.5,6.5001,21.0,2597.0
2019-04-08,6.87,6.855,6.6,6.87,32.0,9407.0
2019-04-09,6.845,6.52,6.29,6.81,94.0,16923.0
2019-04-10,6.67,6.67,6.3,6.46,28.0,6082.0
2019-04-11,6.706,6.36,6.29,6.57,30.0,7838.0
2019-04-12,6.5732,6.3,6.3,6.5732,32.0,5040.0
2019-04-15,6.3,6.26,6.26,6.3,13.0,1279.0
2019-04-16,6.7194,6.64,6.13,6.25,23.0,3093.0
2019-04-17,6.44,5.99,5.92,6.44,48.0,9765.0
2019-04-18,6.4,6.1,5.8,6.0,194.0,30247.0
2019-04-22,5.99,5.78,5.71,5.81,23.0,1820.0
2019-04-23,6.26,5.86,5.672,6.18,64.0,9198.0
2019-04-24,5.84,5.8,5.7507,5.7507,5.0,1170.0
2019-04-25,5.8622,5.8622,5.695,5.7,7.0,3443.0
2019-04-26,5.99,5.86,5.7,5.7,8.0,1076.0
2019-04-29,6.1999,5.96,5.96,6.09,18.0,2623.0
2019-04-30,5.86,5.825,5.8,5.8,20.0,6246.0
2019-05-01,6.1719,6.0,5.62,5.73,12.0,2137.0
2019-05-02,5.996,5.996,5.972,5.972,3.0,213.0
2019-05-03,6.6619,5.73,5.6,5.6,26.0,3883.0
2019-05-06,,,,,5.0,209.0
2019-05-07,5.95,5.95,5.88,5.88,7.0,830.0
2019-05-08,5.95,5.9219,5.6,5.95,18.0,3115.0
2019-05-09,5.66,5.54,5.52,5.66,26.0,3147.0
2019-05-10,,,,,85.0,426.0
2019-05-13,5.7,5.7,5.53,5.54,10.0,937.0
2019-05-14,5.6623,5.6488,5.54,5.5677,20.0,3860.0
2019-05-15,5.6532,5.6532,5.31,5.55,21.0,1606.0
2019-05-16,5.6499,5.6299,5.35,5.6499,17.0,3877.0
2019-05-17,5.6135,5.291,5.291,5.6135,40.0,10041.0
2019-05-20,5.4464,5.15,5.15,5.3275,26.0,3956.0
2019-05-21,5.5683,5.4399,5.3768,5.5683,7.0,1502.0
2019-05-22,5.2411,5.2411,5.22,5.22,8.0,1150.0
2019-05-23,5.25,5.02,4.91,5.25,33.0,4486.0
2019-05-24,4.99,4.95,4.95,4.98,8.0,1866.0
2019-05-28,4.9,4.7954,4.7299,4.9,13.0,2474.0
2019-05-29,5.2,4.91,4.51,4.75,45.0,20852.0
2019-05-30,5.02,4.98,4.495,4.67,54.0,23476.0
2019-05-31,5.0,5.0,5.0,5.0,10.0,208.0
2019-06-03,4.9673,4.9,4.6922,4.6922,16.0,2252.0
2019-06-04,4.9329,4.8,4.62,4.9329,38.0,6390.0
2019-06-05,5.0,4.97,4.7,5.0,22.0,4909.0
2019-06-06,4.6575,4.64,4.554,4.554,47.0,1856.0
2019-06-07,4.59,4.59,4.221,4.221,7.0,3026.0
2019-06-10,4.66,4.65,4.4846,4.4846,9.0,1748.0
2019-06-11,4.45,4.31,4.3,4.45,29.0,4871.0
2019-06-12,4.21,3.86,3.7703,4.21,56.0,19074.0
2019-06-13,4.59,4.3789,4.3,4.59,42.0,7770.0
2019-06-14,4.71,4.25,4.25,4.69,20.0,3423.0
2019-06-17,4.3,4.3,4.26,4.27,6.0,650.0
2019-06-18,4.8177,4.6,4.09,4.5399,20.0,4101.0
2019-06-20,4.9,4.5,4.5,4.75,27.0,10298.0
2019-06-21,4.558,4.5,4.4,4.5,14.0,1121.0
2019-06-24,4.4594,4.45,4.15,4.19,14.0,1725.0
2019-06-25,4.72,4.25,4.24,4.72,7.0,445.0
2019-06-26,4.45,4.29,4.29,4.29,21.0,4032.0
2019-06-27,4.49,4.44,3.85,4.15,29.0,8745.0
2019-06-28,4.48,4.48,4.351,4.405,13.0,1611.0
2019-07-01,4.55,4.48,4.39,4.55,9.0,1024.0
2019-07-02,4.55,4.2599,3.8516,3.8516,13.0,2565.0
2019-07-03,4.492,4.476,4.26,4.2601,15.0,3216.0
2019-07-05,4.46,4.4515,4.4061,4.4061,7.0,1045.0
2019-07-08,,,,,3.0,74.0
2019-07-09,4.55,4.42,4.2,4.55,33.0,5433.0
2019-07-10,4.74,4.56,4.56,4.74,36.0,7627.0
2019-07-11,4.65,4.55,4.4,4.51,22.0,11952.0
2019-07-12,4.64,4.6399,4.52,4.52,10.0,780.0
2019-07-15,4.64,4.3,4.3,4.64,7.0,957.0
2019-07-16,4.5,4.23,4.205,4.5,24.0,1097.0
2019-07-17,,,,,2.0,100.0
2019-07-18,4.34,4.3,4.18,4.25,22.0,2011.0
2019-07-19,4.2501,4.2499,4.04,4.23,38.0,5305.0
2019-07-22,4.5299,4.5299,4.2501,4.35,6.0,1002.0
2019-07-23,4.39,4.1,3.85,4.25,245.0,46853.0
2019-07-24,4.1217,3.82,3.7132,4.1217,127.0,33411.0
2019-07-25,3.8099,3.6,3.28,3.7,79.0,14099.0
2019-07-26,3.79,3.58,3.375,3.78,28.0,4914.0
2019-07-29,3.58,3.35,3.3,3.58,67.0,15420.0
2019-07-30,3.4535,3.155,3.06,3.4535,128.0,25822.0
2019-07-31,3.17,2.97,2.7851,3.1328,460.0,86676.0
2019-08-01,2.99,2.83,2.73,2.9,34.0,4520.0
2019-08-02,3.49,3.19,2.75,2.85,575.0,99056.0
2019-08-05,3.33,3.25,2.73,3.15,301.0,75847.0
2019-08-06,3.25,3.005,2.86,3.25,106.0,19720.0
2019-08-07,3.18,3.15,2.9429,3.1,42.0,10390.0
2019-08-08,3.14,2.81,2.8001,3.03,126.0,37435.0
2019-08-09,2.8758,2.7199,2.529,2.8001,103.0,18675.0
2019-08-12,2.8,2.57,2.57,2.73,69.0,18128.0
2019-08-13,2.9993,2.79,2.49,2.49,88.0,27261.0
2019-08-14,2.82,2.55,2.55,2.73,99.0,27465.0
2019-08-15,2.5929,2.345,2.15,2.5929,156.0,50744.0
2019-08-16,2.55,2.37,2.32,2.3884,106.0,19202.0
2019-08-19,2.41,2.12,2.085,2.3,185.0,52474.0
