Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,7.74,7.73,7.45,7.68,,289687.0
2007-09-20,8.0,7.89,7.74,7.74,,303756.0
2007-09-21,8.0,7.84,7.76,7.96,,280992.0
2007-09-24,7.92,7.56,7.51,7.81,,223757.0
2007-09-25,7.56,7.53,7.35,7.5,,173367.0
2007-09-26,7.73,7.59,7.46,7.55,,333992.0
2007-09-27,7.7,7.47,7.26,7.59,,209764.0
2007-09-28,7.47,7.13,7.06,7.45,,308022.0
2007-10-01,7.51,7.5,7.14,7.15,,390796.0
2007-10-02,7.51,7.46,7.4,7.5,,119423.0
2007-10-03,7.54,7.35,7.35,7.43,,94422.0
2007-10-04,7.77,7.56,7.36,7.4,,239088.0
2007-10-05,7.97,7.97,7.55,7.67,,210390.0
2007-10-08,7.94,7.72,7.67,7.93,,245790.0
2007-10-09,8.05,7.93,7.68,7.73,,248034.0
2007-10-10,8.08,7.79,7.76,7.93,,120378.0
2007-10-11,7.8799,7.59,7.59,7.81,,248217.0
2007-10-12,7.74,7.64,7.58,7.6,,82952.0
2007-10-15,8.34,8.13,7.68,7.68,,438459.0
2007-10-16,8.1601,7.92,7.91,8.07,,140508.0
2007-10-17,8.06,7.93,7.8001,8.01,,193064.0
2007-10-18,8.3,8.27,7.87,7.92,,265197.0
2007-10-19,8.32,7.59,7.59,8.26,,268393.0
2007-10-22,7.79,7.64,7.33,7.55,,274527.0
2007-10-23,8.09,7.99,7.73,7.78,,214505.0
2007-10-24,8.02,7.95,7.71,7.91,,189606.0
2007-10-25,8.04,7.8,7.72,7.99,,146271.0
2007-10-26,8.15,8.0,7.86,7.88,,195335.0
2007-10-29,8.05,7.95,7.8,8.0,,200277.0
2007-10-30,7.94,7.7,7.602,7.93,,185153.0
2007-10-31,7.86,7.85,7.54,7.7,,168422.0
2007-11-01,7.78,7.55,7.45,7.63,,343748.0
2007-11-02,7.95,7.75,7.58,7.67,,207550.0
2007-11-05,7.84,7.59,7.49,7.69,,171311.0
2007-11-06,7.595,7.24,7.185,7.59,,349405.0
2007-11-07,7.23,6.99,6.95,7.15,,503601.0
2007-11-08,7.26,7.22,6.96,7.05,,449754.0
2007-11-09,7.21,7.07,6.81,7.18,,335903.0
2007-11-12,7.34,7.09,7.0,7.08,,121937.0
2007-11-13,7.19,7.08,6.95,7.17,,145274.0
2007-11-14,7.37,7.33,7.06,7.12,,275134.0
2007-11-15,7.38,7.16,7.05,7.28,,198524.0
2007-11-16,7.29,7.2,6.98,7.26,,230985.0
2007-11-19,7.14,6.95,6.9,7.12,,215611.0
2007-11-20,7.16,7.09,6.8,6.93,,200765.0
2007-11-21,7.05,6.82,6.82,7.05,,157857.0
2007-11-23,7.05,6.9,6.77,6.89,,55384.0
2007-11-26,6.9,6.74,6.58,6.88,,228868.0
2007-11-27,6.85,6.78,6.64,6.76,,203721.0
2007-11-28,7.47,7.17,6.84,6.86,,332077.0
2007-11-29,6.93,6.76,6.35,6.62,,1042320.0
2007-11-30,6.87,6.49,6.438,6.73,,357076.0
2007-12-03,6.49,6.39,6.31,6.49,,272895.0
2007-12-04,6.77,6.41,6.4,6.62,,261669.0
2007-12-05,6.68,6.43,6.4,6.48,,246669.0
2007-12-06,6.61,6.5,6.3701,6.4,,315331.0
2007-12-07,6.54,6.51,6.4,6.53,,394036.0
2007-12-10,6.58,6.48,6.38,6.5,,269146.0
2007-12-11,6.63,6.25,6.16,6.53,,796949.0
2007-12-12,6.45,6.22,6.09,6.41,,352459.0
2007-12-13,6.33,6.18,6.12,6.13,,838955.0
2007-12-14,6.23,6.05,6.0,6.1,,306700.0
2007-12-17,6.1,6.0,5.96,6.0,,201459.0
2007-12-18,6.13,5.97,5.81,6.09,,236037.0
2007-12-19,6.09,5.91,5.82,5.97,,195753.0
2007-12-20,5.99,5.95,5.6,5.98,,345405.0
2007-12-21,6.17,6.04,5.87,6.04,,657835.0
2007-12-24,6.21,6.19,5.89,5.98,,119300.0
2007-12-26,6.19,6.07,6.05,6.19,,280892.0
2007-12-27,6.1,5.85,5.85,6.02,,287131.0
2007-12-28,5.93,5.75,5.72,5.88,,199883.0
2007-12-31,5.84,5.8,5.65,5.69,,212576.0
2008-01-02,5.95,5.85,5.65,5.77,,295552.0
2008-01-03,6.09,5.78,5.72,5.94,,292496.0
2008-01-04,5.83,5.8,5.63,5.69,,278584.0
2008-01-07,5.9,5.58,5.55,5.84,,565535.0
2008-01-08,5.62,5.02,4.72,5.53,,3533053.0
2008-01-09,4.7928,4.33,4.04,4.68,,1631044.0
2008-01-10,4.64,4.52,4.21,4.28,,1482786.0
2008-01-11,4.57,4.51,4.42,4.57,,345936.0
2008-01-14,4.61,4.57,4.4,4.51,,479024.0
2008-01-15,4.73,4.69,4.41,4.5,,742555.0
2008-01-16,5.02,4.79,4.58,4.7,,425524.0
2008-01-17,4.86,4.75,4.63,4.8,,497373.0
2008-01-18,5.03,4.93,4.56,4.68,,689892.0
2008-01-22,4.93,4.6,4.5,4.82,,279786.0
2008-01-23,4.74,4.73,4.44,4.5,,462708.0
2008-01-24,4.89,4.49,4.49,4.74,,218167.0
2008-01-25,4.78,4.64,4.51,4.55,,190425.0
2008-01-28,4.8,4.74,4.57,4.66,,322539.0
2008-01-29,5.25,4.72,4.69,5.18,,713533.0
2008-01-30,4.87,4.77,4.7,4.71,,404418.0
2008-01-31,4.9,4.85,4.65,4.75,,931273.0
2008-02-01,5.16,5.12,4.82,4.88,,458782.0
2008-02-04,5.25,5.18,5.0,5.09,,548472.0
2008-02-05,5.41,5.17,5.06,5.07,,336965.0
2008-02-06,5.43,5.22,5.17,5.22,,451729.0
2008-02-07,5.4,5.33,4.7,5.1,,1046557.0
2008-02-08,5.29,4.98,4.88,5.29,,554837.0
2008-02-11,5.21,5.19,4.8,4.97,,958081.0
2008-02-12,5.46,5.33,5.11,5.2,,720150.0
2008-02-13,5.6201,5.53,5.1601,5.46,,392775.0
2008-02-14,5.58,5.24,5.14,5.35,,520929.0
2008-02-15,5.21,5.17,5.0,5.21,,799867.0
2008-02-19,5.3,5.25,5.05,5.23,,495576.0
2008-02-20,5.25,5.09,5.01,5.22,,292483.0
2008-02-21,5.2,4.8,4.72,5.19,,937553.0
2008-02-22,5.0,4.69,4.68,4.84,,317384.0
2008-02-25,4.86,4.83,4.58,4.7,,251271.0
2008-02-26,5.15,4.99,4.8,4.87,,273743.0
2008-02-27,5.1,4.97,4.87,4.9,,185778.0
2008-02-28,4.97,4.69,4.69,4.96,,189921.0
2008-02-29,4.79,4.56,4.5,4.68,,370830.0
2008-03-03,4.58,4.41,4.38,4.58,,234466.0
2008-03-04,4.6701,4.59,4.3,4.37,,211534.0
2008-03-05,4.62,4.43,4.35,4.62,,151568.0
2008-03-06,4.47,4.26,4.25,4.41,,175922.0
2008-03-07,4.35,4.32,4.14,4.21,,156716.0
2008-03-10,4.36,3.84,3.78,4.33,,3605038.0
2008-03-11,4.14,3.92,3.53,3.95,,830292.0
2008-03-12,4.23,3.96,3.6901,3.97,,250065.0
2008-03-13,4.13,4.11,3.79,3.91,,263973.0
2008-03-14,4.16,3.84,3.77,4.15,,346112.0
2008-03-17,4.0,3.85,3.69,3.8,,288152.0
2008-03-18,4.27,3.81,3.63,4.01,,509277.0
2008-03-19,4.02,3.93,3.79,3.79,,309410.0
2008-03-20,4.76,4.04,3.93,4.76,,836998.0
2008-03-24,4.49,4.21,4.04,4.04,,411557.0
2008-03-25,4.8,4.15,4.06,4.29,,404416.0
2008-03-26,4.4,4.24,4.07,4.11,,409230.0
2008-03-27,4.48,4.37,4.24,4.26,,422881.0
2008-03-28,4.43,4.35,4.275,4.39,,281234.0
2008-03-31,4.47,4.28,4.26,4.37,,280283.0
2008-04-01,4.45,4.38,4.28,4.29,,331784.0
2008-04-02,4.48,4.46,4.29,4.37,,541582.0
2008-04-03,4.49,4.31,4.26,4.45,,166612.0
2008-04-04,4.42,4.3,4.17,4.33,,171299.0
2008-04-07,4.39,4.2,4.17,4.26,,147753.0
2008-04-08,4.41,4.26,4.1,4.17,,86064.0
2008-04-09,4.27,4.14,4.08,4.26,,132911.0
2008-04-10,4.14,3.88,3.73,3.75,,855643.0
2008-04-11,3.93,3.86,3.8,3.84,,161251.0
2008-04-14,3.95,3.84,3.77,3.89,,170903.0
2008-04-15,4.02,3.94,3.88,3.88,,300396.0
2008-04-16,4.09,3.89,3.87,3.99,,232212.0
2008-04-17,4.09,3.8,3.78,3.89,,344458.0
2008-04-18,3.91,3.75,3.73,3.88,,254851.0
2008-04-21,3.77,3.73,3.72,3.77,,165411.0
2008-04-22,3.72,3.53,3.49,3.7,,154859.0
2008-04-23,3.72,3.7,3.48,3.55,,545498.0
2008-04-24,4.14,4.0,3.68,3.7,,329053.0
2008-04-25,4.02,3.86,3.7,3.99,,182616.0
2008-04-28,4.0,3.87,3.67,3.84,,224422.0
2008-04-29,3.87,3.77,3.67,3.87,,196215.0
2008-04-30,3.85,3.85,3.75,3.77,,285311.0
2008-05-01,3.98,3.94,3.75,3.86,,212145.0
2008-05-02,4.0,3.96,3.72,3.72,,203733.0
2008-05-05,4.0,3.83,3.77,4.0,,216462.0
2008-05-06,3.95,3.84,3.77,3.8,,107504.0
2008-05-07,3.84,3.72,3.68,3.83,,317793.0
2008-05-08,3.86,3.84,3.65,3.73,,403021.0
2008-05-09,3.94,3.92,3.72,3.76,,153205.0
2008-05-12,4.22,4.12,3.94,3.94,,790965.0
2008-05-13,4.31,4.25,3.9,4.13,,426345.0
2008-05-14,4.31,4.15,4.08,4.24,,256856.0
2008-05-15,4.55,4.1,4.01,4.14,,534466.0
2008-05-16,4.29,4.0,3.96,4.15,,323710.0
2008-05-19,4.29,3.99,3.91,3.96,,332775.0
2008-05-20,4.19,3.95,3.87,3.95,,380013.0
2008-05-21,4.05,3.9,3.8,3.94,,218531.0
2008-05-22,4.18,4.05,3.86,3.91,,163837.0
2008-05-23,4.16,3.98,3.83,4.02,,131124.0
2008-05-27,4.09,3.99,3.88,3.99,,226907.0
2008-05-28,4.08,3.94,3.74,4.01,,282274.0
2008-05-29,4.16,4.11,3.88,3.91,,462543.0
2008-05-30,4.35,4.28,4.11,4.11,,627208.0
2008-06-02,4.3,4.3,3.96,4.28,,463087.0
2008-06-03,4.47,4.15,4.05,4.29,,570659.0
2008-06-04,4.35,4.12,4.0,4.14,,343056.0
2008-06-05,4.49,4.35,4.12,4.12,,273289.0
2008-06-06,4.35,4.14,4.05,4.31,,157026.0
2008-06-09,4.2,3.95,3.84,4.12,,249848.0
2008-06-10,3.98,3.66,3.66,3.91,,204349.0
2008-06-11,3.78,3.63,3.61,3.65,,206857.0
2008-06-12,3.69,3.65,3.58,3.67,,227384.0
2008-06-13,3.88,3.86,3.59,3.7,,119468.0
2008-06-16,4.1,4.03,3.84,3.86,,184165.0
2008-06-17,4.114,4.07,3.95,4.05,,131888.0
2008-06-18,4.1,3.98,3.81,4.01,,167063.0
2008-06-19,4.1,4.1,3.84,3.98,,116787.0
2008-06-20,4.19,3.97,3.8,4.07,,417818.0
2008-06-23,4.04,3.85,3.76,3.98,,116075.0
2008-06-24,3.98,3.65,3.65,3.81,,127785.0
2008-06-25,3.84,3.84,3.595,3.65,,133126.0
2008-06-26,3.8,3.66,3.62,3.8,,108705.0
2008-06-27,3.66,3.4,3.3937,3.66,,634846.0
2008-06-30,3.51,3.25,3.25,3.39,,248401.0
2008-07-01,3.36,3.16,3.1,3.22,,166978.0
2008-07-02,3.23,3.1,3.03,3.15,,192504.0
2008-07-03,3.2,3.1,3.07,3.1,,84769.0
2008-07-07,3.19,3.16,3.06,3.15,,138161.0
2008-07-08,3.42,3.42,3.1015,3.15,,120800.0
2008-07-09,3.68,3.38,3.35,3.41,,311808.0
2008-07-10,3.53,3.51,3.28,3.36,,233546.0
2008-07-11,3.78,3.78,3.425,3.47,,184426.0
2008-07-14,3.82,3.62,3.54,3.79,,204811.0
2008-07-15,4.03,3.66,3.41,3.56,,248698.0
2008-07-16,3.97,3.92,3.62,3.68,,227503.0
2008-07-17,4.06,3.98,3.84,3.94,,136638.0
2008-07-18,4.04,3.91,3.78,3.98,,100514.0
2008-07-21,4.02,3.9,3.85,3.93,,255662.0
2008-07-22,3.994,3.88,3.78,3.89,,249672.0
2008-07-23,3.97,3.79,3.79,3.88,,241516.0
2008-07-24,3.95,3.74,3.7,3.82,,140359.0
2008-07-25,3.92,3.83,3.72,3.78,,140717.0
2008-07-28,3.99,3.8,3.69,3.83,,97336.0
2008-07-29,3.87,3.82,3.7,3.81,,121331.0
2008-07-30,3.88,3.81,3.73,3.85,,99974.0
2008-07-31,3.85,3.79,3.76,3.76,,218016.0
2008-08-01,3.91,3.81,3.76,3.76,,213494.0
2008-08-04,3.895,3.65,3.56,3.83,,135281.0
2008-08-05,3.73,3.68,3.53,3.68,,88220.0
2008-08-06,3.78,3.76,3.51,3.68,,99241.0
2008-08-07,3.71,3.49,3.23,3.71,,265318.0
2008-08-08,3.62,3.56,3.25,3.42,,205273.0
2008-08-11,3.68,3.58,3.384,3.59,,156287.0
2008-08-12,3.62,3.35,3.27,3.56,,227833.0
2008-08-13,3.85,3.71,3.35,3.35,,228659.0
2008-08-14,3.73,3.62,3.5,3.64,,138920.0
2008-08-15,3.78,3.53,3.38,3.75,,201693.0
2008-08-18,3.7,3.58,3.48,3.54,,137529.0
2008-08-19,3.78,3.62,3.48,3.52,,224378.0
2008-08-20,3.85,3.52,3.48,3.63,,150151.0
2008-08-21,3.61,3.45,3.42,3.49,,139905.0
2008-08-22,3.62,3.59,3.46,3.46,,98128.0
2008-08-25,3.67,3.37,3.29,3.6,,169897.0
2008-08-26,3.5,3.47,3.359,3.39,,167886.0
2008-08-27,3.53,3.47,3.36,3.46,,129106.0
2008-08-28,3.63,3.56,3.43,3.47,,159006.0
2008-08-29,3.57,3.52,3.49,3.57,,89651.0
2008-09-02,3.63,3.33,3.27,3.57,,109602.0
2008-09-03,3.77,3.67,3.44,3.44,,444629.0
2008-09-04,3.74,3.5,3.47,3.66,,147428.0
2008-09-05,3.7,3.61,3.38,3.5,,172490.0
2008-09-08,3.74,3.56,3.47,3.74,,162881.0
2008-09-09,3.61,3.45,3.41,3.57,,148251.0
2008-09-10,3.57,3.5,3.43,3.53,,110865.0
2008-09-11,3.55,3.5,3.35,3.49,,132629.0
2008-09-12,3.52,3.45,3.38,3.48,,53437.0
2008-09-15,3.49,3.25,3.25,3.36,,552975.0
2008-09-16,3.37,3.34,3.01,3.21,,270526.0
2008-09-17,3.38,2.81,2.7,3.28,,370763.0
2008-09-18,3.1,3.02,2.3,2.87,,750262.0
2008-09-19,3.24,3.01,2.76,3.17,,894215.0
2008-09-22,3.22,3.13,2.95,3.08,,295617.0
2008-09-23,3.25,3.05,2.85,3.13,,270071.0
2008-09-24,3.18,2.99,2.99,3.06,,144650.0
2008-09-25,3.3,3.13,2.96,3.06,,274548.0
2008-09-26,3.23,3.2,3.05,3.13,,187027.0
2008-09-29,3.51,3.21,3.02,3.15,,248682.0
2008-09-30,3.4,3.22,3.2,3.24,,205581.0
2008-10-01,3.31,3.17,3.11,3.21,,125343.0
2008-10-02,3.506,2.78,2.78,3.24,,306350.0
2008-10-03,3.04,2.65,2.42,2.81,,473538.0
2008-10-06,2.71,2.35,2.28,2.6,,331458.0
2008-10-07,2.42,2.16,2.09,2.37,,290549.0
2008-10-08,2.51,2.38,1.75,2.16,,453199.0
2008-10-09,2.43,2.25,2.16,2.43,,355555.0
2008-10-10,3.05,2.9,1.81,2.09,,730960.0
2008-10-13,3.0,2.99,2.61,2.92,,276103.0
2008-10-14,3.15,2.8,2.7,3.1,,226576.0
2008-10-15,2.93,2.5,2.465,2.77,,334616.0
2008-10-16,2.84,2.82,2.35,2.52,,312048.0
2008-10-17,2.84,2.45,2.36,2.66,,328649.0
2008-10-20,2.73,2.5,2.44,2.51,,221483.0
2008-10-21,2.72,2.25,2.24,2.47,,312677.0
2008-10-22,2.2999,2.17,2.1,2.15,,183926.0
2008-10-23,2.28,2.24,2.11,2.18,,163133.0
2008-10-24,2.16,2.06,2.01,2.01,,81068.0
2008-10-27,2.07,1.9,1.9,2.07,,126240.0
2008-10-28,2.34,2.1,1.78,1.94,,258167.0
2008-10-29,2.5,2.47,1.98,2.13,,538898.0
2008-10-30,2.74,2.58,2.52,2.57,,440663.0
2008-10-31,2.81,2.76,2.62,2.62,,392110.0
2008-11-03,3.0,2.69,2.53,2.54,,155803.0
2008-11-04,2.94,2.74,2.7,2.91,,141171.0
2008-11-05,2.77,2.57,2.54,2.71,,89049.0
2008-11-06,2.7,2.45,2.45,2.56,,122575.0
2008-11-07,2.56,2.49,2.43,2.56,,113679.0
2008-11-10,3.0,2.18,2.11,2.99,,2173004.0
2008-11-11,2.58,2.39,2.18,2.18,,693746.0
2008-11-12,2.5,2.47,2.3,2.43,,616892.0
2008-11-13,3.01,3.01,2.5,2.5,,368106.0
2008-11-14,3.117,2.87,2.81,2.96,,461815.0
2008-11-17,3.077,2.9,2.85,2.85,,501105.0
2008-11-18,2.97,2.8,2.75,2.97,,203951.0
2008-11-19,2.98,2.57,2.53,2.78,,478276.0
2008-11-20,2.73,2.5,2.42,2.55,,237636.0
2008-11-21,2.86,2.86,2.22,2.54,,641693.0
2008-11-24,3.1,3.08,2.71,2.85,,311251.0
2008-11-25,3.39,3.14,3.01,3.13,,194924.0
2008-11-26,3.47,3.37,2.95,3.06,,290994.0
2008-11-28,3.4,3.39,3.03,3.33,,138085.0
2008-12-01,3.29,3.02,2.97,3.29,,320223.0
2008-12-02,3.285,3.25,3.0,3.09,,169872.0
2008-12-03,3.4,3.31,3.09,3.16,,270963.0
2008-12-04,3.44,3.35,3.27,3.27,,446416.0
2008-12-05,3.47,3.37,3.27,3.29,,309924.0
2008-12-08,3.47,3.46,3.38,3.41,,284027.0
2008-12-09,3.66,3.43,3.36,3.45,,244755.0
2008-12-10,3.64,3.64,3.39,3.48,,124154.0
2008-12-11,3.75,3.43,3.43,3.59,,172668.0
2008-12-12,3.8,3.69,3.25,3.5,,538819.0
2008-12-15,3.77,3.6,3.5,3.7,,191139.0
2008-12-16,3.88,3.88,3.59,3.65,,194879.0
2008-12-17,3.98,3.94,3.77,3.83,,207708.0
2008-12-18,4.15,4.08,3.88,3.97,,223585.0
2008-12-19,4.7,4.33,4.14,4.22,,694340.0
2008-12-22,4.48,4.25,4.02,4.43,,179682.0
2008-12-23,4.28,4.04,4.0,4.28,,166302.0
2008-12-24,4.17,4.14,4.02,4.06,,51100.0
2008-12-26,4.3,4.23,4.16,4.2,,61471.0
2008-12-29,4.24,4.03,4.0,4.24,,69880.0
2008-12-30,4.18,4.14,4.02,4.04,,75327.0
2008-12-31,4.43,4.22,4.12,4.16,,231566.0
2009-01-02,4.3,4.11,4.06,4.22,,171119.0
2009-01-05,4.26,4.26,3.98,4.12,,211034.0
2009-01-06,4.31,4.2,4.07,4.3,,118982.0
2009-01-07,4.17,4.01,3.96,4.17,,114169.0
2009-01-08,4.36,4.31,4.04,4.04,,108406.0
2009-01-09,4.466,4.12,4.12,4.38,,80314.0
2009-01-12,4.18,4.0,4.0,4.1,,82082.0
2009-01-13,4.12,4.0,4.0,4.01,,102715.0
2009-01-14,4.12,3.62,3.55,3.95,,217742.0
2009-01-15,4.09,4.09,3.44,3.62,,154854.0
2009-01-16,4.29,3.93,3.79,4.13,,94172.0
2009-01-20,3.97,3.54,3.52,3.88,,110086.0
2009-01-21,3.98,3.96,3.4,3.58,,135834.0
2009-01-22,3.95,3.74,3.552,3.82,,80916.0
2009-01-23,4.11,3.91,3.61,3.61,,130217.0
