Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-07-10,0.1,0.1,0.1,0.1,3.0,19000.0
2015-07-17,0.1,0.1,0.1,0.1,1.0,1000.0
2015-07-21,0.1,0.1,0.1,0.1,1.0,25000.0
2015-08-21,0.1,0.1,0.09,0.09,2.0,15000.0
2015-08-27,0.1,0.1,0.1,0.1,1.0,14000.0
2015-09-04,0.1,0.1,0.1,0.1,1.0,1000.0
2015-09-10,0.1,0.1,0.1,0.1,2.0,100000.0
2015-09-11,0.12,0.1,0.1,0.12,2.0,12000.0
2015-09-16,0.12,0.12,0.12,0.12,1.0,10000.0
2015-09-23,0.12,0.12,0.12,0.12,3.0,100000.0
2015-09-24,0.15,0.15,0.15,0.15,1.0,5500.0
2015-09-25,0.1,0.1,0.1,0.1,1.0,10000.0
2015-10-01,0.14,0.14,0.14,0.14,1.0,1000.0
2015-10-20,0.075,0.075,0.075,0.075,1.0,3000.0
2015-10-21,0.1,0.1,0.1,0.1,1.0,8000.0
2015-11-02,0.1,0.1,0.1,0.1,1.0,10500.0
2015-11-16,0.15,0.15,0.15,0.15,1.0,24500.0
2015-12-16,0.14,0.14,0.1,0.1,3.0,37000.0
2016-01-18,0.1,0.1,0.1,0.1,1.0,20000.0
2016-02-04,0.1,0.1,0.1,0.1,1.0,50000.0
2016-02-09,0.12,0.12,0.12,0.12,2.0,20000.0
2016-02-16,0.1,0.1,0.1,0.1,1.0,50000.0
2016-02-18,0.05,0.05,0.05,0.05,3.0,11918.0
2016-02-29,,,,,2.0,1200.0
2016-03-11,0.055,0.055,0.055,0.055,2.0,80000.0
2016-03-14,0.095,0.095,0.095,0.095,1.0,30000.0
2016-03-18,0.05,0.05,0.05,0.05,2.0,24233.0
2016-03-21,0.075,0.075,0.075,0.075,1.0,50000.0
2016-04-27,0.05,0.05,0.05,0.05,1.0,8000.0
2016-04-28,0.07,0.07,0.065,0.065,4.0,35000.0
2016-04-29,0.09,0.09,0.085,0.085,2.0,60000.0
2016-05-02,0.09,0.09,0.09,0.09,2.0,2700.0
2016-05-04,0.07,0.07,0.07,0.07,1.0,2000.0
2016-05-06,0.17,0.17,0.17,0.17,2.0,40500.0
2016-05-09,0.19,0.19,0.17,0.17,6.0,90000.0
2016-05-10,0.19,0.19,0.15,0.15,2.0,57500.0
2016-05-12,0.2,0.2,0.2,0.2,2.0,1000.0
