Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2001-05-23,43.7,40.0,40.0,42.5,250.0
2001-05-25,45.0,40.0,40.0,45.0,60.0
2001-05-29,45.0,45.0,45.0,45.0,10.0
2001-05-30,45.0,45.0,45.0,45.0,10.0
2001-06-01,45.0,45.0,45.0,45.0,20.0
2001-06-05,42.5,40.0,40.0,42.5,120.0
2001-06-06,42.5,42.5,40.0,41.5,480.0
2001-06-07,44.0,40.0,40.0,41.5,2940.0
2001-06-12,45.5,44.0,37.5,45.0,1000.0
2001-06-13,45.0,38.75,38.75,41.25,2810.0
2001-06-15,40.625,38.8,37.5,40.625,390.0
2001-06-18,42.5,41.25,38.8,38.8,350.0
2001-06-19,42.5,40.625,37.5,37.5,960.0
2001-06-20,41.0,41.0,41.0,41.0,100.0
2001-06-22,40.0,40.0,22.0,22.0,60.0
2001-06-25,42.0,42.0,42.0,42.0,20.0
2001-06-26,33.0,33.0,33.0,33.0,50.0
2001-06-29,41.0,41.0,41.0,41.0,20.0
2001-07-02,35.0,35.0,35.0,35.0,10.0
2001-07-09,40.0,27.5,27.5,40.0,570.0
2001-07-10,31.5,31.5,31.5,31.5,60.0
2001-07-30,27.5,27.5,27.5,27.5,50.0
2001-08-08,27.5,27.5,27.5,27.5,50.0
2001-08-10,15.0,15.0,15.0,15.0,20.0
2001-08-14,23.5,22.5,22.5,23.5,20.0
2001-08-16,25.0,25.0,25.0,25.0,150.0
2001-08-20,20.0,20.0,20.0,20.0,20.0
2001-08-22,20.0,20.0,20.0,20.0,20.0
2001-08-23,20.0,12.5,12.5,20.0,150.0
2001-08-30,15.0,15.0,15.0,15.0,50.0
2001-09-28,20.5,20.0,20.0,20.0,550.0
2001-10-01,20.5,20.5,20.5,20.5,100.0
2001-10-08,19.0,19.0,15.0,19.0,810.0
2001-10-11,18.75,18.0,17.0,18.75,260.0
2001-10-12,17.5,17.5,17.0,17.0,500.0
2001-10-15,17.0,17.0,15.0,15.0,260.0
2001-10-16,18.5,17.0,17.0,18.5,860.0
2001-10-17,18.5,16.5,15.0,17.0,4260.0
2001-10-18,17.0,13.5,13.0,16.5,2650.0
2001-10-22,14.0,14.0,9.9,13.5,780.0
2001-10-23,8.0,6.5,6.5,8.0,500.0
2001-10-25,9.5,9.5,9.5,9.5,50.0
2001-10-29,10.0,10.0,10.0,10.0,80.0
2001-10-30,10.0,10.0,10.0,10.0,50.0
2001-11-02,7.0,3.2,3.2,6.5,2130.0
2001-11-05,5.0,5.0,5.0,5.0,90.0
2001-11-06,5.5,3.9000000000000004,3.9000000000000004,5.5,520.0
2001-11-07,5.2,5.2,5.2,5.2,40.0
2001-11-12,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,20.0
2001-11-13,3.5999999999999996,1.7000000000000002,1.7000000000000002,3.5999999999999996,2570.0
2001-11-16,4.0,4.0,4.0,4.0,10.0
2001-11-19,4.0,3.0,2.5,4.0,400.0
2001-11-27,2.7,1.6,1.6,2.7,1300.0
2001-11-28,4.0,4.0,2.0,2.0,1850.0
2001-11-29,3.0,3.0,2.8000000000000003,2.8000000000000003,3000.0
2001-11-30,3.5,3.0,2.8000000000000003,3.0,2080.0
2001-12-03,2.7,2.5,2.5,2.5,1490.0
2001-12-04,2.0,2.0,1.7999999999999998,1.7999999999999998,250.0
2001-12-05,2.0,1.35,1.3,1.7999999999999998,4970.0
2001-12-18,1.7999999999999998,1.35,1.25,1.7999999999999998,19710.0
2001-12-19,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1600.0
2001-12-20,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1540.0
2001-12-26,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,780.0
2001-12-27,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,130.0
2002-01-10,3.0,2.5,1.7999999999999998,1.7999999999999998,8210.0
2002-01-11,3.0,2.9,2.9,3.0,3300.0
2002-01-15,4.0,4.0,3.0,3.0,380.0
2002-01-22,3.5999999999999996,3.5,3.5,3.5999999999999996,810.0
2002-01-23,3.0,3.0,3.0,3.0,90.0
2002-01-25,3.5,3.5,3.0,3.0,1570.0
2002-01-30,3.5,3.5,3.5,3.5,200.0
2002-02-06,2.5,2.5,2.5,2.5,90.0
2002-02-11,2.5,2.5,2.5,2.5,1900.0
2002-02-12,2.3000000000000003,2.3000000000000003,2.0,2.3000000000000003,560.0
2002-02-13,2.5,2.0,2.0,2.0,8270.0
2002-02-14,2.2,1.7999999999999998,1.7999999999999998,2.2,900.0
2002-02-20,2.0,2.0,2.0,2.0,10.0
2002-02-21,2.0,2.0,2.0,2.0,300.0
2002-02-25,2.4,2.4,2.4,2.4,1200.0
2002-02-27,2.5,2.5,2.5,2.5,830.0
2002-02-28,2.5,2.1,2.1,2.5,1430.0
2002-03-01,5.1,5.1,5.1,5.1,300.0
2002-03-04,2.5,2.2,2.2,2.5,750.0
2002-03-13,1.9,1.9,1.9,1.9,30.0
2002-03-19,1.9,1.9,1.9,1.9,30.0
2002-04-19,2.5,2.5,2.0,2.0,2160.0
2002-04-23,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,250.0
2002-04-25,5.2,5.2,2.5,3.0,7430.0
2002-04-26,5.2,5.2,5.2,5.2,2530.0
2002-04-29,5.2,5.2,4.0,5.2,950.0
2002-04-30,4.9,4.2,4.1,4.1,1110.0
2002-05-01,5.8,5.1,4.3,4.3,2440.0
2002-05-02,5.2,5.2,4.699999999999999,4.8,1330.0
2002-05-03,5.5,5.2,5.2,5.5,1000.0
2002-05-06,5.5,5.2,5.2,5.5,750.0
2002-05-07,5.4,5.300000000000001,4.5,5.4,3500.0
2002-05-08,4.0,4.0,4.0,4.0,500.0
2002-05-09,5.1,5.1,5.1,5.1,2000.0
2002-05-10,5.2,5.2,5.1,5.1,2000.0
2002-05-13,5.0,4.0,3.2,4.8,6250.0
2002-05-14,4.5,3.5999999999999996,3.4000000000000004,4.5,6400.0
2002-05-20,4.5,3.5,3.5,4.5,200.0
2002-05-21,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,290.0
2002-05-23,3.5,3.5,3.5,3.5,150.0
2002-05-24,3.7,3.5,3.5,3.5999999999999996,4000.0
2002-05-28,3.5,3.5,3.2,3.31,3900.0
2002-05-29,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3000000000000003,500.0
2002-05-30,3.4000000000000004,3.3000000000000003,3.0,3.4000000000000004,15050.0
2002-05-31,3.2,3.1,3.1,3.2,2150.0
2002-06-03,3.2,3.1,3.0,3.2,4550.0
2002-06-04,3.2,3.1,3.1,3.2,900.0
2002-06-05,3.2,3.2,2.7,2.7,750.0
2002-06-06,3.0,2.9,2.9,3.0,1950.0
2002-06-07,3.0,3.0,3.0,3.0,380.0
2002-06-10,3.0,2.6,2.6,3.0,5630.0
2002-06-11,3.0,2.7,2.6,2.8000000000000003,3100.0
2002-06-12,3.5,2.7,2.7,3.3000000000000003,530.0
2002-06-13,3.2,2.7,2.6,2.7,6940.0
2002-06-14,3.0,3.0,2.7,2.8000000000000003,1880.0
2002-06-17,2.7,2.7,2.6,2.6,3000.0
2002-06-18,4.0,2.7,2.7,3.2,13100.0
2002-06-19,2.9,2.7,2.7,2.9,1630.0
2002-06-20,2.9,2.5,2.5,2.9,1300.0
2002-06-21,2.7,2.4,2.4,2.5,6300.0
2002-06-24,2.2,2.2,2.2,2.2,1000.0
2002-06-25,2.5,2.2,1.6,2.5,19000.0
2002-06-26,2.1,2.1,2.1,2.1,800.0
2002-06-27,2.0,2.0,2.0,2.0,700.0
2002-06-28,1.9,1.9,1.7999999999999998,1.7999999999999998,2350.0
2002-07-01,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,100.0
2002-07-02,1.9,1.9,1.7000000000000002,1.7000000000000002,4300.0
2002-07-03,2.9,2.5,1.7999999999999998,2.0,9430.0
2002-07-05,2.2,2.1,2.0,2.2,1500.0
2002-07-09,2.9,2.2,2.2,2.9,3400.0
2002-07-12,2.1,2.1,2.1,2.1,1000.0
2002-07-15,2.1,1.7999999999999998,1.6,2.1,3860.0
