Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-10-28,4.5,4.5,4.5,4.5,,100.0
2015-10-29,4.555,4.555,4.5,4.5,,10310.0
2015-10-30,4.6,4.6,4.6,4.6,,2938.0
2015-11-02,4.6,4.6,4.6,4.6,,3900.0
2015-11-03,4.65,4.65,4.6,4.6,,5037.0
2015-11-04,4.65,4.65,4.65,4.65,,1610.0
2015-11-05,4.65,4.65,4.6495,4.65,,1665.0
2015-11-06,4.65,4.65,4.65,4.65,,700.0
2015-11-09,4.65,4.65,4.65,4.65,,1400.0
2015-11-10,4.65,4.65,4.65,4.65,,750.0
2015-11-11,4.65,4.65,4.65,4.65,,650.0
2015-11-12,4.65,4.5,4.5,4.65,,1745.0
2015-11-17,4.3,4.3,4.3,4.3,,1346.0
2015-11-19,4.65,4.65,4.65,4.65,,364.0
2015-11-24,4.7,4.65,4.65,4.7,,3600.0
2015-12-02,4.9,4.9,4.7,4.7,,2300.0
2015-12-03,4.75,4.75,4.75,4.75,,1000.0
2015-12-17,4.7,4.7,4.7,4.7,,500.0
2015-12-30,4.75,4.75,4.75,4.75,,700.0
2016-01-04,,,,,,42.0
2016-01-12,4.75,4.75,4.75,4.75,,500.0
2016-01-13,4.75,4.75,4.75,4.75,,200.0
2016-01-19,,,,,,18.0
2016-01-21,,,,,,40.0
2016-01-22,4.9,4.75,4.75,4.9,,378.0
2016-01-26,4.75,4.75,4.75,4.75,,2400.0
2016-01-27,4.6,4.5,4.5,4.6,,1300.0
2016-02-05,4.3,4.3,4.3,4.3,,100.0
2016-02-08,4.4,4.4,4.4,4.4,,600.0
2016-02-11,4.55,4.0,4.0,4.4,,5100.0
2016-02-12,4.0,4.0,4.0,4.0,,500.0
2016-02-16,4.1,4.1,4.09,4.09,,1150.0
2016-02-17,4.09,4.09,4.09,4.09,,1200.0
2016-02-24,4.1,4.1,4.1,4.1,,1325.0
2016-03-09,4.1,4.1,4.0,4.0,,3100.0
2016-03-15,4.1,4.1,4.1,4.1,,1000.0
2016-03-21,4.1,4.1,4.1,4.1,,1000.0
2016-03-22,4.0,4.0,4.0,4.0,,1000.0
2016-03-24,5.0,4.5,4.1,4.1,,5722.0
2016-03-28,4.75,4.75,4.75,4.75,,393.0
2016-04-04,4.7,4.7,4.7,4.7,,100.0
2016-04-05,4.05,4.05,4.04,4.05,,800.0
2016-04-06,4.05,4.05,4.05,4.05,,100.0
2016-04-21,,,,,,90.0
2016-04-25,4.5,4.5,4.05,4.05,,1056.0
2016-05-03,4.5,4.5,4.5,4.5,,2000.0
2016-05-04,4.05,4.05,4.05,4.05,,100.0
2016-05-17,,,,,,4.0
2016-05-18,3.8,3.8,3.75,3.75,,600.0
2016-05-24,3.99,3.15,3.15,3.99,,1000.0
2016-05-27,3.2001,3.2,3.2,3.2001,,800.0
2016-06-01,,,,,,75.0
2016-06-02,3.4,3.3,3.2693,3.4,,1600.0
2016-06-03,5.4999,3.5,3.35,3.35,,16187.0
2016-06-06,3.6,3.6,3.6,3.6,,3500.0
2016-06-07,3.7,3.65,3.6,3.7,,600.0
2016-06-08,,,,,,75.0
2016-06-13,3.7,3.7,3.7,3.7,,225.0
2016-06-14,3.6,3.55,3.55,3.6,,2539.0
2016-06-20,4.05,4.05,4.05,4.05,,100.0
2016-06-21,,,,,,35.0
2016-06-22,3.85,3.85,3.75,3.75,,12535.0
2016-06-23,3.55,3.55,3.55,3.55,,350.0
2016-06-30,3.45,3.35,3.35,3.45,,550.0
2016-07-01,3.25,3.2,3.2,3.25,,200.0
2016-07-08,3.6,3.6,3.6,3.6,,500.0
2016-07-14,3.55,3.55,3.55,3.55,,300.0
2016-07-20,3.55,3.55,3.55,3.55,,500.0
2016-07-22,3.4,3.4,3.4,3.4,,1500.0
2016-07-29,3.3,3.3,3.3,3.3,,1000.0
2016-08-01,3.4,3.4,3.3999,3.3999,,245.0
2016-08-03,,,,,,45.0
2016-08-09,3.6,3.6,3.6,3.6,,200.0
2016-08-10,,,,,,25.0
2016-08-11,3.6,3.6,3.3999,3.3999,,3883.0
2016-08-12,3.6,3.6,3.4,3.4,,4420.0
2016-08-15,3.6,3.6,3.6,3.6,,1000.0
2016-08-16,3.56,3.56,3.55,3.55,,2712.0
2016-08-19,3.5,3.35,3.35,3.5,,1424.0
2016-08-22,3.42,3.25,1.75,3.4,,8898.0
2016-08-24,3.4,3.4,3.4,3.4,,100.0
2016-08-29,3.39,3.39,3.0,3.0,,324.0
2016-08-31,,,,,,52.0
2016-09-01,3.2,3.1,3.1,3.2,,2800.0
2016-09-02,3.25,3.25,3.2,3.2,,11000.0
2016-09-06,3.25,3.15,3.15,3.25,,2800.0
2016-09-07,3.2,3.2,3.1999,3.1999,,2000.0
2016-09-08,3.2,3.2,3.2,3.2,,13000.0
2016-09-09,3.0,3.0,3.0,3.0,,100.0
2016-09-12,3.1,3.1,3.1,3.1,,3255.0
2016-09-15,3.2,3.2,3.0,3.0,,7800.0
2016-09-20,3.2,3.2,3.2,3.2,,100.0
2016-09-21,3.2,3.2,3.02,3.02,,1900.0
2016-09-22,3.1,3.0,3.0,3.1,,8700.0
