Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,27.0,26.39,25.89,25.98,,733075.0
2007-09-20,26.64,26.18,26.0,26.26,,340157.0
2007-09-21,26.42,25.79,25.79,26.42,,523698.0
2007-09-24,26.08,25.44,25.4,25.84,,378396.0
2007-09-25,25.49,25.36,25.1,25.32,,347168.0
2007-09-26,26.17,25.91,25.47,25.48,,261178.0
2007-09-27,26.2,26.15,25.62,26.03,,155831.0
2007-09-28,26.2,25.24,25.13,26.1,,294705.0
2007-10-01,27.17,26.76,25.16,25.16,,335647.0
2007-10-02,26.88,26.75,26.43,26.81,,155375.0
2007-10-03,26.57,25.59,25.47,26.57,,233768.0
2007-10-04,26.01,25.83,25.38,25.64,,260002.0
2007-10-05,26.6,26.45,25.85,26.11,,229018.0
2007-10-08,26.84,26.48,26.13,26.36,,231986.0
2007-10-09,26.99,26.87,26.34,26.5,,203709.0
2007-10-10,27.0,26.89,26.45,26.76,,150975.0
2007-10-11,27.08,25.87,25.87,26.94,,224973.0
2007-10-12,26.65,25.99,25.75,25.8,,93325.0
2007-10-15,26.12,25.73,25.58,25.95,,229685.0
2007-10-16,26.52,25.69,25.56,25.56,,177549.0
2007-10-17,26.5,25.81,25.54,25.99,,162157.0
2007-10-18,26.55,25.97,25.63,25.71,,138991.0
2007-10-19,26.19,25.11,25.01,25.97,,207388.0
2007-10-22,26.05,26.05,24.46,24.98,,171796.0
2007-10-23,26.36,26.32,25.87,26.31,,180363.0
2007-10-24,26.39,26.0,25.19,26.23,,157728.0
2007-10-25,26.5,25.99,25.64,26.04,,116434.0
2007-10-26,26.87,26.87,26.05,26.16,,125546.0
2007-10-29,27.33,27.25,26.56,26.88,,194182.0
2007-10-30,27.66,27.38,27.03,27.18,,214492.0
2007-10-31,27.56,26.95,26.6,27.43,,214899.0
2007-11-01,27.99,27.6,26.58,26.91,,430683.0
2007-11-02,27.32,26.16,24.86,24.95,,710109.0
2007-11-05,26.62,26.11,25.56,25.75,,452309.0
2007-11-06,26.99,26.97,26.07,26.13,,249575.0
2007-11-07,26.98,26.25,26.02,26.59,,229273.0
2007-11-08,27.44,27.26,26.32,26.38,,323276.0
2007-11-09,27.16,26.68,26.55,27.0,,273464.0
2007-11-12,27.86,27.82,26.54,26.54,,262857.0
2007-11-13,28.1,28.0,27.71,27.93,,537792.0
2007-11-14,28.1,28.0,27.63,28.02,,261229.0
2007-11-15,28.17,27.9,27.41,27.84,,344521.0
2007-11-16,28.05,27.95,27.3,27.97,,265974.0
2007-11-19,27.84,26.87,26.63,27.56,,171532.0
2007-11-20,27.45,27.26,26.45,26.81,,399401.0
2007-11-21,27.11,26.58,26.55,27.05,,281212.0
2007-11-23,27.5,27.18,26.48,26.74,,64351.0
2007-11-26,27.24,26.61,26.57,27.11,,164133.0
2007-11-27,27.15,26.9,26.52,26.65,,318754.0
2007-11-28,28.18,27.98,26.99,27.25,,277106.0
2007-11-29,27.99,27.81,27.59,27.96,,154602.0
2007-11-30,28.8,28.46,27.86,28.0,,525140.0
2007-12-03,29.37,28.52,28.32,28.32,,354921.0
2007-12-04,28.34,27.6,27.42,28.23,,322001.0
2007-12-05,28.06,27.74,27.31,28.02,,164008.0
2007-12-06,28.38,28.2,27.6501,27.7,,257334.0
2007-12-07,28.48,28.48,28.0,28.32,,160131.0
2007-12-10,29.02,28.58,28.42,28.46,,258230.0
2007-12-11,28.85,27.71,27.71,28.42,,275626.0
2007-12-12,28.88,27.99,27.32,28.48,,223335.0
2007-12-13,27.86,27.81,27.27,27.78,,142044.0
2007-12-14,27.8,27.3,27.09,27.43,,251782.0
2007-12-17,28.05,27.96,27.02,27.09,,249251.0
2007-12-18,28.83,28.77,27.96,28.17,,372545.0
