Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-12-22,0.9,0.84,0.84,0.9,,3479.0
2014-12-23,0.9,0.9,0.84,0.9,,6020.0
2014-12-26,0.9,0.9,0.9,0.9,,250.0
2014-12-29,1.0,0.9,0.89,0.89,,8600.0
2014-12-30,0.9,0.81,0.81,0.9,,3800.0
2014-12-31,0.89,0.89,0.82,0.82,,4600.0
2015-01-02,0.82,0.82,0.82,0.82,,200.0
2015-01-05,0.9,0.9,0.9,0.9,,150.0
2015-01-07,0.82,0.82,0.82,0.82,,5000.0
2015-01-08,0.81,0.81,0.81,0.81,,1312.0
2015-01-09,0.8301,0.8301,0.8301,0.8301,,1000.0
2015-01-12,0.835,0.835,0.835,0.835,,250.0
2015-01-14,0.82,0.81,0.81,0.81,,3369.0
2015-01-15,0.81,0.81,0.81,0.81,,5504.0
2015-01-22,0.93,0.93,0.93,0.93,,150.0
2015-01-23,0.92,0.92,0.91,0.91,,3100.0
2015-01-26,0.88,0.88,0.88,0.88,,204.0
2015-01-27,0.92,0.92,0.92,0.92,,2000.0
2015-01-28,0.93,0.93,0.93,0.93,,334.0
2015-01-30,,,,,,55.0
2015-02-02,0.88,0.88,0.88,0.88,,212.0
2015-02-03,,,,,,42.0
2015-02-04,0.93,0.93,0.93,0.93,,509.0
2015-02-05,0.93,0.92,0.92,0.93,,3216.0
2015-02-06,0.93,0.9101,0.9101,0.93,,3971.0
2015-02-09,0.9201,0.92,0.92,0.92,,280.0
2015-02-10,0.9201,0.92,0.92,0.92,,3222.0
2015-02-12,0.92,0.9,0.81,0.81,,9800.0
2015-02-13,0.92,0.92,0.9,0.9,,1650.0
2015-02-18,0.92,0.92,0.92,0.92,,250.0
2015-02-19,0.82,0.82,0.82,0.82,,800.0
2015-02-20,0.82,0.82,0.82,0.82,,1500.0
2015-02-24,0.92,0.92,0.92,0.92,,400.0
2015-02-26,0.821,0.821,0.821,0.821,,130.0
2015-03-02,0.92,0.9,0.8,0.821,,5961.0
2015-03-04,0.91,0.9,0.9,0.91,,2994.0
2015-03-05,0.9,0.9,0.9,0.9,,1500.0
2015-03-06,0.85,0.85,0.85,0.85,,647.0
2015-03-09,0.85,0.85,0.85,0.85,,239.0
2015-03-10,0.85,0.85,0.85,0.85,,2175.0
2015-03-12,0.76,0.76,0.76,0.76,,2450.0
2015-03-18,0.8,0.8,0.8,0.8,,20000.0
2015-03-19,0.87,0.85,0.82,0.82,,5550.0
2015-03-20,0.92,0.92,0.87,0.87,,3000.0
2015-03-23,0.95,0.95,0.9,0.9,,4620.0
2015-03-24,0.9,0.9,0.9,0.9,,2400.0
2015-03-25,0.9,0.9,0.9,0.9,,500.0
2015-03-26,0.7901,0.7901,0.7901,0.7901,,1100.0
2015-03-27,0.7902,0.7902,0.7902,0.7902,,4000.0
2015-03-31,0.8199,0.8199,0.79,0.7902,,6135.0
2015-04-01,0.7999,0.76,0.76,0.77,,9500.0
2015-04-02,0.7402,0.7402,0.7402,0.7402,,250.0
2015-04-06,0.7403,0.7403,0.7403,0.7403,,1577.0
2015-04-08,0.79,0.79,0.79,0.79,,2050.0
2015-04-09,0.79,0.79,0.74,0.74,,1127.0
2015-04-14,0.8,0.8,0.8,0.8,,3146.0
2015-04-15,0.85,0.7499,0.74,0.85,,19441.0
2015-04-16,0.72,0.72,0.7199,0.72,,8407.0
2015-04-17,1.0,0.9499,0.7499,0.7499,,7077.0
2015-04-20,,,,,,84.0
2015-04-21,0.7701,0.7701,0.7701,0.7701,,112.0
2015-04-22,0.88,0.88,0.7,0.7602,,23193.0
2015-04-23,0.9,0.9,0.9,0.9,,12395.0
2015-04-28,0.88,0.88,0.88,0.88,,100.0
2015-04-30,0.88,0.88,0.87,0.87,,7600.0
2015-05-01,0.88,0.88,0.88,0.88,,14340.0
2015-05-05,0.89,0.88,0.85,0.8501,,10806.0
2015-05-06,0.88,0.85,0.85,0.85,,11000.0
2015-05-07,0.88,0.88,0.88,0.88,,2000.0
2015-05-08,0.85,0.85,0.85,0.85,,14100.0
2015-05-11,1.01,1.01,0.85,0.85,,24000.0
2015-05-12,0.93,0.86,0.7001,0.9,,33600.0
2015-05-13,0.93,0.85,0.84,0.84,,6100.0
2015-05-14,0.9,0.9,0.85,0.85,,5000.0
2015-05-15,0.88,0.88,0.88,0.88,,10000.0
2015-05-19,0.8801,0.85,0.85,0.88,,9500.0
2015-05-20,0.85,0.85,0.85,0.85,,14250.0
2015-05-21,0.85,0.85,0.85,0.85,,5000.0
2015-05-22,0.92,0.92,0.85,0.87,,10900.0
2015-05-26,0.87,0.87,0.87,0.87,,1100.0
2015-05-27,0.87,0.87,0.87,0.87,,24400.0
2015-05-28,0.9,0.8701,0.87,0.87,,9100.0
2015-05-29,0.93,0.93,0.9,0.9,,8254.0
2015-06-01,0.94,0.94,0.9,0.94,,9688.0
2015-06-02,1.0,0.96,0.9101,0.95,,13125.0
2015-06-03,1.0,1.0,0.94,0.96,,4982.0
2015-06-04,1.44,1.08,1.04,1.04,,31583.0
2015-06-05,1.18,1.16,1.08,1.11,,51702.0
2015-06-08,1.16,1.08,1.08,1.16,,25950.0
2015-06-09,1.13,1.13,1.08,1.08,,5400.0
2015-06-10,1.2,1.2,1.13,1.2,,5588.0
2015-06-11,1.15,1.08,1.08,1.15,,4700.0
