Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,52.75,52.2,51.92,52.33,,2420216.0
2007-09-06,52.2,52.07,51.66,52.18,,1918759.0
2007-09-07,52.15,51.86,51.15,51.5,,1874496.0
2007-09-10,52.1,51.79,51.45,51.69,,1545932.0
2007-09-11,52.14,51.8,51.58,51.79,,1543582.0
2007-09-12,52.12,52.05,51.66,51.84,,1181260.0
2007-09-13,52.34,51.71,51.71,52.17,,1905561.0
2007-09-14,51.77,51.43,51.14,51.71,,1768530.0
2007-09-17,52.1,51.95,51.31,51.31,,1688485.0
2007-09-18,52.65,52.65,51.7,51.93,,2103732.0
2007-09-19,53.15,52.7,52.51,52.75,,1747194.0
2007-09-20,52.8,51.47,51.38,52.8,,2330909.0
2007-09-21,52.0,51.55,51.43,52.0,,6123400.0
2007-09-24,51.95,51.62,51.5,51.64,,2537712.0
2007-09-25,52.11,52.11,51.58,51.6,,1438334.0
2007-09-26,52.7,52.5,52.15,52.32,,2884229.0
2007-09-27,53.14,53.0,52.65,52.75,,2851452.0
2007-09-28,52.65,52.25,52.12,52.65,,1889158.0
2007-10-01,53.06,52.84,52.45,52.45,,3554763.0
2007-10-02,53.18,52.86,52.58,52.76,,2445005.0
2007-10-03,53.2,52.52,52.37,52.86,,2406201.0
2007-10-04,52.95,52.65,52.45,52.83,,2067025.0
2007-10-05,52.79,52.53,52.18,52.75,,1779810.0
2007-10-09,52.8,52.3,51.95,52.8,,1192949.0
2007-10-10,52.27,52.04,51.75,52.27,,1192029.0
2007-10-11,52.37,51.81,51.8,52.25,,2163503.0
2007-10-12,51.97,51.74,51.63,51.95,,2749568.0
2007-10-15,51.88,51.3,51.05,51.88,,1642789.0
2007-10-16,51.4,50.5,50.5,51.25,,2066966.0
2007-10-17,51.33,51.28,50.63,50.85,,2199678.0
2007-10-18,51.45,51.45,51.01,51.1,,1173672.0
2007-10-19,51.22,50.45,50.4,51.14,,1407453.0
2007-10-22,50.82,50.74,50.01,50.1,,1661102.0
2007-10-23,51.24,50.91,50.64,50.94,,3913116.0
2007-10-24,51.24,50.45,50.29,50.92,,1966206.0
2007-10-25,51.13,50.05,50.05,50.95,,1773320.0
2007-10-26,51.6,51.6,50.38,50.59,,2071016.0
2007-10-29,52.55,52.53,51.75,51.75,,1730965.0
2007-10-30,52.85,52.73,52.26,52.34,,2360746.0
2007-10-31,53.49,53.48,52.9,52.9,,3429024.0
2007-11-01,53.48,53.17,52.82,53.02,,2750320.0
2007-11-02,53.5,52.62,52.6,53.46,,3027651.0
2007-11-05,52.5,52.15,51.31,52.2,,2251453.0
2007-11-06,52.45,52.0,51.57,52.45,,2813286.0
2007-11-07,51.85,50.74,50.56,51.74,,2231907.0
2007-11-08,50.92,50.68,49.13,50.6,,2768894.0
2007-11-09,50.98,50.06,49.85,50.1,,2129440.0
2007-11-12,51.24,50.41,50.05,50.05,,1529500.0
2007-11-13,51.47,51.09,50.41,51.0,,1834157.0
2007-11-14,51.72,51.59,50.91,51.51,,2350449.0
2007-11-15,51.32,50.09,50.0,51.19,,1809087.0
2007-11-16,50.31,49.55,49.35,50.31,,2017944.0
2007-11-19,49.7,49.24,48.66,49.54,,1786357.0
2007-11-20,49.64,49.59,48.86,49.2,,2435686.0
2007-11-21,49.45,49.23,48.9,49.4,,2274403.0
2007-11-22,49.7,49.6,48.98,49.3,,626554.0
2007-11-23,49.98,49.7,49.43,49.85,,886057.0
2007-11-26,49.94,49.33,49.25,49.9,,1947941.0
2007-11-27,50.98,50.81,49.03,49.33,,2494815.0
2007-11-28,52.67,52.67,51.04,51.09,,2671688.0
2007-11-29,52.88,52.34,51.92,52.67,,2063464.0
2007-11-30,53.47,52.85,52.71,52.74,,3987418.0
2007-12-03,53.27,52.72,52.46,52.78,,1606545.0
2007-12-04,53.1,52.59,52.1,52.86,,1676855.0
2007-12-05,52.6,52.15,51.86,52.6,,2642044.0
2007-12-06,52.6,52.36,51.13,52.34,,2464636.0
2007-12-07,52.75,52.1,52.02,52.6,,1570452.0
2007-12-10,52.64,52.57,51.63,52.05,,2036426.0
2007-12-11,53.02,52.23,51.85,52.55,,2532842.0
2007-12-12,53.18,52.25,51.86,52.88,,2681020.0
2007-12-13,52.08,51.51,51.25,51.82,,2254844.0
2007-12-14,51.63,51.41,51.0,51.3,,1332040.0
2007-12-17,51.61,51.11,50.8,51.25,,3879712.0
2007-12-18,51.44,50.71,50.29,51.22,,1905361.0
