Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-04-20,20.57,20.38,20.25,20.57,,8303.0
2006-04-21,20.99,19.99,19.86,20.98,,8606.0
2006-04-24,20.13,19.25,19.25,19.99,,3809.0
2006-04-25,19.5,18.52,18.5,19.5,,7456.0
2006-04-26,18.5,18.42,18.35,18.35,,4543.0
2006-04-27,18.75,18.5,18.35,18.35,,5983.0
2006-04-28,18.75,18.7,18.5,18.58,,3970.0
2006-05-01,18.51,18.04,18.01,18.51,,6068.0
2006-05-02,18.07,17.6,17.51,17.99,,6795.0
2006-05-03,18.66,18.5,17.51,17.6,,19833.0
2006-05-04,18.85,18.8,18.5,18.75,,3572.0
2006-05-05,18.85,18.71,18.71,18.85,,500.0
2006-05-08,19.25,19.05,18.6801,18.7,,4958.0
2006-05-09,19.18,18.74,18.3,19.18,,5282.0
2006-05-10,18.83,18.4,18.36,18.83,,1112.0
2006-05-11,18.35,17.52,17.51,18.35,,5989.0
2006-05-12,17.93,17.19,17.1,17.54,,10113.0
2006-05-15,17.96,17.7,17.25,17.25,,2722.0
2006-05-16,18.07,18.07,17.82,17.82,,1858.0
2006-05-17,17.9,17.85,17.15,17.86,,6239.0
2006-05-18,18.398,17.4,17.2,18.0,,8695.0
2006-05-19,17.95,17.8,17.25,17.29,,2587.0
2006-05-22,18.89,18.74,17.35,17.4,,5192.0
2006-05-23,19.0,18.5101,18.5101,18.78,,11247.0
2006-05-24,18.77,18.75,18.07,18.55,,2460.0
2006-05-25,18.89,18.8,18.42,18.47,,5584.0
2006-05-26,18.9,18.28,18.05,18.9,,6307.0
2006-05-30,18.38,17.5,17.5,18.3,,7904.0
2006-05-31,18.12,17.98,17.57,17.57,,6824.0
2006-06-01,18.49,18.18,18.0,18.14,,6525.0
2006-06-02,18.98,18.77,18.43,18.98,,3949.0
2006-06-05,18.79,17.27,17.23,18.78,,15957.0
2006-06-06,18.25,18.07,17.3,17.5,,11794.0
2006-06-07,18.25,18.13,17.6,18.24,,7556.0
2006-06-08,18.14,18.14,17.55,18.0,,4081.0
2006-06-09,18.42,18.07,18.01,18.01,,4426.0
2006-06-12,18.16,17.84,17.71,17.78,,12068.0
2006-06-13,18.35,18.25,17.9,17.95,,5981.0
2006-06-14,18.49,18.49,17.75,18.03,,17120.0
