Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,24.06,23.78,23.37,23.38,,1807700.0
2007-09-20,23.8,23.72,23.5,23.78,,1244200.0
2007-09-21,24.05,23.83,23.67,23.7,,887100.0
2007-09-24,23.91,23.01,22.83,23.76,,1060200.0
2007-09-25,23.09,22.89,22.74,23.0,,1066700.0
2007-09-26,23.18,22.63,22.57,22.94,,1122000.0
2007-09-27,22.86,22.79,22.4,22.69,,1262400.0
2007-09-28,22.81,22.76,22.1,22.53,,1712300.0
2007-10-01,23.22,23.18,22.61,22.75,,830200.0
2007-10-02,23.27,22.96,22.75,23.23,,740900.0
2007-10-03,23.04,23.0,22.4,22.81,,1270100.0
2007-10-04,23.17,23.08,22.795,23.0,,574900.0
2007-10-05,23.37,23.28,23.02,23.22,,833600.0
2007-10-08,23.66,23.61,23.29,23.31,,779600.0
2007-10-09,23.61,23.45,23.15,23.61,,1146300.0
2007-10-10,23.43,23.32,22.71,23.39,,1927400.0
2007-10-11,23.39,22.9,22.74,23.21,,1352000.0
2007-10-12,23.06,23.04,22.64,23.03,,1647700.0
2007-10-15,23.1,22.85,22.53,22.94,,2003500.0
2007-10-16,22.8,22.66,22.06,22.8,,2902900.0
2007-10-17,24.78,24.24,23.58,23.58,,3451700.0
2007-10-18,24.81,24.74,23.9,23.96,,2398100.0
2007-10-19,25.0,24.5,24.32,24.6,,2046400.0
2007-10-22,24.44,24.44,23.65,24.06,,1273300.0
2007-10-23,24.46,24.35,23.8,24.46,,1260500.0
2007-10-24,24.41,24.38,23.66,24.36,,1509300.0
2007-10-25,24.45,24.0,23.82,24.41,,1213700.0
2007-10-26,24.0,23.82,23.73,24.0,,1339700.0
2007-10-29,24.19,24.03,23.72,23.9,,1001700.0
2007-10-30,24.5,24.34,23.92,24.07,,825000.0
2007-10-31,24.86,24.8,24.08,24.51,,1236100.0
2007-11-01,24.71,24.3,24.15,24.58,,1057100.0
2007-11-02,24.5,24.19,23.86,24.46,,1534000.0
2007-11-05,24.26,24.07,23.7,24.11,,1202405.0
2007-11-06,24.25,24.23,23.68,23.99,,1126000.0
2007-11-07,24.13,23.69,23.55,24.13,,1505800.0
2007-11-08,24.37,24.28,23.28,23.49,,1895716.0
2007-11-09,24.25,23.87,23.56,24.04,,1125600.0
2007-11-12,23.91,23.54,23.44,23.88,,1703100.0
2007-11-13,23.9,23.86,23.37,23.81,,1067400.0
2007-11-14,24.5,24.15,23.85,23.86,,1341463.0
2007-11-15,24.34,23.97,23.8,24.0,,1195900.0
2007-11-16,24.16,24.01,23.49,24.0,,1533200.0
2007-11-19,24.11,23.9,23.65,23.8,,1331600.0
2007-11-20,24.18,24.06,23.73,23.73,,1566860.0
2007-11-21,24.28,23.97,23.64,23.89,,874600.0
2007-11-23,24.48,24.35,24.07,24.07,,310600.0
2007-11-26,24.79,24.37,24.26,24.38,,1539936.0
2007-11-27,24.69,24.61,24.05,24.26,,1210300.0
2007-11-28,25.91,25.8,24.54,24.54,,1602725.0
2007-11-29,26.19,25.68,25.48,25.48,,1382424.0
2007-11-30,26.0,25.66,25.35,25.89,,1283380.0
2007-12-03,25.91,25.65,25.42,25.43,,915610.0
2007-12-04,26.07,25.81,25.4,25.59,,818800.0
2007-12-05,26.15,26.04,25.78,25.99,,576000.0
2007-12-06,26.85,26.84,26.0,26.09,,862100.0
2007-12-07,26.8,26.5,26.39,26.8,,661779.0
2007-12-10,27.13,26.87,26.49,26.49,,1098400.0
2007-12-11,27.05,26.39,26.38,26.99,,464750.0
2007-12-12,26.87,26.57,26.46,26.6,,736240.0
2007-12-13,26.66,26.54,25.71,26.2,,741200.0
2007-12-14,26.58,26.34,26.27,26.46,,841000.0
2007-12-17,26.32,25.92,25.86,26.26,,897400.0
2007-12-18,26.2,25.67,25.47,25.99,,972300.0
2007-12-19,25.8,25.3,25.11,25.69,,878200.0
2007-12-20,25.63,25.44,24.93,25.52,,1021160.0
2007-12-21,26.29,26.12,25.6,25.79,,658000.0
2007-12-24,26.71,26.37,26.33,26.39,,256400.0
2007-12-26,26.44,26.17,26.04,26.23,,374900.0
2007-12-27,26.39,25.89,25.83,26.16,,648000.0
2007-12-28,26.22,26.03,25.9,26.12,,261400.0
2007-12-31,26.06,25.65,25.19,25.88,,880811.0
2008-01-02,25.67,25.24,25.1,25.61,,781100.0
2008-01-03,25.46,24.84,24.83,25.46,,671700.0
2008-01-04,24.12,23.8,23.19,23.19,,2075455.0
2008-01-07,23.97,23.32,23.07,23.86,,1524500.0
2008-01-08,23.62,22.77,22.7,23.48,,1086520.0
2008-01-09,22.91,22.68,22.11,22.65,,1899700.0
2008-01-10,23.5,23.29,22.48,22.59,,1332400.0
2008-01-11,23.68,23.3,22.87,23.06,,1119200.0
2008-01-14,24.11,24.09,23.45,23.47,,1327000.0
2008-01-15,23.84,23.48,23.2,23.84,,1110300.0
2008-01-16,23.7,23.19,23.17,23.3,,815515.0
2008-01-17,23.3,22.33,22.22,23.12,,1379200.0
2008-01-18,22.98,22.81,22.19,22.55,,1503300.0
2008-01-22,22.44,21.35,21.14,22.1,,2448188.0
2008-01-23,21.96,21.75,20.46,20.84,,2741411.0
2008-01-24,22.17,21.91,21.62,21.76,,1752400.0
2008-01-25,23.11,22.48,22.03,22.03,,2177261.0
2008-01-28,23.12,23.08,22.06,22.51,,1316900.0
2008-01-29,24.07,23.94,23.1,23.29,,2010000.0
2008-01-30,24.38,24.0,23.7,23.89,,1496216.0
2008-01-31,24.95,24.47,22.0,23.91,,4050120.0
2008-02-01,25.25,24.62,24.27,24.88,,1956100.0
2008-02-04,24.79,24.3,24.22,24.79,,1491500.0
2008-02-05,24.11,23.38,23.22,24.11,,1910900.0
2008-02-06,23.58,23.07,23.02,23.58,,1149400.0
2008-02-07,23.87,23.6,22.69,22.74,,1295225.0
2008-02-08,23.7,23.34,23.13,23.6,,1224000.0
2008-02-11,23.99,23.87,23.02,23.41,,1441700.0
2008-02-12,24.29,23.75,23.54,23.78,,1614937.0
2008-02-13,24.28,23.95,23.74,23.74,,1701339.0
2008-02-14,24.47,24.06,23.92,24.05,,1251100.0
2008-02-15,24.25,24.15,23.74,24.0,,937778.0
2008-02-19,24.45,23.86,23.71,24.4,,1208797.0
2008-02-20,24.32,24.32,23.6,23.7,,915379.0
2008-02-21,24.55,24.08,24.07,24.44,,694267.0
2008-02-22,24.73,24.71,23.65,24.21,,1175701.0
2008-02-25,25.48,25.35,24.76,24.78,,1640713.0
2008-02-26,25.48,25.02,24.89,25.17,,807800.0
2008-02-27,25.4,25.06,24.64,24.88,,639200.0
2008-02-28,25.14,24.76,24.66,24.89,,794500.0
2008-02-29,25.37,24.91,24.45,24.45,,1567764.0
2008-03-03,25.43,25.17,24.67,24.73,,1353600.0
2008-03-04,25.16,24.64,24.24,25.0,,1147261.0
2008-03-05,24.92,24.76,24.5,24.58,,1074342.0
2008-03-06,24.81,24.41,24.35,24.7,,749183.0
2008-03-07,24.7,24.39,24.03,24.25,,1026179.0
2008-03-10,25.47,24.37,24.31,25.47,,1368500.0
2008-03-11,24.98,24.55,23.93,24.92,,1077300.0
2008-03-12,25.05,24.42,24.39,24.65,,1151800.0
2008-03-13,25.01,24.87,23.99,23.99,,1041903.0
2008-03-14,25.02,24.51,24.1,24.97,,1056600.0
2008-03-17,24.12,23.73,23.6,23.76,,1339174.0
2008-03-18,24.55,24.28,23.5699,24.08,,1276951.0
2008-03-19,24.39,23.5,23.47,24.32,,1034471.0
2008-03-20,23.93,23.85,23.02,23.41,,833800.0
2008-03-24,24.72,24.41,23.69,23.81,,908700.0
2008-03-25,25.29,25.06,24.48,24.56,,1030600.0
2008-03-26,25.5,25.18,24.96,25.0,,976360.0
2008-03-27,25.15,24.74,24.63,25.1,,815700.0
2008-03-28,24.9,24.75,24.55,24.62,,761796.0
2008-03-31,25.22,25.16,24.69,24.77,,945000.0
2008-04-01,25.93,25.75,24.97,25.23,,1914880.0
2008-04-02,26.2,25.9,25.48,25.81,,1074300.0
2008-04-03,26.18,26.01,25.475,25.62,,902310.0
2008-04-04,26.58,26.52,26.02,26.16,,909963.0
2008-04-07,26.68,25.79,25.49,26.68,,1308169.0
2008-04-08,26.01,25.66,25.41,25.69,,802000.0
2008-04-09,25.52,25.06,24.77,25.52,,1176682.0
2008-04-10,24.98,24.72,24.48,24.97,,940200.0
2008-04-11,24.57,24.47,24.24,24.51,,910300.0
2008-04-14,24.85,24.66,24.21,24.4,,1807498.0
2008-04-15,25.1,25.05,24.62,24.71,,1173502.0
2008-04-16,26.19,25.87,25.34,25.48,,3329349.0
2008-04-17,27.92,27.48,26.45,27.36,,6187281.0
2008-04-18,28.38,28.33,27.46,27.88,,2357832.0
2008-04-21,28.45,27.82,27.82,28.1,,2153749.0
2008-04-22,28.09,27.57,27.39,27.89,,1729576.0
2008-04-23,27.8,27.13,26.98,27.56,,1873243.0
2008-04-24,27.62,27.28,26.42,27.14,,2067189.0
2008-04-25,27.7,27.51,27.18,27.38,,1147441.0
2008-04-28,27.64,27.21,27.1,27.64,,1074413.0
2008-04-29,27.19,26.6,26.54,27.19,,1301543.0
2008-04-30,27.12,26.84,26.62,26.7,,1300769.0
2008-05-01,27.16,26.93,26.37,26.98,,2004104.0
