Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,39.61,39.59,38.56,38.81,,77101.0
2007-09-20,39.58,39.01,38.48,39.4,,74907.0
2007-09-21,39.46,38.81,38.75,39.38,,101385.0
2007-09-24,38.97,37.62,37.27,38.72,,67119.0
2007-09-25,37.5,37.2,36.93,37.36,,59403.0
2007-09-26,37.6,37.26,37.05,37.31,,55059.0
2007-09-27,37.75,37.66,37.27,37.5,,27250.0
2007-09-28,37.8,36.41,36.35,37.56,,41180.0
2007-10-01,38.71,38.26,36.35,36.35,,69466.0
2007-10-02,38.95,38.7,38.23,38.23,,34238.0
2007-10-03,38.58,37.99,37.68,38.35,,35029.0
2007-10-04,38.61,38.13,38.09,38.22,,48353.0
2007-10-05,39.51,39.15,38.1,38.58,,51954.0
2007-10-08,39.14,38.82,38.35,39.14,,25160.0
2007-10-09,39.21,38.95,38.33,38.93,,23593.0
2007-10-10,39.3,38.97,38.34,38.95,,38532.0
2007-10-11,39.45,37.91,37.61,38.97,,37636.0
2007-10-12,38.75,38.24,37.76,37.76,,35378.0
2007-10-15,38.04,36.91,36.35,38.04,,52869.0
2007-10-16,37.15,36.41,36.25,37.0,,65083.0
2007-10-17,37.87,36.88,36.09,37.09,,52751.0
2007-10-18,37.45,36.79,36.27,37.21,,56612.0
2007-10-19,36.76,35.71,35.62,36.76,,76168.0
2007-10-22,37.4,37.28,35.26,35.29,,70663.0
2007-10-23,37.78,36.74,36.12,37.54,,62334.0
2007-10-24,36.73,36.16,35.1,36.38,,54223.0
2007-10-25,37.02,36.33,35.78,36.45,,53634.0
2007-10-26,37.91,37.51,36.36,36.94,,64189.0
2007-10-29,37.7,37.11,36.72,37.7,,55253.0
2007-10-30,37.4,36.98,36.83,36.94,,35548.0
2007-10-31,38.17,37.81,36.84,37.28,,42535.0
2007-11-01,37.27,35.1,35.04,37.18,,86359.0
2007-11-02,35.6,35.05,34.5,35.6,,49419.0
2007-11-05,34.91,34.52,33.9,34.44,,47141.0
2007-11-06,35.86,35.84,33.9,34.64,,60403.0
2007-11-07,35.26,34.07,34.01,35.26,,56043.0
2007-11-08,35.91,35.87,34.15,34.36,,77598.0
2007-11-09,36.14,35.96,34.53,35.07,,71301.0
2007-11-12,36.98,36.27,35.51,35.99,,64073.0
2007-11-13,37.38,37.04,36.08,36.6,,69367.0
2007-11-14,37.35,36.61,36.22,37.35,,88103.0
2007-11-15,37.2,36.19,35.62,36.36,,127533.0
2007-11-16,36.33,35.78,35.49,36.3,,90401.0
2007-11-19,35.48,34.52,33.9,35.4,,98230.0
2007-11-20,36.15,35.55,34.23,34.47,,125659.0
2007-11-21,36.94,35.69,35.28,35.4,,77445.0
2007-11-23,37.34,36.83,36.04,36.04,,21226.0
2007-11-26,36.83,34.43,34.38,36.83,,57770.0
2007-11-27,35.93,35.76,34.09,34.58,,57153.0
2007-11-28,37.71,37.42,35.76,36.32,,70983.0
2007-11-29,37.18,36.11,36.0,37.18,,43915.0
2007-11-30,36.92,35.98,35.59,36.7,,106014.0
2007-12-03,36.11,35.19,34.77,35.92,,61878.0
2007-12-04,35.32,34.71,34.25,34.95,,81417.0
2007-12-05,35.69,35.44,34.77,35.25,,37168.0
