Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,19.35,19.26,19.12,19.35,,199797.0
2007-09-06,19.13,19.05,18.51,18.65,,2811999.0
2007-09-07,19.04,18.84,18.8,19.04,,758823.0
2007-09-10,18.94,18.82,18.75,18.84,,451627.0
2007-09-11,18.91,18.91,18.82,18.85,,952645.0
2007-09-12,19.22,19.2,18.85,18.91,,636074.0
2007-09-13,19.49,19.46,19.15,19.25,,682922.0
2007-09-14,19.75,19.62,19.5,19.5,,311350.0
2007-09-17,19.62,19.61,19.47,19.6,,303373.0
2007-09-18,19.9,19.9,19.52,19.61,,327426.0
2007-09-19,20.12,19.66,19.65,19.9,,808488.0
2007-09-20,19.69,19.6,19.3,19.54,,676016.0
2007-09-21,19.67,19.67,19.35,19.6,,467650.0
2007-09-24,20.11,20.07,19.42,19.67,,673370.0
2007-09-25,20.07,20.02,19.63,19.85,,670395.0
2007-09-26,20.19,20.11,19.8,20.01,,686888.0
2007-09-27,20.53,20.5,19.95,20.15,,657354.0
2007-09-28,20.9,20.84,20.5,20.5,,564901.0
2007-10-01,20.94,20.81,20.6,20.8,,1073096.0
2007-10-02,20.92,20.92,20.52,20.79,,790110.0
2007-10-03,20.92,20.76,20.71,20.92,,659859.0
2007-10-04,21.18,21.1,20.62,20.75,,544303.0
2007-10-05,21.49,21.45,21.01,21.01,,572973.0
2007-10-09,21.61,21.46,21.22,21.42,,601774.0
2007-10-10,22.0,21.78,21.4,21.5,,497657.0
2007-10-11,22.2,21.85,21.7,21.85,,626475.0
2007-10-12,22.03,21.98,21.81,22.0,,635279.0
2007-10-15,22.4,22.23,22.05,22.05,,624509.0
2007-10-16,22.4,22.3,22.15,22.17,,454768.0
2007-10-17,22.55,22.37,22.05,22.05,,906468.0
2007-10-18,22.48,22.35,22.26,22.37,,677133.0
2007-10-19,22.34,22.12,21.92,22.25,,1488304.0
2007-10-22,22.25,22.22,21.58,21.88,,373668.0
2007-10-23,22.28,22.08,21.98,21.98,,276602.0
2007-10-24,22.25,22.21,21.56,22.08,,246942.0
2007-10-25,22.5,22.45,22.25,22.25,,220812.0
2007-10-26,23.26,23.14,22.39,22.5,,1851594.0
2007-10-29,23.14,23.1,22.93,23.14,,285292.0
2007-10-30,23.15,22.74,22.6,23.15,,320621.0
2007-10-31,23.2,23.2,22.63,22.71,,2021787.0
2007-11-01,23.25,23.13,22.85,23.2,,354313.0
2007-11-02,23.69,23.52,23.1,23.1,,599853.0
2007-11-05,23.6,23.32,23.0,23.54,,382246.0
2007-11-06,23.58,23.58,23.32,23.32,,744519.0
2007-11-07,23.6,23.15,23.0,23.6,,424934.0
2007-11-08,23.46,23.02,22.9,23.39,,713493.0
2007-11-09,23.14,22.9,22.7,23.02,,653799.0
2007-11-12,22.81,22.42,22.18,22.45,,335812.0
2007-11-13,22.5,22.49,22.0,22.42,,683970.0
2007-11-14,23.14,22.93,22.62,22.63,,800869.0
2007-11-15,22.86,22.8,22.5,22.51,,1318816.0
2007-11-16,23.12,23.02,22.74,22.92,,1147600.0
2007-11-19,23.19,22.95,22.7,23.02,,344040.0
2007-11-20,23.78,23.69,23.02,23.15,,1148900.0
2007-11-21,24.22,23.8,23.42,23.47,,759325.0
2007-11-22,23.95,23.81,23.68,23.95,,414113.0
2007-11-23,24.59,24.5,23.8,23.8,,326113.0
2007-11-26,24.97,24.39,24.39,24.5,,942451.0
2007-11-27,24.37,23.9,23.4,24.37,,754430.0
2007-11-28,23.82,23.7,23.24,23.69,,831350.0
2007-11-29,23.8,23.69,23.4,23.51,,586900.0
2007-11-30,24.0,23.7,23.46,23.47,,1244851.0
2007-12-03,24.35,24.03,23.33,23.35,,645035.0
2007-12-04,24.22,24.0,23.81,23.81,,490133.0
2007-12-05,24.89,24.8,23.89,24.0,,706008.0
2007-12-06,25.0,24.93,24.25,24.76,,632125.0
2007-12-07,25.15,24.9,24.61,24.93,,460564.0
2007-12-10,24.95,24.8,24.75,24.82,,387785.0
2007-12-11,24.98,24.43,24.43,24.82,,259184.0
2007-12-12,24.47,24.45,24.28,24.43,,1681227.0
2007-12-13,24.45,24.45,24.29,24.3,,527043.0
2007-12-14,24.45,24.42,24.29,24.4,,484881.0
2007-12-17,24.42,24.1,24.08,24.42,,300964.0
2007-12-18,24.23,23.86,23.86,24.1,,386083.0
2007-12-19,24.2,24.13,23.57,23.68,,573055.0
2007-12-20,24.2,24.08,23.91,24.12,,367144.0
2007-12-21,24.67,24.52,24.0,24.09,,747862.0
2007-12-24,24.63,24.63,24.41,24.5,,200902.0
2007-12-27,24.85,24.77,24.45,24.74,,326595.0
2007-12-28,24.94,24.92,24.6,24.65,,935613.0
2007-12-31,25.07,24.81,24.6,25.0,,209595.0
2008-01-02,25.24,25.22,24.82,24.82,,845727.0
2008-01-03,25.45,25.45,25.01,25.2,,987424.0
2008-01-04,25.2,25.02,25.01,25.18,,570169.0
2008-01-07,25.19,24.1,23.9,25.19,,840953.0
2008-01-08,24.43,23.92,23.65,24.07,,628369.0
2008-01-09,24.08,23.9,23.73,23.85,,797028.0
2008-01-10,23.89,23.76,22.78,23.78,,390933.0
2008-01-11,24.35,24.11,23.62,23.62,,567339.0
2008-01-14,24.92,24.89,24.29,24.3,,606726.0
2008-01-15,24.94,24.86,24.59,24.8,,634622.0
2008-01-16,24.94,24.71,24.22,24.22,,667535.0
2008-01-17,24.94,23.9,23.85,24.74,,354556.0
2008-01-18,24.48,23.29,23.11,24.1,,621108.0
2008-01-21,22.5,21.98,21.06,22.37,,379519.0
2008-01-22,23.25,23.21,21.44,21.55,,677221.0
