Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,4.56,4.4,4.3899,4.5208,,47467.0
2007-09-20,4.47,4.47,4.43,4.45,,8468.0
2007-09-21,4.49,4.41,4.41,4.4301,,4250.0
2007-09-24,4.5,4.46,4.4,4.5,,24404.0
2007-09-25,4.43,4.32,4.26,4.4,,43400.0
2007-09-26,4.38,4.38,4.3396,4.3396,,11975.0
2007-09-27,4.38,4.32,4.29,4.33,,23592.0
2007-09-28,4.45,4.38,4.3,4.3,,7885.0
2007-10-01,4.4,4.34,4.32,4.32,,11214.0
2007-10-02,4.46,4.4,4.34,4.34,,5962.0
2007-10-03,4.43,4.41,4.39,4.4,,4101.0
2007-10-04,4.4,4.4,4.38,4.4,,146842.0
2007-10-05,4.43,4.37,4.35,4.4,,11573.0
2007-10-08,4.42,4.38,4.38,4.3801,,18591.0
2007-10-09,4.42,4.36,4.36,4.42,,53191.0
2007-10-10,4.38,4.37,4.35,4.36,,3048.0
2007-10-11,4.42,4.37,4.35,4.42,,15375.0
2007-10-12,4.41,4.34,4.34,4.34,,16751.0
2007-10-15,4.39,4.38,4.34,4.3501,,8797.0
2007-10-16,4.37,4.2,4.147,4.37,,91092.0
2007-10-17,4.22,4.19,4.14,4.15,,24278.0
2007-10-18,4.19,4.18,4.02,4.14,,22366.0
2007-10-19,4.27,4.15,4.13,4.19,,69388.0
2007-10-22,4.33,4.33,4.14,4.14,,29515.0
2007-10-23,4.33,4.33,4.131,4.131,,21722.0
2007-10-24,4.4,4.35,4.29,4.29,,22055.0
2007-10-25,4.7,4.58,4.5,4.5,,33999.0
2007-10-26,4.83,4.83,4.63,4.76,,48724.0
2007-10-29,5.05,4.63,4.47,4.83,,240026.0
2007-10-30,4.85,4.76,4.67,4.6799,,40920.0
2007-10-31,5.0,4.92,4.79,4.79,,94397.0
2007-11-01,5.09,5.01,4.87,4.87,,243948.0
2007-11-02,5.35,5.3,5.0,5.21,,189642.0
2007-11-05,5.44,5.35,5.14,5.44,,182087.0
2007-11-06,5.47,5.29,5.27,5.4,,69251.0
2007-11-07,5.25,5.24,5.04,5.25,,117756.0
2007-11-08,5.24,4.98,4.83,5.24,,69161.0
2007-11-09,4.91,4.66,4.66,4.9,,184342.0
2007-11-12,4.75,4.61,4.41,4.53,,88993.0
2007-11-13,4.94,4.94,4.64,4.64,,32373.0
2007-11-14,5.45,5.1,4.99,5.45,,130481.0
2007-11-15,5.16,4.99,4.94,5.07,,76791.0
2007-11-16,4.97,4.85,4.85,4.9,,9187.0
2007-11-19,5.25,4.965,4.72,4.72,,67163.0
2007-11-20,5.162,4.87,4.87,5.11,,73751.0
2007-11-21,4.91,4.8,4.8,4.81,,31413.0
2007-11-23,4.87,4.84,4.79,4.7999,,22660.0
2007-11-26,4.9952,4.926,4.7601,4.94,,49377.0
2007-11-27,5.05,5.02,4.95,4.97,,37691.0
2007-11-28,5.14,5.12,5.04,5.05,,37905.0
2007-11-29,5.18,5.02,4.98,5.15,,38686.0
2007-11-30,5.22,5.2,4.97,5.12,,53529.0
2007-12-03,5.36,5.2,5.12,5.14,,61314.0
2007-12-04,5.33,5.25,5.2301,5.26,,36817.0
2007-12-05,5.28,5.28,5.11,5.11,,26705.0
2007-12-06,5.31,5.24,5.2,5.26,,121995.0
2007-12-07,5.22,5.02,4.99,5.21,,74394.0
2007-12-10,5.15,5.04,4.99,5.08,,66429.0
2007-12-11,5.24,5.17,5.04,5.04,,72127.0
2007-12-12,5.45,5.4,5.03,5.2,,22206.0
2007-12-13,5.62,5.38,5.25,5.48,,72354.0
2007-12-14,5.45,5.36,5.32,5.39,,44206.0
2007-12-17,5.55,5.31,5.21,5.41,,63559.0
2007-12-18,5.6,5.47,5.4,5.45,,45065.0
2007-12-19,5.6,5.5,5.49,5.5,,60938.0
2007-12-20,5.65,5.65,5.51,5.6,,52844.0
2007-12-21,6.05,5.73,5.69,5.72,,80889.0
2007-12-24,5.97,5.7,5.64,5.88,,61776.0
2007-12-26,5.91,5.9,5.55,5.61,,66389.0
2007-12-27,5.87,5.75,5.65,5.87,,38990.0
2007-12-28,5.82,5.61,5.55,5.79,,31700.0
2007-12-31,5.55,5.53,5.41,5.55,,50637.0
2008-01-02,5.76,5.46,5.33,5.71,,51522.0
2008-01-03,5.66,5.33,5.26,5.56,,39124.0
2008-01-04,5.48,5.28,5.2672,5.33,,43301.0
2008-01-07,5.43,5.15,5.15,5.17,,36388.0
2008-01-08,5.35,5.11,5.0,5.06,,57625.0
2008-01-09,5.28,5.19,5.1,5.19,,36231.0
2008-01-10,5.19,5.16,5.06,5.19,,30740.0
2008-01-11,5.08,4.95,4.5,5.06,,67956.0
2008-01-14,4.92,4.84,4.7,4.88,,58132.0
2008-01-15,4.7299,4.64,4.53,4.63,,52843.0
2008-01-16,4.62,4.58,4.05,4.5901,,33566.0
2008-01-17,4.5299,4.14,4.14,4.5,,48906.0
2008-01-18,4.28,4.14,4.05,4.1,,56182.0
2008-01-22,4.18,4.08,4.05,4.05,,29287.0
2008-01-23,4.32,4.25,4.05,4.05,,32270.0
2008-01-24,4.4,4.4,4.3,4.3,,14038.0
2008-01-25,4.58,4.39,4.39,4.41,,42272.0
2008-01-28,4.43,4.32,4.3,4.36,,15385.0
2008-01-29,4.33,4.29,4.2,4.28,,23969.0
2008-01-30,4.28,4.19,4.19,4.2,,25954.0
2008-01-31,4.28,4.17,4.1,4.14,,22084.0
2008-02-01,4.23,4.23,4.02,4.22,,50952.0
2008-02-04,4.31,4.12,4.06,4.31,,24134.0
2008-02-05,4.12,4.06,4.05,4.06,,25633.0
2008-02-06,4.13,4.1,4.06,4.06,,15045.0
2008-02-07,4.15,4.03,4.03,4.11,,4900.0
2008-02-08,4.13,4.07,4.07,4.1,,9922.0
2008-02-11,4.154,4.15,4.0,4.11,,23643.0
2008-02-12,4.13,4.05,4.05,4.1,,25505.0
2008-02-13,4.17,4.14,4.04,4.05,,44546.0
2008-02-14,4.15,4.1,4.03,4.11,,34266.0
