Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,19.9955,19.04,18.65,19.5,,126936.0
2007-09-20,19.31,18.89,18.33,19.07,,44592.0
2007-09-21,19.01,18.74,18.2,19.01,,26353.0
2007-09-24,19.5,19.02,18.73,18.73,,39419.0
2007-09-25,19.43,19.1,18.91,19.0,,17912.0
2007-09-26,19.44,19.3,18.92,19.05,,48222.0
2007-09-27,19.48,19.48,18.97,19.42,,17120.0
2007-09-28,19.75,19.72,19.22,19.42,,35915.0
2007-10-01,19.95,19.87,19.47,19.75,,38092.0
2007-10-02,20.0,19.89,19.68,19.97,,50789.0
2007-10-03,19.93,19.93,19.49,19.89,,46736.0
2007-10-04,20.0,20.0,19.52,20.0,,37738.0
2007-10-05,19.87,19.74,19.54,19.78,,36578.0
2007-10-08,19.77,19.42,19.31,19.67,,43037.0
2007-10-09,19.35,19.02,18.4409,19.28,,44752.0
2007-10-10,19.27,18.9801,18.65,18.95,,37538.0
2007-10-11,19.34,18.98,18.91,18.91,,8346.0
2007-10-12,19.15,18.78,18.44,19.03,,16590.0
2007-10-15,19.52,19.34,18.45,18.85,,176325.0
2007-10-16,19.56,19.5,18.59,19.0,,51092.0
2007-10-17,19.98,19.98,19.54,19.58,,39726.0
2007-10-18,20.49,20.49,19.2,19.98,,94031.0
2007-10-19,20.69,20.5,20.25,20.47,,66162.0
2007-10-22,20.5,20.43,19.96,20.41,,25440.0
2007-10-23,21.26,21.24,19.45,20.51,,116949.0
2007-10-24,21.86,21.47,21.08,21.23,,132583.0
2007-10-25,22.2899,21.9,21.5,21.5,,190626.0
2007-10-26,22.73,22.2,21.99,22.27,,166029.0
2007-10-29,23.0,22.63,22.32,22.32,,46845.0
2007-10-30,23.33,22.91,22.5,22.63,,64333.0
2007-10-31,23.2199,22.91,22.4,22.9,,44403.0
2007-11-01,23.77,22.77,22.02,22.81,,59303.0
2007-11-02,23.18,22.37,22.11,22.72,,45854.0
2007-11-05,23.06,22.76,22.15,22.15,,32178.0
2007-11-06,23.37,23.16,22.15,22.71,,40031.0
2007-11-07,23.05,22.39,22.16,23.05,,63446.0
2007-11-08,22.97,22.85,22.15,22.6,,49550.0
2007-11-09,23.25,23.2,22.14,22.71,,36522.0
2007-11-12,24.93,24.04,22.52,23.27,,76080.0
2007-11-13,25.15,24.17,23.94,24.17,,325322.0
2007-11-14,24.316,23.905,23.74,24.13,,42260.0
2007-11-15,23.83,21.98,21.98,23.83,,82894.0
2007-11-16,22.07,20.24,19.55,21.92,,147576.0
2007-11-19,20.37,19.6,19.03,20.16,,65564.0
2007-11-20,20.15,18.99,18.85,19.54,,40374.0
2007-11-21,19.04,18.175,17.86,19.04,,42545.0
2007-11-23,18.46,18.41,17.78,18.14,,32626.0
2007-11-26,18.43,18.19,17.9,18.42,,67621.0
2007-11-27,19.38,18.29,17.94,17.97,,61158.0
2007-11-28,18.38,18.33,18.02,18.28,,90487.0
2007-11-29,18.33,18.22,18.21,18.26,,18652.0
2007-11-30,18.7,18.63,18.08,18.3,,46948.0
2007-12-03,19.05,18.71,18.56,18.57,,19870.0
2007-12-04,19.02,18.75,18.25,18.62,,39229.0
2007-12-05,19.02,19.01,18.72,18.75,,17090.0
2007-12-06,20.82,20.02,18.95,18.95,,63308.0
2007-12-07,21.43,20.24,19.79,20.0,,55726.0
2007-12-10,21.0,20.82,19.3,20.31,,42395.0
2007-12-11,20.89,19.84,19.52,20.89,,38938.0
2007-12-12,20.53,19.4,19.4,20.45,,34305.0
2007-12-13,20.5,20.04,19.27,19.32,,24898.0
2007-12-14,19.95,19.3,19.0,19.95,,25533.0
2007-12-17,19.28,16.72,16.41,19.25,,72178.0
2007-12-18,17.96,17.26,16.8,16.8,,39591.0
2007-12-19,19.05,18.9,17.084,17.31,,40939.0
2007-12-20,19.33,18.01,17.6,19.1,,28562.0
2007-12-21,19.18,19.18,17.96,18.12,,36845.0
2007-12-24,19.48,18.99,17.91,19.26,,17492.0
2007-12-26,19.15,18.35,18.0,19.0,,12474.0
2007-12-27,19.15,18.6299,18.38,19.14,,6200.0
2007-12-28,19.37,18.8,18.38,19.32,,22778.0
2007-12-31,19.5,18.95,18.26,18.68,,17735.0
2008-01-02,19.03,17.63,17.51,19.03,,35026.0
2008-01-03,18.0,17.31,17.03,17.54,,45657.0
2008-01-04,17.3799,15.42,15.01,17.24,,48871.0
2008-01-07,16.99,16.82,15.26,15.4,,33427.0
2008-01-08,17.42,16.57,16.18,17.0,,79683.0
2008-01-09,16.63,16.5,15.41,16.48,,78029.0
2008-01-10,16.4699,16.36,15.89,16.4,,38322.0
2008-01-11,17.59,17.5,15.9101,15.9101,,62769.0
