Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,10.07,10.07,9.9601,9.98,,28800.0
2007-09-20,10.1,10.03,9.9699,10.0,,17600.0
2007-09-21,10.1799,10.15,10.0,10.03,,14400.0
2007-09-24,10.16,10.12,10.12,10.15,,7200.0
2007-09-25,10.2,10.1,10.1,10.11,,8700.0
2007-09-26,10.1799,10.1,10.1,10.1,,6300.0
2007-09-27,10.14,10.1,10.07,10.1,,6200.0
2007-09-28,10.14,10.07,10.07,10.14,,11100.0
2007-10-01,10.16,10.02,9.98,10.16,,19600.0
2007-10-02,10.04,10.02,9.98,10.04,,7700.0
2007-10-03,10.1501,10.06,9.99,9.99,,14400.0
2007-10-04,10.03,9.99,9.97,10.03,,9500.0
2007-10-05,10.06,10.06,9.91,9.98,,15000.0
2007-10-08,10.04,10.01,9.98,10.01,,12800.0
2007-10-09,9.97,9.89,9.86,9.94,,24900.0
2007-10-10,9.9701,9.95,9.91,9.95,,20574.0
2007-10-11,9.98,9.98,9.9699,9.97,,2800.0
2007-10-12,9.98,9.98,9.91,9.95,,9600.0
2007-10-15,9.98,9.93,9.93,9.95,,4300.0
2007-10-16,9.98,9.98,9.9,9.9,,6300.0
2007-10-17,10.0001,9.94,9.9399,10.0,,5300.0
2007-10-18,9.95,9.82,9.82,9.87,,11000.0
2007-10-19,9.91,9.8335,9.8,9.83,,20500.0
2007-10-22,9.9,9.86,9.8,9.8,,5100.0
2007-10-23,9.97,9.97,9.85,9.86,,18800.0
2007-10-24,9.91,9.86,9.86,9.91,,4300.0
2007-10-25,9.93,9.91,9.83,9.83,,12300.0
2007-10-26,9.92,9.9101,9.82,9.9,,9200.0
2007-10-29,9.98,9.95,9.91,9.91,,12200.0
2007-10-30,10.01,9.92,9.75,10.0,,51300.0
2007-10-31,9.9199,9.9199,9.8,9.8,,12600.0
2007-11-01,9.99,9.93,9.8601,9.91,,13200.0
2007-11-02,9.98,9.85,9.85,9.91,,14600.0
2007-11-05,9.82,9.75,9.75,9.82,,6100.0
2007-11-06,9.93,9.86,9.79,9.79,,10400.0
2007-11-07,9.85,9.73,9.73,9.83,,16000.0
2007-11-08,9.73,9.57,9.5301,9.73,,13300.0
2007-11-09,9.54,9.52,9.46,9.46,,14400.0
2007-11-12,9.52,9.52,9.46,9.51,,11800.0
2007-11-13,9.5,9.452,9.36,9.4,,17901.0
2007-11-14,9.52,9.45,9.42,9.42,,8400.0
2007-11-15,9.4,9.37,9.25,9.4,,17100.0
2007-11-16,9.39,9.31,9.15,9.35,,29800.0
2007-11-19,9.33,9.29,9.2,9.27,,17600.0
2007-11-20,9.37,9.309,9.26,9.27,,33500.0
2007-11-21,9.3399,9.266,9.25,9.27,,9000.0
2007-11-23,9.38,9.23,9.23,9.25,,6600.0
2007-11-26,9.34,9.34,9.18,9.21,,20100.0
2007-11-27,9.31,9.22,9.12,9.3,,33400.0
