Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2008-11-04,10.15,10.1,9.75,10.0,,35520.0
2008-11-05,10.11,10.05,10.0,10.11,,29001.0
2008-11-06,10.18,10.01,10.0,10.0,,18343.0
2008-11-07,10.15,10.02,9.95,10.15,,8300.0
2008-11-10,10.05,10.04,9.98,10.05,,4400.0
2008-11-11,9.98,9.85,9.85,9.98,,8699.0
2008-11-12,10.05,9.85,9.85,10.0,,17123.0
2008-11-13,10.05,10.0,9.9,9.95,,19391.0
2008-11-14,10.0,10.0,9.95,10.0,,4580.0
2008-11-17,10.35,9.96,9.96,10.0,,11100.0
2008-11-18,10.05,10.0,9.95,10.0,,21680.0
2008-11-19,10.0,9.99,9.99,10.0,,14740.0
2008-11-20,9.99,9.8,9.8,9.99,,18550.0
2008-11-21,10.8,9.76,9.75,10.0,,26350.0
2008-11-24,10.49,10.49,9.77,9.95,,13859.0
2008-11-25,10.2,10.0,9.86,10.0,,8835.0
2008-11-26,10.48,10.45,9.9,10.0,,11980.0
2008-11-28,10.1,10.01,10.01,10.1,,9220.0
2008-12-01,10.0,10.0,9.76,9.96,,6930.0
2008-12-02,10.0,9.9,9.85,9.85,,18720.0
2008-12-03,10.3,10.0,10.0,10.3,,14370.0
2008-12-04,10.3,10.3,10.0,10.0,,5000.0
2008-12-05,10.9,10.5,10.25,10.45,,27363.0
2008-12-08,10.9,10.75,10.49,10.69,,16566.0
2008-12-09,11.44,10.9,10.6,10.9,,9300.0
2008-12-10,10.96,10.7,10.61,10.61,,4150.0
2008-12-11,10.9,10.7,10.65,10.7,,4171.0
2008-12-12,10.88,10.5,10.5,10.7,,19306.0
2008-12-15,10.51,10.49,10.35,10.51,,5100.0
2008-12-16,10.5,10.4,10.25,10.49,,17970.0
2008-12-17,10.49,10.49,10.49,10.49,,1000.0
2008-12-18,10.48,10.48,10.25,10.35,,15650.0
2008-12-19,10.5,10.28,10.28,10.49,,8197.0
2008-12-22,10.45,10.25,10.25,10.4,,21260.0
2008-12-23,10.45,10.25,10.25,10.37,,4884.0
2008-12-24,10.21,10.2,10.2,10.21,,5500.0
2008-12-29,10.3,10.3,10.3,10.3,,2174.0
2008-12-30,10.3,10.3,10.3,10.3,,1600.0
2008-12-31,10.43,10.43,10.3,10.3,,2586.0
2009-01-02,10.5,10.5,10.43,10.43,,7020.0
2009-01-05,10.45,10.45,10.45,10.45,,350.0
2009-01-06,10.8,10.8,10.55,10.79,,6300.0
2009-01-08,10.65,10.6,10.55,10.56,,16895.0
2009-01-09,10.75,10.55,10.55,10.65,,9557.0
2009-01-12,10.75,10.75,10.64,10.64,,3000.0
2009-01-13,10.85,10.84,10.6,10.84,,6162.0
2009-01-14,10.78,10.75,10.51,10.75,,10900.0
2009-01-15,10.74,10.7,10.57,10.7,,4988.0
2009-01-16,10.65,10.65,10.65,10.65,,700.0
2009-01-19,11.0,11.0,10.74,10.74,,4155.0
2009-01-20,10.8,10.79,10.6,10.61,,4262.0
2009-01-21,10.85,10.85,10.79,10.79,,2050.0
2009-01-22,10.98,10.75,10.62,10.98,,13110.0
2009-01-23,10.84,10.7,10.65,10.84,,3660.0
2009-01-26,10.66,10.38,10.38,10.66,,23500.0
2009-01-27,10.58,10.54,10.4,10.58,,2600.0
2009-01-28,10.57,10.57,10.41,10.57,,10059.0
2009-01-29,10.67,10.6,10.6,10.66,,4618.0
2009-01-30,10.68,10.65,10.6,10.6,,1000.0
2009-02-02,10.65,10.56,10.56,10.6,,2790.0
2009-02-03,10.74,10.74,10.62,10.65,,7170.0
2009-02-04,10.99,10.65,10.55,10.7,,17545.0
2009-02-05,11.19,10.9,10.9,10.98,,10024.0
2009-02-06,11.17,10.95,10.9,10.9,,6250.0
2009-02-09,11.11,10.9,10.83,11.11,,11971.0
2009-02-10,11.2,10.77,10.77,11.1,,19550.0
2009-02-11,10.91,10.8,10.76,10.76,,25108.0
2009-02-12,11.1,11.07,10.8,10.82,,14029.0
2009-02-13,12.0,12.0,10.9,11.07,,13915.0
2009-02-17,12.0,11.0,11.0,11.01,,17580.0
2009-02-18,11.31,10.95,10.95,11.0,,9460.0
2009-02-19,11.11,11.0,10.96,11.11,,4990.0
2009-02-20,11.0,10.55,10.5,11.0,,26929.0
2009-02-23,10.86,10.54,10.5,10.75,,29355.0
2009-02-24,10.64,10.64,10.3,10.55,,13315.0
2009-02-25,10.8,10.75,10.64,10.75,,12370.0
2009-02-26,11.14,11.14,10.5,10.75,,33700.0
2009-02-27,10.98,10.89,10.8,10.85,,9450.0
2009-03-02,10.75,10.75,10.55,10.71,,12578.0
2009-03-03,10.76,10.39,10.39,10.76,,34315.0
2009-03-04,10.6,10.49,10.38,10.48,,24955.0
2009-03-05,10.48,10.4,10.3,10.48,,14460.0
2009-03-06,10.35,10.15,10.0,10.27,,17579.0
2009-03-09,10.01,9.85,9.5,10.01,,9955.0
2009-03-10,10.0,9.82,9.65,9.85,,23095.0
2009-03-11,10.12,9.85,9.7,9.95,,21600.0
2009-03-12,10.04,9.98,9.81,10.03,,29710.0
2009-03-13,10.05,10.05,9.81,9.93,,15630.0
2009-03-16,10.15,10.15,9.95,10.05,,10000.0
2009-03-17,10.05,9.9,9.75,10.05,,9600.0
2009-03-18,9.89,9.89,9.85,9.85,,1975.0
2009-03-19,10.18,10.18,10.02,10.09,,8989.0
2009-03-20,10.06,10.05,10.05,10.06,,6800.0
2009-03-23,10.08,10.0,9.91,10.0,,7993.0
2009-03-24,10.02,10.0,9.95,9.96,,7330.0
2009-03-25,10.0,10.0,9.9,10.0,,2594.0
2009-03-26,10.14,9.93,9.93,10.02,,7484.0
2009-03-27,10.05,10.05,10.03,10.03,,3400.0
2009-03-30,10.2,10.0,10.0,10.0,,10381.0
2009-03-31,10.0,10.0,9.9,9.92,,3500.0
2009-04-01,10.1,10.1,9.95,10.0,,2000.0
2009-04-02,10.15,10.11,10.06,10.15,,4156.0
2009-04-03,10.26,10.23,10.05,10.26,,15050.0
2009-04-06,10.37,10.37,10.11,10.11,,2850.0
2009-04-07,10.35,10.3,10.2,10.3,,11240.0
2009-04-08,10.3,10.25,10.12,10.25,,11150.0
2009-04-09,10.42,10.36,10.28,10.37,,10601.0
2009-04-13,10.35,10.35,10.27,10.28,,12800.0
2009-04-14,10.36,10.35,10.27,10.28,,4075.0
2009-04-15,10.43,10.39,10.39,10.43,,860.0
2009-04-16,10.55,10.55,10.35,10.4,,18548.0
2009-04-17,10.74,10.68,10.05,10.74,,15735.0
2009-04-20,10.41,10.4,10.4,10.41,,1090.0
2009-04-21,10.63,10.4,10.4,10.55,,8160.0
2009-04-22,10.76,10.75,10.43,10.43,,9210.0
2009-04-23,10.76,10.57,10.57,10.75,,2510.0
2009-04-24,10.99,10.99,10.68,10.7,,8000.0
2009-04-27,10.99,10.75,10.75,10.99,,18440.0
2009-04-28,10.7,10.6,10.6,10.7,,1550.0
2009-04-29,10.9,10.9,10.6,10.87,,13952.0
2009-04-30,11.14,10.9,10.81,10.97,,12600.0
2009-05-01,11.05,11.0,10.8,10.85,,7900.0
2009-05-04,11.49,11.01,11.01,11.49,,5156.0
2009-05-05,11.25,11.0,11.0,11.24,,17720.0
2009-05-06,11.31,11.18,10.83,10.83,,31280.0
2009-05-07,11.96,11.0,10.91,11.5,,20205.0
2009-05-08,11.32,11.24,11.0,11.01,,9075.0
2009-05-11,11.19,10.75,10.75,11.0,,9285.0
2009-05-12,11.12,11.12,10.65,10.76,,17775.0
2009-05-13,11.1,10.95,10.52,10.99,,19300.0
2009-05-14,11.0,10.76,10.75,10.9,,28520.0
2009-05-15,11.05,11.05,10.76,10.77,,13030.0
2009-05-19,11.04,11.0,10.92,11.0,,16435.0
2009-05-20,11.2,11.05,10.9,10.9,,13810.0
2009-05-21,11.0,11.0,10.75,11.0,,11300.0
2009-05-22,10.95,10.85,10.85,10.9,,12100.0
2009-05-25,10.84,10.8,10.71,10.84,,3901.0
2009-05-26,10.8,10.75,10.7,10.8,,12730.0
2009-05-27,10.8,10.71,10.71,10.75,,7390.0
2009-05-28,11.4,11.4,10.81,10.85,,6090.0
2009-05-29,10.95,10.95,10.95,10.95,,130.0
2009-06-01,11.0,10.96,10.96,11.0,,700.0
2009-06-02,11.1,11.0,10.81,11.1,,10150.0
2009-06-03,11.1,11.0,10.86,10.86,,6720.0
2009-06-04,11.05,11.0,10.86,10.95,,8910.0
2009-06-05,11.4,11.4,11.2,11.2,,12900.0
2009-06-08,11.7,11.7,11.4,11.4,,13910.0
2009-06-09,12.6,12.05,11.7,11.7,,22970.0
2009-06-10,12.49,11.84,11.81,12.49,,19900.0
2009-06-11,12.06,11.98,11.8,11.83,,13095.0
2009-06-12,12.23,12.0,12.0,12.0,,13956.0
2009-06-15,12.01,11.58,11.58,12.01,,13315.0
2009-06-16,11.7,11.7,11.5,11.7,,8390.0
2009-06-17,11.5,11.5,11.38,11.5,,10054.0
2009-06-18,11.5,11.35,11.3,11.5,,7500.0
2009-06-19,11.69,11.69,11.35,11.35,,7700.0
2009-06-22,11.4,11.25,11.25,11.3,,4400.0
2009-06-23,11.39,11.18,11.18,11.25,,1900.0
2009-06-24,11.9,11.9,11.16,11.26,,10220.0
2009-06-25,11.5,11.44,11.34,11.34,,2591.0
2009-06-26,11.5,11.29,11.29,11.41,,6850.0
2009-06-29,11.3,11.3,11.15,11.29,,7450.0
2009-06-30,11.49,11.3,11.17,11.49,,3400.0
2009-07-02,11.22,11.2,11.07,11.22,,5750.0
2009-07-03,11.5,11.49,11.4,11.4,,2570.0
2009-07-06,11.49,11.49,11.48,11.48,,880.0
2009-07-07,11.9,11.23,11.23,11.9,,8735.0
2009-07-08,11.31,11.01,11.01,11.31,,13195.0
2009-07-09,11.89,11.89,11.15,11.16,,6677.0
2009-07-10,11.5,11.5,11.5,11.5,,175.0
2009-07-13,11.27,11.25,11.25,11.26,,6898.0
2009-07-14,11.65,11.65,11.39,11.41,,1780.0
2009-07-15,11.83,11.83,11.41,11.7,,8485.0
2009-07-16,11.89,11.77,11.69,11.89,,8040.0
2009-07-17,11.92,11.9,11.77,11.77,,9000.0
2009-07-20,12.0,11.75,11.75,11.9,,8317.0
2009-07-21,11.98,11.55,11.41,11.41,,7741.0
2009-07-22,11.98,11.94,11.73,11.98,,2755.0
2009-07-23,11.64,11.61,11.5,11.6,,5200.0
2009-07-24,11.9,11.9,11.88,11.88,,4900.0
2009-07-27,11.9,11.71,11.55,11.56,,4500.0
2009-07-28,11.87,11.87,11.65,11.8,,4746.0
2009-07-29,12.0,12.0,11.85,11.89,,11680.0
2009-07-30,12.2,12.0,11.99,11.99,,14550.0
2009-07-31,12.1,11.91,11.9,11.9,,3200.0
2009-08-04,12.1,11.85,11.85,12.1,,7955.0
2009-08-05,11.9,11.75,11.74,11.9,,17038.0
2009-08-06,11.7,11.7,11.54,11.7,,21455.0
2009-08-07,12.0,12.0,11.59,11.9,,6855.0
2009-08-10,11.99,11.9,11.9,11.91,,11980.0
2009-08-11,11.8,11.8,11.7,11.7,,1200.0
2009-08-12,11.9,11.9,11.8,11.8,,10534.0
2009-08-13,12.1,11.55,11.55,11.68,,5005.0
2009-08-14,12.0,11.9,11.9,11.9,,10450.0
2009-08-17,11.67,11.6,11.51,11.52,,4700.0
2009-08-18,11.93,11.79,11.36,11.6,,15485.0
2009-08-19,11.6,11.6,11.6,11.6,,2210.0
2009-08-20,11.8,11.79,11.62,11.65,,4850.0
2009-08-21,11.85,11.71,11.71,11.79,,10400.0
2009-08-24,11.8,11.7,11.7,11.75,,7600.0
2009-08-25,11.85,11.8,11.7,11.7,,12350.0
2009-08-26,11.9,11.85,11.76,11.8,,18700.0
2009-08-27,11.9,11.89,11.61,11.61,,23430.0
2009-08-28,11.98,11.9,11.8,11.89,,24490.0
