Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-16,13.85,13.25,13.25,13.85,,6300.0
2007-08-17,14.25,14.25,13.02,13.02,,8350.0
2007-08-20,14.04,14.04,14.04,14.04,,300.0
2007-08-21,14.25,14.25,14.0,14.0,,2100.0
2007-08-22,14.62,14.25,14.21,14.62,,10340.0
2007-08-23,14.5,14.5,14.25,14.25,,2050.0
2007-08-24,15.24,14.94,14.5,14.55,,6830.0
2007-08-27,14.94,14.75,14.62,14.62,,3900.0
2007-08-28,14.41,14.36,14.36,14.41,,1200.0
2007-08-29,14.46,14.45,14.05,14.4,,7200.0
2007-08-30,14.6,14.6,14.6,14.6,,4300.0
2007-08-31,14.77,14.77,14.65,14.7,,1900.0
2007-09-04,14.94,14.94,14.94,14.94,,500.0
2007-09-05,14.95,14.55,14.5,14.95,,3952.0
2007-09-06,14.45,13.5,13.5,14.45,,7150.0
2007-09-07,13.79,13.55,13.41,13.79,,3400.0
2007-09-10,13.61,13.61,13.37,13.37,,707.0
2007-09-11,13.6,13.5,13.33,13.33,,7507.0
2007-09-12,13.49,13.47,13.25,13.49,,4900.0
2007-09-13,13.65,13.19,12.76,13.27,,17410.0
2007-09-14,13.02,13.02,12.7,12.7,,5450.0
2007-09-17,13.45,13.45,13.04,13.04,,7187.0
2007-09-18,13.75,13.35,13.3,13.3,,9448.0
2007-09-19,14.0,13.75,13.37,13.8,,15666.0
2007-09-20,13.85,13.5,13.4,13.85,,5829.0
2007-09-21,14.0,13.75,13.34,13.5,,10200.0
2007-09-24,14.0,14.0,13.8,13.9,,5100.0
2007-09-25,14.43,14.26,14.0,14.0,,5395.0
2007-09-26,14.2,14.0,13.7,14.2,,5670.0
2007-09-27,14.19,14.19,14.0,14.05,,6035.0
2007-09-28,14.2,13.78,13.75,14.1,,6700.0
2007-10-01,14.1,13.71,13.71,14.09,,2750.0
2007-10-02,13.85,13.85,13.41,13.71,,6700.0
2007-10-03,14.2,13.9,13.75,13.75,,8525.0
2007-10-04,14.2,14.0,13.85,14.2,,3265.0
2007-10-05,14.6,14.25,14.2,14.2,,9900.0
2007-10-09,14.18,13.77,13.77,14.18,,10175.0
2007-10-10,13.75,13.56,13.4,13.75,,2800.0
2007-10-11,13.86,13.49,13.45,13.51,,11780.0
2007-10-12,13.9,13.9,13.68,13.69,,3852.0
2007-10-15,13.55,13.55,13.54,13.54,,2000.0
2007-10-16,13.86,13.8,13.5,13.55,,5400.0
2007-10-17,13.9,13.9,13.69,13.69,,3425.0
2007-10-18,14.0,13.81,13.81,14.0,,8200.0
2007-10-19,13.6,13.55,13.55,13.6,,900.0
