Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-04-27,40.89,39.73,37.0,38.0,69579.0,16392446.0
2018-04-30,40.19,38.63,37.53,39.9047,16121.0,3312463.0
2018-05-01,39.89,39.45,37.85,38.7,7928.0,1285573.0
2018-05-02,40.5,39.32,38.75,39.85,7506.0,1251440.0
2018-05-03,42.56,41.96,38.81,39.69,11427.0,2783655.0
2018-05-04,42.66,41.09,41.01,42.4,5340.0,763525.0
2018-05-07,41.912,41.31,41.04,41.65,4057.0,630844.0
2018-05-08,43.6799,43.22,40.5,41.5,4434.0,821183.0
2018-05-09,44.87,44.1,43.245,44.44,6950.0,1178122.0
2018-05-10,46.699,44.01,43.66,44.88,8681.0,1467879.0
2018-05-11,45.8895,44.37,44.01,44.56,5438.0,762193.0
2018-05-14,45.7265,44.19,43.37,44.99,6844.0,1032010.0
2018-05-15,45.73,45.46,43.495,44.39,2873.0,423001.0
2018-05-16,45.65,45.23,44.56,45.34,2482.0,299008.0
2018-05-17,46.4,44.9,44.55,45.2,2792.0,339527.0
2018-05-18,45.0,44.78,44.36,44.75,2161.0,350812.0
2018-05-21,45.5,42.98,41.72,45.5,5468.0,804373.0
2018-05-22,44.72,43.05,42.851,43.24,5749.0,1062700.0
2018-05-23,45.62,45.42,43.1,43.64,6767.0,1125441.0
2018-05-24,47.7,46.8,45.2962,45.94,7082.0,1011734.0
2018-05-25,48.9,46.37,46.1071,47.23,4918.0,678083.0
2018-05-29,49.33,48.43,45.855,46.67,5954.0,931091.0
2018-05-30,51.0,49.99,48.56,48.9,7012.0,830985.0
2018-05-31,51.2009,49.81,49.53,50.13,6350.0,867073.0
2018-06-01,50.74,50.12,49.76,50.28,4296.0,564739.0
2018-06-04,54.15,53.65,50.54,51.0,8563.0,1121220.0
2018-06-05,58.28,54.59,52.0,54.29,17147.0,2463590.0
2018-06-06,57.38,57.36,54.36,55.63,7758.0,989487.0
2018-06-07,59.86,55.99,53.5,58.95,24081.0,3617122.0
2018-06-08,60.45,57.92,55.31,58.25,40868.0,7147612.0
2018-06-11,60.0,59.54,58.2,58.3,14577.0,2131421.0
2018-06-12,63.35,61.82,60.0,60.49,16797.0,2408591.0
2018-06-13,64.97,63.77,62.0,63.28,14885.0,2126685.0
2018-06-14,65.8159,63.53,63.1,64.99,14565.0,1932240.0
2018-06-15,64.58,63.95,62.3,63.09,15146.0,3584226.0
2018-06-18,66.191,63.9,61.6452,63.51,10763.0,1557289.0
2018-06-19,64.7,63.87,57.6,62.14,25393.0,3791386.0
2018-06-20,66.8,62.46,62.03,64.67,16611.0,2381465.0
2018-06-21,63.19,57.59,57.47,63.06,22203.0,3209053.0
2018-06-22,58.99,57.55,55.0,58.9,17477.0,4039279.0
2018-06-25,55.6552,55.0,52.05,55.58,17067.0,2847085.0
2018-06-26,56.9689,56.47,54.9,55.49,8980.0,1601609.0
2018-06-27,57.2,51.77,51.74,56.95,13989.0,2266959.0
2018-06-28,54.0,53.04,50.3435,51.62,16278.0,2311962.0
2018-06-29,54.0,52.95,51.8305,53.67,8896.0,1636890.0
2018-07-02,53.16,52.34,50.5,52.46,12396.0,1933451.0
2018-07-03,53.5,51.97,51.85,52.46,5052.0,721656.0
2018-07-05,55.39,54.62,51.5934,52.49,15148.0,2171958.0
2018-07-06,55.96,54.95,54.07,54.75,8260.0,1177586.0
2018-07-09,56.49,55.35,54.8711,55.28,6528.0,901392.0
2018-07-10,55.77,52.37,52.19,55.77,11569.0,1583095.0
2018-07-11,53.76,51.98,51.61,52.0,7353.0,1120288.0
2018-07-12,56.44,55.37,51.5,52.24,13483.0,2377655.0
2018-07-13,56.0,55.33,54.68,55.38,6809.0,1038908.0
2018-07-16,57.2787,55.05,54.9,55.25,5717.0,831103.0
2018-07-17,55.4,54.09,52.94,54.5,9240.0,1461329.0
2018-07-18,54.6,53.05,52.91,53.93,7550.0,939139.0
2018-07-19,53.81,52.36,51.93,52.93,9462.0,1209115.0
2018-07-20,52.7652,52.21,51.71,52.25,5101.0,663053.0
2018-07-23,55.85,55.53,51.75,51.97,8608.0,1260325.0
2018-07-24,57.5,53.79,52.9,56.12,13097.0,1763749.0
2018-07-25,55.6617,54.69,53.76,53.76,5053.0,559543.0
2018-07-26,55.88,55.51,53.77,54.01,10493.0,1622956.0
2018-07-27,57.0,54.82,53.5,56.73,9826.0,1317612.0
2018-07-30,55.24,51.71,50.06,54.92,13593.0,2140130.0
2018-07-31,54.96,53.9,51.51,51.89,9504.0,1178245.0
2018-08-01,56.15,55.75,54.1947,54.3,6534.0,895808.0
2018-08-02,59.18,58.91,55.0,55.39,10152.0,1361061.0
2018-08-03,59.5999,57.01,56.25,59.15,6465.0,858334.0
2018-08-06,60.39,60.0,57.16,57.16,7147.0,957615.0
2018-08-07,60.95,59.89,59.4564,60.75,6744.0,919697.0
2018-08-08,61.81,61.35,59.2,59.45,6286.0,855024.0
2018-08-09,62.15,60.45,60.175,61.67,6576.0,820272.0
2018-08-10,60.45,58.2,57.12,60.3,10183.0,1525797.0
2018-08-13,58.38,56.14,55.57,58.1,8336.0,965146.0
2018-08-14,58.225,57.85,55.73,56.56,4847.0,590765.0
2018-08-15,57.8,56.15,55.3,57.25,5589.0,779498.0
2018-08-16,57.91,57.69,56.06,56.96,4761.0,620177.0
2018-08-17,59.4,58.68,56.355,57.47,4791.0,611193.0
2018-08-20,62.0,61.22,57.9,58.91,8121.0,1395594.0
2018-08-21,63.8,62.5,61.56,61.69,10019.0,1381150.0
2018-08-22,63.3666,61.84,60.34,62.3,6334.0,870236.0
2018-08-23,64.939,63.9,61.86,61.86,9567.0,1279716.0
2018-08-24,67.21,65.54,64.0,64.25,7918.0,1133392.0
2018-08-27,67.71,65.53,64.63,66.99,8468.0,1053263.0
2018-08-28,68.35,66.3,65.72,66.0,8999.0,1225362.0
