Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2012-01-26,0.2,0.2,0.2,0.2,1000.0
2012-03-20,0.92,0.92,0.92,0.92,200.0
2012-03-22,0.9,0.9,0.9,0.9,600.0
2012-07-05,0.9,0.9,0.9,0.9,200.0
2012-07-11,0.89,0.89,0.89,0.89,200.0
2012-08-22,1.0,1.0,0.59,0.59,400.0
2012-12-04,0.25,0.25,0.25,0.25,200.0
2013-04-01,0.25,0.25,0.25,0.25,100.0
2013-04-05,0.25,0.2,0.2,0.25,10000.0
2013-04-08,0.2,0.2,0.2,0.2,4000.0
2013-04-10,0.2,0.2,0.2,0.2,1000.0
2013-05-01,0.2,0.2,0.2,0.2,26500.0
2013-05-08,0.15,0.15,0.1,0.15,13000.0
2013-06-13,0.2,0.2,0.2,0.2,5000.0
2013-07-16,0.022,0.022,0.022,0.022,10000.0
2013-08-13,0.05,0.05,0.05,0.05,10000.0
2013-11-15,0.1,0.1,0.1,0.1,5000.0
2013-12-26,,,,,34.0
2014-01-15,0.05,0.05,0.05,0.05,10000.0
2014-03-07,0.051,0.05,0.05,0.051,20000.0
2015-02-24,0.01,0.01,0.01,0.01,5000.0
2015-05-28,0.007,0.007,0.007,0.007,100.0
2015-08-03,0.1,0.1,0.1,0.1,5000.0
2015-08-12,0.05,0.05,0.05,0.05,5000.0
2015-10-26,0.1,0.05,0.05,0.1,700.0
2015-12-04,0.0975,0.0975,0.0975,0.0975,100.0
2016-02-11,,,,,10.0
2016-03-17,0.05,0.05,0.05,0.05,4900.0
2016-05-09,0.1,0.1,0.0975,0.0975,1625.0
2016-06-06,0.1,0.0999,0.0999,0.1,2000.0
2016-08-11,0.2,0.2,0.2,0.2,100.0
2016-09-07,0.0501,0.0501,0.05,0.05,3250.0
2016-12-12,,,,,50.0
2017-01-05,0.05,0.05,0.05,0.05,10000.0
2017-02-07,0.2,0.2,0.175,0.2,20366.0
2017-02-23,0.175,0.175,0.175,0.175,5000.0
2017-02-24,0.18,0.18,0.18,0.18,500.0
2017-02-28,0.15,0.15,0.15,0.15,1000.0
2017-03-02,0.12,0.12,0.12,0.12,20000.0
2017-03-06,0.11,0.1,0.1,0.11,29000.0
2017-03-07,0.11,0.11,0.11,0.11,1000.0
2017-03-09,0.11,0.11,0.11,0.11,2000.0
2017-03-15,0.115,0.115,0.1,0.1,19000.0
2017-05-01,0.1,0.1,0.1,0.1,100.0
2017-05-10,0.1,0.1,0.1,0.1,10500.0
2017-08-03,0.055,0.055,0.055,0.055,100.0
2017-08-07,0.055,0.055,0.055,0.055,13846.0
2017-11-07,0.07,0.07,0.07,0.07,3000.0
2017-11-13,,,,,2.0
2018-01-24,0.09,0.09,0.09,0.09,644.0
2018-02-27,0.055,0.055,0.055,0.055,3000.0
2018-04-05,,,,,74.0
2018-07-06,0.08,0.08,0.08,0.08,100.0
2018-08-20,,,,,50.0
2018-08-27,0.08,0.08,0.08,0.08,500.0
2018-08-28,0.0865,0.0865,0.0865,0.0865,1000.0
2018-09-24,0.055,0.055,0.055,0.055,100.0
2018-10-01,0.06,0.06,0.06,0.06,200.0
2018-10-18,0.06,0.06,0.06,0.06,200.0
2018-11-09,0.06,0.06,0.06,0.06,670.0
2018-11-30,0.06,0.055,0.055,0.06,2398.0
2019-01-07,0.05,0.05,0.05,0.05,10000.0
2019-01-17,0.04,0.04,0.04,0.04,20000.0
2019-01-28,0.03,0.03,0.03,0.03,9672.0
2019-03-07,0.03,0.03,0.03,0.03,10000.0
2019-03-13,0.025,0.025,0.025,0.025,10000.0
2019-03-18,0.015,0.015,0.015,0.015,10000.0
2019-03-22,0.015,0.015,0.015,0.015,10000.0
2019-03-27,0.014,0.014,0.014,0.014,10000.0
2019-05-01,0.015,0.015,0.015,0.015,2000.0
2019-06-10,,,,,50.0
2019-07-17,,,,,10.0
2019-07-23,0.015,0.015,0.015,0.015,1000.0
2019-07-29,0.015,0.015,0.015,0.015,20000.0
2019-07-30,0.03,0.03,0.03,0.03,16000.0
