Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2008-12-17,65.28,59.39,56.87,64.65,,6700.0
2008-12-18,53.87,52.71,51.77,53.48,,8379.0
2008-12-19,50.2,50.2,50.2,50.2,,100.0
2008-12-22,52.14,48.91,48.68,51.9,,7195.0
2008-12-23,55.52,55.52,48.22,51.15,,12000.0
2008-12-24,50.16,50.09,49.39,49.94,,6285.0
2008-12-26,51.108,50.77,49.87,51.0,,2400.0
2008-12-29,53.49,50.77,50.56,52.76,,9624.0
2008-12-30,55.72,55.72,53.4,53.4,,2500.0
2008-12-31,57.944,57.944,56.25,56.63,,5826.0
2009-01-02,61.073,61.073,56.0,58.9,,6505.0
2009-01-05,58.83,57.85,56.83,58.04,,4967.0
2009-01-06,61.16,60.81,57.94,60.53,,2382.0
2009-01-07,59.57,57.53,56.18,59.38,,12180.0
2009-01-08,59.25,58.59,57.71,57.71,,1250.0
2009-01-09,58.11,55.6,54.492,58.11,,2060.0
2009-01-12,52.14,49.14,48.87,51.93,,4152.0
2009-01-13,47.72,46.93,45.522,46.154,,2970.0
2009-01-14,42.92,41.0,40.13,42.92,,1595.0
2009-01-15,44.17,39.524,38.62,40.0,,13809.0
2009-01-16,44.97,41.6,40.0,44.97,,7805.0
2009-01-20,38.01,33.41,33.41,38.01,,14410.0
2009-01-21,37.754,37.754,34.4301,34.84,,11408.0
2009-01-22,37.5,34.364,33.16,37.5,,5800.0
2009-01-23,34.0,34.0,31.3036,31.42,,3416.0
2009-01-26,37.33,36.36,35.36,35.96,,20239.0
2009-01-27,39.97,38.3,37.5,39.97,,5712.0
2009-01-28,43.07,42.34,41.41,42.11,,25538.0
2009-01-29,39.55,36.08,36.08,38.71,,23336.0
2009-01-30,37.2,34.7901,34.62,35.89,,32211.0
2009-02-02,35.11,34.11,32.47,33.13,,8523.0
2009-02-03,37.6799,37.26,35.75,35.75,,4167.0
2009-02-04,39.97,36.659,36.4,39.97,,7335.0
2009-02-05,38.8,38.8,35.25,35.25,,4300.0
2009-02-06,41.64,41.1299,39.1,39.1,,7180.0
2009-02-09,42.97,41.81,40.49,42.97,,4137.0
2009-02-10,38.51,35.03,34.5,38.51,,7291.0
2009-02-11,36.6,35.7,33.93,36.45,,12170.0
2009-02-12,35.18,35.04,32.5,32.61,,10807.0
2009-02-13,35.68,34.94,34.55,34.8,,3706.0
2009-02-17,30.02,28.7211,28.5,30.02,,8878.0
2009-02-18,29.43,28.568,27.44,29.43,,4129.0
2009-02-19,33.7,28.0826,28.0826,33.7,,6799.0
