Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,73.66,72.8,72.67,72.91,,374800.0
2007-09-20,74.21,73.88,73.63,74.06,,520800.0
2007-09-21,73.9,73.39,73.33,73.45,,285600.0
2007-09-24,74.32,73.71,73.58,74.27,,321900.0
2007-09-25,73.45,73.32,72.97,73.35,,687800.0
2007-09-26,74.13,73.99,73.46,73.81,,444400.0
2007-09-27,74.39,74.11,73.82,74.35,,283800.0
2007-09-28,74.24,73.76,73.55,73.96,,383700.0
2007-10-01,75.0,74.98,73.7,73.72,,376000.0
2007-10-02,73.73,73.38,73.0,73.54,,300900.0
2007-10-03,72.98,72.37,72.2156,72.8,,2106100.0
2007-10-04,73.12,73.08,71.9601,72.25,,332700.0
2007-10-05,73.68,73.39,73.19,73.23,,371400.0
2007-10-08,73.11,72.81,72.49,73.01,,206500.0
2007-10-09,74.23,74.23,73.4,73.4,,438000.0
2007-10-10,74.43,74.16,73.53,73.69,,380800.0
2007-10-11,75.36,74.46,73.86,74.72,,432000.0
2007-10-12,75.03,74.94,74.39,74.91,,276100.0
2007-10-15,76.05,75.46,75.03,75.8,,906900.0
2007-10-16,75.79,75.66,75.25,75.54,,593100.0
2007-10-17,75.56,75.02,74.48,75.56,,464100.0
2007-10-18,75.0,74.85,74.17,74.7,,428300.0
2007-10-19,74.55,73.7,73.58,74.5,,838300.0
2007-10-22,70.9,70.52,69.9,70.86,,999800.0
2007-10-23,70.96,70.89,70.26,70.61,,893300.0
2007-10-24,71.21,71.21,70.01,70.53,,568400.0
2007-10-25,71.52,71.27,70.6,71.1,,511600.0
2007-10-26,72.75,72.75,72.111,72.34,,370000.0
2007-10-29,73.73,73.62,72.66,72.9,,538235.0
2007-10-30,72.94,72.26,72.2,72.94,,286500.0
2007-10-31,73.23,73.08,71.88,72.11,,488700.0
2007-11-01,72.11,71.02,70.93,72.11,,515200.0
2007-11-02,72.17,71.74,70.95,71.46,,594800.0
2007-11-05,71.31,70.96,70.38,70.92,,981500.0
2007-11-06,71.65,71.6,70.83,70.98,,249700.0
2007-11-07,73.56,72.05,71.82,73.14,,843217.0
2007-11-08,71.96,70.84,69.95,71.61,,861737.0
2007-11-09,71.08,69.91,69.56,70.77,,681200.0
2007-11-12,68.29,67.22,67.2,67.62,,697480.0
2007-11-13,69.05,68.92,67.18,67.28,,597100.0
2007-11-14,69.74,68.62,68.33,69.48,,427600.0
2007-11-15,69.43,68.3,67.7,69.2,,848400.0
2007-11-16,71.47,71.47,70.29,70.84,,899400.0
2007-11-19,70.61,69.99,69.68,70.38,,493400.0
2007-11-20,71.86,71.41,70.55,70.66,,623835.0
2007-11-21,72.06,71.07,71.02,71.78,,593800.0
2007-11-23,71.4465,71.2,70.47,70.87,,173000.0
2007-11-26,71.65,69.65,69.55,71.24,,475848.0
2007-11-27,70.05,70.05,69.0,69.47,,724854.0
2007-11-28,70.87,70.6,69.26,69.42,,631231.0
2007-11-29,71.43,70.78,70.37,70.43,,600092.0
2007-11-30,71.88,71.56,70.85,70.85,,766740.0
2007-12-03,71.23,71.09,70.49,71.06,,392358.0
2007-12-04,71.79,71.54,71.39,71.44,,421100.0
2007-12-05,73.13,72.69,72.35,72.58,,467150.0
2007-12-06,74.03,73.74,72.85,72.86,,405400.0
2007-12-07,73.7,73.25,73.22,73.52,,262240.0
2007-12-10,73.5,73.05,72.75,73.05,,279700.0
2007-12-11,72.77,71.33,71.1,72.63,,889100.0
2007-12-12,73.48,72.92,72.16,73.38,,599700.0
2007-12-13,72.38,71.82,71.02,72.26,,582700.0
2007-12-14,71.27,70.6,70.4,70.8,,379100.0
2007-12-17,70.16,69.35,69.25,70.15,,447200.0
2007-12-18,70.67,69.76,69.0,70.57,,339300.0
2007-12-19,70.88,70.25,69.67,70.71,,523400.0
2007-12-20,71.17,71.17,70.48,70.79,,464000.0
2007-12-21,71.35,71.19,70.76,71.18,,361700.0
2007-12-24,71.64,71.54,71.22,71.38,,63400.0
2007-12-26,72.06,71.82,71.58,71.94,,186000.0
2007-12-27,73.0328,72.8,72.24,72.57,,391100.0
2007-12-28,74.01,73.74,73.28,73.9,,286686.0
2007-12-31,73.74,72.43,67.23,73.74,,312805.0
2008-01-02,73.89,73.8,73.16,73.22,,501915.0
2008-01-03,75.08,74.67,74.4,74.9,,373200.0
2008-01-04,75.08,73.78,73.73,75.08,,542850.0
2008-01-07,75.2,75.13,74.44,74.91,,644575.0
2008-01-08,75.3,73.7,73.69,75.09,,480706.0
2008-01-09,74.6899,74.44,73.8,74.11,,1426608.0
2008-01-10,74.83,74.72,73.76,73.85,,644772.0
2008-01-11,74.18,73.5,73.35,73.85,,480800.0
2008-01-14,74.8663,74.41,73.98,74.84,,409658.0
2008-01-15,73.84,72.41,72.24,73.61,,537432.0
2008-01-16,71.89,69.24,69.24,71.59,,1579339.0
2008-01-17,70.16,67.78,67.57,69.8,,829820.0
2008-01-18,69.0499,67.93,67.13,68.58,,700550.0
2008-01-22,64.8,64.38,62.27,62.46,,1439000.0
2008-01-23,63.02,62.81,59.72,60.46,,1556577.0
2008-01-24,64.79,64.61,63.2,64.16,,648981.0
2008-01-25,66.04,63.56,63.2101,65.7,,950450.0
2008-01-28,65.03,64.95,63.47,64.0,,447200.0
2008-01-29,65.02,64.75,64.23,64.76,,3058475.0
2008-01-30,65.05,63.69,63.25,63.465,,1204113.0
2008-01-31,64.97,64.69,63.01,63.21,,2000685.0
2008-02-01,65.04,64.69,64.27,64.49,,1532233.0
2008-02-04,65.8,65.59,65.22,65.61,,697310.0
2008-02-05,63.95,62.23,62.2,63.85,,903121.0
2008-02-06,63.49,62.29,62.12,63.39,,837480.0
2008-02-07,62.06,61.79,60.98,61.12,,833067.0
2008-02-08,62.1,61.95,61.35,61.66,,781089.0
2008-02-11,62.41,62.22,61.42,62.21,,614230.0
2008-02-12,64.72,63.83,63.72,64.22,,1099955.0
2008-02-13,64.75,64.62,63.92,64.02,,659048.0
2008-02-14,66.11,65.21,65.09,65.3,,860050.0
2008-02-15,66.45,66.34,64.93,65.09,,1247147.0
2008-02-19,68.5999,68.09,67.76,68.31,,753685.0
2008-02-20,68.13,67.82,66.64,66.77,,792300.0
2008-02-21,67.81,66.82,66.69,67.76,,579615.0
2008-02-22,68.1,67.94,66.72,68.0,,720174.0
2008-02-25,69.02,68.88,67.98,68.33,,767157.0
2008-02-26,69.68,69.36,67.89,68.28,,1107673.0
2008-02-27,70.54,70.12,69.26,69.26,,934910.0
2008-02-28,70.85,70.7,69.99,70.05,,990200.0
2008-02-29,69.79,68.93,68.8,69.77,,625800.0
2008-03-03,69.82,68.81,68.03,69.35,,1013538.0
2008-03-04,68.95,68.82,67.92,68.4,,1381331.0
2008-03-05,71.64,71.63,69.59,69.93,,1665222.0
2008-03-06,71.12,70.01,69.91,71.07,,566300.0
2008-03-07,70.03,68.75,68.46,69.5,,1058768.0
2008-03-10,69.42,68.5,68.25,69.03,,664561.0
2008-03-11,70.77,70.77,69.67,70.29,,752300.0
2008-03-12,70.53,69.59,69.41,70.08,,600500.0
