Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,28.66,28.52,27.81,28.08,,1253300.0
2007-09-20,28.8,28.59,28.32,28.39,,975500.0
2007-09-21,29.24,28.8,28.7,28.9,,1485000.0
2007-09-24,28.88,28.24,28.14,28.77,,817100.0
2007-09-25,28.19,27.41,27.39,28.01,,1156800.0
2007-09-26,28.27,28.1,27.41,27.51,,1113200.0
2007-09-27,27.85,27.63,26.83,27.5,,1930100.0
2007-09-28,27.68,27.44,27.16,27.68,,1319798.0
2007-10-01,28.13,27.9,27.14,27.33,,1085400.0
2007-10-02,28.2,28.13,27.65,27.86,,567699.0
2007-10-03,28.09,28.04,27.53,27.93,,1082700.0
2007-10-04,28.13,27.5,27.44,28.04,,1013400.0
2007-10-05,28.34,28.3,27.6,27.75,,785200.0
2007-10-08,28.41,27.9,27.75,28.35,,828400.0
2007-10-09,28.19,27.53,27.28,28.1,,906400.0
2007-10-10,27.52,27.3,27.05,27.44,,836100.0
2007-10-11,27.14,26.7,26.35,27.14,,1046600.0
2007-10-12,27.05,26.58,26.48,26.78,,969900.0
2007-10-15,26.54,26.29,26.07,26.54,,795500.0
2007-10-16,26.79,26.6,26.12,26.3,,1274400.0
2007-10-17,27.16,26.9,26.73,26.74,,904300.0
2007-10-18,26.86,26.65,26.23,26.7,,832400.0
2007-10-19,27.76,27.27,27.05,27.05,,2254000.0
2007-10-22,28.26,28.26,26.84,27.1,,1710300.0
2007-10-23,28.31,27.3,26.69,27.99,,3600200.0
2007-10-24,27.27,27.03,26.32,27.26,,2077600.0
2007-10-25,26.88,26.34,25.53,26.88,,2163600.0
2007-10-26,26.66,25.82,25.8,26.62,,1236100.0
2007-10-29,25.9,25.2,25.0,25.82,,1258000.0
2007-10-30,25.52,25.29,24.83,25.08,,1116800.0
2007-10-31,25.66,25.39,25.11,25.32,,1078900.0
2007-11-01,25.13,24.74,24.47,25.1,,1511000.0
2007-11-02,24.78,24.65,24.24,24.78,,2221100.0
2007-11-05,24.76,24.59,24.14,24.24,,1844658.0
2007-11-06,25.06,25.05,24.37,24.53,,3472000.0
2007-11-07,25.08,24.73,24.64,25.0,,2384820.0
2007-11-08,24.79,24.63,24.33,24.75,,2053000.0
2007-11-09,24.8,24.55,24.09,24.33,,1437400.0
2007-11-12,24.99,24.58,24.48,24.48,,1848772.0
2007-11-13,25.46,25.02,24.56,24.7,,1483837.0
2007-11-14,25.47,24.42,24.42,25.2,,1490400.0
2007-11-15,24.71,24.09,23.87,24.46,,1438400.0
2007-11-16,24.24,23.79,23.62,24.12,,1761470.0
2007-11-19,23.6,23.11,22.92,23.49,,1569358.0
2007-11-20,23.37,22.85,22.55,23.37,,1579175.0
2007-11-21,23.44,23.11,22.53,22.65,,1511701.0
2007-11-23,23.93,23.84,23.34,23.34,,602700.0
2007-11-26,23.89,23.39,23.38,23.87,,1817008.0
2007-11-27,23.62,23.19,22.72,23.5,,3123787.0
2007-11-28,23.8,23.28,23.15,23.32,,1652856.0
2007-11-29,23.16,23.06,22.77,22.97,,1943200.0
2007-11-30,23.47,23.03,23.0,23.26,,3786800.0
2007-12-03,23.12,22.68,22.68,22.86,,1120300.0
2007-12-04,22.67,22.12,22.05,22.53,,1785492.0
2007-12-05,22.35,21.59,21.47,22.35,,2244501.0
2007-12-06,22.25,22.13,21.51,21.6,,2297600.0
2007-12-07,22.48,22.43,21.92,22.12,,1670994.0
2007-12-10,22.85,22.78,22.44,22.44,,1645700.0
2007-12-11,22.87,22.38,22.3,22.79,,1380000.0
2007-12-12,22.85,21.7,21.31,22.85,,2520494.0
2007-12-13,21.65,21.26,21.06,21.65,,1432710.0
2007-12-14,21.21,20.55,20.53,21.21,,1599700.0
2007-12-17,20.84,20.79,20.22,20.41,,1531800.0
2007-12-18,20.97,20.47,20.22,20.91,,1415650.0
2007-12-19,20.16,19.4,19.15,20.13,,3472861.0
2007-12-20,19.8,19.76,19.14,19.51,,2117496.0
2007-12-21,19.95,19.0,18.92,19.94,,2609350.0
2007-12-24,20.04,19.98,18.98,19.03,,959700.0
2007-12-26,19.89,19.32,19.2,19.79,,655792.0
2007-12-27,20.27,20.06,19.14,19.17,,1621977.0
2007-12-28,20.23,19.4,19.36,19.99,,1112339.0
2007-12-31,19.68,19.56,19.35,19.38,,1253327.0
2008-01-02,19.52,18.9,18.87,19.52,,1578548.0
2008-01-03,19.12,18.52,18.43,18.97,,1534800.0
2008-01-04,18.38,18.35,17.87,18.31,,1683500.0
2008-01-07,18.6,18.33,18.04,18.46,,1197747.0
2008-01-08,17.61,16.15,16.12,16.21,,3840218.0
2008-01-09,16.41,16.37,15.86,16.28,,2040582.0
2008-01-10,16.96,16.81,16.01,16.25,,2002000.0
2008-01-11,16.82,16.25,16.06,16.76,,1053000.0
2008-01-14,16.63,16.59,16.25,16.3,,1022400.0
2008-01-15,16.39,15.63,15.58,16.35,,1869899.0
2008-01-16,15.9,15.65,15.37,15.64,,1970492.0
2008-01-17,15.74,15.6,14.65,15.74,,2314419.0
2008-01-18,15.79,15.49,15.34,15.7,,2039052.0
2008-01-22,15.6,15.32,14.81,15.31,,2550762.0
2008-01-23,19.02,18.63,14.84,15.25,,4153970.0
2008-01-24,19.03,19.0,18.33,18.66,,3185277.0
2008-01-25,19.53,18.55,18.46,19.1,,3859005.0
2008-01-28,18.77,18.13,17.55,18.45,,2250280.0
2008-01-29,18.53,18.06,17.75,18.19,,1255769.0
2008-01-30,18.44,17.86,17.86,18.06,,1296527.0
2008-01-31,18.81,18.58,17.45,17.57,,1682836.0
2008-02-01,19.37,19.34,18.5284,18.68,,1111988.0
2008-02-04,19.36,18.38,18.32,19.34,,759403.0
2008-02-05,18.73,18.14,17.94,18.09,,1269600.0
2008-02-06,18.27,17.57,17.52,18.21,,973332.0
2008-02-07,18.17,18.11,17.49,17.54,,1409331.0
2008-02-08,18.42,18.07,17.66,18.0,,1081131.0
2008-02-11,18.63,17.97,17.87,18.12,,1384800.0
2008-02-12,18.52,18.41,18.1,18.1,,958147.0
2008-02-13,19.34,19.28,18.53,18.53,,1676696.0
2008-02-14,19.46,18.98,18.86,19.34,,1583976.0
2008-02-15,19.01,18.75,18.56,18.89,,889199.0
2008-02-19,19.11,18.44,18.38,18.91,,931041.0
2008-02-20,18.93,18.75,18.33,18.33,,1122700.0
2008-02-21,19.0,18.54,18.35,18.83,,1098500.0
2008-02-22,19.0,18.99,18.25,18.62,,981440.0
2008-02-25,19.36,19.35,18.46,18.99,,1349200.0
2008-02-26,20.09,19.94,19.27,19.27,,1362428.0
2008-02-27,19.87,19.55,19.11,19.75,,2308260.0
2008-02-28,20.44,19.06,18.96,20.44,,1957067.0
2008-02-29,19.07,18.44,18.37,18.82,,1295800.0
2008-03-03,18.455,17.89,17.77,18.41,,1836243.0
2008-03-04,18.16,18.05,17.37,17.71,,2051650.0
2008-03-05,18.26,17.84,17.47,18.26,,1875518.0
2008-03-06,17.72,16.7,16.69,17.71,,1853840.0
2008-03-07,17.01,16.55,16.288,16.59,,929465.0
2008-03-10,16.97,16.59,16.48,16.61,,1247766.0
2008-03-11,17.0,16.7,16.24,16.94,,1412700.0
2008-03-12,17.28,17.11,16.6,16.77,,1552828.0
2008-03-13,17.21,17.18,16.38,16.88,,1427949.0
