Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2007-03-21,14.0,14.0,13.5,14.0,200.0
2007-03-22,14.0,13.799999999999999,12.6,14.0,839.0
2007-03-23,14.1,14.1,13.0,13.799999999999999,1290.0
2007-03-26,14.5,14.5,13.0,14.1,228.1
2007-03-27,15.0,15.0,13.0,13.0,2091.5
2007-03-28,15.0,15.0,14.5,15.0,430.0
2007-03-29,15.0,15.0,14.5,14.5,164.5
2007-03-30,14.5,14.5,14.5,14.5,190.0
2007-04-03,14.0,13.5,13.0,14.0,507.0
2007-04-04,16.9,15.5,13.5,13.5,1891.6
2007-04-05,15.5,14.5,14.5,15.0,700.0
2007-04-09,14.5,14.2,14.0,14.5,250.0
2007-04-10,13.5,13.5,13.0,13.0,450.0
2007-04-11,13.0,13.0,12.5,13.0,275.0
2007-04-12,12.5,12.0,12.0,12.5,550.0
2007-04-13,12.0,12.0,12.0,12.0,550.0
2007-04-16,13.0,12.5,12.0,12.5,1018.0
2007-04-17,12.5,12.5,12.0,12.5,570.0
2007-04-18,12.0,10.4,10.0,12.0,2316.3
2007-04-19,11.5,11.5,7.6,9.8,3611.3
2007-04-20,12.5,12.5,8.100000000000001,8.100000000000001,1281.6
2007-04-23,13.5,13.5,8.100000000000001,10.5,1700.1
2007-04-24,13.5,13.5,13.5,13.5,373.0
2007-04-25,12.0,12.0,12.0,12.0,40.0
2007-04-26,14.5,14.5,12.0,12.0,365.0
2007-04-27,14.2,13.5,13.200000000000001,14.2,1280.0
2007-04-30,14.2,14.2,10.600000000000001,12.0,2125.7
2007-05-01,13.5,13.5,12.0,12.0,120.0
2007-05-02,14.0,14.0,12.0,12.0,310.8
2007-05-03,12.0,11.5,10.5,12.0,1929.0
2007-05-04,12.5,12.5,10.5,10.5,544.5
2007-05-07,12.5,12.5,12.5,12.5,50.0
2007-05-08,13.0,12.85,11.5,12.5,2465.0
2007-05-09,12.5,12.5,11.5,11.5,456.5
2007-05-10,12.5,11.799999999999999,11.5,12.5,630.0
2007-05-11,12.5,11.7,11.0,12.0,690.0
2007-05-14,13.0,13.0,11.0,11.0,1327.4
2007-05-15,14.2,14.0,14.0,14.0,1000.0
2007-05-16,13.3,13.0,12.0,13.3,540.0
2007-05-17,14.2,14.2,12.0,12.0,170.0
2007-05-18,14.0,14.0,14.0,14.0,300.0
2007-05-21,14.0,14.0,12.0,13.100000000000001,244.0
2007-05-22,14.0,13.3,12.1,12.5,835.0
2007-05-23,13.0,12.5,12.0,13.0,721.6
2007-05-24,14.0,14.0,12.5,12.5,400.0
2007-05-25,14.0,14.0,11.0,11.0,265.6
2007-05-29,14.0,13.5,12.5,14.0,240.0
2007-05-30,14.0,12.5,11.0,12.5,201.0
2007-05-31,14.0,14.0,12.5,12.5,200.0
2007-06-01,14.0,14.0,11.0,11.0,310.0
2007-06-04,14.5,13.5,11.0,11.0,3534.0
2007-06-05,14.5,14.5,14.0,14.0,1210.0
2007-06-06,15.0,14.5,14.0,14.5,1122.2
2007-06-07,15.4,15.4,14.0,14.0,1926.7
2007-06-08,15.5,15.5,14.5,15.0,1723.2
2007-06-11,15.0,15.0,15.0,15.0,151.0
2007-06-12,15.600000000000001,15.0,13.600000000000001,15.0,1627.3
2007-06-13,19.9,16.0,15.0,15.0,9352.0
2007-06-14,16.299999999999997,16.299999999999997,13.799999999999999,15.700000000000001,2721.0
2007-06-15,18.400000000000002,18.1,16.299999999999997,16.299999999999997,4246.7
2007-06-18,19.099999999999998,18.5,16.5,18.1,8394.5
2007-06-19,20.2,20.2,19.0,19.0,4065.2
2007-06-20,21.5,20.5,20.0,21.5,7347.2
2007-06-21,24.2,23.5,20.0,20.2,4197.5
2007-06-22,25.0,24.0,22.5,25.0,6357.5
2007-06-25,24.0,22.7,22.5,24.0,4212.8
2007-06-26,22.7,22.0,19.5,22.5,1907.0
2007-06-27,22.400000000000002,22.0,21.0,21.0,349.3
2007-06-28,21.0,21.0,20.0,20.4,2120.0
2007-06-29,22.0,22.0,20.0,20.5,830.0
