Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-19,48.75,48.45,48.21,48.51,,91100.0
2006-10-20,48.09,47.43,47.1,48.09,,50233.333333
2006-10-23,48.0,47.76,47.19,47.4,,45933.333333
2006-10-24,48.0,47.01,46.74,48.0,,35133.333333
2006-10-25,47.04,46.8,46.0236,47.01,,45100.0
2006-10-26,47.25,46.98,46.59,47.01,,39633.333333
2006-10-27,47.1,46.71,46.5,46.65,,34666.666667
2006-10-30,47.28,47.22,46.5,46.5,,40100.0
2006-10-31,47.28,46.41,46.05,47.22,,93166.666667
2006-11-01,46.5,45.57,45.15,46.41,,46766.666667
2006-11-02,45.9297,45.0,44.85,45.57,,63066.666667
2006-11-03,45.3,44.85,44.4,45.06,,46566.666667
2006-11-06,45.0,44.67,44.4,44.85,,53266.666667
2006-11-07,44.7,43.23,42.87,44.67,,81100.0
2006-11-08,43.8,43.74,42.87,43.2,,56133.333333
2006-11-09,44.13,43.74,43.2,43.77,,59266.666667
2006-11-10,43.86,43.8,43.41,43.65,,28300.0
2006-11-13,44.25,44.16,43.53,43.83,,37333.333333
2006-11-14,45.21,45.12,43.53,44.4,,77900.0
2006-11-15,45.63,45.39,44.7,44.7,,79666.666667
2006-11-16,46.05,45.57,45.03,45.45,,70466.666667
2006-11-17,45.57,45.51,45.12,45.57,,30900.0
2006-11-20,47.13,46.98,45.33,45.51,,68866.666667
2006-11-21,47.97,47.67,47.37,47.67,,47433.333333
2006-11-22,47.55,46.92,46.2,47.52,,99066.666667
2006-11-24,46.8,46.65,46.23,46.47,,13666.666667
2006-11-27,46.38,45.81,45.33,46.38,,65833.333333
2006-11-28,46.62,46.47,45.45,45.81,,44233.333333
2006-11-29,47.52,47.07,46.62,47.22,,56466.666667
2006-11-30,47.46,47.19,46.95,47.25,,58733.333333
2006-12-01,47.34,46.8,46.59,47.07,,43333.333333
2006-12-04,47.91,47.64,46.8,46.8,,44233.333333
2006-12-05,47.76,47.37,47.07,47.67,,35266.666667
2006-12-06,47.9388,47.49,46.53,47.31,,51133.333333
2006-12-07,47.55,47.28,47.1,47.34,,26666.666667
2006-12-08,47.13,46.68,46.5,46.95,,34900.0
2006-12-11,47.01,46.38,46.05,46.14,,37266.666667
2006-12-12,46.38,46.35,45.81,46.2,,16933.333333
2006-12-13,46.71,46.65,45.78,46.68,,29666.666667
2006-12-14,46.8,46.14,45.837,46.2,,51300.0
2006-12-15,46.14,45.12,45.12,46.14,,130533.333333
2006-12-18,45.75,45.06,45.0,45.06,,99266.666667
2006-12-19,45.18,44.94,44.67,44.73,,39666.666667
2006-12-20,46.02,45.66,45.06,45.09,,35533.333333
2006-12-21,45.57,43.83,42.96,45.54,,234566.666667
2006-12-22,44.88,44.67,43.35,43.47,,99033.333333
2006-12-26,45.0,44.34,44.16,44.37,,33500.0
2006-12-27,44.85,44.61,44.13,44.13,,44633.333333
2006-12-28,44.91,44.82,44.07,44.64,,39366.666667
2006-12-29,44.82,44.31,43.83,44.52,,65800.0
2007-01-03,44.85,44.13,43.83,44.55,,82800.0
2007-01-04,44.85,44.13,43.5,43.83,,73600.0
2007-01-05,44.25,42.63,42.3,44.13,,93766.666667
2007-01-08,42.54,42.48,41.85,42.45,,50833.333333
2007-01-09,42.78,42.78,41.79,42.3,,70433.333333
2007-01-10,43.23,43.23,42.09,42.09,,36033.333333
2007-01-11,44.13,43.77,43.23,43.23,,55433.333333
2007-01-12,43.95,43.71,43.47,43.65,,24466.666667
2007-01-16,44.76,44.25,42.42,43.59,,137400.0
2007-01-17,44.58,44.19,43.98,43.98,,61800.0
2007-01-18,44.85,44.22,44.19,44.4,,74933.333333
2007-01-19,43.77,43.77,42.87,43.77,,45633.333333
2007-01-22,44.13,43.89,42.96,43.62,,122400.0
2007-01-23,44.13,43.89,43.38,43.68,,45166.666667
2007-01-24,44.4,44.34,43.71,43.8,,38700.0
2007-01-25,44.4,43.83,43.74,44.25,,52533.333333
2007-01-26,44.13,44.04,43.53,43.74,,26566.666667
2007-01-29,44.34,43.83,43.23,43.89,,58766.666667
2007-01-30,45.15,45.15,43.53,44.01,,60100.0
2007-01-31,45.42,45.09,44.43,44.94,,47066.666667
2007-02-01,46.08,45.9,45.1503,45.3,,50400.0
2007-02-02,46.14,45.51,45.2703,45.93,,32700.0
2007-02-05,45.57,45.42,45.09,45.39,,35566.666667
2007-02-06,45.69,45.63,45.09,45.39,,32500.0
2007-02-07,46.35,46.35,45.18,45.45,,42333.333333
2007-02-08,46.35,45.57,45.51,46.35,,49233.333333
2007-02-09,45.45,44.7,44.04,45.45,,172033.333333
2007-02-12,44.58,44.25,43.86,44.16,,68600.0
2007-02-13,46.5,46.44,44.25,44.37,,96357.0
2007-02-14,46.59,45.57,45.42,46.47,,33700.0
2007-02-15,45.57,45.12,44.79,45.57,,65766.666667
2007-02-16,45.27,45.27,44.58,45.15,,44633.333333
2007-02-20,45.57,45.54,44.79,45.06,,34966.666667
2007-02-21,45.63,45.3,44.4,45.54,,30166.666667
2007-02-22,46.02,45.96,44.73,45.15,,75100.0
2007-02-23,45.96,45.63,45.18,45.87,,51000.0
2007-02-26,45.87,45.78,45.15,45.63,,69800.333333
2007-02-27,45.24,43.5,43.2,45.24,,79800.0
2007-02-28,45.39,44.25,44.19,44.94,,74900.0
2007-03-01,44.61,43.62,43.23,43.5,,31800.0
2007-03-02,44.13,42.27,42.0,43.44,,69166.666667
2007-03-05,42.48,41.97,41.28,41.88,,52833.333333
2007-03-06,44.64,44.46,42.03,42.27,,65533.333333
2007-03-07,44.49,43.53,43.5,44.49,,38200.0
2007-03-08,43.98,43.05,42.93,43.8,,39200.0
2007-03-09,44.07,43.95,42.96,42.96,,29233.333333
2007-03-12,44.25,44.16,43.05,43.41,,22000.0
2007-03-13,44.19,43.65,42.9,43.65,,100266.666667
2007-03-14,44.25,44.25,43.23,43.53,,78566.666667
2007-03-15,44.4,43.83,43.53,44.04,,95266.666667
2007-03-16,43.95,43.5,43.11,43.83,,66666.666667
