Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-01-23,26.045,26.045,25.705,25.71,,240400.0
2007-01-24,26.29,26.275,25.975,26.0,,157000.0
2007-01-25,26.465,26.18,26.08,26.285,,197800.0
2007-01-26,26.175,26.105,26.0,26.0,,251200.0
2007-01-29,26.36,26.14,26.075,26.165,,218800.0
2007-01-30,26.465,26.425,26.1,26.2,,170000.0
2007-01-31,26.475,26.455,26.245,26.375,,186600.0
2007-02-01,26.675,26.665,26.315,26.45,,303800.0
2007-02-02,26.3,26.26,26.055,26.175,,492600.0
2007-02-05,26.52,26.52,26.2,26.225,,234800.0
2007-02-06,26.55,26.55,26.325,26.325,,177000.0
2007-02-07,26.5,26.34,26.3,26.435,,234200.0
2007-02-08,26.475,26.475,26.25,26.25,,173600.0
2007-02-09,26.705,26.61,26.4,26.45,,403800.0
2007-02-12,26.58,26.5,26.425,26.5,,160400.0
2007-02-13,26.585,26.445,26.29,26.3,,221600.0
2007-02-14,26.545,26.485,26.3,26.545,,160596.0
2007-02-15,26.935,26.46,26.405,26.935,,167000.0
2007-02-16,26.61,26.425,26.34,26.36,,103200.0
2007-02-20,26.53,26.4,26.28,26.53,,152200.0
2007-02-21,26.415,26.29,26.2,26.2,,147800.0
2007-02-22,26.415,26.395,26.155,26.225,,113000.0
2007-02-23,26.39,26.205,26.15,26.295,,133600.0
2007-02-26,26.3,26.225,25.8,26.165,,218200.0
2007-02-27,26.435,26.285,26.05,26.1,,254600.0
2007-02-28,27.035,26.41,26.3,27.035,,191400.0
2007-03-01,26.85,26.78,26.215,26.8,,341200.0
2007-03-02,26.875,26.625,26.53,26.78,,196600.0
2007-03-05,26.625,26.255,26.185,26.575,,349200.0
2007-03-06,26.525,26.375,26.0,26.01,,252200.0
2007-03-07,26.545,26.38,26.25,26.335,,243800.0
2007-03-08,26.42,26.41,26.25,26.38,,151600.0
2007-03-09,26.67,26.63,26.505,26.66,,186800.0
2007-03-12,26.915,26.88,26.335,26.63,,205200.0
2007-03-13,27.0,26.905,26.755,26.88,,202600.0
2007-03-14,27.025,26.905,26.75,26.875,,183400.0
2007-03-15,27.005,27.0,26.78,26.78,,98000.0
2007-03-16,26.975,26.735,26.725,26.925,,92800.0
2007-03-19,26.995,26.935,26.735,26.735,,296600.0
2007-03-20,27.075,27.075,26.905,27.025,,218000.0
2007-03-21,27.15,27.095,26.88,27.15,,129800.0
2007-03-22,27.37,27.27,27.095,27.095,,255600.0
2007-03-23,27.495,27.49,27.27,27.27,,185000.0
2007-03-26,27.58,27.535,27.365,27.5,,201400.0
2007-03-27,27.74,27.74,27.5,27.535,,169200.0
2007-03-28,28.035,27.9,27.705,27.74,,364200.0
2007-03-29,28.205,28.025,27.9,27.9,,264400.0
2007-03-30,28.215,27.945,27.92025,28.0,,295200.0
2007-04-02,28.25,28.195,28.05,28.235,,157400.0
2007-04-03,28.41,28.27,28.195,28.195,,211000.0
2007-04-04,28.22415,28.145,27.725,28.1,,180600.0
2007-04-05,29.615,28.285,28.145,29.35,,165000.0
2007-04-09,28.56,28.48495,28.305,28.44,,170000.0
2007-04-10,28.895,28.785,28.455,28.55,,191600.0
2007-04-11,29.135,28.89,28.73,29.0,,237000.0
2007-04-12,29.25,29.08,28.525,28.525,,240000.0
2007-04-13,29.5,29.365,28.875,29.125,,213200.0
2007-04-16,29.695,29.625,29.027,29.065,,247400.0
2007-04-17,29.82,29.68,29.58,29.725,,202200.0
2007-04-18,29.89,29.725,29.505,29.505,,189600.0
2007-04-19,29.87,29.695,29.43,29.505,,154000.0
2007-04-20,30.03,30.005,29.64,29.82,,194200.0
2007-04-23,30.39,30.375,30.025,30.025,,201400.0
2007-04-24,30.67,30.53,30.125,30.5,,193400.0
2007-04-25,30.91,30.72,29.75,30.905,,420200.0
2007-04-26,30.91,30.91,30.465,30.795,,257400.0
2007-04-27,30.715,30.595,29.625,30.71,,730400.0
2007-04-30,30.28,29.905,29.75,30.095,,525400.0
2007-05-01,30.305,29.935,29.52,30.305,,564600.0
2007-05-02,30.12,29.975,29.755,29.755,,449200.0
2007-05-03,29.325,29.09,28.655,29.0,,550200.0
2007-05-04,28.995,28.66,28.275,28.79,,559800.0
2007-05-07,29.125,29.025,28.55,28.555,,343600.0
2007-05-08,29.48,29.36,29.1,29.15,,299400.0
2007-05-09,29.825,29.685,29.25,29.25,,297600.0
2007-05-10,29.86495,29.545,29.375,29.815,,237600.0
2007-05-11,29.875,29.855,29.495,29.495,,239800.0
2007-05-14,30.245,30.195,29.725,29.955,,296600.0
2007-05-15,30.415,29.94,29.825,30.15,,257200.0
2007-05-16,28.92,28.5,28.5,28.88,,3490400.0
2007-05-17,28.625,28.265,28.13,28.5,,1069200.0
2007-05-18,28.375,28.105,27.705,28.26,,1017800.0
2007-05-21,28.34,28.22,27.85,28.0,,347400.0
2007-05-22,28.52,28.285,28.03,28.035,,529000.0
2007-05-23,28.425,28.065,28.03,28.135,,393200.0
2007-05-24,28.25,27.33,26.845,28.165,,735200.0
2007-05-25,27.415,27.415,27.08,27.08,,276000.0
2007-05-29,27.785,27.785,27.145,27.305,,390800.0
2007-05-30,27.835,27.68,27.505,27.745,,241200.0
2007-05-31,27.99,27.9,27.745,27.9,,248800.0
2007-06-01,27.92,27.775,27.67,27.85,,316200.0
2007-06-04,27.78,27.715,27.53,27.65,,230800.0
2007-06-05,27.895,27.615,27.53,27.715,,204600.0
2007-06-06,27.67495,27.59,27.355,27.525,,234000.0
2007-06-07,27.5,27.185,26.8,27.5,,399600.0
2007-06-08,27.055,27.035,26.78,26.835,,531200.0
