Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-21,26.51,25.93,25.85,26.36,,225491.0
2007-08-22,26.48,26.36,26.14,26.19,,221760.0
2007-08-23,26.58,26.32,26.19,26.49,,171030.0
2007-08-24,26.7,26.29,26.04,26.28,,257310.0
2007-08-27,26.38,26.16,25.94,26.12,,165746.0
2007-08-28,26.18,25.75,25.75,26.04,,192733.0
2007-08-29,26.34,26.28,25.74,25.94,,131526.0
2007-08-30,26.12,25.83,25.61,25.96,,267639.0
2007-08-31,26.35,26.08,25.8,26.06,,222321.0
2007-09-04,26.52,26.23,26.02,26.02,,151522.0
2007-09-05,26.12,25.63,25.53,26.01,,369175.0
2007-09-06,25.74,25.73,25.25,25.67,,353288.0
2007-09-07,25.48,25.26,24.75,25.3,,481036.0
2007-09-10,25.53,24.75,24.44,25.32,,370953.0
2007-09-11,25.68,25.53,24.78,24.78,,373320.0
2007-09-12,25.42,25.15,25.03,25.42,,233581.0
2007-09-13,25.24,25.1,24.54,25.24,,455188.0
2007-09-14,25.18,25.18,24.65,24.86,,163807.0
2007-09-17,25.33,24.89,24.88,25.16,,606732.0
2007-09-18,25.98,25.98,25.07,25.07,,393561.0
2007-09-19,26.85,26.36,26.09,26.19,,458496.0
2007-09-20,27.31,27.16,26.32,26.32,,300194.0
2007-09-21,27.64,27.5,27.19,27.4,,426268.0
2007-09-24,27.75,27.43,27.34,27.44,,337945.0
2007-09-25,27.51,27.39,27.05,27.27,,162562.0
2007-09-26,28.11,27.4,27.31,27.53,,258703.0
2007-09-27,27.72,27.34,27.31,27.47,,204870.0
2007-09-28,27.75,26.86,26.77,27.26,,321745.0
2007-10-01,27.68,27.23,26.7,26.74,,551959.0
2007-10-02,27.29,27.03,26.67,27.2,,269907.0
2007-10-03,27.21,27.06,26.79,27.15,,404496.0
2007-10-04,27.24,26.9,26.73,27.21,,240129.0
2007-10-05,27.467,27.35,26.68,27.19,,220352.0
2007-10-08,27.39,27.31,26.85,27.23,,210535.0
2007-10-09,27.72,27.55,27.07,27.33,,324074.0
2007-10-10,27.47,27.01,26.57,27.44,,317858.0
2007-10-11,27.11,26.9,26.75,26.99,,388342.0
2007-10-12,27.18,27.03,26.72,26.91,,176363.0
2007-10-15,27.03,27.0,26.58,26.99,,193786.0
2007-10-16,27.14,26.87,26.84,26.87,,221624.0
2007-10-17,27.01,26.82,26.58,27.01,,993287.0
2007-10-18,27.15,27.07,26.61,26.61,,1040887.0
2007-10-19,27.04,26.67,26.38,27.04,,682823.0
2007-10-22,26.9,26.74,26.11,26.46,,355688.0
2007-10-23,27.86,27.85,25.9,26.8,,705502.0
2007-10-24,23.0,22.39,20.56,21.2,,8146650.0
2007-10-25,23.0,21.98,21.66,23.0,,1200866.0
2007-10-26,22.59,22.4,21.6,22.25,,1597449.0
2007-10-29,22.49,22.42,21.85,22.4,,1475511.0
2007-10-30,22.6,22.52,21.89,22.28,,1095941.0
2007-10-31,23.02,22.8,22.46,22.58,,1338291.0
2007-11-01,22.85,22.56,21.96,22.41,,1342206.0
2007-11-02,22.87,22.52,21.98,22.51,,718847.0
2007-11-05,22.755,22.73,21.99,22.05,,1451969.0
2007-11-06,22.75,22.5901,22.31,22.74,,1174571.0
2007-11-07,22.37,22.12,21.95,22.28,,904233.0
2007-11-08,22.23,21.79,21.38,22.23,,1317589.0
2007-11-09,22.03,21.7,21.41,21.47,,778084.0
2007-11-12,22.3,21.91,21.34,21.55,,729858.0
2007-11-13,22.34,22.34,21.77,22.07,,380412.0
2007-11-14,22.44,21.9,21.84,22.44,,421175.0
2007-11-15,22.5,22.04,21.81,21.83,,450451.0
2007-11-16,22.5,22.15,21.54,22.06,,845027.0
2007-11-19,22.1,21.74,21.69,21.87,,683612.0
2007-11-20,22.0,21.26,20.82,21.79,,674736.0
2007-11-21,21.52,21.2,20.8,21.18,,1072667.0
2007-11-23,22.0,21.97,21.26,21.36,,120098.0
2007-11-26,22.3,21.73,21.68,22.01,,410130.0
2007-11-27,22.5,22.21,21.82,21.84,,635350.0
2007-11-28,23.35,23.33,22.16,22.49,,786886.0
2007-11-29,23.4,23.04,22.8,23.23,,464480.0
2007-11-30,23.36,22.94,22.63,23.36,,890247.0
2007-12-03,23.19,22.48,22.48,22.95,,464922.0
2007-12-04,22.93,22.35,22.25,22.32,,449882.0
2007-12-05,22.79,22.63,22.28,22.73,,250976.0
2007-12-06,23.2,23.18,22.62,22.63,,636033.0
2007-12-07,23.28,23.14,22.95,23.28,,215610.0
2007-12-10,23.27,23.09,22.87,23.15,,307082.0
2007-12-11,23.5,22.83,22.76,23.25,,488488.0
2007-12-12,23.5,22.82,22.37,23.28,,315876.0
2007-12-13,22.73,22.58,22.23,22.65,,256450.0
2007-12-14,22.54,22.03,22.02,22.29,,200934.0
2007-12-17,22.36,22.0,21.84,21.86,,285521.0
2007-12-18,22.49,22.35,21.9,22.18,,377170.0
2007-12-19,22.67,22.48,22.22,22.36,,226178.0
2007-12-20,22.75,22.5,21.89,22.75,,408729.0
2007-12-21,23.0,22.16,22.0,22.83,,860347.0
2007-12-24,22.6,22.48,22.19,22.23,,217878.0
2007-12-26,22.78,22.72,22.32,22.32,,269936.0
2007-12-27,22.87,22.28,22.27,22.59,,296166.0
2007-12-28,22.44,22.26,22.0,22.39,,342012.0
2007-12-31,22.49,22.48,21.9,22.11,,375914.0
2008-01-02,22.44,21.98,21.79,22.43,,527785.0
2008-01-03,22.13,21.13,21.02,21.98,,534385.0
2008-01-04,21.09,20.19,20.03,20.97,,693855.0
2008-01-07,20.43,19.99,19.58,20.29,,768094.0
2008-01-08,20.3,19.47,19.42,20.11,,663833.0
2008-01-09,19.61,19.17,18.38,19.39,,1428965.0
2008-01-10,15.2,13.22,12.35,15.13,,9344308.0
2008-01-11,13.38,12.88,12.83,13.01,,2248626.0
2008-01-14,13.52,13.49,12.7638,12.96,,2136558.0
2008-01-15,13.08,12.73,12.73,12.92,,1323821.0
2008-01-16,13.36,13.1,12.64,12.72,,791755.0
2008-01-17,13.38,12.98,12.9,13.15,,1296879.0
2008-01-18,13.16,12.96,12.78,12.98,,928622.0
2008-01-22,13.08,12.91,12.6,12.6,,777133.0
2008-01-23,13.14,12.98,12.39,12.7,,1307690.0
2008-01-24,13.43,13.01,12.89,13.25,,2356413.0
2008-01-25,13.6,13.49,13.04,13.15,,1458622.0
2008-01-28,14.29,14.0,13.14,13.49,,1707161.0
2008-01-29,14.49,14.31,13.96,14.01,,1290927.0
2008-01-30,14.58,14.19,14.0,14.25,,1077015.0
2008-01-31,14.93,14.76,14.0,14.0,,1396155.0
2008-02-01,15.43,15.32,14.67,14.71,,753880.0
2008-02-04,15.32,14.84,14.74,15.25,,590072.0
2008-02-05,15.07,14.63,14.1,14.57,,466814.0
2008-02-06,15.0,14.4,14.38,14.75,,416341.0
2008-02-07,14.87,14.66,14.21,14.35,,633653.0
2008-02-08,14.78,14.57,14.32,14.65,,559607.0
2008-02-11,14.92,14.77,14.51,14.6,,513220.0
2008-02-12,15.0,14.66,14.5,14.82,,469901.0
2008-02-13,15.21,15.21,14.78,14.83,,633207.0
2008-02-14,15.3,14.56,14.52,15.21,,721141.0
2008-02-15,14.62,14.41,14.1795,14.22,,531315.0
2008-02-19,15.03,14.65,14.55,14.57,,577551.0
2008-02-20,15.42,15.24,14.55,14.58,,615710.0
2008-02-21,15.5,15.17,15.02,15.29,,542625.0
2008-02-22,15.29,15.26,14.75,15.19,,721260.0
2008-02-25,15.78,15.67,15.12,15.29,,432192.0
2008-02-26,16.0,15.88,15.37,15.54,,529869.0
2008-02-27,16.22,15.84,15.72,15.72,,622113.0
2008-02-28,15.94,15.63,15.54,15.78,,470632.0
2008-02-29,15.71,15.06,14.97,15.44,,519074.0
2008-03-03,15.41,14.91,14.64,15.1,,468633.0
2008-03-04,14.99,14.91,14.55,14.78,,318575.0
2008-03-05,15.31,14.91,14.86,15.01,,353561.0
2008-03-06,14.92,14.34,14.34,14.86,,387763.0
2008-03-07,14.66,14.31,14.2,14.2,,471889.0
2008-03-10,14.49,14.17,14.11,14.39,,642596.0
2008-03-11,14.53,14.44,14.2,14.35,,660751.0
2008-03-12,14.7,14.41,14.23,14.47,,972564.0
2008-03-13,14.48,14.39,14.18,14.27,,717317.0
2008-03-14,14.42,14.06,14.04,14.4,,592309.0
2008-03-17,14.25,14.0,13.9,13.97,,491494.0
2008-03-18,14.49,14.48,13.95,13.95,,617048.0
2008-03-19,14.85,14.3,14.3,14.51,,549574.0
2008-03-20,14.63,14.48,14.21,14.47,,1193221.0
2008-03-24,15.64,15.39,14.42,14.57,,420755.0
2008-03-25,15.39,15.0,14.98,15.3,,441518.0
2008-03-26,15.06,14.91,14.63,14.99,,513307.0
2008-03-27,15.15,14.83,14.68,14.96,,379069.0
2008-03-28,15.06,14.76,14.66,14.82,,381685.0
2008-03-31,15.01,14.92,14.74,14.95,,586743.0
2008-04-01,15.29,15.05,14.93,15.02,,571268.0
2008-04-02,15.02,14.49,14.21,15.02,,882204.0
2008-04-03,14.96,14.81,14.27,14.39,,469713.0
2008-04-04,14.94,14.78,14.51,14.88,,419806.0
2008-04-07,15.28,15.0,14.8,14.8,,990901.0
2008-04-08,15.05,14.94,14.75,14.84,,230556.0
2008-04-09,14.98,14.56,14.51,14.98,,212001.0
2008-04-10,14.96,14.92,14.51,14.71,,291624.0
2008-04-11,14.77,14.21,14.19,14.77,,766235.0
2008-04-14,14.47,14.1,14.08,14.23,,348562.0
2008-04-15,14.28,14.15,14.0,14.21,,388601.0
2008-04-16,14.69,14.68,14.31,14.32,,377468.0
2008-04-17,14.93,14.85,14.47,14.61,,256691.0
2008-04-18,15.25,15.15,14.96,15.14,,284665.0
2008-04-21,15.37,15.16,15.0,15.0,,267634.0
2008-04-22,15.09,14.48,14.38,15.06,,265623.0
2008-04-23,14.98,14.86,14.38,14.49,,411336.0
2008-04-24,15.16,14.87,14.12,14.99,,513606.0
2008-04-25,14.84,14.79,14.45,14.81,,530993.0
2008-04-28,14.87,14.75,14.48,14.75,,323428.0
2008-04-29,14.81,14.75,14.6,14.71,,482105.0
2008-04-30,14.82,14.42,14.34,14.82,,354193.0
2008-05-01,14.79,14.54,14.37,14.38,,609058.0
2008-05-02,14.71,14.5,14.26,14.69,,402715.0
2008-05-05,14.63,14.53,14.28,14.45,,280260.0
2008-05-06,14.67,14.59,14.37,14.42,,258532.0
2008-05-07,14.87,14.35,14.27,14.62,,324451.0
2008-05-08,14.55,14.41,14.33,14.44,,339756.0
2008-05-09,14.97,14.59,14.26,14.27,,385858.0
2008-05-12,14.84,14.7,14.38,14.64,,310685.0
2008-05-13,15.05,14.81,14.59,14.88,,374676.0
2008-05-14,15.2,14.89,14.75,14.83,,430683.0
2008-05-15,15.29,15.25,14.87,14.9,,247554.0
2008-05-16,15.36,15.21,14.88,15.33,,224995.0
2008-05-19,15.54,15.34,14.93,15.19,,409199.0
2008-05-20,15.42,15.29,15.12,15.24,,385159.0
2008-05-21,15.93,15.87,15.27,15.35,,796760.0
2008-05-22,16.23,15.96,15.75,15.9,,387066.0
2008-05-23,15.9,15.63,15.57,15.86,,292101.0
2008-05-27,16.31,16.1,15.58,15.58,,373313.0
2008-05-28,16.26,15.94,15.85,16.12,,372545.0
2008-05-29,16.5899,16.39,15.86,15.86,,465162.0
2008-05-30,16.85,16.57,16.38,16.38,,486607.0
2008-06-02,16.62,16.05,15.71,16.54,,195938.0
2008-06-03,16.37,16.14,15.9,16.13,,320505.0
2008-06-04,16.71,16.56,16.04,16.04,,278466.0
2008-06-05,16.85,16.44,16.3201,16.55,,341618.0
2008-06-06,16.36,16.14,16.0,16.32,,333861.0
2008-06-09,16.61,16.57,15.93,16.14,,577778.0
2008-06-10,16.59,16.4,16.27,16.41,,276010.0
2008-06-11,16.47,15.95,15.95,16.35,,381492.0
2008-06-12,16.44,16.05,15.73,16.1,,206565.0
2008-06-13,16.4,16.12,15.98,16.19,,200257.0
2008-06-16,16.26,16.05,15.9,16.09,,184740.0
2008-06-17,16.1,15.98,15.85,16.04,,209169.0
2008-06-18,15.97,15.73,15.56,15.97,,225366.0
2008-06-19,15.75,15.69,15.3,15.72,,475861.0
2008-06-20,15.65,15.37,15.35,15.63,,451880.0
2008-06-23,15.46,15.2,15.09,15.4,,270371.0
2008-06-24,15.2,14.82,14.81,15.06,,461563.0
2008-06-25,15.27,15.18,14.81,14.81,,706913.0
2008-06-26,15.04,14.92,14.65,15.01,,448300.0
2008-06-27,15.17,14.91,14.77,14.86,,590157.0
2008-06-30,14.98,14.6,14.6,14.89,,378546.0
2008-07-01,14.92,14.47,14.2,14.46,,348293.0
2008-07-02,14.58,14.11,14.02,14.44,,376339.0
2008-07-03,14.47,14.25,14.03,14.12,,153621.0
2008-07-07,14.6,14.34,14.31,14.31,,324082.0
2008-07-08,14.9,14.84,14.32,14.33,,288463.0
2008-07-09,15.0,14.36,14.25,14.81,,321297.0
2008-07-10,14.57,14.43,14.2,14.31,,229478.0
2008-07-11,14.32,14.28,13.71,14.24,,385435.0
2008-07-14,14.45,14.21,14.08,14.42,,283322.0
2008-07-15,14.36,14.06,13.77,14.05,,375040.0
2008-07-16,14.48,14.2,13.88,14.06,,361227.0
2008-07-17,14.46,14.4,14.2,14.21,,560436.0
2008-07-18,14.56,14.43,14.26,14.41,,286938.0
2008-07-21,14.56,14.44,14.3,14.43,,289007.0
2008-07-22,14.71,14.57,14.31,14.37,,404775.0
2008-07-23,15.02,14.9,14.53,14.53,,329614.0
2008-07-24,15.09,14.88,14.83,14.92,,221748.0
2008-07-25,15.07,14.8,14.62,14.82,,321649.0
2008-07-28,14.79,14.12,13.99,14.73,,462986.0
2008-07-29,14.18,13.78,13.76,14.02,,746801.0
2008-07-30,14.43,14.07,13.77,14.12,,737649.0
2008-07-31,14.13,14.01,13.68,13.81,,340908.0
2008-08-01,14.02,14.01,13.27,13.86,,439005.0
2008-08-04,13.79,13.6,13.1,13.41,,637978.0
2008-08-05,14.16,14.14,13.48,13.69,,287162.0
2008-08-06,14.28,14.26,13.8,14.06,,304766.0
2008-08-07,14.43,14.3,13.97,14.13,,233426.0
2008-08-08,14.8,14.68,14.14,14.14,,424083.0
2008-08-11,15.21,15.14,14.62,14.69,,428198.0
2008-08-12,15.78,15.65,14.95,15.07,,382514.0
2008-08-13,16.07,15.85,15.54,15.66,,376841.0
2008-08-14,16.36,16.19,15.64,15.73,,273621.0
2008-08-15,16.5,16.32,16.22,16.39,,471925.0
2008-08-18,16.45,16.24,16.03,16.28,,334175.0
2008-08-19,16.3,16.11,15.98,16.14,,229758.0
2008-08-20,16.41,16.09,15.91,16.2,,181118.0
2008-08-21,16.33,16.18,15.92,15.95,,184995.0
2008-08-22,16.34,16.3,16.0,16.27,,221913.0
2008-08-25,16.29,15.92,15.9,16.24,,203381.0
2008-08-26,16.4,16.34,15.92,15.92,,490078.0
2008-08-27,16.74,16.6,16.23,16.29,,324527.0
2008-08-28,16.9,16.88,16.59,16.63,,210029.0
2008-08-29,16.82,16.59,16.49,16.82,,264811.0
2008-09-02,17.16,16.95,16.78,16.81,,428192.0
2008-09-03,17.0,16.42,16.36,16.85,,601779.0
2008-09-04,16.69,15.43,15.43,16.32,,396214.0
2008-09-05,15.46,15.11,14.99,15.41,,409364.0
2008-09-08,15.61,15.27,14.95,15.37,,403462.0
2008-09-09,15.64,15.12,15.0,15.29,,315002.0
2008-09-10,15.59,15.51,15.19,15.29,,247977.0
2008-09-11,15.59,15.43,15.21,15.32,,339487.0
2008-09-12,15.6,15.32,15.28,15.31,,173299.0
2008-09-15,15.4,14.62,14.62,15.12,,237007.0
2008-09-16,15.28,15.27,14.5,14.62,,522701.0
2008-09-17,15.25,14.75,14.73,15.02,,377012.0
2008-09-18,15.09,14.2,13.94,15.05,,979265.0
2008-09-19,15.56,14.74,13.61,14.68,,1408276.0
2008-09-22,14.74,14.7,14.35,14.72,,388736.0
2008-09-23,14.84,14.57,14.4,14.73,,347220.0
2008-09-24,14.66,14.45,14.28,14.57,,255483.0
2008-09-25,14.71,14.49,14.33,14.54,,367458.0
2008-09-26,14.37,14.31,14.01,14.35,,250565.0
2008-09-29,14.2,13.88,13.51,14.1,,455921.0
2008-09-30,14.01,13.93,13.73,13.85,,374697.0
2008-10-01,13.96,13.59,13.59,13.79,,409472.0
2008-10-02,13.83,13.34,13.25,13.56,,334737.0
2008-10-03,13.5,12.75,12.73,13.49,,442164.0
2008-10-06,12.63,11.94,11.64,12.63,,796559.0
2008-10-07,12.34,11.01,10.98,12.08,,480392.0
2008-10-08,11.29,10.56,10.52,10.91,,624143.0
2008-10-09,10.88,10.11,10.05,10.78,,641205.0
2008-10-10,9.92,9.35,9.07,9.92,,822005.0
2008-10-13,10.16,10.1,9.51,9.73,,509918.0
2008-10-14,10.54,10.31,10.08,10.39,,395161.0
2008-10-15,10.41,9.63,9.62,10.22,,319603.0
2008-10-16,10.06,10.02,9.5,9.7,,526663.0
2008-10-17,10.94,9.53,9.46,9.84,,449174.0
2008-10-20,9.68,9.4,9.27,9.6,,400468.0
2008-10-21,9.47,9.15,9.13,9.27,,446415.0
2008-10-22,9.16,8.75,8.73,9.07,,683235.0
2008-10-23,8.81,8.23,7.84,8.71,,620062.0
2008-10-24,9.12,9.0,7.56,7.97,,2422233.0
2008-10-27,9.66,9.43,8.56,8.89,,616228.0
2008-10-28,10.26,10.22,9.27,9.68,,702758.0
2008-10-29,10.42,10.0,9.92,10.26,,360921.0
2008-10-30,10.68,10.48,10.01,10.22,,340530.0
2008-10-31,10.78,10.6,10.35,10.36,,532808.0
2008-11-03,10.6,10.17,10.13,10.6,,282273.0
2008-11-04,10.42,10.11,9.77,10.42,,526381.0
2008-11-05,10.32,9.72,9.646,10.05,,374797.0
2008-11-06,9.83,9.5,9.5,9.69,,575037.0
2008-11-07,9.77,9.65,9.5,9.58,,259711.0
2008-11-10,10.02,9.84,9.55,9.85,,390083.0
2008-11-11,9.92,9.48,9.48,9.66,,480431.0
2008-11-12,9.63,9.23,9.21,9.43,,303449.0
2008-11-13,10.12,10.08,8.94,9.22,,367476.0
2008-11-14,9.83,9.06,9.0,9.72,,346595.0
2008-11-17,9.74,9.53,9.03,9.03,,382054.0
2008-11-18,9.6,9.07,8.9,9.6,,636116.0
2008-11-19,9.18,8.63,8.57,9.08,,554162.0
2008-11-20,8.74,8.16,8.11,8.6,,484567.0
2008-11-21,8.78,8.68,7.9,8.31,,605046.0
2008-11-24,9.25,9.19,8.32,8.82,,317163.0
2008-11-25,9.28,9.1,8.61,9.28,,420973.0
2008-11-26,9.82,9.71,8.88,8.9,,365699.0
2008-11-28,9.8,9.77,9.49,9.61,,101443.0
2008-12-01,9.71,8.52,8.48,9.52,,325112.0
2008-12-02,8.87,8.84,8.5,8.66,,400257.0
2008-12-03,9.125,8.8,8.35,8.64,,612832.0
2008-12-04,8.82,8.53,8.3,8.69,,384154.0
2008-12-05,9.03,9.0,8.26,8.49,,305096.0
2008-12-08,9.96,9.82,8.85,9.16,,438722.0
2008-12-09,10.37,9.64,9.41,9.72,,390616.0
2008-12-10,10.04,9.75,9.56,9.68,,169634.0
2008-12-11,9.92,9.38,9.35,9.65,,270088.0
2008-12-12,9.81,9.8,8.93,9.33,,206968.0
2008-12-15,9.77,9.36,9.09,9.77,,295913.0
2008-12-16,9.88,9.81,9.22,9.51,,398776.0
2008-12-17,9.91,9.82,9.55,9.69,,327815.0
2008-12-18,10.25,10.02,9.74,9.99,,290124.0
2008-12-19,10.72,10.11,10.02,10.15,,642096.0
2008-12-22,10.18,9.76,9.52,10.1,,367935.0
2008-12-23,9.59,9.09,8.98,9.06,,536098.0
2008-12-24,9.19,9.06,8.91,9.07,,158783.0
2008-12-26,9.19,9.05,9.0,9.19,,126745.0
2008-12-29,9.05,8.81,8.74,9.05,,210231.0
2008-12-30,8.97,8.85,8.74,8.89,,381054.0
2008-12-31,9.66,9.56,8.82,8.82,,502597.0
2009-01-02,9.93,9.86,9.48,9.58,,193386.0
2009-01-05,10.14,10.0,9.62,9.9,,250677.0
2009-01-06,10.4,10.35,9.84,10.0,,328431.0
2009-01-07,10.26,9.83,9.695,10.19,,439223.0
2009-01-08,10.09,10.05,9.7,9.84,,218003.0
2009-01-09,10.14,9.7,9.57,10.02,,261932.0
2009-01-12,9.68,9.36,9.33,9.68,,139886.0
2009-01-13,9.47,9.47,9.28,9.33,,164390.0
2009-01-14,9.55,8.99,8.97,9.55,,300969.0
2009-01-15,9.0,8.92,8.71,8.97,,303630.0
2009-01-16,9.15,9.0,8.81,9.07,,211073.0
2009-01-20,9.13,8.41,8.37,9.13,,483536.0
2009-01-21,8.54,8.49,8.15,8.53,,388462.0
2009-01-22,8.5,8.19,8.11,8.43,,285781.0
2009-01-23,8.26,8.22,7.97,8.02,,462322.0
2009-01-26,8.73,8.65,8.2,8.25,,287060.0
2009-01-27,8.98,8.88,8.63,8.65,,233759.0
2009-01-28,9.36,9.11,8.94,8.97,,199281.0
2009-01-29,9.12,8.96,8.92,9.05,,219601.0
2009-01-30,9.13,8.89,8.88,9.06,,344044.0
2009-02-02,8.88,8.78,8.31,8.64,,419395.0
2009-02-03,8.83,8.77,8.55,8.79,,428058.0
2009-02-04,9.19,9.0,8.78,8.8,,310839.0
2009-02-05,9.46,9.21,8.85,8.92,,267841.0
2009-02-06,9.71,9.66,9.16,9.16,,261920.0
2009-02-09,10.2,10.12,9.5,9.58,,689085.0
2009-02-10,10.17,9.34,9.23,10.04,,669209.0
2009-02-11,9.51,9.33,9.24,9.41,,391053.0
2009-02-12,9.88,9.75,9.21,9.25,,323047.0
2009-02-13,9.9,9.68,9.53,9.79,,143786.0
2009-02-17,9.69,9.12,9.11,9.35,,231791.0
2009-02-18,9.26,9.0,8.98,9.24,,248589.0
2009-02-19,9.74,9.54,9.1,9.1,,316877.0
2009-02-20,9.69,9.45,9.32,9.47,,336097.0
2009-02-23,9.59,9.22,9.16,9.48,,292716.0
2009-02-24,9.53,9.32,9.24,9.33,,555876.0
2009-02-25,9.43,9.06,8.9602,9.23,,370985.0
2009-02-26,9.22,8.78,8.77,9.1,,218077.0
2009-02-27,8.95,8.9,8.43,8.55,,422706.0
2009-03-02,8.85,8.33,8.31,8.76,,282649.0
2009-03-03,8.54,8.21,8.14,8.47,,291660.0
2009-03-04,9.12,8.98,8.33,8.33,,335197.0
2009-03-05,8.81,8.11,8.09,8.79,,374434.0
2009-03-06,8.46,8.2,8.04,8.21,,216986.0
2009-03-09,8.29,7.84,7.75,8.11,,596341.0
2009-03-10,8.54,8.51,7.84,7.95,,383062.0
2009-03-11,9.306,9.1,8.49,8.55,,381876.0
2009-03-12,9.67,9.66,8.91,9.04,,229014.0
2009-03-13,9.75,9.67,9.49,9.75,,264241.0
2009-03-16,9.77,9.38,9.36,9.77,,221956.0
2009-03-17,9.69,9.68,9.3,9.3,,319264.0
2009-03-18,9.87,9.87,9.45,9.55,,447463.0
2009-03-19,9.93,9.64,9.5505,9.93,,323390.0
2009-03-20,9.72,8.96,8.53,9.69,,791312.0
2009-03-23,9.51,9.5,9.01,9.16,,395068.0
2009-03-24,9.51,9.26,9.25,9.36,,169045.0
2009-03-25,9.7,9.69,9.3,9.3,,391312.0
2009-03-26,10.08,10.06,9.66,9.76,,369482.0
2009-03-27,10.05,9.98,9.8,9.88,,360683.0
2009-03-30,9.72,9.58,9.55,9.72,,211371.0
2009-03-31,10.1,9.8,9.58,9.7,,370953.0
2009-04-01,10.2,10.01,9.66,9.67,,250478.0
2009-04-02,10.65,10.29,9.92,10.0,,452622.0
2009-04-03,10.49,10.49,10.2,10.3,,217593.0
2009-04-06,10.49,10.19,10.01,10.33,,179455.0
2009-04-07,10.29,9.8,9.79,10.08,,163946.0
2009-04-08,9.88,9.64,9.31,9.6,,832750.0
2009-04-09,9.83,9.77,9.33,9.78,,395338.0
2009-04-13,9.77,9.72,9.53,9.63,,161351.0
2009-04-14,9.74,9.54,9.49,9.57,,182961.0
2009-04-15,9.62,9.35,9.25,9.51,,536758.0
2009-04-16,9.52,9.44,9.27,9.52,,328163.0
2009-04-17,9.52,9.46,9.36,9.47,,196670.0
2009-04-20,9.3,8.91,8.83,9.28,,379729.0
2009-04-21,9.17,9.05,8.85,8.85,,159098.0
