Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-13,89.0,88.4,87.7,88.7,,8053.9
2006-10-16,90.4,90.2,87.2,88.6,,16336.2
2006-10-17,89.8,89.5,87.1,89.0,,7147.9
2006-10-18,89.5,87.9,86.7,89.5,,7644.1
2006-10-19,90.0,89.1,87.2,87.4,,11285.9
2006-10-20,89.5,87.5,87.5,89.5,,5168.6
2006-10-23,88.6,88.0,85.1,86.8,,6675.9
2006-10-24,87.9,86.6,86.2,87.9,,5298.5
2006-10-25,89.4,89.2,87.3,87.3,,15963.5
2006-10-26,89.9,89.7,87.3,89.3,,17835.5
2006-10-27,89.1,86.1,86.1,89.1,,8314.5
2006-10-30,86.9,86.3,84.0,85.9,,14222.7
2006-10-31,87.0,84.3,83.9,86.1,,4873.7
2006-11-01,84.0,80.8,80.7,83.6,,16508.4
2006-11-02,82.64,81.1,80.21,80.3,,11601.3
2006-11-03,83.99,83.9,80.5,81.1,,11096.4
2006-11-06,84.3,81.9,81.3,83.9,,11797.9
2006-11-07,84.1,82.8,82.1,82.1,,8397.2
2006-11-08,84.9,83.8,82.2,82.2,,8728.4
2006-11-09,84.4,83.8,82.3,83.8,,9053.6
2006-11-10,86.0,85.9,83.2,83.6,,7368.5
2006-11-13,87.6,87.4,85.3,86.2,,16845.5
2006-11-14,88.0,88.0,85.7,87.5,,10016.2
2006-11-15,88.4,88.2,86.9,88.0,,10541.6
2006-11-16,88.7,88.4,86.8,87.3,,6858.3
2006-11-17,88.3,86.6,86.1,88.3,,5147.9
2006-11-20,87.2,86.3,85.6,85.6,,8928.8
2006-11-21,87.2,87.0,85.0,86.5,,6001.7
2006-11-22,86.8,85.9,85.5,86.8,,7239.3
2006-11-24,86.3,85.8,84.4,85.2,,2431.2
2006-11-27,85.1,81.2,80.6,85.1,,16074.9
2006-11-28,81.5,80.0,79.9,81.2,,12986.0
2006-11-29,81.9,81.2,80.0,80.8,,9374.5
2006-11-30,81.7,80.0,79.8,80.9,,32272.0
2006-12-01,80.8,79.8,79.23,80.0,,22888.5
2006-12-04,81.4,81.1,79.5,79.5,,9217.8
2006-12-05,81.42,80.6,78.0,78.0,,8297.8
2006-12-06,80.8,80.3,79.4,80.0,,8704.6
2006-12-07,80.5,79.4,79.3,80.0,,7180.0
2006-12-08,80.6,80.2,79.0,79.0,,8170.3
2006-12-11,79.9,79.4,79.0,79.8,,5926.4
2006-12-12,79.8,78.9,78.7,79.7,,8989.4
2006-12-13,79.9,79.7,78.9,78.9,,7698.6
2006-12-14,82.0,80.9,79.5,80.0,,10853.6
2006-12-15,81.8,80.8,80.4,81.5,,16225.8
2006-12-18,82.0,78.9,78.545,81.7,,12019.2
2006-12-19,79.0,77.8,77.7,78.2,,7007.8
2006-12-20,79.7,78.1,77.3,77.9,,8806.4
2006-12-21,79.0,78.1,77.0,78.4,,8198.3
2006-12-22,78.5,77.8,77.2,78.0,,4551.5
2006-12-26,80.16,80.0,77.5,77.5,,6605.1
2006-12-27,84.3,84.1,79.5,79.7,,27780.0
2006-12-28,86.1,82.7,82.6,83.7,,25390.0
2006-12-29,82.5,80.0,79.5,82.2,,15888.7
2007-01-03,81.1,78.8,77.6,80.1,,19087.5
2007-01-04,79.7,78.8,77.2,78.8,,17255.9
2007-01-05,78.8,77.0,76.9,78.8,,13786.2
2007-01-08,78.6,77.4,75.7,76.9,,18973.4
2007-01-09,79.6,78.2,76.8,78.2,,26270.9
2007-01-10,79.7,78.0,77.3,77.3,,17936.8
2007-01-11,81.0,80.5,78.4,78.5,,23952.5
2007-01-12,81.5,80.9,80.1,80.6,,14024.6
2007-01-16,81.1,80.2,79.1,81.1,,11716.4
2007-01-17,79.7,79.5,78.8,79.7,,6258.5
2007-01-18,80.1,76.1,75.8,79.2,,14436.2
2007-01-19,76.0,75.4,75.1,75.7,,9879.4
2007-01-22,75.9,75.5,75.2,75.6,,13855.7
2007-01-23,78.3,77.2,75.3,75.5,,13597.2
2007-01-24,78.4,76.7,75.9,77.5,,15751.1
2007-01-25,77.6,73.9,73.9,76.5,,14923.4
