Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,51.48,50.97,50.49,50.68,,3324215.0
2007-09-20,51.21,50.36,50.36,50.67,,2554900.0
2007-09-21,50.95,50.2,50.07,50.86,,3651600.0
2007-09-24,51.0,50.25,50.02,50.03,,2508990.0
2007-09-25,51.2,51.02,49.68,49.85,,2756800.0
2007-09-26,51.97,51.57,51.13,51.35,,2761500.0
2007-09-27,53.44,53.37,52.0,52.79,,5225200.0
2007-09-28,53.62,53.22,52.87,53.49,,3140300.0
2007-10-01,54.38,53.93,53.29,53.47,,3049400.0
2007-10-02,54.32,53.42,53.15,53.43,,2145000.0
2007-10-03,53.22,52.94,52.56,53.06,,2357400.0
2007-10-04,53.61,53.37,52.81,53.02,,1800100.0
2007-10-05,54.9,54.27,53.7,53.7,,2545700.0
2007-10-08,54.65,54.24,53.79,54.4,,1838600.0
2007-10-09,54.84,54.74,54.0,54.35,,2069480.0
2007-10-10,54.9,54.57,53.95,54.71,,2124000.0
2007-10-11,55.3,53.86,53.71,54.91,,3003522.0
2007-10-12,54.16,53.09,52.78,54.08,,3131000.0
2007-10-15,53.64,52.98,52.62,53.24,,2691800.0
2007-10-16,53.18,52.66,52.4,52.89,,2327700.0
2007-10-17,53.52,52.94,52.45,53.32,,2672388.0
2007-10-18,53.81,53.61,52.68,52.92,,2321400.0
2007-10-19,53.41,50.5,50.12,53.18,,5771600.0
2007-10-22,51.27,50.97,49.44,49.46,,3156500.0
2007-10-23,51.56,51.2,50.7,51.36,,2147600.0
2007-10-24,51.55,50.99,50.12,50.93,,3217100.0
2007-10-25,51.3,51.07,50.4,51.17,,2679100.0
2007-10-26,52.0,51.4,51.05,51.55,,2292800.0
2007-10-29,51.7,51.53,50.48,51.46,,2406500.0
2007-10-30,51.58,50.89,50.76,50.98,,2030000.0
2007-10-31,52.35,52.27,50.935,51.08,,2828274.0
2007-11-01,52.29,51.34,51.15,51.15,,3904700.0
2007-11-02,52.79,51.83,50.89,52.49,,3663911.0
2007-11-05,52.59,51.53,51.07,51.62,,3456527.0
2007-11-06,54.75,54.28,52.01,52.01,,4842540.0
2007-11-07,55.78,54.98,53.78,54.0,,5553300.0
2007-11-08,55.59,55.38,54.29,55.25,,5009052.0
2007-11-09,55.39,54.79,54.28,54.76,,4073350.0
2007-11-12,55.21,54.18,54.05,54.57,,3865055.0
2007-11-13,55.7,55.6,53.89,54.5,,3962232.0
2007-11-14,56.7,55.58,55.18,56.0,,3909914.0
2007-11-15,55.68,55.03,54.78,55.47,,3690775.0
2007-11-16,55.79,54.97,54.1,55.51,,3944975.0
2007-11-19,54.79,53.76,53.21,54.73,,4223221.0
2007-11-20,55.5,54.5,53.47,53.74,,4610800.0
2007-11-21,54.57,53.38,53.27,53.94,,4393900.0
2007-11-23,54.84,54.68,53.11,53.84,,1470250.0
2007-11-26,55.36,53.73,53.61,54.68,,2984581.0
2007-11-27,54.53,54.19,53.38,53.9,,3645248.0
2007-11-28,56.83,56.49,54.3,54.71,,4366312.0
2007-11-29,57.06,56.49,55.93,56.76,,2532241.0
2007-11-30,58.08,57.02,56.75,57.28,,3752301.0
2007-12-03,58.13,57.43,56.72,57.5,,3367371.0
2007-12-04,59.05,57.93,56.58,56.97,,3894629.0
2007-12-05,58.8,57.64,57.13,58.58,,3390082.0
2007-12-06,58.09,58.02,57.46,57.62,,2757050.0
2007-12-07,58.74,58.32,57.73,58.24,,2192781.0
2007-12-10,58.87,58.29,57.01,57.01,,3186900.0
2007-12-11,58.5,56.25,56.19,58.26,,3521745.0
2007-12-12,57.96,56.2,55.51,57.63,,4999630.0
2007-12-13,57.06,56.96,55.36,55.93,,3421464.0
2007-12-14,57.13,56.21,56.19,57.08,,3188544.0
2007-12-17,56.21,54.48,54.39,56.0,,3355615.0
2007-12-18,55.66,55.39,54.17,54.98,,3126552.0
2007-12-19,55.83,55.2,54.74,55.29,,2917181.0
2007-12-20,55.8,55.4,54.53,55.49,,2903700.0
2007-12-21,56.87,55.83,55.71,56.11,,5229561.0
2007-12-24,57.49,57.45,55.94,56.22,,1294345.0
