Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-02-22,1.26,1.26,1.25,1.26,,96900.0
2007-02-23,1.27,1.26,1.25,1.25,,46000.0
2007-02-26,1.3,1.3,1.25,1.25,,27500.0
2007-02-27,1.27,1.25,1.25,1.27,,54850.0
2007-02-28,1.3,1.3,1.25,1.25,,57000.0
2007-03-01,1.27,1.27,1.26,1.26,,24000.0
2007-03-02,1.27,1.25,1.25,1.27,,12300.0
2007-03-05,1.3,1.3,1.25,1.25,,43324.0
2007-03-06,1.29,1.29,1.29,1.29,,6000.0
2007-03-07,1.28,1.28,1.25,1.25,,12500.0
2007-03-08,1.3,1.3,1.25,1.25,,28300.0
2007-03-12,1.27,1.26,1.26,1.27,,3800.0
2007-03-13,1.3,1.3,1.26,1.26,,9000.0
2007-03-14,1.25,1.25,1.25,1.25,,19100.0
2007-03-15,1.29,1.29,1.27,1.27,,10000.0
2007-03-16,1.29,1.29,1.26,1.26,,9400.0
2007-03-20,1.26,1.25,1.25,1.26,,72700.0
2007-03-21,1.3,1.3,1.25,1.25,,104700.0
2007-03-22,1.33,1.33,1.3,1.3,,19500.0
2007-03-23,1.33,1.33,1.33,1.33,,35100.0
2007-03-27,1.29,1.29,1.27,1.27,,10087.0
2007-03-28,1.43,1.4,1.31,1.31,,96440.0
2007-03-29,1.43,1.35,1.35,1.43,,23850.0
2007-03-30,1.34,1.31,1.31,1.32,,21441.0
2007-04-02,1.31,1.31,1.31,1.31,,8000.0
2007-04-03,1.36,1.36,1.31,1.31,,10700.0
2007-04-04,1.39,1.39,1.34,1.34,,47000.0
2007-04-05,1.39,1.39,1.31,1.31,,20900.0
2007-04-09,1.42,1.34,1.32,1.42,,19000.0
2007-04-10,1.35,1.35,1.35,1.35,,8440.0
2007-04-11,1.42,1.35,1.35,1.42,,8000.0
2007-04-12,1.36,1.35,1.35,1.36,,7500.0
2007-04-13,1.35,1.35,1.35,1.35,,450.0
2007-04-16,1.35,1.35,1.35,1.35,,5900.0
2007-04-17,1.41,1.35,1.35,1.35,,55750.0
2007-04-18,1.35,1.35,1.35,1.35,,5000.0
2007-04-19,1.35,1.35,1.35,1.35,,5000.0
2007-04-20,1.35,1.35,1.35,1.35,,1000.0
2007-04-23,1.35,1.35,1.35,1.35,,6900.0
2007-04-25,1.35,1.35,1.35,1.35,,800.0
2007-04-26,1.35,1.35,1.35,1.35,,8500.0
2007-04-27,1.35,1.35,1.35,1.35,,25661.0
2007-04-30,1.36,1.36,1.33,1.33,,20900.0
2007-05-01,1.33,1.31,1.31,1.33,,15000.0
2007-05-02,1.37,1.37,1.33,1.33,,74533.0
2007-05-03,1.39,1.39,1.37,1.37,,21800.0
2007-05-04,1.38,1.38,1.38,1.38,,600.0
2007-05-07,1.38,1.38,1.38,1.38,,8100.0
2007-05-08,1.4,1.4,1.38,1.38,,7746.0
2007-05-09,1.4,1.4,1.35,1.38,,13200.0
2007-05-10,1.44,1.35,1.31,1.43,,7017.0
2007-05-11,,,,,,50.0
2007-05-14,1.4,1.4,1.35,1.36,,5200.0
2007-05-15,1.4,1.38,1.38,1.4,,8600.0
2007-05-16,1.41,1.41,1.38,1.38,,25800.0
2007-05-17,1.46,1.46,1.41,1.41,,5100.0
2007-05-18,1.41,1.4,1.4,1.41,,11700.0
2007-05-22,1.49,1.49,1.35,1.4,,1378603.0
2007-05-23,1.53,1.5,1.41,1.41,,83004.0
2007-05-24,1.56,1.5,1.5,1.52,,53690.0
2007-05-25,1.53,1.45,1.43,1.5,,113950.0
2007-05-28,1.5,1.45,1.45,1.5,,18500.0
2007-05-29,1.57,1.5,1.5,1.57,,32860.0
2007-05-30,1.51,1.47,1.47,1.5,,14050.0
2007-05-31,1.63,1.63,1.53,1.55,,91130.0
2007-06-01,1.77,1.73,1.63,1.63,,101531.0
2007-06-04,1.85,1.85,1.74,1.75,,108802.0
2007-06-05,2.13,2.03,1.89,1.89,,105393.0
2007-06-06,2.03,2.02,1.84,2.02,,72960.0
2007-06-07,2.02,1.99,1.92,2.0,,79205.0
2007-06-08,1.95,1.9,1.9,1.94,,17615.0
2007-06-11,1.98,1.95,1.89,1.95,,79773.0
2007-06-12,1.99,1.94,1.93,1.99,,20602.0
2007-06-13,1.96,1.96,1.91,1.94,,16935.0
2007-06-14,1.98,1.96,1.94,1.96,,26300.0
2007-06-15,1.98,1.95,1.85,1.97,,59256.0
2007-06-18,1.96,1.94,1.92,1.96,,39690.0
2007-06-19,1.97,1.8,1.8,1.88,,52885.0
2007-06-20,1.91,1.81,1.81,1.91,,21750.0
2007-06-21,1.9,1.84,1.8,1.89,,85690.0
2007-06-22,1.9,1.79,1.79,1.89,,28115.0
2007-06-25,1.89,1.86,1.84,1.87,,72554.0
2007-06-26,1.89,1.88,1.86,1.86,,12114.0
2007-06-27,1.85,1.8,1.8,1.85,,48864.0
2007-06-28,1.86,1.8,1.76,1.82,,158800.0
2007-06-29,1.86,1.84,1.78,1.86,,2820.0
2007-07-03,1.85,1.8,1.8,1.85,,102165.0
2007-07-04,1.8,1.75,1.75,1.8,,55000.0
2007-07-05,1.83,1.83,1.69,1.78,,93165.0
2007-07-06,1.8,1.79,1.7,1.7,,78754.0
2007-07-09,1.8,1.8,1.71,1.75,,107420.0
2007-07-10,1.8,1.8,1.72,1.74,,157718.0
2007-07-11,1.8,1.79,1.76,1.79,,93607.0
2007-07-12,1.86,1.86,1.8,1.8,,187103.0
2007-07-13,2.01,1.95,1.85,1.86,,165540.0
2007-07-16,2.19,2.07,1.99,2.03,,102360.0
2007-07-17,2.19,2.05,1.95,2.13,,171461.0
2007-07-18,2.2,2.19,2.02,2.05,,74261.0
2007-07-19,2.5,2.29,2.16,2.21,,94250.0
