Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-10-27,27.0,25.5,24.68,26.25,25812.0,5879848.0
2017-10-30,25.6,25.0,24.0601,25.6,3247.0,572941.0
2017-10-31,26.25,25.85,24.45,24.9,3588.0,560708.0
2017-11-01,26.4,25.87,25.573,25.81,1472.0,241048.0
2017-11-02,26.1992,24.79,24.75,25.95,677.0,89077.0
2017-11-03,25.5,25.0,24.67,24.67,1474.0,177988.0
2017-11-06,25.2,25.13,24.94,25.0,250.0,32921.0
2017-11-07,25.45,25.07,24.78,25.29,511.0,58803.0
2017-11-08,25.29,25.07,24.78,25.22,1037.0,102428.0
2017-11-09,25.0,24.47,24.01,25.0,909.0,122618.0
2017-11-10,25.14,25.12,24.2,24.54,993.0,127698.0
2017-11-13,25.8,24.91,24.59,25.0,915.0,119603.0
2017-11-14,25.4,25.11,24.53,24.86,369.0,44523.0
2017-11-15,25.39,24.99,24.85,25.0,450.0,27781.0
2017-11-16,26.0,25.51,24.31,24.31,472.0,70401.0
2017-11-17,25.7189,25.55,24.4217,25.27,352.0,41297.0
2017-11-20,26.98,26.94,25.278,25.62,1147.0,230597.0
2017-11-21,27.99,27.33,26.94,26.94,1150.0,185033.0
2017-11-22,28.87,28.49,27.775,27.97,968.0,137992.0
2017-11-24,29.53,28.66,28.01,29.11,619.0,92767.0
2017-11-27,29.24,26.91,26.9,29.24,797.0,106973.0
2017-11-28,27.37,24.35,24.16,27.1,2297.0,328055.0
2017-11-29,24.9099,22.41,22.02,24.2,3141.0,480387.0
2017-11-30,24.54,24.12,22.51,22.77,1554.0,225535.0
2017-12-01,25.0,24.48,23.54,24.32,821.0,91232.0
2017-12-04,24.97,22.6,22.57,24.74,849.0,117019.0
2017-12-05,23.1329,21.92,21.9,22.69,919.0,110171.0
2017-12-06,23.25,22.89,21.56,21.84,903.0,116507.0
2017-12-07,23.95,22.97,22.27,23.0,1769.0,214236.0
2017-12-08,28.0,27.65,24.45,25.05,2880.0,423176.0
2017-12-11,28.95,28.0,27.0894,27.55,2238.0,348864.0
2017-12-12,28.94,27.48,27.251,28.35,1012.0,127490.0
2017-12-13,28.44,28.3,27.32,27.67,1123.0,162184.0
2017-12-14,30.08,29.06,28.1789,28.4,1580.0,207729.0
2017-12-15,32.58,31.16,29.1,30.13,3804.0,1411182.0
2017-12-18,32.0899,31.19,30.5,31.75,1083.0,150367.0
2017-12-19,31.06,30.45,29.41,31.06,1741.0,229944.0
2017-12-20,32.05,31.98,30.065,30.43,1251.0,115460.0
2017-12-21,32.4953,31.99,31.13,32.25,944.0,126741.0
2017-12-22,31.98,31.89,31.09,31.98,771.0,73678.0
2017-12-26,32.06,30.41,30.38,32.06,1354.0,175924.0
2017-12-27,31.57,29.63,29.325,30.43,1711.0,194296.0
2017-12-28,31.73,31.69,29.67,30.15,1348.0,151400.0
2017-12-29,31.9,31.89,31.15,31.82,560.0,57236.0
2018-01-02,32.6789,30.97,30.77,31.91,996.0,131719.0
2018-01-03,31.115,29.89,29.65,30.94,1346.0,138625.0
2018-01-04,30.135,28.61,28.385,29.94,1290.0,125555.0
2018-01-05,29.84,28.89,28.465,28.7,1064.0,103935.0
2018-01-08,31.0,30.17,28.89,28.89,2221.0,223275.0
2018-01-09,30.65,30.54,29.6502,30.2,1318.0,136875.0
2018-01-10,30.88,30.45,29.75,30.49,671.0,67416.0
2018-01-11,32.6,32.6,30.0,30.43,1162.0,101279.0
2018-01-12,34.19,33.69,32.4,32.68,1445.0,154205.0
2018-01-16,33.71,30.97,30.59,33.71,1328.0,151307.0
2018-01-17,32.675,31.56,30.221,30.99,1062.0,111788.0
2018-01-18,32.11,31.38,30.83,31.63,902.0,129373.0
2018-01-19,32.76,32.7,30.49,31.63,1269.0,129217.0
