Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2004-12-10,13.43,12.72,12.5,12.75,493195.0
2004-12-13,12.8,12.7,12.55,12.7,74108.0
2004-12-14,13.0,12.94,12.66,12.75,35541.0
2004-12-15,12.9,12.51,12.5,12.9,113954.0
2004-12-16,12.7,12.45,12.4,12.55,55898.0
2004-12-17,12.96,12.88,12.47,12.811,37769.0
2004-12-20,13.0,12.95,12.7,12.75,15335.0
2004-12-21,12.95,12.95,12.75,12.95,15350.0
2004-12-22,13.02,12.89,12.75,12.75,12380.0
2004-12-23,12.9,12.9,12.801,12.801,5200.0
2004-12-27,13.0,13.0,12.9,12.9,3900.0
2004-12-28,13.05,12.86,12.85,13.05,2475.0
2004-12-29,13.0,12.95,12.95,13.0,11320.0
2004-12-30,13.0,13.0,12.9,12.9,14220.0
2004-12-31,13.1,13.02,12.87,12.87,1730.0
2005-01-03,13.0,13.0,12.85,12.9,10500.0
2005-01-04,13.1,12.82,12.8,13.1,7603.0
2005-01-05,13.05,12.989,12.8,13.05,8065.0
2005-01-06,13.05,12.82,12.82,13.05,17450.0
2005-01-07,13.05,12.8,12.75,13.02,25976.0
2005-01-10,13.0,12.99,12.8,12.8,9100.0
2005-01-11,13.12,12.85,12.82,12.82,10865.0
2005-01-12,12.98,12.82,12.77,12.85,14650.0
2005-01-13,12.95,12.8,12.77,12.85,12600.0
2005-01-14,12.95,12.95,12.77,12.9,6507.0
2005-01-18,12.95,12.8,12.8,12.95,22750.0
2005-01-19,13.05,12.95,12.8,12.8,17890.0
2005-01-20,13.05,12.95,12.9,12.9,14250.0
2005-01-21,13.15,13.0,12.585,13.02,21120.0
2005-01-24,13.15,12.95,12.72,13.15,3700.0
2005-01-25,12.95,12.95,12.83,12.95,5680.0
2005-01-26,13.0,12.85,12.65,13.0,14675.0
2005-01-27,12.95,12.7,12.65,12.85,13500.0
2005-01-28,12.79,12.65,12.65,12.75,12400.0
2005-01-31,12.71,12.5,12.5,12.65,14251.0
2005-02-01,12.6,12.4,12.35,12.5,14703.0
2005-02-02,12.55,12.35,12.3,12.55,2205.0
2005-02-03,12.55,12.55,12.35,12.4,19600.0
2005-02-04,12.45,12.4,12.35,12.45,15800.0
2005-02-07,12.58,12.5,12.4,12.4,17166.0
2005-02-08,12.55,12.5,12.5,12.55,4855.0
2005-02-09,12.54,12.51,12.49,12.5,5100.0
2005-02-10,12.5,12.5,12.45,12.5,2900.0
2005-02-11,12.52,12.5,12.46,12.5,68550.0
2005-02-14,12.55,12.5,12.4,12.55,14723.0
2005-02-15,12.52,12.51,12.5,12.5,1400.0
2005-02-16,12.53,12.53,12.45,12.45,1325.0
2005-02-17,12.55,12.5,12.5,12.5,29385.0
2005-02-18,12.53,12.5,12.5,12.53,17100.0
2005-02-22,12.55,12.53,12.48,12.55,7445.0
2005-02-23,12.56,12.53,12.53,12.56,2920.0
2005-02-24,12.55,12.5,12.45,12.45,39130.0
2005-02-25,12.55,12.55,12.45,12.45,3185.0
2005-02-28,12.99,12.5,12.5,12.55,9000.0
2005-03-01,12.95,12.74,12.58,12.59,6400.0
2005-03-02,12.75,12.65,12.5,12.75,1996.0
2005-03-03,13.85,13.0,12.35,12.55,17134.0
2005-03-04,12.73,12.522,12.522,12.73,4142.0
2005-03-07,12.95,12.7,12.55,12.75,7554.0
2005-03-08,12.86,12.45,12.255,12.75,7220.0
2005-03-09,12.5,12.5,12.5,12.5,6000.0
2005-03-10,12.74,12.73,12.73,12.74,700.0
2005-03-11,12.7,12.5,12.46,12.7,1000.0
2005-03-14,13.1,12.55,12.3,13.1,1300.0
2005-03-15,12.35,12.31,12.3,12.35,3300.0
2005-03-16,12.7,12.35,12.32,12.6,7800.0
2005-03-17,12.4,12.35,12.0,12.4,5701.0
2005-03-18,12.6,12.3,12.3,12.4,3150.0
2005-03-21,12.4,12.12,12.12,12.4,9901.0
