Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,26.61,26.18,26.05,26.59,,255385.0
2007-09-06,26.5,26.45,26.01,26.41,,201182.0
2007-09-07,26.45,26.28,26.07,26.45,,235480.0
2007-09-10,26.44,26.16,25.84,26.25,,287002.0
2007-09-11,26.39,26.35,26.1,26.28,,307229.0
2007-09-12,26.79,26.64,26.37,26.79,,158387.0
2007-09-13,27.13,27.0,26.54,26.64,,401290.0
2007-09-14,27.25,27.14,26.56,26.56,,185302.0
2007-09-17,27.19,26.86,26.7,27.0,,637894.0
2007-09-18,27.15,27.0,26.75,26.75,,202214.0
2007-09-19,27.27,27.19,26.92,27.0,,149967.0
2007-09-20,27.13,26.72,26.64,27.07,,635760.0
2007-09-21,27.08,27.0,26.6,26.9,,414084.0
2007-09-24,27.16,27.05,26.8,26.89,,430638.0
2007-09-25,27.18,27.17,26.95,27.0,,188847.0
2007-09-26,27.23,26.85,26.85,27.2,,382862.0
2007-09-27,27.1,26.94,26.8,26.99,,156046.0
2007-09-28,27.1,27.05,26.9,26.9,,219237.0
2007-10-01,27.14,27.0,26.85,27.14,,236604.0
2007-10-02,27.0,26.88,26.84,26.95,,335166.0
2007-10-03,27.01,26.95,26.8,27.0,,220847.0
2007-10-04,27.1,26.9,26.87,26.9,,298300.0
2007-10-05,27.1,27.1,26.85,26.95,,98103.0
2007-10-09,27.25,27.19,26.91,27.1,,249389.0
2007-10-10,27.56,27.56,27.07,27.22,,303720.0
2007-10-11,27.85,27.35,27.15,27.74,,198452.0
2007-10-12,27.52,27.44,27.1,27.35,,119151.0
2007-10-15,27.49,27.28,27.15,27.44,,144946.0
2007-10-16,27.35,27.07,26.92,27.35,,137580.0
2007-10-17,27.15,26.78,26.56,27.15,,255033.0
2007-10-18,27.0,26.91,26.74,26.78,,185996.0
2007-10-19,27.25,27.0,26.65,26.91,,168957.0
2007-10-22,26.98,26.9,26.71,26.8,,204032.0
2007-10-23,26.9,26.9,26.66,26.85,,209220.0
2007-10-24,27.09,27.08,26.76,26.8,,573008.0
2007-10-25,27.0,26.78,26.56,26.95,,258248.0
2007-10-26,26.95,26.69,26.55,26.91,,327867.0
2007-10-29,26.77,26.69,26.52,26.69,,287180.0
2007-10-30,26.94,26.93,26.61,26.84,,271872.0
2007-10-31,28.24,28.24,26.95,26.95,,679735.0
2007-11-01,27.97,27.43,27.27,27.37,,407059.0
