Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-11-29,19.71,19.71,19.71,19.71,,100.0
2012-03-14,23.45,23.45,23.45,23.45,,12500.0
2012-03-28,23.0,23.0,23.0,23.0,,308.0
2012-04-17,22.87,22.87,22.87,22.87,,500.0
2012-11-30,22.94,22.94,22.94,22.94,1.0,300.0
2012-12-05,23.19,23.17,23.17,23.19,3.0,800.0
2012-12-06,23.13,23.13,23.13,23.13,1.0,100.0
2012-12-10,23.2,23.2,23.2,23.2,1.0,300.0
2012-12-11,23.29,23.29,23.29,23.29,1.0,100.0
2012-12-19,23.93,23.88,23.88,23.93,3.0,500.0
2012-12-20,24.1,24.1,23.98,23.98,4.0,800.0
2012-12-21,23.87,23.87,23.86,23.86,2.0,300.0
2012-12-24,23.52,23.52,23.52,23.52,1.0,100.0
2012-12-26,23.53,23.53,23.53,23.53,1.0,300.0
2012-12-28,23.62,23.53,23.53,23.62,2.0,500.0
2012-12-31,23.72,23.72,23.72,23.72,1.0,400.0
2013-01-02,24.3,24.3,24.24,24.24,2.0,500.0
2013-01-03,24.27,24.14,24.14,24.27,3.0,500.0
2013-01-04,24.33,24.33,24.24,24.24,2.0,600.0
2013-01-07,24.29,24.25,24.25,24.29,3.0,2800.0
2013-01-08,24.16,24.13,24.0,24.1,4.0,900.0
2013-01-09,24.29,24.18,24.16,24.29,8.0,2800.0
2013-01-10,24.62,24.49,24.38,24.38,10.0,4600.0
2013-01-11,24.54,24.54,24.54,24.54,1.0,500.0
2013-01-14,24.63,24.63,24.5,24.51,5.0,2600.0
2013-01-30,25.1,25.1,25.1,25.1,1.0,400.0
2013-02-04,24.8,24.8,24.73,24.73,2.0,700.0
2013-02-05,24.83,24.83,24.8,24.8,2.0,500.0
2013-02-07,24.56,24.56,24.56,24.56,1.0,300.0
2013-02-13,25.02,25.02,24.89,24.91,5.0,500.0
2013-02-25,24.57,24.57,24.57,24.57,1.0,100.0
2013-03-01,24.44,24.44,24.44,24.44,1.0,100.0
2014-04-10,28.63,28.63,28.63,28.63,1.0,400.0
2014-04-21,28.73,28.73,28.73,28.73,2.0,4000.0
2014-04-22,28.98,28.95,28.88,28.95,15.0,13939.0
