Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2009-08-21,5.0,5.0,5.0,5.0,1000.0
2009-09-03,7.0,7.0,7.0,7.0,100.0
2010-03-04,4.5,3.5,3.5,4.5,14700.0
2010-03-05,3.5,3.5,3.5,3.5,35000.0
2010-03-08,3.5,3.5,3.48,3.48,51400.0
2010-03-10,3.55,3.55,3.55,3.55,15000.0
2010-03-12,3.55,3.55,3.55,3.55,30000.0
2010-03-16,3.6,3.6,3.55,3.55,40500.0
2010-03-19,3.8,3.8,3.8,3.8,10500.0
2010-03-23,3.85,3.85,3.8,3.8,37100.0
2010-03-24,3.8,3.8,3.8,3.8,5300.0
2010-03-29,4.05,4.05,4.0,4.0,40000.0
2010-03-30,4.05,4.05,4.05,4.05,50000.0
2010-03-31,4.02,4.02,4.02,4.02,6250.0
2010-04-06,4.05,4.05,4.05,4.05,500.0
2010-04-07,4.02,4.02,4.02,4.02,500.0
2010-04-14,4.05,4.02,4.02,4.05,25500.0
2010-04-19,4.06,4.06,4.02,4.02,33900.0
2010-04-21,4.06,4.06,4.06,4.06,12200.0
2010-04-28,4.5,4.5,4.5,4.5,200.0
2010-04-30,4.5,4.5,4.5,4.5,200.0
2010-05-05,4.05,4.05,4.05,4.05,3500.0
2010-05-06,4.05,4.05,4.05,4.05,1500.0
2010-05-20,4.05,4.05,3.8,3.8,4600.0
2010-05-21,4.05,4.05,3.75,3.75,18500.0
2010-05-25,4.04,4.04,3.79,3.79,9500.0
2010-05-28,4.05,4.05,3.9,4.05,8300.0
2010-06-04,4.0,4.0,3.95,4.0,7300.0
2010-06-08,4.0,4.0,4.0,4.0,200.0
2010-06-09,4.0,4.0,3.5,3.5,32000.0
2010-06-15,4.0,4.0,3.7,3.75,21500.0
2010-06-22,4.0,4.0,4.0,4.0,300.0
2010-06-24,4.0,4.0,4.0,4.0,6750.0
2010-06-28,4.3,4.3,3.84,3.85,32700.0
2010-06-29,4.0,4.0,3.68,3.7,26600.0
2010-06-30,4.3,4.29,3.74,3.95,23300.0
2010-07-09,4.3,4.3,4.3,4.3,100.0
2010-07-12,4.3,4.3,4.3,4.3,100.0
2010-07-16,4.45,4.45,4.45,4.45,200.0
2010-07-21,4.1,4.0,3.53,4.1,16400.0
2010-07-28,4.0,4.0,3.75,3.75,800.0
2010-07-30,4.05,4.05,4.05,4.05,800.0
2010-08-04,4.0,4.0,3.99,3.99,2000.0
2010-08-05,4.45,4.45,4.1,4.1,3000.0
2010-08-13,4.1,4.1,4.1,4.1,1000.0
2010-08-17,4.4,4.4,4.25,4.25,1750.0
2010-08-18,4.35,4.35,3.3,4.0,2500.0
2010-08-23,4.35,4.35,3.75,3.75,21500.0
2010-08-26,4.35,4.35,4.35,4.35,100.0
2010-08-27,4.33,4.33,4.29,4.33,39800.0
2010-09-07,4.35,4.23,4.15,4.15,29700.0
2010-09-09,4.24,4.24,4.24,4.24,9250.0
2010-09-13,4.5,4.5,4.2,4.2,14100.0
2010-09-14,4.4,4.4,4.4,4.4,26000.0
2010-09-17,4.24,4.24,4.24,4.24,8000.0
2010-09-20,4.0,4.0,4.0,4.0,500.0
2010-09-22,4.42,4.42,4.0,4.0,26600.0
2010-09-23,4.09,4.09,4.0,4.0,300.0
2010-09-27,4.5,4.5,4.09,4.09,9500.0
2010-09-30,4.4,4.4,4.0,4.2,42400.0
2010-10-06,4.39,4.39,4.0,4.0,600.0
2010-10-08,4.5,4.5,2.75,2.75,800.0
2010-10-11,4.05,4.05,3.85,3.85,400.0
2010-10-18,4.25,4.2,4.2,4.2,500.0
