Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,22.0,21.744,21.66,21.96,,6600.0
2007-09-20,21.9,21.82,21.6,21.76,,11300.0
2007-09-21,21.79,21.75,21.6601,21.7,,5000.0
2007-09-24,21.83,21.83,21.81,21.81,,600.0
2007-09-25,21.8,21.61,21.61,21.7001,,4400.0
2007-09-26,21.9,21.9,21.61,21.61,,2000.0
2007-09-27,21.95,21.86,21.75,21.8,,5000.0
2007-09-28,22.1,22.1,21.85,21.93,,7500.0
2007-10-01,22.4,22.38,21.85,21.95,,6900.0
2007-10-02,22.38,22.16,22.15,22.38,,4800.0
2007-10-03,22.15,22.05,22.0,22.15,,6900.0
2007-10-04,22.12,22.09,22.06,22.09,,6000.0
2007-10-05,22.4,22.25,22.01,22.09,,14700.0
2007-10-08,22.36,22.36,22.2,22.32,,5300.0
2007-10-09,22.33,22.25,22.25,22.33,,800.0
2007-10-10,22.45,22.45,22.28,22.28,,3000.0
2007-10-11,22.5999,22.36,22.33,22.57,,4800.0
2007-10-12,22.7099,22.6,22.37,22.49,,6800.0
2007-10-15,22.7,22.7,22.3,22.45,,4800.0
2007-10-16,22.65,22.5,22.5,22.65,,3300.0
2007-10-17,22.7,22.5501,22.5,22.7,,12600.0
2007-10-18,22.68,22.68,22.6199,22.6199,,2000.0
2007-10-19,22.6747,22.6,22.58,22.6,,1700.0
2007-10-22,22.57,22.4,22.4,22.57,,3100.0
2007-10-23,22.6,22.6,22.16,22.3,,7700.0
2007-10-24,22.56,22.32,22.29,22.52,,6200.0
2007-10-25,22.53,22.36,22.27,22.41,,4200.0
2007-10-26,22.68,22.68,22.43,22.43,,2600.0
2007-10-29,22.9001,22.9,22.82,22.82,,3700.0
2007-10-30,23.0,23.0,22.7,22.9499,,18200.0
2007-10-31,23.0,23.0,22.74,22.82,,12800.0
2007-11-01,23.0,22.3701,22.3701,22.98,,14300.0
2007-11-02,22.59,22.54,22.27,22.38,,12700.0
2007-11-05,22.55,22.55,22.35,22.45,,5200.0
2007-11-06,22.6899,22.5301,21.56,21.56,,2700.0
2007-11-07,22.65,22.22,22.22,22.65,,2600.0
2007-11-08,22.3501,22.33,22.17,22.28,,7600.0
2007-11-09,22.29,22.16,22.15,22.29,,3500.0
2007-11-12,22.34,22.0101,22.0101,22.34,,8000.0
2007-11-13,22.55,22.55,22.06,22.2,,8800.0
2007-11-14,23.0,22.8,22.3,22.4,,8800.0
2007-11-15,22.79,22.79,22.3,22.66,,24800.0
2007-11-16,22.65,22.5001,22.45,22.65,,2300.0
2007-11-19,22.55,22.55,22.1,22.5,,12400.0
2007-11-20,22.55,22.35,21.92,22.45,,9800.0
2007-11-21,22.2,22.01,22.01,22.08,,2600.0
2007-11-23,22.1,22.05,22.05,22.05,,4000.0
2007-11-26,22.1899,22.15,22.08,22.09,,7800.0
2007-11-27,22.35,22.35,22.05,22.05,,2300.0
