Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-09-07,0.205,0.205,0.205,0.205,,2000.0
2011-09-08,0.205,0.205,0.205,0.205,,2000.0
2011-09-09,0.21,0.21,0.21,0.21,,5000.0
2011-09-13,0.205,0.205,0.205,0.205,,2000.0
2011-09-16,0.25,0.25,0.25,0.25,,5000.0
2011-09-19,0.29,0.29,0.29,0.29,,10000.0
2011-09-20,0.31,0.31,0.31,0.31,,3000.0
2011-09-22,0.33,0.33,0.33,0.33,,5000.0
2011-09-23,0.31,0.31,0.31,0.31,,5000.0
2011-09-27,0.34,0.34,0.34,0.34,,10000.0
2011-09-28,0.4,0.4,0.4,0.4,,5000.0
2011-09-30,0.4,0.3,0.3,0.4,,3000.0
2011-10-03,0.29,0.22,0.22,0.29,,30000.0
2011-10-04,0.21,0.2,0.2,0.21,,16000.0
2011-10-12,0.27,0.27,0.2,0.2,,15000.0
2011-10-13,0.32,0.32,0.32,0.32,,5000.0
2011-10-17,0.38,0.38,0.38,0.38,,6000.0
2011-10-18,0.4,0.4,0.38,0.38,,12000.0
2011-10-19,0.5,0.5,0.5,0.5,,3000.0
2013-10-03,0.15,0.15,0.15,0.15,1.0,1000.0
2013-10-04,0.13,0.13,0.1,0.1,4.0,45000.0
2013-10-07,0.12,0.12,0.12,0.12,1.0,5000.0
2013-10-08,0.14,0.14,0.135,0.135,3.0,45100.0
2013-10-09,0.15,0.15,0.14,0.14,5.0,40100.0
2013-10-10,0.15,0.14,0.14,0.15,2.0,38000.0
2013-10-11,0.15,0.145,0.145,0.15,3.0,47000.0
2013-10-15,0.19,0.19,0.19,0.19,1.0,6000.0
2013-10-16,0.165,0.165,0.165,0.165,1.0,30000.0
2013-10-18,0.16,0.16,0.16,0.16,2.0,5550.0
2013-10-21,0.16,0.16,0.16,0.16,2.0,6000.0
2013-10-22,0.16,0.16,0.16,0.16,5.0,36500.0
2013-10-23,0.165,0.165,0.165,0.165,2.0,45161.0
2013-10-24,0.15,0.15,0.15,0.15,3.0,20000.0
2013-10-25,0.15,0.15,0.15,0.15,2.0,10500.0
2013-10-28,0.155,0.15,0.15,0.155,6.0,34500.0
2013-10-30,0.15,0.15,0.15,0.15,3.0,45000.0
2013-10-31,0.15,0.15,0.15,0.15,1.0,500.0
2013-11-04,0.155,0.155,0.155,0.155,1.0,17000.0
2013-11-06,0.16,0.15,0.15,0.16,7.0,74516.0
2013-11-12,0.15,0.15,0.15,0.15,1.0,5000.0
2013-11-13,0.15,0.15,0.15,0.15,4.0,14517.0
2013-11-15,0.15,0.15,0.15,0.15,1.0,10000.0
2013-11-18,0.15,0.15,0.15,0.15,3.0,45000.0
2013-11-25,0.15,0.15,0.15,0.15,3.0,43300.0
2013-11-26,0.16,0.16,0.14,0.14,9.0,63500.0
2013-11-29,0.16,0.16,0.155,0.16,3.0,21000.0
2013-12-02,0.15,0.15,0.15,0.15,1.0,500.0
2013-12-03,0.14,0.14,0.14,0.14,1.0,4000.0
2013-12-04,0.14,0.14,0.14,0.14,1.0,11000.0
2013-12-06,0.14,0.14,0.14,0.14,2.0,10000.0
2013-12-10,0.14,0.14,0.14,0.14,5.0,32330.0
2013-12-13,0.14,0.13,0.13,0.14,5.0,15000.0
2013-12-17,0.145,0.145,0.145,0.145,1.0,10000.0
2013-12-20,0.14,0.14,0.14,0.14,3.0,10500.0
2013-12-23,0.14,0.14,0.14,0.14,1.0,4000.0
2013-12-31,0.14,0.14,0.14,0.14,1.0,1000.0
2014-01-06,0.15,0.15,0.135,0.14,4.0,11000.0
2014-01-07,0.14,0.14,0.14,0.14,1.0,5000.0
2014-01-09,0.15,0.15,0.15,0.15,1.0,1500.0
2014-01-13,0.15,0.15,0.145,0.145,3.0,25000.0
2014-01-14,0.16,0.16,0.15,0.15,10.0,254500.0
2014-01-15,0.16,0.16,0.16,0.16,6.0,45300.0
2014-01-16,0.17,0.17,0.16,0.16,7.0,55500.0
2014-01-17,0.17,0.17,0.17,0.17,1.0,9500.0
2014-01-20,0.155,0.15,0.15,0.155,2.0,5000.0
2014-01-21,0.165,0.16,0.16,0.165,3.0,65000.0
2014-01-22,0.17,0.17,0.16,0.165,8.0,92600.0
2014-01-23,0.19,0.17,0.17,0.17,6.0,66500.0
2014-01-24,0.19,0.19,0.17,0.17,3.0,10000.0
2014-01-28,0.18,0.18,0.18,0.18,1.0,50000.0
2014-01-30,0.185,0.185,0.185,0.185,1.0,10000.0
2014-01-31,0.19,0.19,0.19,0.19,1.0,10000.0
2014-02-03,0.19,0.19,0.19,0.19,4.0,50010.0
2014-02-04,0.17,0.17,0.17,0.17,1.0,25000.0
2014-02-05,0.18,0.18,0.17,0.17,5.0,75000.0
2014-02-07,0.18,0.18,0.18,0.18,2.0,28000.0
2014-02-10,0.18,0.18,0.17,0.17,2.0,15000.0
2014-02-11,0.19,0.19,0.18,0.18,3.0,25500.0
2014-02-12,0.22,0.19,0.19,0.19,17.0,194016.0
2014-02-13,0.215,0.215,0.19,0.21,8.0,39350.0
2014-02-14,0.21,0.21,0.2,0.2,2.0,50000.0
2014-02-18,0.24,0.24,0.21,0.21,14.0,187500.0
2014-02-19,0.25,0.24,0.24,0.25,16.0,142500.0
2014-02-20,0.25,0.25,0.24,0.24,8.0,55000.0
2014-02-21,0.24,0.24,0.24,0.24,5.0,5114.0
2014-02-24,0.26,0.25,0.24,0.24,10.0,42500.0
2014-02-25,0.26,0.26,0.25,0.25,2.0,10000.0
2014-02-26,0.25,0.24,0.24,0.25,4.0,27000.0
2014-02-27,0.26,0.26,0.25,0.25,7.0,18600.0
2014-02-28,0.25,0.25,0.24,0.24,5.0,35000.0
2014-03-03,0.255,0.235,0.235,0.255,6.0,30000.0
2014-03-04,0.255,0.255,0.235,0.25,7.0,100000.0
2014-03-05,0.235,0.235,0.23,0.23,4.0,40500.0
2014-03-06,0.245,0.23,0.23,0.235,14.0,169500.0
2014-03-07,0.265,0.265,0.24,0.24,3.0,25000.0
2014-03-10,0.245,0.245,0.22,0.235,10.0,223000.0
2014-03-11,0.255,0.255,0.23,0.245,6.0,53000.0
2014-03-12,0.27,0.27,0.25,0.26,14.0,109000.0
2014-03-13,0.26,0.26,0.255,0.255,6.0,47500.0
2014-03-17,0.255,0.255,0.255,0.255,1.0,5000.0
2014-03-18,0.26,0.255,0.255,0.26,2.0,10000.0
2014-03-21,0.255,0.25,0.25,0.25,3.0,20000.0
2014-03-24,0.25,0.25,0.25,0.25,1.0,5000.0
2014-03-25,0.25,0.25,0.25,0.25,1.0,5000.0
2014-03-26,0.245,0.245,0.245,0.245,1.0,5000.0
2014-03-27,0.25,0.25,0.25,0.25,2.0,10000.0
2014-03-28,0.26,0.26,0.25,0.255,4.0,25500.0
2014-04-01,0.27,0.26,0.26,0.26,8.0,44350.0
2014-04-02,0.26,0.26,0.26,0.26,4.0,23000.0
2014-04-03,0.26,0.26,0.26,0.26,2.0,12500.0
2014-04-04,0.26,0.25,0.25,0.26,5.0,19400.0
2014-04-08,0.26,0.26,0.26,0.26,1.0,10000.0
2014-04-09,0.27,0.255,0.25,0.26,12.0,134000.0
2014-04-10,0.26,0.25,0.25,0.26,9.0,100000.0
2014-04-11,0.25,0.25,0.25,0.25,2.0,20000.0
2014-04-14,0.245,0.245,0.245,0.245,3.0,14000.0
2014-04-15,0.25,0.25,0.25,0.25,2.0,10000.0
2014-04-17,0.26,0.26,0.245,0.245,6.0,32000.0
2014-04-22,0.28,0.28,0.265,0.265,12.0,39550.0
2014-04-23,0.24,0.24,0.24,0.24,2.0,5000.0
2014-04-24,0.265,0.25,0.25,0.265,4.0,22350.0
2014-04-25,0.26,0.26,0.235,0.26,15.0,176000.0
2014-04-28,0.255,0.24,0.24,0.255,2.0,7500.0
2014-04-29,0.24,0.23,0.23,0.24,7.0,21000.0
2014-04-30,0.25,0.25,0.23,0.23,8.0,74000.0
2014-05-01,0.265,0.26,0.25,0.265,7.0,20667.0
2014-05-02,0.25,0.25,0.25,0.25,1.0,10000.0
2014-05-05,0.25,0.25,0.25,0.25,1.0,10000.0
2014-05-06,0.26,0.26,0.225,0.225,6.0,45000.0
2014-05-07,0.24,0.24,0.24,0.24,1.0,5000.0
2014-05-08,0.23,0.23,0.23,0.23,2.0,40000.0
2014-05-09,0.24,0.24,0.23,0.23,4.0,24500.0
2014-05-13,0.24,0.24,0.24,0.24,1.0,5000.0
2014-05-14,0.23,0.23,0.23,0.23,1.0,10000.0
2014-05-15,0.235,0.235,0.235,0.235,1.0,5000.0
2014-05-16,0.24,0.23,0.23,0.24,2.0,9000.0
2014-05-20,0.24,0.235,0.235,0.24,3.0,13500.0
2014-05-21,0.24,0.24,0.24,0.24,1.0,5000.0
2014-05-22,0.26,0.255,0.245,0.245,7.0,35000.0
2014-05-23,0.3,0.3,0.27,0.27,10.0,109000.0
2014-05-26,0.4,0.4,0.3,0.3,5.0,35275.0
2014-05-27,0.37,0.29,0.29,0.37,5.0,6600.0
2014-05-30,0.34,0.34,0.31,0.31,3.0,4000.0
2014-06-02,0.34,0.34,0.34,0.34,1.0,3000.0
2014-06-05,0.34,0.34,0.3,0.31,5.0,48500.0
2014-06-06,0.34,0.3,0.3,0.34,2.0,15000.0
2014-06-09,0.35,0.35,0.34,0.34,3.0,28500.0
2014-06-10,0.35,0.35,0.35,0.35,3.0,23500.0
2014-06-11,0.36,0.36,0.355,0.355,2.0,20000.0
2014-06-13,0.355,0.355,0.355,0.355,4.0,25000.0
2014-06-16,0.36,0.35,0.345,0.355,14.0,62161.0
2014-06-17,0.35,0.35,0.35,0.35,3.0,40000.0
2014-06-18,0.4,0.4,0.35,0.35,4.0,30500.0
2014-06-19,0.39,0.37,0.37,0.39,4.0,25000.0
2014-06-20,0.38,0.38,0.38,0.38,2.0,4500.0
2014-06-23,0.38,0.38,0.38,0.38,3.0,6550.0
2014-06-24,0.4,0.385,0.38,0.38,17.0,94820.0
2014-06-25,0.39,0.385,0.385,0.39,4.0,20500.0
2014-06-26,0.39,0.39,0.38,0.38,5.0,12300.0
2014-06-27,0.42,0.42,0.4,0.4,10.0,28840.0
2014-06-30,0.42,0.42,0.405,0.42,5.0,27000.0
2014-07-02,0.42,0.39,0.39,0.42,5.0,40500.0
2014-07-03,0.4,0.38,0.38,0.4,6.0,42929.0
2014-07-04,0.39,0.39,0.38,0.38,4.0,10500.0
2014-07-07,0.4,0.4,0.39,0.39,5.0,15629.0
2014-07-08,0.4,0.37,0.37,0.4,4.0,5756.0
2014-07-09,0.41,0.41,0.385,0.385,6.0,29500.0
2014-07-10,0.42,0.42,0.41,0.41,3.0,20000.0
2014-07-11,0.425,0.425,0.425,0.425,1.0,4000.0
2014-07-14,0.425,0.425,0.425,0.425,2.0,1785.0
2014-07-15,0.45,0.45,0.415,0.415,12.0,65000.0
2014-07-16,0.46,0.46,0.43,0.46,3.0,14500.0
2014-07-17,0.47,0.47,0.43,0.46,7.0,30500.0
2014-07-18,0.54,0.54,0.48,0.5,22.0,87483.0
2014-07-21,0.52,0.51,0.5,0.52,6.0,16780.0
2014-07-22,0.5,0.49,0.46,0.5,12.0,52341.0
2014-07-23,0.49,0.46,0.46,0.49,7.0,22000.0
2014-07-24,0.49,0.46,0.46,0.49,3.0,6500.0
2014-07-29,0.48,0.48,0.48,0.48,1.0,500.0
2014-07-31,0.49,0.46,0.46,0.49,8.0,13800.0
2014-08-01,0.45,0.45,0.44,0.45,9.0,50980.0
2014-08-05,0.5,0.5,0.46,0.46,17.0,69000.0
2014-08-06,0.51,0.51,0.5,0.5,5.0,4550.0
2014-08-07,0.51,0.51,0.5,0.5,4.0,14000.0
2014-08-08,0.51,0.51,0.5,0.5,2.0,6500.0
2014-08-11,0.5,0.47,0.47,0.5,3.0,6900.0
2014-08-13,0.49,0.49,0.47,0.485,7.0,18091.0
2014-08-14,0.48,0.48,0.45,0.46,10.0,29500.0
2014-08-15,0.465,0.46,0.44,0.455,7.0,39000.0
2014-08-18,0.435,0.435,0.43,0.43,2.0,12000.0
2014-08-19,0.46,0.455,0.425,0.425,28.0,116800.0
2014-08-20,0.44,0.41,0.41,0.425,12.0,52500.0
2014-08-21,0.44,0.42,0.42,0.43,6.0,34000.0
2014-08-22,0.47,0.46,0.44,0.44,11.0,62800.0
2014-08-25,0.47,0.46,0.46,0.47,2.0,15000.0
2014-08-26,0.47,0.43,0.43,0.46,16.0,58000.0
2014-08-27,0.45,0.425,0.425,0.44,7.0,23500.0
2014-08-28,0.45,0.42,0.41,0.44,17.0,44500.0
2014-08-29,0.415,0.415,0.415,0.415,1.0,2000.0
