Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2006-06-14,0.385,0.371,0.34,0.35,740769.0
2006-06-15,0.39,0.39,0.375,0.378,329993.0
2006-06-16,0.419,0.4,0.381,0.395,557800.0
2006-06-19,0.41,0.395,0.39,0.395,215200.0
2006-06-20,0.4,0.395,0.381,0.4,123850.0
2006-06-21,0.4,0.38,0.375,0.381,241675.0
2006-06-22,0.395,0.38,0.37,0.395,249022.0
2006-06-23,0.381,0.38,0.36,0.38,366090.0
2006-06-26,0.385,0.371,0.371,0.38,297475.0
2006-06-27,0.385,0.379,0.36,0.365,275836.0
2006-06-28,0.38,0.36,0.36,0.379,117300.0
2006-06-29,0.38,0.375,0.36,0.36,344549.0
2006-06-30,0.385,0.37,0.362,0.37,315832.0
2006-07-03,0.38,0.375,0.362,0.375,326510.0
2006-07-05,0.405,0.385,0.37,0.37,876125.0
2006-07-06,0.39,0.38,0.365,0.39,417973.0
2006-07-07,0.385,0.375,0.36,0.38,275970.0
2006-07-10,0.38,0.36,0.36,0.374,472790.0
2006-07-11,0.365,0.35,0.34,0.35,353600.0
2006-07-12,0.36,0.345,0.32,0.33,569674.0
2006-07-13,0.36,0.35,0.34,0.35,182860.0
2006-07-14,0.365,0.365,0.34,0.35,274299.0
2006-07-17,0.365,0.34,0.33,0.365,401762.0
2006-07-18,0.34,0.325,0.32,0.3375,524690.0
2006-07-19,0.34,0.34,0.321,0.321,169890.0
2006-07-20,0.338,0.325,0.32,0.338,358900.0
2006-07-21,0.33,0.32,0.31,0.33,328200.0
2006-07-24,0.32,0.296,0.29,0.32,545875.0
2006-07-25,0.33,0.321,0.3,0.3,368645.0
2006-07-26,0.344,0.344,0.315,0.325,232943.0
2006-07-27,0.345,0.34,0.32,0.345,313001.0
2006-07-28,0.36,0.35,0.32,0.325,747335.0
2006-07-31,0.34,0.34,0.33,0.34,177915.0
2006-08-01,0.34,0.329,0.32,0.34,183585.0
2006-08-02,0.34,0.335,0.326,0.326,345180.0
2006-08-03,0.35,0.332,0.33,0.33,292590.0
2006-08-04,0.34,0.321,0.32,0.332,293780.0
2006-08-07,0.335,0.335,0.321,0.33,282680.0
2006-08-08,0.345,0.332,0.33,0.34,256595.0
2006-08-09,0.345,0.33,0.33,0.345,378580.0
2006-08-10,0.34,0.32,0.32,0.33,296324.0
2006-08-11,0.325,0.325,0.315,0.321,254600.0
2006-08-14,0.325,0.319,0.306,0.32,359785.0
2006-08-15,0.33,0.32,0.31,0.31,199000.0
2006-08-16,0.37,0.37,0.32,0.33,563718.0
2006-08-17,0.425,0.4,0.3725,0.3725,1269550.0
2006-08-18,0.41,0.395,0.38,0.41,449011.0
2006-08-21,0.4,0.39,0.38,0.395,329491.0
2006-08-22,0.4,0.38,0.37,0.395,197278.0
2006-08-23,0.395,0.39,0.38,0.38,177700.0
2006-08-24,0.4,0.399,0.381,0.3825,293345.0
2006-08-25,0.411,0.402,0.39,0.395,396625.0
2006-08-28,0.4,0.386,0.386,0.4,167850.0
2006-08-29,0.41,0.4,0.38,0.38,287961.0
2006-08-30,0.47,0.45,0.39,0.4,897296.0
2006-08-31,0.47,0.45,0.441,0.45,538945.0
2006-09-01,0.454,0.433,0.42,0.45,448305.0
2006-09-05,0.47,0.47,0.44,0.44,657045.0
2006-09-06,0.475,0.47,0.456,0.465,471993.0
2006-09-07,0.465,0.454,0.45,0.465,328343.0
2006-09-08,0.45,0.435,0.42,0.45,285475.0
2006-09-11,0.43,0.395,0.38,0.43,549139.0
2006-09-12,0.399,0.385,0.382,0.399,294550.0
2006-09-13,0.41,0.39,0.38,0.39,213486.0
2006-09-14,0.39,0.385,0.375,0.382,300424.0
2006-09-15,0.385,0.36,0.36,0.385,254201.0
2006-09-18,0.385,0.379,0.36,0.36,236559.0
2006-09-19,0.385,0.355,0.355,0.38,510000.0
2006-09-20,0.37,0.34,0.33,0.3575,404966.0
2006-09-21,0.38,0.35,0.331,0.331,213900.0
2006-09-22,0.37,0.37,0.331,0.3405,206060.0
2006-09-25,0.37,0.36,0.35,0.37,211773.0
2006-09-26,0.36,0.355,0.346,0.36,201355.0
2006-09-27,0.369,0.36,0.35,0.355,159150.0
2006-09-28,0.365,0.364,0.35,0.3628,154300.0
2006-09-29,0.379,0.379,0.36,0.36,302485.0
2006-10-02,0.389,0.38,0.355,0.3775,226500.0
2006-10-03,0.38,0.36,0.35,0.375,331250.0
2006-10-04,0.37,0.3585,0.342,0.37,344400.0
2006-10-05,0.369,0.35,0.348,0.36,233000.0
2006-10-06,0.355,0.355,0.34,0.35,250530.0
2006-10-09,0.37,0.355,0.352,0.355,403310.0
2006-10-10,0.37,0.355,0.35,0.355,581478.0
2006-10-11,0.36,0.35,0.35,0.355,198280.0
2006-10-12,0.36,0.35,0.345,0.35,229844.0
2006-10-13,0.359,0.359,0.34,0.35,324078.0
2006-10-16,0.37,0.365,0.348,0.37,274897.0
2006-10-17,0.365,0.36,0.35,0.365,261000.0
2006-10-18,0.36,0.345,0.345,0.35,195849.0
2006-10-19,0.36,0.3575,0.342,0.345,224027.0
2006-10-20,0.36,0.355,0.35,0.36,190638.0
2006-10-23,0.365,0.355,0.35,0.35,351826.0
2006-10-24,0.365,0.345,0.345,0.355,551019.0
2006-10-25,0.35,0.34,0.32,0.348,555549.0
2006-10-26,0.359,0.35,0.34,0.34,416900.0
2006-10-27,0.37,0.37,0.345,0.345,748895.0
2006-10-30,0.39,0.39,0.37,0.37,796677.0
2006-10-31,0.415,0.396,0.38,0.38,977286.0
2006-11-01,0.47,0.435,0.42,0.43,1664248.0
2006-11-02,0.455,0.43,0.425,0.45,374245.0
2006-11-03,0.46,0.435,0.421,0.44,904354.0
2006-11-06,0.45,0.44,0.431,0.44,1149704.0
2006-11-07,0.445,0.435,0.435,0.44,402232.0
2006-11-08,0.44,0.435,0.43,0.44,451305.0
2006-11-09,0.435,0.435,0.43,0.435,767050.0
2006-11-10,0.435,0.435,0.42,0.43,465822.0
2006-11-13,0.435,0.42,0.415,0.435,313457.0
2006-11-14,0.42,0.419,0.381,0.415,693727.0
2006-11-15,0.415,0.4,0.392,0.415,171165.0
2006-11-16,0.405,0.38,0.375,0.405,662736.0
2006-11-17,0.395,0.385,0.37,0.385,189773.0
2006-11-20,0.395,0.38,0.37,0.39,313895.0
2006-11-21,0.38,0.365,0.36,0.38,454207.0
2006-11-22,0.385,0.375,0.372,0.375,612158.0
2006-11-24,0.39,0.38,0.375,0.381,222500.0
2006-11-27,0.39,0.375,0.37,0.3825,833628.0
2006-11-28,0.375,0.365,0.365,0.375,575562.0
2006-11-29,0.38,0.37,0.361,0.375,381855.0
2006-11-30,0.395,0.38,0.365,0.37,485709.0
2006-12-01,0.39,0.38,0.365,0.375,433200.0
2006-12-04,0.395,0.38,0.365,0.3725,406633.0
2006-12-05,0.405,0.4,0.375,0.38,684096.0
2006-12-06,0.425,0.424,0.39,0.4,961285.0
2006-12-07,0.43,0.406,0.4,0.4275,492050.0
2006-12-08,0.415,0.41,0.39,0.41,300539.0
2006-12-11,0.41,0.391,0.39,0.4,268790.0
2006-12-12,0.395,0.385,0.38,0.39,334603.0
2006-12-13,0.395,0.38,0.376,0.385,123475.0
2006-12-14,0.393,0.375,0.375,0.38,295939.0
2006-12-15,0.392,0.38,0.371,0.375,872513.0
2006-12-18,0.399,0.395,0.38,0.385,418008.0
2006-12-19,0.415,0.41,0.39,0.395,342898.0
2006-12-20,0.415,0.399,0.395,0.415,670919.0
2006-12-21,0.405,0.395,0.385,0.395,373000.0
2006-12-22,0.395,0.39,0.385,0.386,259075.0
2006-12-26,0.395,0.395,0.386,0.39,143944.0
2006-12-27,0.395,0.38,0.371,0.395,430970.0
2006-12-28,0.38,0.38,0.37,0.375,358310.0
2006-12-29,0.38,0.375,0.37,0.375,227528.0
2007-01-03,0.38,0.374,0.37,0.38,335085.0
2007-01-04,0.385,0.334,0.3,0.378,2859606.0
2007-01-05,0.34,0.34,0.31,0.3325,1061931.0
2007-01-08,0.345,0.335,0.33,0.335,516546.0
2007-01-09,0.345,0.34,0.315,0.34,510468.0
2007-01-10,0.345,0.32,0.32,0.34,354854.0
2007-01-11,0.33,0.32,0.31,0.32,345000.0
2007-01-12,0.34,0.331,0.317,0.317,288627.0
2007-01-16,0.36,0.355,0.332,0.335,530724.0
2007-01-17,0.365,0.3452,0.34,0.365,259951.0
2007-01-18,0.35,0.326,0.325,0.35,266750.0
2007-01-19,0.33,0.33,0.321,0.326,230973.0
2007-01-22,0.34,0.325,0.32,0.335,527145.0
2007-01-23,0.325,0.32,0.315,0.32,563520.0
2007-01-24,0.325,0.315,0.31,0.32,588664.0
2007-01-25,0.335,0.315,0.315,0.32,829235.0
2007-01-26,0.32,0.315,0.31,0.32,592150.0
2007-01-29,0.32,0.311,0.31,0.315,358330.0
2007-01-30,0.33,0.32,0.311,0.311,353015.0
2007-01-31,0.325,0.305,0.305,0.31,522386.0
2007-02-01,0.31,0.3,0.295,0.3025,397972.0
2007-02-02,0.31,0.305,0.297,0.3,552975.0
2007-02-05,0.32,0.31,0.28,0.3,1385429.0
2007-02-06,0.33,0.315,0.305,0.33,619494.0
2007-02-07,0.318,0.306,0.295,0.3145,524629.0
2007-02-08,0.31,0.305,0.297,0.305,682882.0
2007-02-09,0.31,0.31,0.291,0.302,535136.0
2007-02-12,0.3,0.295,0.292,0.3,449255.0
2007-02-13,0.31,0.295,0.293,0.293,343798.0
2007-02-14,0.3,0.2954,0.295,0.3,289119.0
2007-02-15,0.305,0.3,0.295,0.295,372020.0
2007-02-16,0.316,0.31,0.3,0.3,682823.0
2007-02-20,0.33,0.301,0.301,0.33,605149.0
2007-02-21,0.315,0.305,0.3,0.3001,280000.0
2007-02-22,0.33,0.32,0.31,0.315,977939.0
2007-02-23,0.34,0.334,0.32,0.33,1045345.0
2007-02-26,0.355,0.328,0.326,0.34,1247016.0
2007-02-27,0.32,0.296,0.29,0.32,919433.0
2007-02-28,0.33,0.32,0.286,0.3,1377237.0
2007-03-01,0.33,0.305,0.297,0.33,597442.0
2007-03-02,0.308,0.308,0.29,0.29,505149.0
2007-03-05,0.308,0.3,0.291,0.295,429700.0
2007-03-06,0.31,0.3,0.295,0.31,300822.0
2007-03-07,0.31,0.303,0.3,0.3,364605.0
2007-03-08,0.305,0.296,0.296,0.305,184522.0
2007-03-09,0.3,0.297,0.291,0.3,454611.0
2007-03-12,0.3,0.295,0.291,0.291,365358.0
2007-03-13,0.295,0.285,0.275,0.292,542160.0
2007-03-14,0.3,0.293,0.281,0.281,390725.0
2007-03-15,0.295,0.29,0.28,0.295,290576.0
2007-03-16,0.323,0.32,0.287,0.29,1316203.0
2007-03-19,0.33,0.3052,0.305,0.33,513671.0
2007-03-20,0.31,0.3,0.295,0.31,378875.0
2007-03-21,0.33,0.325,0.3,0.305,1611359.0
2007-03-22,0.36,0.354,0.34,0.34,2381913.0
2007-03-23,0.37,0.35,0.34,0.365,1518747.0
2007-03-26,0.35,0.34,0.335,0.345,766190.0
2007-03-27,0.355,0.336,0.336,0.34,729140.0
2007-03-28,0.347,0.342,0.337,0.34,843120.0
2007-03-29,0.34,0.34,0.338,0.34,291735.0
2007-03-30,0.34,0.331,0.33,0.34,472620.0
2007-04-02,0.345,0.322,0.3,0.331,527889.0
2007-04-03,0.328,0.326,0.324,0.325,1110762.0
2007-04-04,0.36,0.359,0.3255,0.3255,1730340.0
2007-04-05,0.383,0.375,0.36,0.36,1232635.0
2007-04-09,0.395,0.38,0.375,0.379,1239487.0
2007-04-10,0.39,0.36,0.354,0.375,1413592.0
2007-04-11,0.375,0.374,0.36,0.36,870081.0
2007-04-12,0.38,0.367,0.361,0.374,343650.0
2007-04-13,0.375,0.375,0.36,0.3625,555838.0
2007-04-16,0.395,0.387,0.372,0.381,951644.0
2007-04-17,0.405,0.389,0.38,0.38,804108.0
2007-04-18,0.394,0.385,0.37,0.385,355620.0
2007-04-19,0.385,0.372,0.361,0.38,326784.0
2007-04-20,0.37,0.365,0.3521,0.365,660454.0
2007-04-23,0.365,0.358,0.351,0.36,674940.0
2007-04-24,0.37,0.37,0.34,0.3511,868548.0
2007-04-25,0.415,0.393,0.345,0.345,2672570.0
2007-04-26,0.415,0.4,0.4,0.405,2219917.0
2007-04-27,0.415,0.415,0.4,0.41,1083549.0
2007-04-30,0.445,0.43,0.415,0.42,1699933.0
2007-05-01,0.445,0.41,0.41,0.43,1232953.0
2007-05-02,0.42,0.42,0.396,0.41,973069.0
2007-05-03,0.439,0.433,0.4024,0.42,453730.0
2007-05-04,0.434,0.427,0.42,0.432,310405.0
2007-05-07,0.44,0.44,0.43,0.44,699030.0
2007-05-08,0.48,0.472,0.435,0.44,2656712.0
2007-05-09,0.52,0.495,0.455,0.495,4007862.0
2007-05-10,0.53,0.49,0.471,0.5,1645112.0
2007-05-11,0.51,0.49,0.471,0.485,1113557.0
2007-05-14,0.495,0.471,0.466,0.495,589353.0
2007-05-15,0.5,0.473,0.473,0.5,1475497.0
2007-05-16,0.479,0.47,0.465,0.471,702069.0
2007-05-17,0.47,0.445,0.437,0.47,872660.0
2007-05-18,0.44,0.427,0.426,0.44,1374480.0
2007-05-21,0.46,0.445,0.427,0.427,616346.0
2007-05-22,0.44,0.42,0.42,0.44,709105.0
2007-05-23,0.459,0.455,0.425,0.425,1307947.0
2007-05-24,0.46,0.445,0.445,0.455,733783.0
2007-05-25,0.47,0.457,0.44,0.447,487398.0
2007-05-29,0.465,0.45,0.44,0.45,375527.0
2007-05-30,0.45,0.437,0.43,0.44,495643.0
2007-05-31,0.455,0.44,0.427,0.428,941578.0
2007-06-01,0.455,0.455,0.43,0.44,455166.0
2007-06-04,0.46,0.459,0.442,0.46,430470.0
2007-06-05,0.455,0.45,0.44,0.45,607458.0
2007-06-06,0.45,0.437,0.436,0.45,240558.0
2007-06-07,0.445,0.43,0.425,0.44,428182.0
2007-06-08,0.44,0.42,0.42,0.43,739568.0
2007-06-11,0.425,0.396,0.391,0.42,2067573.0
2007-06-12,0.403,0.39,0.39,0.4,835215.0
2007-06-13,0.398,0.38,0.36,0.392,1427854.0
2007-06-14,0.405,0.395,0.385,0.388,391930.0
2007-06-15,0.41,0.41,0.395,0.4,409522.0
