Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,42.6,41.4,41.0,41.71,,119900.0
2007-09-20,41.66,40.98,40.7,41.48,,46500.0
2007-09-21,42.1,41.7,41.21,41.3,,62400.0
2007-09-24,44.5,43.0,42.6228,43.0,,124600.0
2007-09-25,43.31,43.07,42.0,42.36,,67300.0
2007-09-26,43.66,43.5,42.78,43.09,,84300.0
2007-09-27,43.69,43.3,42.6,42.7,,60200.0
2007-09-28,43.68,43.63,42.58,43.3,,87500.0
2007-10-01,45.59,44.51,43.6,43.6,,161800.0
2007-10-02,44.8,44.09,44.0,44.64,,73000.0
2007-10-03,42.4,41.35,41.35,42.38,,96100.0
2007-10-04,40.92,40.58,39.56,40.5,,80400.0
2007-10-05,42.88,42.3,41.25,41.86,,92600.0
2007-10-08,41.67,40.9,37.99,41.67,,47900.0
2007-10-09,41.5,41.4,40.8,40.8,,46100.0
2007-10-10,40.67,40.08,39.77,39.77,,107600.0
2007-10-11,42.21,39.86,39.53,41.14,,135600.0
2007-10-12,41.62,41.47,40.5,40.89,,50300.0
2007-10-15,42.06,41.25,40.8,42.0,,78600.0
2007-10-16,41.0,39.764,39.28,40.99,,87700.0
2007-10-17,45.42,45.22,41.321,41.66,,249300.0
2007-10-18,43.72,43.0675,40.92,41.31,,177000.0
2007-10-19,43.5,40.22,40.07,43.2,,156800.0
2007-10-22,41.0,40.75,38.0,39.05,,103600.0
2007-10-23,41.72,41.5,40.54,41.5,,74400.0
2007-10-24,41.44,41.41,40.06,41.26,,48000.0
2007-10-25,41.68,41.42,40.8201,41.3,,34800.0
2007-10-26,42.45,42.4,41.611,42.24,,43300.0
2007-10-29,43.0,42.6,42.11,43.0,,40400.0
2007-10-30,42.73,41.9,41.7501,42.1,,124500.0
2007-10-31,43.5,43.32,42.03,42.7,,86100.0
2007-11-01,42.53,41.5,41.12,42.53,,62000.0
2007-11-02,42.04,41.65,41.0,41.8,,45400.0
2007-11-05,40.7399,39.8,39.55,40.25,,46800.0
2007-11-06,40.74,40.53,38.59,40.0,,88700.0
2007-11-07,40.73,39.65,39.06,39.88,,50600.0
2007-11-08,40.58,38.74,36.3401,40.58,,169062.0
2007-11-09,38.42,37.75,37.0,37.95,,91700.0
2007-11-12,37.19,34.78,34.51,37.19,,145450.0
2007-11-13,38.18,37.38,35.11,35.11,,64970.0
2007-11-14,37.5,36.42,36.0,37.5,,60200.0
2007-11-15,36.65,35.16,34.85,36.65,,94000.0
2007-11-16,35.23,34.66,34.03,35.23,,55600.0
2007-11-19,34.85,33.89,33.3601,34.4,,68150.0
2007-11-20,35.73,34.64,34.0,34.45,,90400.0
2007-11-21,34.7,33.61,32.81,34.7,,52100.0
2007-11-23,35.0,34.55,33.61,33.61,,19450.0
2007-11-26,35.678,33.82,33.5,34.99,,55300.0
2007-11-27,35.8,35.44,34.35,34.57,,74500.0
2007-11-28,36.99,36.6,35.16,35.16,,75400.0
2007-11-29,37.34,36.6,36.0,36.89,,76200.0
2007-11-30,37.83,36.47,36.12,37.35,,62800.0
2007-12-03,36.56,35.98,35.85,36.0,,41500.0
2007-12-04,36.38,35.68,35.5,36.38,,36700.0
2007-12-05,37.93,37.66,36.65,36.66,,55865.0
2007-12-06,38.35,38.0,36.88,37.0,,50800.0
2007-12-07,38.16,37.37,37.2,37.4,,24400.0
2007-12-10,38.55,38.05,37.5,37.82,,33850.0
2007-12-11,38.17,36.43,35.74,38.05,,86800.0
2007-12-12,37.95,36.64,36.06,36.85,,50100.0
2007-12-13,36.58,36.13,35.32,35.89,,44550.0
2007-12-14,36.18,35.69,35.51,35.74,,19900.0
2007-12-17,35.03,33.27,33.12,35.03,,68603.0
2007-12-18,34.98,34.72,33.63,33.63,,54000.0
2007-12-19,35.141,34.65,34.15,34.15,,38700.0
2007-12-20,35.61,35.05,34.85,35.14,,52300.0
2007-12-21,37.91,37.91,36.19,36.32,,68900.0
2007-12-24,37.66,37.48,37.0,37.5,,40884.0
2007-12-26,37.7499,37.56,36.88,37.3,,38930.0
2007-12-27,37.29,36.23,36.09,37.29,,57989.0
2007-12-28,36.35,36.35,35.0,36.32,,70844.0
2007-12-31,36.35,35.64,35.64,36.35,,42450.0
2008-01-02,36.35,35.23,35.02,36.25,,43200.0
2008-01-03,36.24,35.4,35.4,35.68,,53300.0
2008-01-04,35.67,34.86,34.59,34.59,,116714.0
2008-01-07,35.7,35.7,34.58,34.58,,58100.0
2008-01-08,36.23,35.4,35.02,36.0,,32800.0
2008-01-09,36.45,36.45,35.12,35.6,,50660.0
2008-01-10,37.03,36.25,35.51,35.75,,31900.0
2008-01-11,36.68,35.9,35.78,36.02,,19900.0
2008-01-14,36.34,36.1,35.7,36.11,,25600.0
2008-01-15,36.06,35.54,35.09,35.75,,77300.0
2008-01-16,34.87,34.08,33.36,34.87,,77700.0
2008-01-17,34.73,33.25,32.76,34.33,,78200.0
2008-01-18,35.44,34.61,33.7,34.18,,73282.0
2008-01-22,34.78,33.87,31.0,33.16,,116432.0
2008-01-23,35.48,35.4,32.39,33.01,,77308.0
2008-01-24,33.87,33.55,32.6,33.87,,82500.0
2008-01-25,34.36,33.09,32.4,34.36,,129000.0
2008-01-28,33.31,32.85,31.96,33.31,,45082.0
2008-01-29,33.11,32.97,32.62,32.84,,22532.0
2008-01-30,32.5,31.1901,30.79,32.5,,75725.0
2008-01-31,32.9599,32.65,31.11,31.15,,29256.0
2008-02-01,33.02,32.98,32.25,32.75,,28474.0
2008-02-04,34.1,33.49,33.3,33.3,,35312.0
2008-02-05,33.36,32.42,31.9,32.99,,60913.0
2008-02-06,32.24,31.15,31.13,32.18,,62400.0
2008-02-07,31.8,31.59,30.71,31.23,,44276.0
2008-02-08,31.75,31.4,31.06,31.4,,47000.0
2008-02-11,31.77,31.6,30.7601,31.05,,26900.0
2008-02-12,32.68,32.22,31.62,32.68,,54787.0
2008-02-13,32.7,32.64,32.061,32.24,,53396.0
2008-02-14,32.97,32.02,32.01,32.66,,41558.0
2008-02-15,33.51,33.5,32.67,32.67,,53920.0
2008-02-19,34.81,33.48,32.9401,34.81,,58146.0
2008-02-20,33.71,33.45,32.39,32.39,,28400.0
2008-02-21,34.0,32.83,32.83,33.66,,25702.0
2008-02-22,33.25,33.18,32.15,33.11,,51000.0
2008-02-25,33.37,33.32,32.25,33.18,,34700.0
2008-02-26,33.83,33.57,32.76,33.41,,36603.0
2008-02-27,34.25,34.2,33.35,33.35,,29801.0
2008-02-28,34.11,33.7,33.49,34.09,,54000.0
2008-02-29,33.01,32.2,31.9,32.89,,157455.0
2008-03-03,33.13,32.8,32.26,32.43,,56400.0
2008-03-04,31.51,30.9,30.0,31.51,,67551.0
2008-03-05,31.26,31.22,30.5,31.01,,37217.0
2008-03-06,31.4,29.93,29.93,31.4,,49000.0
2008-03-07,30.4,29.54,29.37,29.75,,64600.0
2008-03-10,29.83,28.81,28.74,29.72,,48000.0
2008-03-11,31.22,31.03,29.6,29.65,,31852.0
2008-03-12,30.96,29.99,29.98,30.81,,27816.0
2008-03-13,30.14,29.52,28.73,29.18,,98789.0
2008-03-14,29.8,28.43,28.41,29.62,,98452.0
2008-03-17,28.27,27.65,26.62,27.27,,41371.0
2008-03-18,28.21,27.94,27.0,27.15,,86750.0
2008-03-19,26.68,25.41,25.41,26.65,,96848.0
2008-03-20,25.27,25.15,24.24,25.01,,73100.0
2008-03-24,26.11,25.55,25.1,25.1,,52900.0
2008-03-25,25.96,25.7,25.1,25.11,,71400.0
2008-03-26,26.74,26.23,25.8,25.8,,81300.0
2008-03-27,26.4,25.93,25.76,26.3,,55859.0
2008-03-28,26.68,26.25,26.08,26.27,,57088.0
2008-03-31,26.68,26.3,25.92,26.15,,35200.0
2008-04-01,27.76,27.75,26.55,26.55,,76408.0
2008-04-02,27.36,26.99,26.76,27.34,,31800.0
2008-04-03,28.0,28.0,27.13,27.44,,40768.0
2008-04-04,28.29,27.84,27.28,28.19,,40400.0
2008-04-07,28.73,28.3,28.0,28.13,,32499.0
2008-04-08,28.17,27.62,27.51,27.9,,21860.0
2008-04-09,26.95,25.91,25.84,26.95,,47477.0
2008-04-10,26.7099,26.4,26.03,26.27,,30400.0
2008-04-11,26.75,26.11,26.01,26.55,,30100.0
2008-04-14,26.11,25.63,25.33,25.69,,42920.0
2008-04-15,26.02,25.54,25.04,26.02,,120200.0
2008-04-16,26.22,26.17,25.5,25.99,,52818.0
2008-04-17,25.95,25.75,25.63,25.75,,22039.0
2008-04-18,26.71,26.57,26.23,26.31,,25921.0
2008-04-21,26.93,26.8,26.32,26.75,,39439.0
2008-04-22,27.66,27.12,26.94,27.3,,60400.0
2008-04-23,29.74,29.74,28.3,28.3,,107086.0
2008-04-24,30.01,29.77,28.92,30.0,,108190.0
