Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-09-23,16.7,15.75,15.25,15.25,22078.0,5048137.0
2016-09-26,16.24,15.92,15.45,15.45,3780.0,973889.0
2016-09-27,17.33,16.64,15.86,15.86,6192.0,1091472.0
2016-09-28,17.4,16.99,16.761,17.14,1852.0,383028.0
2016-09-29,17.3,16.75,16.2,17.3,2180.0,454330.0
2016-09-30,17.0,16.85,16.6501,16.73,1706.0,286698.0
2016-10-03,17.0,16.71,16.5,16.65,531.0,87062.0
2016-10-04,18.29,17.85,16.52,16.5201,1733.0,512041.0
2016-10-05,18.22,17.39,17.32,17.99,1331.0,274665.0
2016-10-06,17.43,16.82,16.5059,17.3,1198.0,164070.0
2016-10-07,17.18,16.8,16.51,16.75,1982.0,393064.0
2016-10-10,18.0,17.86,16.71,16.97,1733.0,456410.0
2016-10-11,17.84,17.26,17.0,17.72,1382.0,277151.0
2016-10-12,17.62,16.99,16.85,17.1173,1742.0,283781.0
2016-10-13,17.09,16.46,15.64,16.8,1081.0,152648.0
2016-10-14,16.844,16.43,16.05,16.55,674.0,126126.0
2016-10-17,16.625,16.42,16.2401,16.33,512.0,65654.0
2016-10-18,16.8334,16.05,16.03,16.6,790.0,117341.0
2016-10-19,16.37,16.15,15.81,16.0,553.0,78197.0
2016-10-20,16.51,16.2,16.0,16.05,854.0,135706.0
2016-10-21,16.17,16.04,15.92,16.01,542.0,71515.0
2016-10-24,16.09,15.38,15.01,16.01,1588.0,248258.0
2016-10-25,15.4,14.59,14.31,15.36,1428.0,223846.0
2016-10-26,14.99,14.51,14.44,14.93,509.0,82789.0
2016-10-27,14.87,14.16,14.015,14.51,415.0,55435.0
2016-10-28,14.7,13.96,13.82,14.3,1003.0,122496.0
2016-10-31,14.42,14.07,13.321,14.06,593.0,95586.0
2016-11-01,14.4,13.86,13.64,14.01,1009.0,167470.0
2016-11-02,14.75,14.55,13.8,13.95,582.0,90899.0
2016-11-03,16.54,16.0,14.65,14.66,2112.0,302402.0
2016-11-04,16.35,16.15,15.82,15.9842,984.0,142626.0
2016-11-07,16.33,16.12,15.58,16.26,1105.0,160333.0
2016-11-08,16.24,16.09,15.85,16.2,321.0,181772.0
2016-11-09,16.0,15.4,14.6245,15.94,1593.0,210965.0
2016-11-10,15.7,14.37,13.908,15.44,1091.0,160859.0
2016-11-11,15.19,14.85,14.0,14.08,753.0,87030.0
2016-11-14,14.92,14.51,14.03,14.92,153.0,22625.0
2016-11-15,16.38,16.12,14.47,14.53,382.0,57220.0
2016-11-16,15.99,15.2,15.01,15.95,499.0,62828.0
2016-11-17,15.97,15.45,15.26,15.26,79.0,15636.0
2016-11-18,15.9534,15.54,15.19,15.46,123.0,12692.0
2016-11-21,15.956,15.88,15.35,15.7,76.0,10935.0
2016-11-22,15.349,14.52,14.0,14.5,408.0,47874.0
2016-11-23,14.97,14.5,14.285,14.5,1173.0,133876.0
2016-11-25,15.36,15.15,14.42,14.42,301.0,37846.0
2016-11-28,15.21,14.89,14.815,15.16,160.0,21695.0
2016-11-29,15.41,15.035,14.61,14.7,571.0,69498.0
2016-11-30,15.34,14.87,14.61,15.32,920.0,117129.0
2016-12-01,15.25,14.81,14.62,15.25,286.0,29625.0
2016-12-02,15.19,14.33,14.04,15.19,478.0,55103.0
2016-12-05,14.9,14.59,14.2,14.2,553.0,60058.0
2016-12-06,14.8,14.55,14.2,14.59,313.0,33614.0
2016-12-07,14.7,14.18,14.0,14.7,618.0,66387.0
2016-12-08,14.4992,14.0,13.9,14.499,146.0,20078.0
2016-12-09,14.46,13.25,12.69,14.3,802.0,100175.0
2016-12-12,13.565,12.99,12.86,13.25,454.0,51612.0
2016-12-13,12.895,12.58,12.26,12.81,436.0,73507.0
2016-12-14,13.035,12.56,12.41,12.59,277.0,32854.0
2016-12-15,13.381,12.85,12.58,12.58,173.0,30854.0
2016-12-16,12.97,12.25,11.95,12.86,559.0,141988.0
2016-12-19,12.455,11.46,11.34,11.69,1385.0,208305.0
2016-12-20,11.5,10.79,10.68,11.5,1503.0,234724.0
2016-12-21,11.0499,10.8,10.6501,10.7,803.0,132274.0
2016-12-22,11.225,10.7,10.1,10.66,817.0,141683.0
2016-12-23,11.315,11.14,10.77,10.77,150.0,18936.0
2016-12-27,11.23,10.87,10.43,11.04,372.0,68649.0
2016-12-28,10.91,10.32,10.32,10.59,453.0,60281.0
2016-12-29,10.45,10.12,9.9,10.45,709.0,83295.0
2016-12-30,10.45,10.19,10.01,10.01,303.0,40489.0
2017-01-03,10.51,10.11,9.9,9.9,186.0,24703.0
2017-01-04,10.4,10.08,10.0008,10.1194,255.0,34055.0
2017-01-05,10.5074,10.15,10.0,10.12,269.0,38867.0
2017-01-06,11.2,11.06,10.1312,10.15,291.0,43413.0
2017-01-09,12.14,11.85,10.81,11.15,429.0,54020.0
2017-01-10,12.0999,11.17,11.12,11.96,429.0,45414.0
2017-01-11,11.7099,11.24,11.06,11.57,162.0,19740.0
2017-01-12,11.1435,10.66,10.6,11.0501,561.0,67036.0
2017-01-13,11.17,10.82,10.28,10.58,417.0,49821.0
2017-01-17,11.52,11.35,10.9,10.99,177.0,21604.0
2017-01-18,11.92,11.7,11.207,11.207,320.0,40792.0
2017-01-19,12.05,11.92,11.7605,11.81,286.0,30376.0
2017-01-20,11.82,11.75,11.29,11.82,108.0,9444.0
2017-01-23,11.88,11.88,11.88,11.88,12.0,695.0
2017-01-24,11.99,11.99,11.8591,11.8591,11.0,1553.0
2017-01-25,12.17,11.89,11.88,11.88,426.0,49492.0
2017-01-26,12.24,11.76,11.3,11.35,139.0,15983.0
2017-01-27,12.1499,11.89,11.66,11.68,112.0,17719.0
2017-01-30,12.21,11.79,11.67,11.91,157.0,17629.0
2017-01-31,12.2,12.0,11.92,11.95,233.0,29452.0
2017-02-01,12.06,11.98,11.6601,12.0,56.0,5003.0
2017-02-02,12.22,11.87,11.7,12.2,37.0,44692.0
2017-02-03,12.19,12.0,11.88,11.96,153.0,18735.0
2017-02-06,12.15,12.09,11.76,12.04,91.0,7252.0
2017-02-07,12.16,12.08,11.6801,11.6801,108.0,12181.0
2017-02-08,12.325,12.25,12.0,12.11,167.0,19779.0
2017-02-09,12.3999,12.21,11.97,12.19,136.0,16051.0
2017-02-10,12.4,12.2,12.1535,12.1535,60.0,7997.0
2017-02-13,12.1017,11.98,11.82,12.03,49.0,7916.0
2017-02-14,12.1999,11.82,11.82,11.86,15.0,1485.0
2017-02-15,12.0,11.65,11.62,11.92,67.0,8254.0
2017-02-16,11.97,11.97,11.43,11.67,353.0,39025.0
2017-02-17,12.06,11.95,11.505,12.03,254.0,26416.0
2017-02-21,12.37,12.1,11.77,12.2205,193.0,23100.0
2017-02-22,12.49,12.13,12.104,12.104,250.0,38748.0
2017-02-23,12.45,11.85,11.74,12.22,230.0,22736.0
2017-02-24,12.3125,11.93,11.9,12.29,593.0,119537.0
2017-02-27,12.04,11.81,11.69,12.0,129.0,26743.0
2017-02-28,12.0059,11.73,11.48,11.9,292.0,51549.0
2017-03-01,12.16,12.0,11.54,11.71,312.0,62822.0
2017-03-02,12.36,11.46,11.4,12.12,673.0,164662.0
2017-03-03,11.99,11.98,11.48,11.57,269.0,36589.0
2017-03-06,11.99,11.97,11.62,11.9,202.0,28587.0
2017-03-07,12.09,11.97,11.69,12.09,141.0,20214.0
2017-03-08,11.8999,11.72,11.711,11.8999,39.0,4185.0
2017-03-09,11.87,11.74,11.72,11.87,46.0,4008.0
2017-03-10,11.94,11.58,11.43,11.725,177.0,22528.0
2017-03-13,11.9718,11.96,11.4339,11.4339,164.0,32600.0
2017-03-14,12.7689,12.08,11.7,11.86,685.0,99446.0
2017-03-15,13.0,12.78,12.32,12.7,494.0,82583.0
2017-03-16,13.58,13.33,12.8,12.8,973.0,148348.0
2017-03-17,13.7325,13.06,12.88,13.6,307.0,63641.0
2017-03-20,13.6,13.6,12.86,13.289,318.0,36659.0
2017-03-21,13.47,13.08,12.7,13.445,300.0,74823.0
2017-03-22,12.92,12.5,12.2655,12.92,188.0,21457.0
2017-03-23,12.77,12.39,11.42,12.76,327.0,33801.0
2017-03-24,13.1533,12.34,12.1,12.4,346.0,33914.0
2017-03-27,12.89,12.53,12.31,12.31,132.0,12553.0
2017-03-28,12.66,12.29,12.0,12.66,87.0,11670.0
2017-03-29,12.85,12.6,12.26,12.845,269.0,24346.0
2017-03-30,13.4,13.02,12.22,12.7,737.0,77888.0
2017-03-31,13.485,13.29,12.825,13.07,1130.0,186826.0
2017-04-03,13.94,13.14,12.75,13.21,229.0,69300.0
2017-04-04,13.32,13.32,12.685,13.04,76.0,7604.0
2017-04-05,13.69,12.6,12.51,13.08,333.0,44663.0
2017-04-06,13.11,12.73,12.51,12.62,60.0,6006.0
2017-04-07,13.05,12.96,12.37,12.73,163.0,20079.0
