Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,114.0,109.0,90.0,93.0,4090.0
2000-01-04,150.0,137.0,112.5,114.0,13506.0
2000-01-05,143.0,135.0,129.0,140.0,4624.0
2000-01-06,146.0,139.0,130.0,138.0,5042.0
2000-01-07,149.0,149.0,137.0,141.0,4146.0
2000-01-10,169.0,163.0,150.0,150.0,6616.0
2000-01-11,203.125,195.0,163.0,168.0,13090.0
2000-01-12,201.0,169.0,152.0,196.875,8201.0
2000-01-13,175.0,133.0,132.0,169.0,5444.0
2000-01-14,155.0,144.0,138.0,142.0,7774.0
2000-01-18,183.0,168.0,150.0,150.0,7169.0
2000-01-19,167.0,156.0,152.0,166.0,1693.0
2000-01-20,168.0,155.0,155.0,168.0,2727.0
2000-01-21,170.0,162.5,153.0,155.0,7812.0
2000-01-24,171.0,162.0,160.0,162.5,2898.0
2000-01-25,166.0,156.0,156.0,163.0,4103.0
2000-01-26,169.0,162.0,156.0,161.0,7329.0
2000-01-27,169.0,164.0,160.0,166.0,3624.0
2000-01-28,168.75,154.0,153.0,168.75,3306.0
2000-01-31,159.0,132.0,128.125,153.0,5773.0
2000-02-01,140.0,136.5,135.0,139.0,1464.0
2000-02-02,157.0,150.0,135.0,138.0,2963.0
2000-02-03,167.0,159.0,154.5,164.0,3702.0
2000-02-04,167.0,165.0,159.0,160.0,2677.0
2000-02-07,175.0,175.0,154.0,164.0,4410.0
2000-02-08,177.0,166.0,165.0,177.0,2646.0
2000-02-09,172.0,168.0,157.0,169.0,6004.0
2000-02-10,170.0,154.0,151.0,170.0,2593.0
2000-02-11,169.0,161.0,160.0,160.0,2843.0
2000-02-14,164.0,152.0,150.0,164.0,3193.0
2000-02-15,153.0,147.0,141.0,150.0,2770.0
2000-02-16,164.0,160.0,136.0,147.0,6593.0
2000-02-17,175.0,168.0,162.5,169.0,5662.0
2000-02-18,200.0,200.0,169.0,171.875,14898.0
2000-02-22,231.0,217.0,199.5,203.0,22522.0
2000-02-23,230.0,222.0,201.0,223.0,8383.0
2000-02-24,237.5,222.0,220.0,225.0,11713.0
2000-02-25,248.5,247.0,218.75,222.0,9395.0
2000-02-28,300.0,294.0,196.875,259.375,18112.0
2000-02-29,303.125,274.0,253.0,296.0,9677.0
2000-03-01,287.5,259.0,246.0,282.0,9267.0
2000-03-02,303.0,301.0,248.0,259.0,14364.0
2000-03-03,350.0,340.0,300.0,303.0,19425.0
2000-03-06,375.0,335.0,335.0,357.0,10416.0
2000-03-07,350.0,296.875,200.0,345.0,17977.0
2000-03-08,312.5,204.0,184.0,290.625,33556.0
2000-03-09,239.0,212.5,202.5,224.875,5938.0
2000-03-10,230.0,219.0,212.5,230.0,5616.0
2000-03-13,219.0,195.0,195.0,218.75,3355.0
2000-03-14,190.625,160.0,153.5,190.625,14663.0
2000-03-15,163.0,150.0,149.0,163.0,7459.0
2000-03-16,156.25,154.0,147.0,151.0,3186.0
2000-03-17,190.0,172.0,154.0,154.0,4863.0
2000-03-20,185.0,185.0,168.0,175.0,2503.0
2000-03-21,203.0,198.0,187.5,187.5,2966.0
2000-03-22,237.0,223.0,202.0,205.0,7440.0
2000-03-23,231.25,181.25,180.0,228.125,4176.0
2000-03-24,195.0,180.0,180.0,185.0,2178.0
2000-03-27,185.0,162.0,150.0,185.0,2647.0
2000-03-28,171.0,165.0,159.0,168.0,4200.0
2000-03-29,166.0,150.0,149.0,165.0,3157.0
