Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-08-23,20.4,20.4,20.4,20.4,,200.0
2011-09-26,15.71,15.71,15.71,15.71,,400.0
2011-09-28,15.07,15.07,15.07,15.07,,400.0
2011-10-06,13.99,13.99,13.99,13.99,,200.0
2011-10-11,14.94,14.94,14.94,14.94,,400.0
2011-10-27,14.99,14.99,14.99,14.99,1.0,200.0
2011-12-28,14.99,14.99,14.99,14.99,1.0,200.0
2011-12-29,14.51,14.51,14.51,14.51,1.0,100.0
2012-01-27,14.01,14.01,14.01,14.01,1.0,100.0
2012-02-06,14.7,14.7,14.7,14.7,1.0,400.0
2012-02-10,16.34,16.34,16.34,16.34,1.0,100.0
2012-02-21,16.5,16.5,16.5,16.5,1.0,100.0
2012-02-22,16.49,16.49,16.49,16.49,1.0,100.0
2012-03-15,16.22,16.22,16.22,16.22,1.0,200.0
2012-03-20,16.71,16.71,16.4,16.4,2.0,400.0
2012-03-22,16.64,16.61,16.61,16.64,2.0,400.0
2012-03-29,16.49,16.49,16.49,16.49,1.0,300.0
2012-04-04,17.7,17.7,17.7,17.7,1.0,100.0
2012-04-18,18.43,18.43,18.43,18.43,1.0,200.0
2012-05-09,20.01,20.01,20.01,20.01,1.0,100.0
2012-06-07,18.11,18.11,18.11,18.11,1.0,100.0
2012-06-08,18.02,18.02,18.02,18.02,1.0,100.0
2012-06-14,18.0,17.99,17.99,18.0,3.0,300.0
2012-06-18,17.81,17.81,17.81,17.81,1.0,100.0
2012-06-20,19.78,19.71,19.7,19.7,3.0,300.0
2012-06-27,19.36,19.36,19.36,19.36,1.0,100.0
2012-07-19,18.5,18.5,18.5,18.5,1.0,100.0
2012-07-23,17.94,17.94,17.94,17.94,1.0,100.0
2012-07-24,17.6,17.6,17.6,17.6,1.0,100.0
2012-08-06,18.09,18.09,18.09,18.09,1.0,100.0
2012-08-14,17.63,17.63,17.63,17.63,1.0,100.0
2012-08-20,17.74,17.74,17.74,17.74,1.0,100.0
2012-09-25,17.87,17.87,17.87,17.87,1.0,100.0
2012-09-27,18.23,18.23,18.23,18.23,1.0,100.0
2012-10-15,17.53,17.5,17.5,17.53,2.0,200.0
2012-10-25,16.94,16.94,16.94,16.94,2.0,200.0
2012-11-01,17.33,17.11,16.95,16.95,3.0,300.0
2012-11-02,17.35,17.35,17.35,17.35,1.0,100.0
2012-11-05,17.24,16.96,16.96,17.24,2.0,200.0
2012-11-08,16.64,16.64,16.64,16.64,1.0,100.0
2012-11-16,17.4,17.4,17.4,17.4,1.0,200.0
2012-11-27,17.43,17.43,17.43,17.43,1.0,100.0
2012-11-30,18.27,18.27,18.27,18.27,1.0,100.0
2012-12-10,18.55,18.55,18.55,18.55,1.0,100.0
2012-12-11,18.45,18.45,18.45,18.45,1.0,100.0
2012-12-12,18.28,18.28,18.28,18.28,1.0,300.0
2012-12-17,18.5,18.5,18.5,18.5,1.0,100.0
2012-12-19,19.04,19.04,19.04,19.04,1.0,400.0
2012-12-27,19.78,19.78,19.78,19.78,1.0,100.0
2012-12-28,19.4,19.4,19.4,19.4,1.0,100.0
2013-01-15,19.72,19.72,19.72,19.72,1.0,100.0
2013-01-18,19.53,19.53,19.53,19.53,1.0,100.0
2013-01-28,19.82,19.76,19.76,19.82,2.0,200.0
2013-01-29,19.99,19.99,19.99,19.99,1.0,100.0
2013-01-30,19.9,19.9,19.9,19.9,1.0,100.0
2013-01-31,19.99,19.99,19.96,19.96,4.0,500.0
2013-02-01,20.14,20.09,20.09,20.14,2.0,200.0
2013-02-04,20.1,19.96,19.96,20.1,3.0,300.0
2013-02-07,20.08,19.8,19.8,20.08,3.0,300.0
2013-02-08,20.04,20.04,19.62,19.62,2.0,200.0
2013-02-11,19.97,19.97,19.77,19.77,2.0,200.0
2013-02-22,19.95,19.78,19.78,19.95,3.0,300.0
2013-02-26,19.97,19.97,19.97,19.97,1.0,100.0
2013-02-28,19.51,19.51,19.51,19.51,1.0,100.0
2013-03-01,20.02,20.02,19.99,19.99,2.0,200.0
2013-03-05,19.98,19.97,19.97,19.98,2.0,200.0
2013-03-07,20.01,20.01,20.01,20.01,1.0,200.0
2013-03-11,20.13,20.12,20.01,20.13,5.0,500.0
2013-03-12,20.19,20.19,20.19,20.19,1.0,100.0
2013-03-13,20.77,20.77,20.61,20.61,2.0,200.0
2013-03-15,21.89,21.73,21.53,21.53,3.0,300.0
2013-03-21,22.65,22.51,22.51,22.65,2.0,200.0
2013-04-25,24.35,24.35,24.35,24.35,1.0,100.0
2013-05-09,24.98,24.98,24.98,24.98,1.0,100.0
2013-05-16,23.52,23.52,23.52,23.52,1.0,100.0
2013-05-21,23.55,23.55,23.53,23.53,4.0,400.0
2013-05-22,23.91,23.91,23.91,23.91,1.0,100.0
2013-06-04,26.5,26.5,26.5,26.5,1.0,200.0
2013-06-07,26.27,26.27,26.27,26.27,1.0,200.0
2013-07-08,26.52,26.52,26.52,26.52,1.0,100.0
2013-07-09,26.84,26.84,26.84,26.84,1.0,100.0
2013-07-10,26.56,26.56,26.56,26.56,1.0,100.0
2013-07-16,27.64,27.64,27.64,27.64,1.0,100.0
2013-07-18,27.46,27.46,27.46,27.46,1.0,100.0
2013-08-23,25.3,25.3,25.3,25.3,1.0,100.0
2013-08-26,26.04,26.04,26.04,26.04,1.0,100.0
2013-09-04,25.92,25.92,25.92,25.92,1.0,100.0
2013-09-17,26.77,26.77,26.76,26.76,2.0,200.0
2013-09-24,27.39,27.39,27.39,27.39,1.0,100.0
2013-10-02,26.84,26.84,26.84,26.84,1.0,100.0
2013-10-03,26.51,26.51,26.51,26.51,1.0,100.0
2013-10-07,26.87,26.87,26.84,26.84,2.0,200.0
2013-10-08,26.81,26.81,26.81,26.81,1.0,100.0
2013-10-14,26.96,26.96,26.96,26.96,1.0,100.0
2013-10-16,26.67,26.67,26.67,26.67,1.0,100.0
2013-10-18,27.2,27.2,27.2,27.2,1.0,100.0
2013-10-22,26.99,26.99,26.99,26.99,1.0,1199.0
2013-10-24,26.88,26.88,26.88,26.88,1.0,399.0
2013-10-25,26.75,26.75,26.75,26.75,1.0,100.0
2013-11-04,26.94,26.89,26.51,26.87,14.0,1700.0
2013-11-05,26.71,26.71,26.57,26.57,2.0,200.0
2013-11-06,26.55,26.55,26.55,26.55,1.0,100.0
2013-11-08,27.2,27.2,27.1,27.18,6.0,600.0
2013-11-19,29.97,29.97,29.95,29.95,2.0,200.0
2013-11-20,29.73,29.73,29.73,29.73,1.0,100.0
2013-11-21,29.79,29.79,29.61,29.79,3.0,300.0
2013-11-22,29.51,29.51,29.51,29.51,1.0,100.0
2013-11-27,29.94,29.94,29.94,29.94,1.0,100.0
2013-12-09,29.52,29.52,29.52,29.52,3.0,194.0
2013-12-13,,,,,1.0,1.0
2013-12-16,27.16,27.16,27.16,27.16,4.0,146.0
2013-12-17,,,,,1.0,1.0
2013-12-18,28.0,28.0,28.0,28.0,1.0,100.0
2013-12-19,,,,,3.0,40.0
2013-12-20,28.59,28.59,28.58,28.58,3.0,204.0
2013-12-23,,,,,1.0,50.0
2013-12-26,,,,,2.0,3.0
2013-12-27,,,,,2.0,117.0
2014-01-02,,,,,1.0,23.0
2014-01-06,29.63,29.63,29.63,29.63,3.0,103.0
2014-01-08,28.11,28.11,28.11,28.11,1.0,100.0
2014-01-27,27.66,27.63,27.61,27.61,13.0,375.0
2014-01-28,27.36,27.36,27.36,27.36,2.0,120.0
2014-01-30,27.54,27.54,27.54,27.54,4.0,219.0
2014-01-31,27.4,27.25,27.03,27.4,6.0,347.0
2014-02-03,27.32,26.74,26.74,27.32,10.0,419.0
2014-02-05,26.73,26.73,26.73,26.73,2.0,200.0
2014-02-07,27.0,27.0,27.0,27.0,2.0,116.0
2014-02-10,27.11,27.11,26.88,26.88,2.0,200.0
2014-02-12,27.5,27.42,27.11,27.11,21.0,1899.0
2014-02-13,27.25,27.25,27.25,27.25,2.0,115.0
2014-02-14,,,,,2.0,100.0
2014-02-18,27.18,27.15,27.15,27.18,2.0,200.0
2014-02-19,,,,,1.0,22.0
2014-02-20,27.98,27.95,27.95,27.98,10.0,531.0
2014-02-21,27.99,27.99,27.98,27.99,6.0,499.0
2014-02-24,28.48,28.48,28.48,28.48,3.0,149.0
2014-02-25,,,,,1.0,1.0
2014-02-26,28.48,28.48,28.48,28.48,3.0,117.0
2014-02-27,28.74,28.74,28.6,28.69,4.0,301.0
2014-02-28,28.58,28.58,28.58,28.58,2.0,142.0
2014-03-03,28.75,28.75,28.71,28.71,6.0,225.0
2014-03-04,29.19,29.19,28.91,28.91,5.0,308.0
2014-03-05,,,,,2.0,78.0
2014-03-06,,,,,1.0,1.0
2014-03-07,,,,,1.0,1.0
2014-03-10,,,,,2.0,11.0
2014-03-11,,,,,1.0,7.0
2014-03-12,29.3,29.3,29.3,29.3,10.0,306.0
2014-03-14,,,,,7.0,8.0
2014-03-20,29.35,29.15,29.0,29.12,14.0,1029.0
2014-03-21,29.39,28.96,28.9,29.39,12.0,622.0
2014-03-24,29.21,29.21,29.02,29.18,15.0,433.0
2014-03-25,29.43,29.43,29.41,29.43,8.0,443.0
2014-03-26,,,,,1.0,1.0
2014-03-28,28.31,28.31,28.31,28.31,6.0,140.0
2014-03-31,28.71,28.71,28.64,28.64,8.0,635.0
2014-04-01,28.79,28.79,28.78,28.78,3.0,205.0
2014-04-03,28.24,28.24,28.24,28.24,3.0,105.0
2014-04-04,,,,,1.0,71.0
2014-04-08,26.81,26.78,26.71,26.81,10.0,556.0
2014-04-09,,,,,1.0,1.0
2014-04-10,,,,,1.0,3.0
2014-04-14,26.52,26.5,26.5,26.5,22.0,2269.0
2014-04-15,26.54,26.54,26.5,26.5,11.0,720.0
2014-04-16,,,,,1.0,49.0
2014-04-21,,,,,1.0,15.0
2014-04-25,26.47,26.47,26.47,26.47,1.0,100.0
2014-04-29,26.58,26.52,26.52,26.58,7.0,404.0
2014-04-30,26.51,26.51,26.51,26.51,4.0,383.0
