Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-07-31,20.0,17.6,17.0401,20.0,30058.0,7235377.0
2014-08-01,18.21,16.95,16.77,18.21,3246.0,863919.0
2014-08-04,17.27,16.85,16.11,16.84,3437.0,540193.0
2014-08-05,17.2,16.75,16.48,16.55,1136.0,196467.0
2014-08-06,17.48,17.06,16.26,16.75,827.0,140893.0
2014-08-07,17.59,17.49,17.0,17.08,506.0,118679.0
2014-08-08,17.93,17.51,17.35,17.55,469.0,70382.0
2014-08-11,17.95,17.85,17.5,17.55,797.0,111201.0
2014-08-12,18.4,18.34,17.63,17.87,1080.0,193719.0
2014-08-13,20.0,19.8,18.26,18.61,1435.0,277072.0
2014-08-14,20.91,20.77,19.41,19.41,743.0,115925.0
2014-08-15,21.48,19.96,19.95,21.48,563.0,89890.0
2014-08-18,20.6,20.47,20.0,20.2,263.0,29842.0
2014-08-19,20.75,20.39,20.1,20.47,439.0,55722.0
2014-08-20,20.9,20.49,20.16,20.16,827.0,89144.0
2014-08-21,20.6,20.16,19.32,20.32,777.0,109887.0
2014-08-22,21.0,20.46,19.97,19.98,763.0,101865.0
2014-08-25,20.6,19.87,19.69,20.49,582.0,56117.0
2014-08-26,20.6,19.73,19.66,19.8,605.0,107085.0
2014-08-27,20.15,19.51,19.35,19.52,752.0,80778.0
2014-08-28,19.97,19.4,19.29,19.5,1384.0,98124.0
2014-08-29,19.655,19.38,19.0,19.4,1309.0,123131.0
2014-09-02,20.12,19.77,19.38,19.78,1391.0,109659.0
2014-09-03,19.98,18.89,18.81,19.8,1284.0,129296.0
2014-09-04,19.65,18.93,18.6,18.95,1244.0,166757.0
2014-09-05,19.43,19.04,18.95,18.95,998.0,85409.0
2014-09-08,19.46,18.65,18.38,19.25,1450.0,150207.0
2014-09-09,19.43,19.41,18.771,19.0,982.0,87869.0
2014-09-10,22.1135,21.62,18.6201,19.3,2657.0,335814.0
2014-09-11,22.84,20.93,20.55,21.45,2230.0,900166.0
2014-09-12,21.23,20.74,19.29,21.0,2310.0,286830.0
2014-09-15,20.95,20.87,20.0201,20.93,607.0,74505.0
2014-09-16,21.14,20.1,19.73,21.14,2049.0,207865.0
2014-09-17,20.49,20.03,19.66,19.9,1493.0,118583.0
2014-09-18,20.45,20.16,19.8,20.0,721.0,77935.0
2014-09-19,20.43,19.57,19.57,20.22,1140.0,269729.0
2014-09-22,20.0,19.76,19.08,19.77,1008.0,116851.0
2014-09-23,20.22,18.82,18.7,19.52,2070.0,256669.0
2014-09-24,18.98,18.24,17.58,18.74,1829.0,209128.0
2014-09-25,18.89,18.16,17.86,18.3,1856.0,194547.0
2014-09-26,18.93,18.45,18.04,18.17,1577.0,205062.0
2014-09-29,18.55,18.24,17.88,18.43,1237.0,145676.0
2014-09-30,18.73,18.31,17.78,18.2,2084.0,1283419.0
2014-10-01,18.67,17.77,17.56,18.3,2036.0,237371.0
2014-10-02,18.21,17.38,17.23,17.81,1158.0,235615.0
2014-10-03,18.99,18.9,17.36,17.5,821.0,139414.0
2014-10-06,19.57,18.68,18.56,18.87,897.0,91891.0
2014-10-07,19.66,19.29,17.58,18.57,1041.0,97222.0
2014-10-08,19.645,19.37,19.16,19.28,1090.0,93896.0
2014-10-09,19.3999,18.52,18.46,19.3,1165.0,104161.0
2014-10-10,19.07,17.98,17.94,18.41,1139.0,128998.0
2014-10-13,18.655,18.22,17.65,18.41,1175.0,132697.0
2014-10-14,18.5,18.44,17.98,18.35,1116.0,152127.0
2014-10-15,19.54,19.44,17.89,18.14,1039.0,130865.0
2014-10-16,20.55,20.32,19.25,19.49,967.0,99541.0
2014-10-17,20.69,19.41,19.39,20.61,576.0,43533.0
2014-10-20,20.26,20.12,19.35,19.37,734.0,71376.0
2014-10-21,20.75,20.37,19.0,20.27,956.0,90422.0
2014-10-22,21.0317,20.17,20.01,20.3,1071.0,107282.0
2014-10-23,21.11,20.67,20.3624,20.37,514.0,60897.0
2014-10-24,20.9675,20.03,19.99,20.69,248.0,32580.0
2014-10-27,20.49,19.95,19.77,20.03,373.0,35969.0
2014-10-28,20.48,20.47,19.55,19.96,525.0,54867.0
2014-10-29,20.67,19.95,19.84,19.84,612.0,54437.0
2014-10-30,20.51,20.23,19.37,19.37,536.0,76256.0
2014-10-31,20.77,20.4,20.0702,20.77,334.0,40029.0
2014-11-03,20.51,19.89,19.67,20.4,630.0,64790.0
2014-11-04,19.99,19.59,19.5,19.76,647.0,68481.0
2014-11-05,19.82,19.69,19.29,19.82,1107.0,107346.0
2014-11-06,19.94,19.8,19.58,19.61,458.0,37811.0
2014-11-07,21.29,20.51,19.63,19.73,748.0,88479.0
2014-11-10,21.0,20.79,19.97,19.97,429.0,50020.0
2014-11-11,21.99,21.06,20.7,20.7,818.0,94270.0
