Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,71.23,70.85,70.6,70.6,,93600.0
2007-09-20,71.0899,70.51,70.49,70.75,,88500.0
2007-09-21,71.16,70.73,70.73,71.05,,99500.0
2007-09-24,71.042,70.81,70.66,70.79,,96200.0
2007-09-25,70.7701,70.61,70.3,70.3,,159900.0
2007-09-26,71.09,70.97,70.63,70.65,,43000.0
2007-09-27,71.2265,71.08,70.91,71.06,,41400.0
2007-09-28,70.999,70.79,70.53,70.92,,42800.0
2007-10-01,71.6599,71.46,70.93,70.93,,3093200.0
2007-10-02,71.6201,71.29,71.08,71.6,,33700.0
2007-10-03,71.67,71.52,71.13,71.13,,345700.0
2007-10-04,72.06,71.76,71.69,71.69,,58100.0
2007-10-05,72.4476,72.38,71.88,71.94,,31000.0
2007-10-08,72.31,72.05,71.97,72.3,,22200.0
2007-10-09,72.39,72.36,72.032,72.25,,37600.0
2007-10-10,72.54,72.34,72.3,72.43,,15700.0
2007-10-11,72.67,72.05,71.8301,72.67,,20800.0
2007-10-12,72.415,72.31,72.0,72.0,,32900.0
2007-10-15,72.36,71.8,71.38,72.17,,90300.0
2007-10-16,71.6,71.17,70.982,71.59,,30500.0
2007-10-17,71.6361,71.27,70.6604,71.58,,96900.0
2007-10-18,71.58,71.23,71.14,71.21,,60100.0
2007-10-19,71.23,70.39,70.38,71.14,,40800.0
2007-10-22,70.34,70.27,69.7,69.8,,83000.0
2007-10-23,71.19,71.18,70.48,70.59,,33200.0
2007-10-24,71.0,70.89,70.0,70.97,,112000.0
2007-10-25,71.29,71.29,70.61,70.74,,112400.0
2007-10-26,73.18,71.3,71.09,73.18,,70700.0
2007-10-29,71.6275,71.48,71.2901,71.4,,114000.0
2007-10-30,71.62,71.41,71.26,71.46,,20900.0
2007-10-31,72.01,72.01,71.27,71.5,,32700.0
2007-11-01,72.36,70.85,70.72,72.12,,266300.0
2007-11-02,71.0399,70.7,70.407,71.02,,35800.0
2007-11-05,71.0,70.57,70.31,70.45,,107200.0
2007-11-06,70.97,70.94,70.36,70.7,,38000.0
2007-11-07,70.74,69.67,69.67,70.57,,59600.0
2007-11-08,70.19,69.95,69.34,69.48,,237595.0
2007-11-09,70.48,69.73,69.68,69.68,,31700.0
2007-11-12,70.6501,69.97,69.74,69.74,,64000.0
2007-11-13,70.92,70.81,69.82,70.31,,190300.0
2007-11-14,71.4,70.83,70.56,70.56,,21350.0
2007-11-15,71.3499,70.54,70.52,70.94,,39700.0
2007-11-16,71.02,71.02,70.47,70.5,,60325.0
2007-11-19,70.9,70.28,70.21,70.8,,26700.0
2007-11-20,71.0199,70.56,69.96,70.38,,48700.0
2007-11-21,70.15,69.33,69.33,70.1,,37900.0
2007-11-23,70.37,70.15,69.85,70.09,,6100.0
2007-11-26,70.72,69.65,69.65,70.32,,29600.0
2007-11-27,71.1099,70.85,69.54,69.54,,74400.0
2007-11-28,72.45,72.02,70.77,70.77,,204101.0
2007-11-29,72.98,72.6,71.96,72.25,,184300.0
2007-11-30,72.91,72.73,72.44,72.8,,54000.0
2007-12-03,72.69,72.26,72.098,72.19,,108292.0
2007-12-04,72.46,71.94,71.4,71.4,,22295.0
2007-12-05,72.78,72.78,72.34,72.34,,112100.0
2007-12-06,73.28,73.1801,72.62,73.1,,73100.0
2007-12-07,73.4044,73.12,73.03,73.34,,27100.0
2007-12-10,73.44,73.38,73.049,73.17,,39300.0
2007-12-11,73.53,72.09,72.09,73.17,,34801.0
2007-12-12,73.3,72.45,71.9,73.3,,31900.0
2007-12-13,72.38,72.38,71.56,72.07,,47900.0
2007-12-14,72.17,71.71,71.66,71.73,,32100.0
2007-12-17,71.5301,70.7,70.7,71.53,,25600.0
2007-12-18,71.47,71.17,70.75,70.93,,26200.0
2007-12-19,71.46,70.97,70.74,71.29,,39800.0
2007-12-20,71.46,71.46,71.01,71.39,,45800.0
2007-12-21,72.3,72.3,71.89,72.03,,30400.0
2007-12-24,72.37,72.36,72.07,72.37,,30200.0
2007-12-26,72.35,72.3,71.94,71.94,,41900.0
2007-12-27,72.18,71.28,71.27,72.18,,273425.0
2007-12-28,71.82,71.25,71.07,71.82,,24600.0
2007-12-31,71.1,70.67,70.5878,71.02,,14700.0
2008-01-02,70.95,70.1,69.89,70.68,,113628.0
2008-01-03,70.73,70.5,70.2,70.2,,33900.0
2008-01-04,70.46,69.78,69.69,70.3,,42080.0
2008-01-07,71.19,71.17,70.18,70.18,,65400.0
2008-01-08,72.61,71.45,71.17,71.32,,130625.0
2008-01-09,72.72,72.69,71.75,71.75,,97700.0
2008-01-10,73.0,72.78,72.24,72.71,,148650.0
2008-01-11,73.0632,72.84,72.28,72.36,,67350.0
2008-01-14,72.92,72.49,72.2208,72.88,,66200.0
2008-01-15,72.08,71.48,71.333,71.97,,177041.0
2008-01-16,72.49,71.92,71.14,71.18,,102652.0
2008-01-17,71.96,70.51,70.4252,71.96,,90725.0
2008-01-18,70.78,69.4001,69.06,70.78,,106228.0
2008-01-22,67.94,67.33,64.0,64.0,,389615.0
2008-01-23,67.16,67.16,64.97,66.0,,140233.0
2008-01-24,67.41,66.98,66.5901,67.03,,134250.0
2008-01-25,67.31,65.97,65.49,67.31,,109136.0
2008-01-28,66.91,66.818,65.88,65.96,,131930.0
2008-01-29,67.68,66.97,66.9,67.68,,43014.0
2008-01-30,67.4499,66.38,66.23,66.48,,53610.0
2008-01-31,67.3299,67.0,65.23,65.33,,100800.0
2008-02-01,67.8999,67.77,67.0101,67.13,,133480.0
2008-02-04,68.29,67.98,67.73,67.73,,65000.0
2008-02-05,67.7,66.81,66.786,67.25,,46557.0
2008-02-06,67.5199,66.8599,66.77,67.29,,39472.0
2008-02-07,67.15,66.96,66.4882,66.83,,56600.0
2008-02-08,66.7,66.16,65.98,66.7,,82200.0
2008-02-11,66.22,66.18,65.67,66.09,,72190.0
2008-02-12,67.13,66.88,66.37,66.76,,69006.0
2008-02-13,67.4,67.3,66.18,66.18,,54425.0
2008-02-14,68.37,66.45,66.45,68.37,,79726.0
2008-02-15,67.49,66.8,66.3316,67.49,,39400.0
2008-02-19,67.56,66.96,66.87,67.49,,70500.0
2008-02-20,66.9146,66.81,66.18,66.49,,45900.0
2008-02-21,67.19,66.06,66.03,67.19,,39925.0
2008-02-22,66.5744,66.15,65.32,66.24,,103189.0
2008-02-25,67.41,67.36,66.5335,66.54,,87800.0
2008-02-26,67.87,67.52,66.6,66.6,,76319.0
2008-02-27,67.59,67.08,66.98,67.59,,49587.0
2008-02-28,66.8296,66.55,66.4,66.8,,44992.0
2008-02-29,66.04,65.66,65.3,66.04,,65571.0
2008-03-03,65.7199,65.71,65.23,65.45,,52900.0
2008-03-04,65.7999,65.64,65.0,65.0,,45900.0
2008-03-05,65.96,65.62,65.15,65.94,,29535.0
2008-03-06,65.57,64.24,64.21,65.57,,97500.0
2008-03-07,64.2,63.47,62.68,63.6,,111800.0
2008-03-10,63.5,62.65,62.6,63.41,,95550.0
2008-03-11,63.8,62.5,61.56,63.31,,155784.0
2008-03-12,62.98,62.38,61.03,61.6,,117600.0
2008-03-13,63.26,62.73,61.08,61.08,,35700.0
2008-03-14,63.64,61.76,61.17,63.64,,162800.0
2008-03-17,61.86,61.65,59.7601,60.0,,86299.0
2008-03-18,62.84,62.79,61.07,62.2,,69485.0
2008-03-19,63.65,62.56,62.56,62.97,,23625.0
2008-03-20,63.13,63.09,62.33,62.51,,49500.0
2008-03-24,63.99,63.58,63.1066,63.99,,40730.0
2008-03-25,63.75,63.53,63.23,63.7,,59100.0
2008-03-26,63.3899,63.28,63.1,63.3,,33292.0
2008-03-27,63.63,63.27,63.19,63.19,,49600.0
2008-03-28,63.71,62.78,62.7401,63.51,,19700.0
2008-03-31,62.7302,62.62,61.97,62.24,,31775.0
2008-04-01,64.12,64.08,62.966,63.83,,79288.0
2008-04-02,64.19,63.72,63.5,63.93,,46277.0
2008-04-03,63.7632,63.65,63.29,63.5,,232000.0
2008-04-04,64.475,64.19,63.48,63.48,,33976.0
2008-04-07,64.7699,64.5,64.281,64.68,,140600.0
2008-04-08,64.54,64.4,64.1,64.1,,45212.0
2008-04-09,64.4836,63.98,63.7056,64.48,,23600.0
2008-04-10,64.914,64.62,64.11,64.11,,61800.0
2008-04-11,64.34,63.66,63.6,63.77,,48400.0
2008-04-14,63.66,63.51,63.22,63.66,,41791.0
2008-04-15,63.55,63.22,63.025,63.55,,53149.0
2008-04-16,63.69,63.64,63.2,63.2,,31139.0
2008-04-17,63.63,63.18,62.99,63.63,,34976.0
2008-04-18,63.94,63.7,63.53,63.93,,49797.0
2008-04-21,63.63,63.42,63.2701,63.3,,32975.0
2008-04-22,63.06,62.72,62.43,63.0,,38136.0
2008-04-23,63.5,63.449997,62.81,62.81,,58909.0
2008-04-24,63.81,63.5199,62.9,63.71,,47955.0
2008-04-25,64.127,64.04,63.59,63.92,,45002.0
2008-04-28,64.4992,64.26,64.03,64.03,,49958.0
2008-04-29,64.06,63.81,63.5401,63.96,,46289.0
2008-04-30,64.26,63.5499,63.42,63.67,,46361.0
2008-05-01,64.47,64.44,63.37,63.37,,150198.0
2008-05-02,64.95,64.51,64.324,64.68,,48151.0
2008-05-05,64.414,64.2999,64.06,64.09,,59975.0
2008-05-06,64.273,64.1,63.34,63.34,,55132.0
2008-05-07,64.228,63.39,63.25,63.97,,41004.0
2008-05-08,63.7868,63.57,63.21,63.21,,33560.0
2008-05-09,63.414,63.286,62.91,63.0,,23290.0
2008-05-12,63.7,63.69,63.32,63.32,,21493.0
2008-05-13,64.09,63.43,63.23,64.09,,124865.0
2008-05-14,63.984,63.62,63.49,63.49,,44634.0
2008-05-15,63.79,63.66,63.27,63.79,,42388.0
2008-05-16,63.79,63.74,63.421,63.74,,34149.0
2008-05-19,64.19,63.97,63.56,63.58,,61628.0
2008-05-20,64.38,63.95,63.75,63.78,,42272.0
2008-05-21,64.46,63.63,63.5,64.05,,47992.0
2008-05-22,64.22,63.96,63.55,63.65,,40255.0
2008-05-23,63.8,63.38,63.28,63.8,,41948.0
2008-05-27,63.708,63.68,63.34,63.52,,115073.0
2008-05-28,63.87,63.69,63.2901,63.57,,21666.0
2008-05-29,64.88,64.49,63.74,63.74,,48247.0
2008-05-30,64.9,64.71,64.6,64.74,,17680.0
2008-06-02,64.65,64.17,63.79,64.65,,63755.0
2008-06-03,64.63,64.27,63.98,64.2,,49195.0
2008-06-04,64.706,64.49,64.09,64.09,,38880.0
2008-06-05,65.1,65.050003,64.54,64.54,,62737.0
2008-06-06,64.59,63.505,63.505,64.59,,56635.0
2008-06-09,63.7,63.21,62.8201,63.7,,33195.0
2008-06-10,63.19,62.88,62.59,62.73,,151165.0
2008-06-11,62.7,61.97,61.8701,62.7,,50395.0
2008-06-12,62.56,62.14,61.94,62.12,,31422.0
2008-06-13,62.8799,62.860001,62.28,62.28,,33655.0
