Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,36.32,34.98,33.49,33.55,,223294.0
2007-09-20,35.91,35.56,34.61,34.88,,103678.0
2007-09-21,36.66,35.63,35.28,35.9,,299989.0
2007-09-24,36.3,35.16,34.95,35.64,,98565.0
2007-09-25,35.61,35.52,34.05,35.01,,140860.0
2007-09-26,35.76,35.68,34.73,35.76,,103279.0
2007-09-27,35.88,35.49,34.92,35.7,,99565.0
2007-09-28,36.08,34.56,34.5,35.39,,78201.0
2007-10-01,35.9,35.77,34.12,34.56,,136581.0
2007-10-02,36.72,36.05,35.25,35.96,,208299.0
2007-10-03,36.38,34.91,34.51,35.76,,184795.0
2007-10-04,35.75,35.5,34.16,35.1,,121611.0
2007-10-05,36.99,36.85,35.36,35.74,,175207.0
2007-10-08,36.91,36.0,35.25,36.91,,159731.0
2007-10-09,37.15,36.56,35.76,36.03,,178551.0
2007-10-10,36.98,36.41,35.33,36.61,,204921.0
2007-10-11,37.11,35.95,35.94,36.52,,169599.0
2007-10-12,37.09,36.78,35.76,35.89,,76848.0
2007-10-15,37.46,35.7,35.57,36.88,,167741.0
2007-10-16,36.3,35.44,35.07,35.82,,118959.0
2007-10-17,36.15,35.23,34.48,35.84,,149229.0
2007-10-18,35.7,34.88,34.86,35.09,,107769.0
2007-10-19,34.96,32.95,32.95,34.88,,183259.0
2007-10-22,34.56,34.5,32.03,32.6,,109865.0
2007-10-23,35.28,35.28,33.47,34.84,,106131.0
2007-10-24,35.59,34.77,33.3,35.2,,127926.0
2007-10-25,35.46,34.84,34.3501,34.82,,67817.0
2007-10-26,36.81,36.78,32.96,35.26,,98114.0
2007-10-29,38.26,37.14,36.04,37.15,,208554.0
2007-10-30,37.8,37.26,36.92,37.05,,157836.0
2007-10-31,38.25,37.71,36.8,37.37,,166209.0
2007-11-01,37.81,35.78,35.52,37.81,,243479.0
2007-11-02,37.0999,35.06,33.91,36.33,,155625.0
2007-11-05,37.5,37.14,33.8,34.66,,188675.0
2007-11-06,39.01,38.92,35.88,37.14,,243766.0
2007-11-07,38.38,36.33,36.29,38.38,,200998.0
2007-11-08,36.829,36.21,34.44,36.58,,179576.0
2007-11-09,36.14,35.27,34.77,35.79,,124097.0
2007-11-12,35.92,34.32,33.8,35.3,,112202.0
2007-11-13,34.57,34.5,32.96,34.57,,187811.0
2007-11-14,36.78,35.39,34.37,34.65,,155082.0
2007-11-15,35.29,34.23,33.5,35.29,,113732.0
2007-11-16,34.39,33.66,32.99,34.29,,119991.0
2007-11-19,33.36,31.81,31.3,33.36,,219698.0
2007-11-20,32.57,32.13,31.16,31.74,,152667.0
2007-11-21,33.26,32.5,31.34,31.99,,117706.0
2007-11-23,33.89,33.28,32.43,32.82,,38176.0
2007-11-26,33.86,31.71,31.47,33.26,,91955.0
2007-11-27,32.25,30.49,30.13,31.76,,275213.0
2007-11-28,32.99,32.8,30.08,30.89,,258879.0
2007-11-29,32.54,31.59,31.47,32.54,,107278.0
2007-11-30,32.88,31.9,31.69,32.03,,183932.0
2007-12-03,32.09,31.76,31.23,31.82,,112137.0
2007-12-04,32.11,31.92,30.86,31.49,,134972.0
2007-12-05,32.39,32.2,31.56,32.39,,143428.0
2007-12-06,33.7,33.68,32.07,32.07,,118677.0
2007-12-07,34.0,33.72,33.19,33.71,,145730.0
2007-12-10,34.44,33.8,33.43,33.7,,232057.0
2007-12-11,34.48,32.23,32.2,33.99,,101866.0
2007-12-12,33.79,32.59,32.16,33.07,,103041.0
2007-12-13,34.12,33.76,32.07,32.32,,107001.0
2007-12-14,34.28,33.69,33.04,33.31,,167904.0
2007-12-17,34.21,33.85,32.89,33.41,,251546.0
2007-12-18,34.63,34.4,33.744,34.08,,200611.0
2007-12-19,35.52,35.13,34.11,34.4,,132866.0
2007-12-20,36.01,35.8,34.875,35.57,,254650.0
2007-12-21,37.45,37.4,35.64,36.33,,400569.0
2007-12-24,38.76,38.53,37.01,37.47,,71383.0
2007-12-26,39.31,38.85,37.63,38.44,,227895.0
2007-12-27,38.84,36.8,36.78,38.84,,158897.0
2007-12-28,37.64,36.49,36.25,37.35,,157218.0
2007-12-31,37.34,36.81,36.25,36.25,,260946.0
2008-01-02,38.21,37.66,36.26,36.26,,441480.0
2008-01-03,38.39,37.96,37.215,37.66,,327024.0
2008-01-04,38.11,37.73,36.4,37.53,,253339.0
2008-01-07,38.56,37.38,37.3725,37.83,,409283.0
2008-01-08,38.12,34.69,34.51,37.63,,390644.0
2008-01-09,35.5999,34.5,33.44,34.66,,262697.0
2008-01-10,34.95,34.23,33.51,34.1,,166918.0
2008-01-11,34.09,32.72,32.34,33.89,,172353.0
2008-01-14,33.2,32.17,31.85,32.99,,278134.0
2008-01-15,31.74,31.23,31.03,31.74,,329725.0
2008-01-16,31.96,30.99,30.59,31.09,,297217.0
2008-01-17,31.9,29.25,29.04,31.32,,165446.0
2008-01-18,30.1699,29.47,28.34,29.24,,263117.0
2008-01-22,28.85,28.32,27.61,28.31,,437069.0
2008-01-23,29.58,29.54,26.81,27.59,,363321.0
2008-01-24,29.89,28.54,28.45,29.65,,166468.0
2008-01-25,29.18,28.4,27.95,28.9,,173017.0
2008-01-28,29.55,29.11,27.64,28.29,,138367.0
2008-01-29,29.7,28.66,28.38,29.35,,140783.0
2008-01-30,29.5,28.25,28.01,28.43,,79637.0
2008-01-31,29.89,29.54,27.05,27.75,,160137.0
2008-02-01,30.12,29.99,28.6,29.64,,126178.0
2008-02-04,30.0,29.68,29.12,29.89,,131849.0
2008-02-05,29.43,27.98,27.78,29.02,,127423.0
2008-02-06,28.87,27.83,27.55,28.26,,112024.0
2008-02-07,28.46,27.7,27.2,27.62,,221207.0
2008-02-08,28.1,26.96,26.62,27.68,,210720.0
2008-02-11,27.48,27.16,26.54,26.92,,128368.0
2008-02-12,27.67,26.36,25.91,27.28,,188580.0
2008-02-13,27.16,27.06,26.25,26.65,,248663.0
2008-02-14,27.45,27.0,26.86,27.09,,178086.0
2008-02-15,27.06,25.7,25.52,26.84,,174844.0
2008-02-19,26.33,25.58,25.14,25.61,,189138.0
2008-02-20,26.4,25.69,25.3101,25.35,,152642.0
2008-02-21,26.24,25.21,25.09,25.9,,222047.0
2008-02-22,25.68,25.4,24.64,25.2,,138421.0
2008-02-25,25.86,25.27,24.79,25.36,,133887.0
2008-02-26,26.79,26.51,25.07,25.15,,215613.0
2008-02-27,26.69,26.49,25.9501,25.96,,254144.0
2008-02-28,26.54,25.9,25.75,26.54,,324692.0
2008-02-29,25.38,24.0,22.08,23.79,,831214.0
2008-03-03,23.97,23.57,23.14,23.97,,708003.0
2008-03-04,23.7,23.52,23.11,23.11,,346840.0
2008-03-05,24.09,24.0,23.51,23.68,,235681.0
2008-03-06,24.91,24.41,24.13,24.13,,318724.0
2008-03-07,25.07,24.37,24.09,24.1,,226307.0
2008-03-10,25.068,24.0,23.9,24.47,,240829.0
2008-03-11,25.11,24.84,24.17,24.72,,205087.0
2008-03-12,25.08,24.89,24.5,24.78,,249472.0
2008-03-13,25.72,25.56,23.97,23.97,,215486.0
2008-03-14,25.73,24.84,24.5,25.73,,248218.0
2008-03-17,25.21,24.68,24.09,24.09,,192810.0
2008-03-18,26.23,25.91,24.348,25.28,,208405.0
2008-03-19,27.53,25.1,25.1,27.53,,148810.0
2008-03-20,27.23,27.0,24.57,25.51,,603195.0
2008-03-24,28.47,28.11,27.16,27.16,,202066.0
2008-03-25,28.43,27.95,27.86,28.14,,177694.0
2008-03-26,28.38,28.17,27.4501,27.7,,230984.0
2008-03-27,29.08,28.45,28.3,28.3,,236070.0
2008-03-28,29.31,28.55,27.57,28.43,,170203.0
2008-03-31,28.75,28.29,28.19,28.54,,191400.0
2008-04-01,29.81,29.64,27.99,27.99,,259288.0
2008-04-02,30.12,29.75,29.18,29.51,,211233.0
2008-04-03,29.8,29.41,29.07,29.39,,219042.0
2008-04-04,29.65,28.88,28.62,29.53,,301445.0
2008-04-07,29.48,28.87,28.78,29.02,,231777.0
2008-04-08,29.15,28.81,27.98,28.77,,346333.0
2008-04-09,29.05,27.94,27.8,28.79,,207179.0
2008-04-10,28.64,28.37,27.78,27.88,,122424.0
2008-04-11,28.35,27.47,27.36,27.98,,132562.0
2008-04-14,27.99,27.57,27.25,27.41,,100570.0
2008-04-15,27.99,27.73,27.26,27.81,,83584.0
2008-04-16,28.98,28.67,27.85,28.01,,108448.0
2008-04-17,28.67,28.22,28.09,28.51,,75646.0
2008-04-18,29.15,28.6,28.3,28.8,,96208.0
2008-04-21,28.55,28.42,27.71,28.42,,66403.0
2008-04-22,28.29,27.71,27.29,28.23,,155267.0
2008-04-23,28.06,27.97,27.22,27.82,,110577.0
2008-04-24,28.44,28.26,27.51,28.04,,143644.0
2008-04-25,28.55,28.1,27.75,28.43,,127226.0
2008-04-28,28.63,28.22,28.05,28.1,,158364.0
2008-04-29,28.25,27.45,27.12,28.25,,105031.0
2008-04-30,28.26,27.1,26.91,27.59,,242199.0
2008-05-01,27.89,27.7,27.38,27.38,,285872.0
2008-05-02,28.64,26.48,25.9,27.04,,502369.0
2008-05-05,26.54,25.95,25.28,26.32,,534531.0
2008-05-06,26.04,25.95,25.08,25.92,,557537.0
2008-05-07,25.99,25.36,25.25,25.99,,133314.0
2008-05-08,25.41,24.92,24.54,25.41,,118109.0
2008-05-09,25.35,25.16,24.3,24.61,,172179.0
