Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-08-29,27.09,27.09,25.0,25.0,2256.0,675711.0
2018-08-30,28.95,28.44,26.25,27.5,4128.0,1069843.0
2018-08-31,28.95,28.56,27.8,28.85,1659.0,181724.0
2018-09-04,28.92,28.61,28.55,28.6,1327.0,99610.0
2018-09-05,28.82,28.59,28.5,28.61,532.0,52619.0
2018-09-06,28.9488,28.43,28.1,28.6,928.0,116734.0
2018-09-07,28.63,28.44,28.0,28.0,190.0,35220.0
2018-09-10,28.82,27.695,27.51,28.75,2397.0,212688.0
2018-09-11,27.88,27.0,26.5,27.88,2871.0,279244.0
2018-09-12,27.865,27.34,26.79,26.79,1467.0,129349.0
2018-09-13,27.5,27.11,26.6,27.5,1421.0,160524.0
2018-09-14,28.9,28.9,26.86,27.25,1839.0,293656.0
2018-09-17,29.99,29.99,28.11,28.44,11038.0,5553109.0
2018-09-18,30.5,29.42,29.0,29.97,11832.0,1618685.0
2018-09-19,29.44,28.86,28.5,29.42,4570.0,692593.0
2018-09-20,29.25,28.93,28.155,28.73,3735.0,649798.0
2018-09-21,30.3,29.33,28.8,28.8,3954.0,2003482.0
2018-09-24,30.245,28.79,28.5,29.5,4034.0,587572.0
2018-09-25,30.48,30.36,28.5,29.01,4550.0,639307.0
2018-09-26,30.82,30.72,30.0,30.3,3563.0,531470.0
2018-09-27,32.13,32.05,30.77,30.91,4198.0,649291.0
2018-09-28,32.15,32.01,31.63,32.04,1894.0,286977.0
2018-10-01,32.2699,30.92,30.76,32.08,1827.0,240201.0
2018-10-02,32.2,32.0,30.11,30.93,1787.0,309577.0
2018-10-03,33.28,32.96,31.61,32.0,2156.0,421083.0
2018-10-04,33.64,32.88,32.11,32.98,1954.0,193423.0
2018-10-05,33.12,32.73,32.14,32.85,3380.0,675634.0
2018-10-08,33.83,33.76,32.21,32.69,1726.0,207121.0
2018-10-09,34.815,34.49,33.02,33.64,2819.0,328526.0
2018-10-10,35.0,34.46,34.35,34.61,2201.0,314480.0
2018-10-11,35.1,34.37,33.83,35.1,2813.0,396103.0
2018-10-12,34.9349,33.11,32.71,34.91,1314.0,150515.0
2018-10-15,33.735,33.53,32.75,33.22,1302.0,174867.0
2018-10-16,35.1,34.0,33.63,33.63,1402.0,179734.0
2018-10-17,35.08,33.14,33.1,33.93,1189.0,208606.0
2018-10-18,34.29,31.98,31.5738,33.0,1103.0,131525.0
2018-10-19,32.96,32.28,31.52,31.71,1046.0,161708.0
2018-10-22,36.13,34.2,32.74,32.74,3696.0,462935.0
2018-10-23,34.7439,33.61,33.22,34.63,2118.0,335409.0
2018-10-24,35.95,32.61,32.49,34.26,3474.0,599293.0
2018-10-25,33.11,31.19,30.25,33.08,3925.0,508460.0
2018-10-26,31.25,30.3,30.0,30.9,2129.0,226739.0
2018-10-29,30.81,28.63,28.26,30.81,3714.0,408381.0
2018-10-30,29.42,28.54,28.35,29.25,3952.0,501445.0
