Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,61.55,59.32,59.16,60.0,,7332400.0
2007-09-20,61.72,58.55,57.92,60.47,,3654932.0
2007-09-21,60.895,60.27,58.55,59.16,,6400824.0
2007-09-24,60.41,59.0,58.75,60.27,,3550412.0
2007-09-25,57.91,57.71,56.75,57.91,,4462870.0
2007-09-26,57.85,57.1,55.61,57.75,,4346300.0
2007-09-27,57.78,56.81,56.12,57.78,,3606700.0
2007-09-28,58.27,57.33,56.73,56.73,,4197100.0
2007-10-01,58.35,57.6,56.13,57.08,,4257842.0
2007-10-02,59.18,58.63,57.8,57.96,,5909063.0
2007-10-03,60.79,60.02,58.65,58.78,,5693276.0
2007-10-04,60.5,58.93,58.53,60.47,,3239300.0
2007-10-05,61.24,61.17,59.6,59.94,,4814899.0
2007-10-08,61.04,60.45,59.63,61.03,,3454600.0
2007-10-09,61.43,60.26,59.54,60.81,,4839600.0
2007-10-10,61.7,61.11,59.53,60.13,,3886855.0
2007-10-11,63.97,61.11,60.51,61.22,,7987600.0
2007-10-12,61.5,60.62,59.95,61.39,,3070515.0
2007-10-15,60.83,58.54,56.5,60.83,,5334800.0
2007-10-16,58.6,57.56,56.42,58.18,,4492900.0
2007-10-17,58.75,57.57,56.52,58.37,,4924500.0
2007-10-18,57.15,55.94,55.22,57.15,,6894700.0
2007-10-19,56.8,54.87,54.73,55.71,,5655384.0
2007-10-22,56.16,55.92,54.14,54.71,,4496900.0
2007-10-23,56.84,55.14,53.43,56.62,,8144200.0
2007-10-24,56.54,56.44,54.52,55.08,,5629108.0
2007-10-25,58.09,55.85,55.36,56.82,,5848100.0
2007-10-26,56.7,56.46,55.84,56.42,,3473600.0
2007-10-29,57.49,57.1,56.27,56.27,,3038100.0
2007-10-30,57.35,56.01,55.96,56.97,,3577100.0
2007-10-31,56.36,54.97,54.25,56.21,,6827600.0
2007-11-01,55.61,53.095,53.05,54.78,,5906846.0
2007-11-02,53.85,52.81,51.84,53.85,,6569206.0
2007-11-05,52.77,50.93,50.85,52.0,,5445651.0
2007-11-06,52.06,50.88,50.11,51.38,,5493654.0
2007-11-07,52.21,50.87,50.0,50.05,,5518957.0
2007-11-08,50.32,49.16,48.11,50.0,,8907158.0
2007-11-09,48.75,47.58,47.07,48.41,,5693264.0
2007-11-12,50.36,48.59,47.53,47.53,,6448584.0
2007-11-13,51.43,51.22,49.78,50.35,,5840400.0
2007-11-14,52.92,49.38,49.0,52.92,,5298347.0
2007-11-15,49.61,48.92,47.78,48.06,,7012023.0
2007-11-16,49.8,49.68,48.0,48.17,,9297387.0
2007-11-19,49.52,47.59,47.35,49.47,,5739438.0
2007-11-20,49.42,48.76,46.99,47.76,,8891582.0
2007-11-21,48.76,47.59,47.42,48.37,,5159274.0
2007-11-23,49.14,48.72,48.22,48.3,,3341842.0
2007-11-26,49.68,47.49,47.35,49.15,,5480453.0
2007-11-27,48.77,48.06,47.39,47.55,,4465816.0
2007-11-28,51.22,50.73,48.1,48.25,,5911366.0
2007-11-29,50.63,49.34,48.64,50.63,,4526338.0
2007-11-30,51.47,49.28,48.8,50.03,,7203306.0
2007-12-03,50.36,49.22,48.74,49.74,,6061748.0
2007-12-04,51.17,50.58,48.5,48.83,,6093300.0
2007-12-05,52.24,50.7,50.12,51.02,,4872500.0
2007-12-06,51.5,51.2,49.0,51.5,,5233470.0
2007-12-07,52.448,52.17,51.1,51.4,,3954980.0
2007-12-10,52.9,52.54,51.43,52.88,,2698145.0
2007-12-11,52.76,49.4,48.97,52.73,,4593534.0
2007-12-12,51.04,48.69,47.83,50.5,,5888130.0
2007-12-13,48.81,47.84,47.17,47.99,,5536334.0
2007-12-14,47.75,46.69,46.5899,47.75,,3887935.0
2007-12-17,47.69,47.31,46.1,46.1,,5056930.0
2007-12-18,47.85,47.36,46.51,47.57,,3695840.0
2007-12-19,47.82,45.52,45.25,47.82,,5868700.0
2007-12-20,46.12,45.32,44.23,45.76,,4913190.0
2007-12-21,46.36,46.16,45.35,45.76,,4550016.0
2007-12-24,47.01,46.4,46.17,46.65,,1507764.0
2007-12-26,46.21,45.25,44.81,46.21,,3219101.0
2007-12-27,45.33,44.95,44.16,44.84,,4414122.0
2007-12-28,45.74,45.21,44.28,44.74,,3374176.0
2007-12-31,46.12,45.8,44.86,44.97,,4029504.0
