Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-04-26,24.97,24.5,23.94,24.06,,122873.0
2006-04-27,24.96,24.64,23.85,24.29,,106630.0
2006-04-28,26.19,25.51,24.0,24.54,,222008.0
2006-05-01,25.84,24.85,23.96,25.72,,219387.0
2006-05-02,26.21,26.14,24.8,24.8,,312463.0
2006-05-03,26.03,25.64,25.5,26.03,,242215.0
2006-05-04,26.07,25.91,25.7,25.7,,192714.0
2006-05-05,26.4,26.1,25.85,26.14,,178731.0
2006-05-08,26.2,26.04,25.66,25.8,,168201.0
2006-05-09,26.07,25.72,25.67,25.94,,100989.0
2006-05-10,25.7,25.38,25.2,25.7,,96049.0
2006-05-11,25.38,24.57,24.54,25.32,,101731.0
2006-05-12,24.71,24.53,24.01,24.41,,104922.0
2006-05-15,25.01,24.91,24.13,24.3,,137671.0
2006-05-16,25.23,24.58,24.49,24.88,,87511.0
2006-05-17,24.62,24.0,23.75,24.37,,106164.0
2006-05-18,24.45,23.74,23.73,23.97,,73170.0
2006-05-19,24.41,23.92,23.35,23.58,,83548.0
2006-05-22,24.65,24.31,23.63,23.69,,281469.0
2006-05-23,24.75,23.91,23.86,24.48,,133579.0
2006-05-24,24.75,24.55,23.34,23.82,,133698.0
2006-05-25,24.91,24.26,23.99,24.75,,176757.0
2006-05-26,24.59,24.3,24.05,24.38,,101635.0
2006-05-30,24.18,23.64,23.44,24.18,,193768.0
2006-05-31,23.82,23.82,23.46,23.8,,230659.0
2006-06-01,23.95,23.82,23.68,23.95,,184921.0
2006-06-02,23.88,23.5,23.06,23.82,,154778.0
2006-06-05,23.51,22.8,22.68,23.33,,201031.0
2006-06-06,23.1,22.99,22.03,22.8,,155470.0
2006-06-07,23.85,23.43,22.86,23.04,,124690.0
2006-06-08,23.49,23.06,22.5,23.2,,105699.0
2006-06-09,23.49,22.5,22.35,23.1,,86628.0
2006-06-12,22.45,22.15,21.72,22.41,,154243.0
2006-06-13,22.76,21.38,21.37,22.09,,169736.0
2006-06-14,21.68,21.45,21.23,21.34,,474581.0
2006-06-15,21.73,21.7,21.42,21.67,,584895.0
2006-06-16,22.22,21.91,21.54,21.6,,704706.0
2006-06-19,22.2,21.37,21.31,22.03,,96536.0
2006-06-20,22.02,21.6,21.22,21.29,,118414.0
2006-06-21,22.59,22.53,21.51,21.51,,114783.0
2006-06-22,22.55,22.36,21.94,22.35,,82701.0
2006-06-23,22.49,22.37,21.98,22.2,,118529.0
2006-06-26,22.69,22.29,22.2,22.53,,62794.0
2006-06-27,22.25,21.29,21.25,22.24,,109978.0
2006-06-28,21.75,21.63,21.25,21.43,,85259.0
2006-06-29,22.85,22.74,21.67,21.85,,147575.0
2006-06-30,23.15,23.02,22.63,22.85,,271557.0
2006-07-03,23.19,23.13,22.58,22.93,,44779.0
2006-07-05,23.26,23.02,22.55,22.92,,92824.0
2006-07-06,23.4,22.66,22.46,23.21,,80811.0
2006-07-07,22.94,22.09,22.05,22.52,,87214.0
2006-07-10,22.6,22.09,21.91,22.07,,110251.0
2006-07-11,22.63,22.63,21.7,22.0,,70050.0
2006-07-12,22.56,21.96,21.94,22.54,,67151.0
2006-07-13,21.86,21.27,21.27,21.84,,80735.0
2006-07-14,21.24,20.98,20.76,21.24,,75286.0
2006-07-17,21.04,20.77,20.5,20.95,,41151.0
2006-07-18,21.55,21.33,20.67,20.84,,91540.0
2006-07-19,22.75,22.38,21.13,21.39,,109014.0
2006-07-20,22.43,21.5,21.47,22.38,,67077.0
2006-07-21,21.37,21.02,20.55,21.37,,64632.0
2006-07-24,22.02,22.02,21.22,21.22,,61859.0
2006-07-25,22.42,22.0,21.4446,22.12,,67733.0
2006-07-26,21.98,21.74,21.02,21.82,,70289.0
2006-07-27,21.91,21.27,21.01,21.71,,102879.0
2006-07-28,23.34,22.94,21.69,21.75,,344619.0
2006-07-31,23.93,23.83,22.75,23.15,,182479.0
2006-08-01,24.0,23.01,23.01,23.59,,163867.0
2006-08-02,23.88,23.63,23.17,23.23,,85438.0
2006-08-03,23.96,23.71,23.05,23.42,,90199.0
2006-08-04,23.8,23.09,22.47,23.03,,143152.0
2006-08-07,23.01,22.79,22.56,22.88,,69025.0
2006-08-08,23.07,22.31,22.28,22.78,,77344.0
