Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,25.49,25.42,24.33,24.41,,212900.0
2007-09-20,25.69,24.83,24.16,25.45,,160600.0
2007-09-21,25.4,25.12,24.65,25.06,,322000.0
2007-09-24,25.48,25.3,25.09,25.17,,249900.0
2007-09-25,25.16,24.74,24.66,25.14,,153900.0
2007-09-26,25.1,24.53,24.09,25.01,,136400.0
2007-09-27,24.79,24.2,23.95,24.6,,144300.0
2007-09-28,24.47,23.67,23.47,24.27,,113000.0
2007-10-01,24.73,24.71,23.59,23.62,,101700.0
2007-10-02,25.1,25.01,24.7,24.79,,58500.0
2007-10-03,24.96,24.63,24.26,24.92,,77700.0
2007-10-04,25.28,25.28,24.68,24.78,,61700.0
2007-10-05,26.19,26.19,25.14,25.46,,85700.0
2007-10-08,26.05,25.57,25.39,26.02,,76900.0
2007-10-09,25.76,25.1,25.04,25.69,,113500.0
2007-10-10,25.26,25.16,25.01,25.1,,49800.0
2007-10-11,25.43,24.7,24.49,25.19,,123100.0
2007-10-12,25.4801,25.24,24.68,24.68,,86600.0
2007-10-15,26.11,24.65,24.31,25.28,,80000.0
2007-10-16,24.6,24.51,23.52,24.6,,68800.0
2007-10-17,24.82,24.41,23.78,24.69,,65900.0
2007-10-18,24.71,24.31,23.89,24.31,,72400.0
2007-10-19,24.17,22.92,22.77,24.17,,110100.0
2007-10-22,23.76,23.46,22.44,22.67,,97900.0
2007-10-23,24.24,24.24,23.28,23.7,,80800.0
2007-10-24,24.18,23.87,23.07,24.0,,120800.0
2007-10-25,24.05,23.96,23.32,24.0,,115200.0
2007-10-26,24.6,24.56,23.84,24.23,,62800.0
2007-10-29,25.35,24.28,24.2,25.23,,71100.0
2007-10-30,25.0,25.0,24.22,24.22,,73800.0
2007-10-31,25.73,25.34,24.6,25.15,,112300.0
2007-11-01,25.13,23.56,23.27,25.02,,155800.0
2007-11-02,23.82,23.09,22.6,23.82,,138500.0
2007-11-05,22.97,22.52,22.25,22.74,,94902.0
2007-11-06,22.63,22.45,22.0,22.39,,146502.0
2007-11-07,22.38,21.57,21.44,22.21,,193600.0
2007-11-08,22.21,21.52,21.3,21.76,,267300.0
2007-11-09,22.24,21.95,21.13,21.24,,116000.0
2007-11-12,22.8,22.37,21.94,21.95,,76400.0
2007-11-13,23.05,22.99,22.57,22.63,,62800.0
2007-11-14,23.36,22.79,22.61,23.08,,70700.0
2007-11-15,23.15,23.15,22.14,22.71,,147200.0
2007-11-16,23.35,22.31,22.1,23.19,,132500.0
2007-11-19,22.31,21.91,21.4,22.14,,79800.0
2007-11-20,22.23,21.83,21.26,22.0,,103500.0
2007-11-21,22.15,22.0,21.48,21.72,,113900.0
2007-11-23,22.81,22.57,21.98,22.0,,46400.0
2007-11-26,22.51,20.89,20.89,22.51,,138400.0
2007-11-27,21.98,21.92,20.96,20.98,,121500.0
2007-11-28,22.95,22.89,22.22,22.22,,144900.0
2007-11-29,23.14,23.0,22.54,22.79,,124400.0
2007-11-30,23.68,23.54,23.11,23.43,,144500.0
2007-12-03,23.56,23.37,22.89,23.54,,118200.0
2007-12-04,23.06,22.69,22.5,23.06,,82500.0
2007-12-05,23.6,23.6,22.79,23.1,,109900.0
2007-12-06,24.53,24.53,23.58,23.58,,117700.0
2007-12-07,24.93,24.68,24.35,24.63,,80400.0
2007-12-10,25.23,25.09,24.52,24.68,,54000.0
2007-12-11,25.42,24.36,24.09,25.27,,180700.0
2007-12-12,25.43,24.37,24.11,25.0,,97405.0
2007-12-13,24.35,24.12,23.65,24.35,,102400.0
2007-12-14,24.44,23.77,23.63,23.73,,96300.0
2007-12-17,23.68,23.3,23.14,23.63,,327601.0
2007-12-18,25.2,25.2,23.48,23.57,,113000.0
2007-12-19,25.05,24.89,24.38,25.05,,152200.0
2007-12-20,25.2,24.94,24.36,25.06,,85500.0
2007-12-21,26.0,26.0,25.31,25.37,,236400.0
2007-12-24,28.0,27.58,25.49,25.7,,114400.0
2007-12-26,27.33,26.91,26.73,27.28,,104500.0
2007-12-27,26.75,25.08,25.08,26.75,,112300.0
2007-12-28,25.62,24.68,24.65,25.33,,118200.0
2007-12-31,25.05,25.05,24.2,24.68,,93800.0
2008-01-02,25.25,24.76,24.23,25.06,,131000.0
2008-01-03,25.14,24.15,24.05,24.9,,138625.0
2008-01-04,24.01,23.6,23.33,23.96,,99000.0
