Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2000-01-06,0.4,0.4,0.4,0.4,,1000.0
2000-01-07,0.35,0.35,0.35,0.35,,4000.0
2000-01-11,0.35,0.35,0.35,0.35,,6000.0
2000-01-12,,,,,,200.0
2000-01-13,,,,,,100.0
2000-01-31,0.2,0.15,0.15,0.2,,7000.0
2000-02-01,0.35,0.35,0.2,0.2,,6900.0
2000-02-02,1.2,1.0,0.6,0.6,,10400.0
2000-02-03,1.5,1.4,0.9,1.5,,25543.0
2000-02-04,1.45,1.4,1.4,1.45,,4400.0
2000-02-07,1.5,1.5,1.5,1.5,,6000.0
2000-02-08,1.5,1.5,1.45,1.45,,7750.0
2000-02-09,1.5,1.2,1.2,1.5,,13000.0
2000-02-11,1.1,1.1,1.1,1.1,,500.0
2000-02-14,1.35,1.0,1.0,1.35,,1300.0
2000-02-15,1.0,0.75,0.75,0.8,,5000.0
2000-02-16,0.9,0.9,0.9,0.9,,1000.0
2000-02-17,1.0,1.0,0.9,1.0,,10600.0
2000-02-18,1.0,1.0,1.0,1.0,,10000.0
2000-02-21,1.0,0.85,0.85,1.0,,3500.0
2000-02-22,0.9,0.9,0.9,0.9,,500.0
2000-02-23,1.0,1.0,1.0,1.0,,19000.0
2000-02-24,1.35,1.35,1.1,1.1,,5000.0
2000-02-25,1.5,1.5,1.45,1.5,,3500.0
2000-02-29,1.4,1.4,1.4,1.4,,1000.0
2000-03-01,1.06,1.05,1.05,1.06,,2000.0
2000-03-02,1.05,1.05,1.05,1.05,,100.0
2000-03-03,1.05,1.05,1.05,1.05,,500.0
2000-03-06,1.1,1.1,1.05,1.05,,1500.0
2000-03-07,1.1,1.1,1.1,1.1,,2143.0
2000-03-08,1.15,1.15,1.15,1.15,,100000.0
2000-03-09,1.65,1.5,1.5,1.5,,11500.0
2000-03-10,1.6,1.5,1.5,1.5,,5200.0
2000-03-13,1.3,1.3,1.3,1.3,,4500.0
2000-03-14,1.3,1.3,1.3,1.3,,100.0
2000-03-15,1.3,1.3,1.3,1.3,,7000.0
2000-03-16,1.4,1.4,1.3,1.3,,8100.0
2000-03-17,1.85,1.3,1.3,1.65,,5300.0
2000-03-20,1.6,1.6,1.6,1.6,,4000.0
2000-03-21,1.3,1.05,1.05,1.3,,2100.0
2000-03-28,1.2,1.11,1.11,1.2,,2000.0
2000-04-03,1.15,1.15,1.15,1.15,,1000.0
2000-04-04,1.0,0.85,0.85,1.0,,4000.0
2000-04-05,1.0,1.0,1.0,1.0,,650.0
2000-04-06,1.2,1.2,1.2,1.2,,500.0
2000-04-11,1.0,1.0,1.0,1.0,,1950.0
2000-04-14,1.0,0.9,0.9,1.0,,23500.0
2000-04-18,1.15,1.15,1.15,1.15,,1000.0
2000-04-20,1.05,1.0,1.0,1.05,,5100.0
2000-05-03,1.07,1.07,1.07,1.07,,1000.0
2000-05-05,1.0,1.0,1.0,1.0,,3000.0
2000-05-15,,,,,,200.0
2000-05-26,1.3,1.3,1.3,1.3,,2000.0
2000-05-30,0.75,0.75,0.75,0.75,,1000.0
2000-06-05,0.65,0.65,0.65,0.65,,1500.0
2000-06-15,0.45,0.45,0.45,0.45,,1000.0
2000-06-19,0.4,0.4,0.4,0.4,,1000.0
2000-06-23,0.4,0.4,0.4,0.4,,3000.0
2000-06-27,0.4,0.4,0.4,0.4,,3000.0
2000-06-29,0.7,0.7,0.7,0.7,,1000.0
2000-06-30,,,,,,100.0
2000-07-13,0.7,0.7,0.7,0.7,,1000.0
2000-07-18,,,,,,50.0
2000-07-27,,,,,,200.0
2000-08-09,0.42,0.42,0.42,0.42,,1000.0
2000-08-11,0.45,0.4,0.4,0.45,,8000.0
2000-08-14,0.45,0.45,0.4,0.4,,10000.0
2000-08-15,0.4,0.4,0.4,0.4,,8000.0
2000-08-17,,,,,,150.0
2000-08-24,0.4,0.4,0.4,0.4,,8000.0
2000-09-01,0.35,0.35,0.35,0.35,,5000.0
2000-09-07,0.3,0.3,0.3,0.3,,1000.0
2000-09-11,0.31,0.31,0.31,0.31,,1000.0
2000-09-14,,,,,,300.0
2000-09-20,0.4,0.4,0.32,0.4,,231000.0
2000-09-21,0.74,0.74,0.5,0.5,,38600.0
2000-09-25,0.5,0.5,0.5,0.5,,10000.0
2000-09-26,0.7,0.7,0.67,0.67,,7500.0
2000-09-27,0.75,0.75,0.75,0.75,,11200.0
2000-09-28,0.7,0.7,0.7,0.7,,26300.0
2000-09-29,0.7,0.7,0.7,0.7,,20000.0
2000-10-02,0.65,0.65,0.65,0.65,,7000.0
2000-10-03,0.61,0.61,0.61,0.61,,3500.0
2000-10-05,0.7,0.65,0.65,0.7,,11800.0
2000-10-06,0.65,0.65,0.65,0.65,,3500.0
2000-10-11,0.65,0.65,0.65,0.65,,15000.0
2000-10-12,0.7,0.7,0.7,0.7,,2000.0
2000-10-20,0.7,0.7,0.7,0.7,,5000.0
2000-10-31,0.65,0.65,0.6,0.6,,14900.0
2000-11-01,0.65,0.65,0.65,0.65,,21000.0
2000-11-02,0.65,0.65,0.65,0.65,,40000.0
2000-11-03,0.65,0.65,0.6,0.6,,27000.0
2000-11-13,0.6,0.6,0.6,0.6,,1500.0
2000-11-20,0.6,0.6,0.6,0.6,,1000.0
2000-11-22,,,,,,100.0
2000-11-27,0.65,0.65,0.6,0.6,,3000.0
2000-11-30,0.6,0.6,0.6,0.6,,4500.0
2000-12-01,0.6,0.6,0.6,0.6,,1000.0
2000-12-04,0.45,0.45,0.45,0.45,,10000.0
2000-12-08,0.45,0.45,0.45,0.45,,2000.0
2000-12-11,0.45,0.4,0.4,0.45,,10000.0
2000-12-14,0.45,0.45,0.4,0.4,,5000.0
2000-12-15,0.45,0.4,0.4,0.45,,118500.0
2000-12-19,0.4,0.4,0.33,0.33,,6250.0
2000-12-20,0.4,0.4,0.4,0.4,,2500.0
2000-12-21,0.33,0.33,0.33,0.33,,5100.0
2000-12-22,0.33,0.33,0.33,0.33,,650.0
2000-12-27,0.5,0.5,0.5,0.5,,3000.0
2001-01-03,0.6,0.6,0.6,0.6,,2500.0
2001-01-05,0.6,0.6,0.6,0.6,,5000.0
2001-01-16,0.5,0.5,0.5,0.5,,26000.0
2001-01-26,0.65,0.65,0.65,0.65,,4000.0
2001-01-30,0.75,0.75,0.75,0.75,,23300.0
2001-01-31,0.75,0.75,0.75,0.75,,30000.0
2001-02-09,0.7,0.7,0.7,0.7,,4000.0
2001-02-13,0.7,0.7,0.7,0.7,,5000.0
2001-02-15,0.75,0.75,0.75,0.75,,10000.0
2001-02-16,0.75,0.75,0.75,0.75,,1800.0
2001-02-19,0.75,0.75,0.75,0.75,,12000.0
2001-02-20,0.65,0.65,0.65,0.65,,500.0
2001-02-21,0.75,0.75,0.75,0.75,,3500.0
2001-02-22,0.65,0.65,0.6,0.65,,842100.0
2001-02-23,0.75,0.75,0.75,0.75,,2000.0
2001-02-26,0.75,0.75,0.75,0.75,,20000.0
2001-03-02,,,,,,400.0
2001-03-05,0.75,0.75,0.75,0.75,,3000.0
2001-03-06,0.7,0.7,0.7,0.7,,1000.0
2001-03-07,0.7,0.7,0.7,0.7,,1500.0
2001-03-13,0.75,0.75,0.75,0.75,,1000.0
2001-03-19,0.75,0.75,0.75,0.75,,1000.0
2001-03-21,0.7,0.7,0.7,0.7,,1500.0
2001-03-22,0.7,0.7,0.7,0.7,,5000.0
2001-03-23,0.7,0.7,0.7,0.7,,7000.0
2001-03-26,0.65,0.65,0.65,0.65,,2000.0
2001-03-27,0.7,0.7,0.7,0.7,,2000.0
2001-04-05,0.7,0.7,0.7,0.7,,500.0
2001-04-06,0.75,0.75,0.75,0.75,,11000.0
2001-04-09,0.75,0.75,0.75,0.75,,4200.0
2001-04-12,0.75,0.75,0.75,0.75,,500.0
2001-04-16,,,,,,100.0
2001-04-19,0.8,0.8,0.75,0.8,,12500.0
2001-04-20,,,,,,100.0
2001-05-03,0.75,0.75,0.75,0.75,,21000.0
2001-05-10,0.75,0.75,0.75,0.75,,10000.0
2001-06-08,1.0,1.0,1.0,1.0,,25000.0
2001-06-15,0.9,0.9,0.9,0.9,,17500.0
2001-06-18,0.9,0.9,0.9,0.9,,2000.0
2001-06-21,1.1,1.05,1.05,1.05,,31000.0
2001-06-25,1.0,1.0,1.0,1.0,,2000.0
2001-06-26,1.0,1.0,1.0,1.0,,1000.0
2001-06-27,1.0,1.0,1.0,1.0,,1000.0
2001-07-12,0.95,0.9,0.9,0.95,,10000.0
2001-07-16,0.8,0.8,0.8,0.8,,500.0
2001-08-03,0.85,0.85,0.85,0.85,,225000.0
2001-08-10,0.82,0.82,0.82,0.82,,10100.0
2001-08-14,0.85,0.85,0.8,0.8,,6500.0
2001-08-15,0.85,0.85,0.85,0.85,,2500.0
2001-08-16,0.8,0.8,0.8,0.8,,500.0
2001-08-27,0.82,0.82,0.82,0.82,,21000.0
2001-08-28,0.83,0.81,0.81,0.83,,7100.0
2001-08-29,0.81,0.8,0.8,0.8,,1428000.0
2001-08-30,0.85,0.81,0.8,0.8,,39500.0
2001-08-31,0.89,0.89,0.8,0.8,,1700.0
2001-09-04,0.89,0.87,0.83,0.83,,4200.0
2001-09-05,0.89,0.87,0.87,0.89,,3800.0
2001-09-06,0.85,0.84,0.84,0.85,,5000.0
2001-09-10,0.89,0.89,0.89,0.89,,11200.0
2001-09-13,0.83,0.83,0.83,0.83,,3000.0
2001-09-20,,,,,,2.0
2001-09-26,1.05,1.05,1.05,1.05,,2000.0
2001-10-01,0.9,0.9,0.9,0.9,,1000.0
2001-10-05,0.9,0.9,0.9,0.9,,1000.0
2001-10-10,0.9,0.9,0.9,0.9,,2000.0
2001-10-22,0.95,0.95,0.95,0.95,,1000.0
2001-11-05,0.8,0.8,0.8,0.8,,500.0
2001-11-06,0.8,0.8,0.8,0.8,,1000.0
2001-11-07,0.8,0.8,0.8,0.8,,500.0
2001-11-09,0.8,0.8,0.8,0.8,,2500.0
2001-12-05,1.05,1.05,0.8,0.8,,2000.0
2001-12-07,1.0,0.8,0.8,1.0,,2200.0
2001-12-10,0.8,0.75,0.75,0.8,,9067.0
2001-12-12,0.7,0.7,0.7,0.7,,10000.0
2001-12-14,0.71,0.7,0.7,0.71,,6000.0
2001-12-17,0.9,0.9,0.9,0.9,,1500.0
2001-12-27,,,,,,200.0
2001-12-28,0.71,0.71,0.71,0.71,,1000.0
2002-01-07,,,,,,100.0
2002-01-10,0.75,0.75,0.75,0.75,,37000.0
2002-01-11,0.75,0.75,0.75,0.75,,8000.0
2002-01-14,0.75,0.75,0.75,0.75,,5300.0
2002-01-16,0.71,0.7,0.7,0.71,,10000.0
2002-01-18,0.75,0.75,0.74,0.74,,7700.0
2002-01-22,0.8,0.74,0.74,0.75,,11000.0
2002-01-24,0.74,0.74,0.74,0.74,,1300.0
2002-01-25,0.75,0.74,0.74,0.74,,12000.0
2002-01-29,0.74,0.74,0.74,0.74,,5000.0
2002-01-30,0.73,0.73,0.73,0.73,,19500.0
2002-01-31,0.74,0.72,0.72,0.74,,10800.0
2002-02-01,0.73,0.73,0.65,0.7,,12500.0
2002-02-04,0.68,0.68,0.68,0.68,,10000.0
2002-02-06,0.72,0.66,0.66,0.72,,7000.0
2002-02-08,0.72,0.72,0.72,0.72,,5000.0
2002-02-13,0.68,0.68,0.68,0.68,,10000.0
2002-02-15,0.72,0.68,0.68,0.72,,11000.0
2002-02-18,0.72,0.65,0.65,0.7,,39000.0
2002-02-21,0.75,0.75,0.72,0.72,,9000.0
2002-02-22,0.75,0.7,0.7,0.75,,16000.0
2002-02-25,0.7,0.7,0.7,0.7,,15000.0
2002-02-27,0.74,0.74,0.74,0.74,,11000.0
2002-03-01,0.74,0.71,0.71,0.74,,19730.0
2002-03-04,0.71,0.71,0.71,0.71,,3000.0
2002-03-05,0.7,0.7,0.69,0.7,,16000.0
2002-03-06,0.73,0.73,0.7,0.73,,30000.0
2002-03-11,0.73,0.7,0.7,0.73,,12000.0
2002-03-12,0.7,0.69,0.69,0.7,,5000.0
2002-03-13,0.7,0.7,0.69,0.69,,20000.0
2002-03-14,0.65,0.65,0.65,0.65,,2600.0
2002-03-19,0.7,0.7,0.7,0.7,,63000.0
2002-03-21,0.72,0.72,0.7,0.7,,6000.0
2002-03-26,0.7,0.7,0.7,0.7,,35000.0
2002-03-27,0.67,0.66,0.66,0.67,,9000.0
2002-03-28,0.72,0.72,0.72,0.72,,4000.0
2002-04-01,0.7,0.7,0.7,0.7,,10800.0
2002-04-02,0.72,0.72,0.7,0.7,,27000.0
2002-04-03,0.67,0.67,0.67,0.67,,2000.0
2002-04-04,0.72,0.72,0.7,0.7,,112500.0
2002-04-05,0.7,0.7,0.67,0.7,,78500.0
2002-04-08,,,,,,100.0
2002-04-09,0.7,0.7,0.7,0.7,,10000.0
2002-04-10,0.72,0.72,0.7,0.7,,60000.0
