Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-17,14.52,14.52,14.3,14.46,,4700.0
2007-09-18,14.65,14.6,14.42,14.6,,3600.0
2007-09-19,14.7,14.25,14.22,14.7,,4000.0
2007-09-20,14.19,14.1,14.1,14.19,,3600.0
2007-09-21,14.3,13.72,13.5938,14.15,,13600.0
2007-09-24,13.98,13.85,13.68,13.68,,6500.0
2007-09-25,13.9299,13.8,13.8,13.82,,3500.0
2007-09-26,13.9,13.89,13.8,13.81,,7400.0
2007-09-27,13.95,13.94,13.8,13.92,,3300.0
2007-09-28,13.95,13.95,13.94,13.94,,2300.0
2007-10-01,13.98,13.98,13.81,13.91,,7200.0
2007-10-02,14.25,14.16,14.15,14.15,,12700.0
2007-10-03,14.2,14.14,14.1301,14.2,,700.0
2007-10-04,14.5,14.5,14.05,14.1,,8800.0
2007-10-05,14.45,14.1,13.8,14.45,,23500.0
2007-10-08,14.39,14.33,14.15,14.15,,6400.0
2007-10-09,14.3,14.1901,14.15,14.3,,2500.0
2007-10-10,14.55,14.36,14.0801,14.09,,7400.0
2007-10-11,14.503,14.5,14.3,14.3,,3700.0
2007-10-12,14.58,14.42,14.42,14.45,,2800.0
2007-10-15,15.25,14.53,14.3,14.35,,6800.0
2007-10-16,14.6,14.5,14.4,14.5,,9300.0
2007-10-17,14.43,14.36,14.3,14.43,,3200.0
2007-10-18,14.5,14.3,14.3,14.5,,400.0
2007-10-19,14.4,14.4,14.3001,14.3001,,600.0
2007-10-22,14.42,14.3,14.29,14.38,,9000.0
2007-10-23,14.6,14.6,14.26,14.3899,,9400.0
2007-10-24,14.5,14.45,14.35,14.5,,1000.0
2007-10-25,14.25,13.91,13.9,14.0,,11100.0
2007-10-26,14.32,14.1501,14.0001,14.0001,,3500.0
2007-10-29,14.44,14.01,14.0,14.44,,8000.0
2007-10-30,14.14,14.02,14.02,14.07,,2300.0
2007-10-31,14.079,14.0,13.94,14.0301,,7700.0
2007-11-01,14.19,14.164,14.0501,14.15,,3400.0
2007-11-02,14.1201,14.09,13.95,14.1201,,4400.0
2007-11-05,14.097,14.02,14.0001,14.04,,5600.0
2007-11-06,14.1999,14.042,14.0,14.15,,3900.0
2007-11-07,14.4,13.85,13.25,14.15,,16200.0
2007-11-08,13.79,13.25,12.6,13.79,,22200.0
2007-11-09,13.31,13.21,13.21,13.2799,,3900.0
2007-11-12,13.2499,13.08,13.05,13.23,,5100.0
2007-11-13,14.29,13.4501,13.15,14.29,,10500.0
2007-11-14,13.45,12.77,12.5,13.45,,20200.0
2007-11-15,13.15,13.118,12.9,13.0,,10200.0
2007-11-16,13.59,13.59,13.08,13.38,,11100.0
2007-11-19,13.99,13.89,13.71,13.75,,11100.0
2007-11-20,13.88,13.46,13.0,13.72,,18904.0
2007-11-21,13.68,13.68,13.25,13.46,,14000.0
2007-11-23,13.58,13.43,13.43,13.56,,3000.0
2007-11-26,13.54,13.52,13.39,13.54,,3600.0
2007-11-27,13.6,13.1,13.1,13.48,,7000.0
2007-11-28,13.35,13.23,13.13,13.25,,1800.0
2007-11-29,13.35,13.172,13.1,13.35,,3100.0
2007-11-30,14.65,13.4401,13.33,13.33,,4100.0
2007-12-03,13.51,13.4,13.26,13.36,,5600.0
2007-12-04,13.534,13.38,13.37,13.4399,,3800.0
2007-12-05,13.32,13.2,13.05,13.3099,,7800.0
2007-12-06,13.35,13.2,13.2,13.2599,,4800.0
2007-12-07,13.35,13.319,13.1,13.1,,6400.0
2007-12-10,14.59,14.146,13.34,13.34,,20700.0
2007-12-11,14.2,14.14,14.14,14.14,,5800.0
