Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-05-01,9.99,9.96,9.93,9.99,257.0,709352.0
2013-05-02,9.99,9.99,9.96,9.97,161.0,214709.0
2013-05-03,10.15,10.045,9.99,9.99,210.0,302479.0
2013-05-06,10.25,10.2,10.05,10.07,169.0,229763.0
2013-05-07,10.25,10.18,10.12,10.21,126.0,111187.0
2013-05-08,10.45,10.42,10.15,10.18,136.0,139990.0
2013-05-09,10.44,10.4,10.3,10.43,123.0,102409.0
2013-05-10,10.4,10.35,10.25,10.4,49.0,41520.0
2013-05-13,10.4,10.25,10.22,10.4,116.0,116900.0
2013-05-14,10.33,10.3,10.25,10.26,73.0,85455.0
2013-05-15,10.32,10.29,10.25,10.32,49.0,54020.0
2013-05-16,10.35,10.35,10.27,10.27,31.0,18420.0
2013-05-17,10.43,10.35,10.3,10.35,81.0,71742.0
2013-05-21,10.45,10.4,10.35,10.45,47.0,44415.0
2013-05-22,10.45,10.4,10.33,10.45,52.0,35146.0
2013-05-23,10.45,10.39,10.36,10.39,64.0,69803.0
2013-05-24,10.45,10.43,10.37,10.39,39.0,28648.0
2013-05-27,10.54,10.5,10.4,10.41,56.0,37737.0
2013-05-28,10.51,10.46,10.45,10.5,51.0,43833.0
2013-05-29,10.5,10.39,10.39,10.5,58.0,69519.0
2013-05-30,10.55,10.5,10.4,10.45,49.0,26765.0
2013-05-31,10.55,10.49,10.45,10.46,31.0,31308.0
2013-06-03,10.5,10.43,10.4,10.49,35.0,27130.0
2013-06-04,10.5,10.4,10.4,10.45,27.0,32200.0
2013-06-05,10.4,10.33,10.22,10.4,51.0,41270.0
2013-06-06,10.33,10.2,10.19,10.33,34.0,39658.0
2013-06-07,10.24,10.15,10.14,10.2,25.0,33330.0
2013-06-10,10.15,10.07,10.0,10.15,29.0,26610.0
2013-06-11,10.09,9.9,9.9,10.09,70.0,20402.0
2013-06-12,9.7,9.4,9.4,9.7,87.0,69760.0
2013-06-13,9.83,9.7,9.48,9.48,51.0,36475.0
2013-06-14,9.98,9.98,9.66,9.66,12.0,7000.0
2013-06-17,10.09,10.05,9.93,9.93,25.0,15300.0
2013-06-18,10.21,10.1,10.05,10.19,31.0,16440.0
2013-06-19,10.29,10.05,9.95,10.1,32.0,23800.0
2013-06-20,10.05,10.0,9.85,9.85,17.0,21015.0
2013-06-21,10.1,10.0,10.0,10.0,13.0,5566.0
2013-06-24,10.19,10.1,9.85,9.9,16.0,22650.0
2013-06-25,10.23,10.0,9.91,9.91,26.0,11705.0
2013-06-26,10.29,10.15,10.15,10.18,23.0,22100.0
2013-06-27,10.24,10.2,10.15,10.23,7.0,7700.0
2013-06-28,10.29,10.1,10.05,10.28,17.0,5843.0
2013-07-02,10.15,10.05,10.05,10.1,13.0,7135.0
2013-07-03,10.2,10.1,10.05,10.09,9.0,5750.0
2013-07-04,10.25,10.15,10.15,10.2,19.0,13600.0
2013-07-05,10.15,10.05,10.05,10.15,33.0,25145.0
2013-07-08,10.15,10.15,10.0,10.15,52.0,11820.0
2013-07-09,10.13,10.0,9.93,10.13,33.0,37845.0
2013-07-10,10.01,10.0,9.98,10.01,6.0,9350.0
2013-07-11,10.1,9.95,9.8,10.05,26.0,19265.0
2013-07-12,10.0,10.0,10.0,10.0,7.0,10600.0
2013-07-15,10.1,10.1,10.0,10.0,6.0,2772.0
2013-07-16,10.2,10.2,10.0,10.1,30.0,15266.0
2013-07-17,10.2,10.17,10.17,10.2,15.0,14860.0
2013-07-18,10.2,10.1,10.08,10.2,7.0,5000.0
2013-07-19,10.2,10.1,10.1,10.1,14.0,11587.0
2013-07-22,10.3,10.15,10.08,10.1,16.0,10650.0
2013-07-23,10.28,10.28,10.25,10.25,2.0,700.0
2013-07-24,10.3,10.3,10.28,10.28,9.0,4000.0
2013-07-25,10.24,10.2,10.1,10.24,11.0,7180.0
2013-07-26,10.09,10.09,10.09,10.09,3.0,2081.0
2013-07-29,10.2,10.2,10.0,10.2,21.0,12640.0
2013-07-30,10.25,10.25,10.2,10.2,11.0,6435.0
2013-07-31,10.25,10.15,10.15,10.25,10.0,5265.0
2013-08-01,10.2,10.15,10.15,10.2,13.0,8120.0
2013-08-02,10.15,10.07,10.07,10.15,11.0,4572.0
2013-08-06,10.12,10.12,10.06,10.06,5.0,1880.0
2013-08-07,10.1,10.0,9.95,10.05,28.0,28560.0
2013-08-08,10.07,9.96,9.94,10.07,23.0,9097.0
2013-08-09,10.0,9.9,9.9,9.94,17.0,11005.0
2013-08-12,10.3,10.01,10.01,10.05,26.0,23874.0
2013-08-13,10.15,10.08,10.0,10.01,23.0,26770.0
2013-08-14,10.15,10.1,10.1,10.15,11.0,6010.0
2013-08-15,10.06,10.0,10.0,10.06,9.0,3621.0
2013-08-16,10.05,10.0,10.0,10.0,9.0,6300.0
2013-08-19,10.05,10.05,10.05,10.05,6.0,4570.0
2013-08-20,10.0,10.0,10.0,10.0,2.0,2000.0
2013-08-21,10.0,9.92,9.9,10.0,15.0,6510.0
2013-08-22,10.0,9.65,9.65,9.92,22.0,20688.0
2013-08-23,9.95,9.95,9.89,9.92,10.0,7115.0
2013-08-26,9.9,9.8,9.8,9.89,8.0,2205.0
2013-08-27,9.75,9.75,9.75,9.75,1.0,1500.0
2013-08-28,9.85,9.85,9.75,9.75,12.0,6900.0
2013-08-29,9.87,9.75,9.71,9.78,10.0,3750.0
2013-08-30,9.9,9.9,9.9,9.9,5.0,3000.0
2013-09-03,9.89,9.7,9.7,9.89,10.0,10714.0
2013-09-04,9.88,9.88,9.85,9.85,19.0,55008.0
2013-09-05,9.88,9.88,9.87,9.87,7.0,2550.0
2013-09-06,9.88,9.81,9.81,9.81,5.0,3090.0
2013-09-09,9.8,9.8,9.8,9.8,3.0,368.0
2013-09-10,9.87,9.8,9.8,9.8,11.0,4075.0
2013-09-11,9.88,9.88,9.88,9.88,2.0,3503.0
2013-09-12,9.88,9.75,9.75,9.88,7.0,3110.0
2013-09-13,9.88,9.88,9.86,9.86,2.0,1700.0
2013-09-16,9.95,9.95,9.8,9.88,21.0,36126.0
2013-09-17,9.99,9.92,9.91,9.95,12.0,13012.0
2013-09-18,10.04,10.01,9.9,9.9,15.0,22316.0
2013-09-19,10.05,10.03,10.0,10.05,9.0,52518.0
2013-09-20,10.0,10.0,9.92,9.93,4.0,83302.0
2013-09-23,10.03,10.03,10.0,10.0,10.0,4704.0
2013-09-24,10.03,10.0,10.0,10.03,18.0,19168.0
2013-09-25,10.03,10.03,10.03,10.03,6.0,3250.0
2013-09-26,10.05,10.0,10.0,10.0,9.0,7445.0
2013-09-27,10.04,10.04,10.0,10.01,11.0,9094.0
2013-09-30,10.03,10.0,10.0,10.03,12.0,7903.0
2013-10-01,10.05,9.87,9.87,10.0,23.0,28890.0
2013-10-02,10.01,10.01,9.91,9.91,14.0,16710.0
2013-10-03,10.04,10.0,10.0,10.04,12.0,18976.0
2013-10-04,10.05,10.0,10.0,10.05,12.0,26739.0
2013-10-07,10.45,10.25,9.96,10.05,19.0,7647.0
2013-10-08,10.25,10.06,10.03,10.25,12.0,7618.0
2013-10-09,10.1,10.0,10.0,10.1,10.0,8010.0
2013-10-10,10.11,10.05,10.0,10.0,18.0,23253.0
2013-10-11,10.01,10.01,10.0,10.01,11.0,9970.0
2013-10-15,10.11,10.11,10.0,10.0,14.0,9376.0
